Geography,Service occupations—Civilian employed population 16 years and over—Estimate,MoE
"Clay County, Missouri",14%,± 0.8%
"Clay County, Nebraska",14.90%,± 2.5%
"Clay County, North Carolina",18.60%,± 6.3%
"Clay County, South Dakota",22.60%,± 3.5%
"Clay County, Tennessee",13.80%,± 5%
"Clay County, Texas",10.10%,± 2.3%
"Clay County, West Virginia",14.30%,± 4.2%
"Clayton County, Georgia",20.60%,± 1.3%
"Clayton County, Iowa",16.50%,± 1.9%
"Clear Creek County, Colorado",19.30%,± 4.2%
"Clearfield County, Pennsylvania",17.90%,± 1.4%
"Clearwater County, Idaho",20.60%,± 3.2%
"Clearwater County, Minnesota",17.70%,± 1.9%
"Cleburne County, Alabama",15%,± 3.9%
"Cleburne County, Arkansas",16.60%,± 3%
"Clermont County, Ohio",14.60%,± 1%
"Cleveland County, Arkansas",10.70%,± 4.4%
"Cleveland County, North Carolina",16.80%,± 1.4%
"Cleveland County, Oklahoma",15.10%,± 0.7%
"Clinch County, Georgia",8.80%,± 5.1%
"Clinton County, Illinois",16.10%,± 1.5%
"Clinton County, Indiana",16.60%,± 2%
"Clinton County, Iowa",14.20%,± 1.6%
"Clinton County, Kentucky",20%,± 4.5%
"Clinton County, Michigan",14.90%,± 1.1%
"Clinton County, Missouri",14.60%,± 2.6%
"Clinton County, New York",19.90%,± 1.7%
"Clinton County, Ohio",17.20%,± 2%
"Clinton County, Pennsylvania",19.20%,± 1.9%
"Cloud County, Kansas",16.90%,± 3.4%
"Coahoma County, Mississippi",25.50%,± 3.5%
"Coal County, Oklahoma",18.30%,± 2.9%
"Coamo Municipio, Puerto Rico",25.50%,± 4.3%
"Cobb County, Georgia",13.50%,± 0.6%
"Cochise County, Arizona",23%,± 1.6%
"Cochran County, Texas",12.80%,± 4%
"Cocke County, Tennessee",24.50%,± 3.3%
"Coconino County, Arizona",22.20%,± 1.4%
"Codington County, South Dakota",14.30%,± 2.4%
"Coffee County, Alabama",18.80%,± 1.8%
"Coffee County, Georgia",14.80%,± 3%
"Coffee County, Tennessee",15.70%,± 2%
"Coffey County, Kansas",18.20%,± 2.8%
"Coke County, Texas",27.40%,± 7.3%
"Colbert County, Alabama",17.10%,± 2.2%
"Cole County, Missouri",15%,± 1.6%
"Coleman County, Texas",24.60%,± 7%
"Coles County, Illinois",20.40%,± 2.1%
"Colfax County, Nebraska",16.50%,± 4.6%
"Colfax County, New Mexico",27.70%,± 4.5%
"Colleton County, South Carolina",16.70%,± 2.7%
"Collier County, Florida",22.60%,± 1.2%
"Collin County, Texas",12%,± 0.5%
"Collingsworth County, Texas",24.30%,± 6.7%
"Colonial Heights city, Virginia",15.20%,± 3.1%
"Colorado County, Texas",15.10%,± 3%
"Colquitt County, Georgia",14.20%,± 2.3%
"Columbia County, Arkansas",16.30%,± 3.4%
"Columbia County, Florida",19.40%,± 2.1%
"Columbia County, Georgia",16.30%,± 1.7%
"Columbia County, New York",15.90%,± 1.5%
"Columbia County, Oregon",16.50%,± 2.1%
"Columbia County, Pennsylvania",18.40%,± 1.6%
"Columbia County, Washington",16.60%,± 5%
"Columbia County, Wisconsin",14.60%,± 1.2%
"Columbiana County, Ohio",20.20%,± 1.6%
"Columbus County, North Carolina",21.70%,± 2.6%
"Colusa County, California",15.40%,± 3%
"Comal County, Texas",14.60%,± 1.3%
"Comanche County, Kansas",13.60%,± 4.4%
"Comanche County, Oklahoma",19.80%,± 1.4%
"Comanche County, Texas",14.80%,± 3.1%
"Comerío Municipio, Puerto Rico",19.60%,± 5.1%
"Concho County, Texas",18.20%,± 8.5%
"Concordia Parish, Louisiana",23.40%,± 4%
"Conecuh County, Alabama",13.30%,± 4.6%
"Conejos County, Colorado",16%,± 2.8%
"Contra Costa County, California",16.70%,± 0.4%
"Converse County, Wyoming",12.70%,± 2.5%
"Conway County, Arkansas",17.90%,± 3.1%
"Cook County, Georgia",15%,± 2.6%
"Cook County, Illinois",16.50%,± 0.2%
"Cook County, Minnesota",13.70%,± 3.2%
"Cooke County, Texas",15.70%,± 2%
"Cooper County, Missouri",19.70%,± 2.5%
"Coos County, New Hampshire",20.60%,± 1.8%
"Coos County, Oregon",26.40%,± 2.1%
"Coosa County, Alabama",15.50%,± 4.6%
"Copiah County, Mississippi",20%,± 4%
"Copper River Census Area, Alaska",18.50%,± 5%
"Corozal Municipio, Puerto Rico",21.80%,± 4.3%
"Corson County, South Dakota",12%,± 2.8%
"Cortland County, New York",22.50%,± 1.5%
"Coryell County, Texas",19.10%,± 2%
"Coshocton County, Ohio",16.20%,± 2.4%
"Costilla County, Colorado",10.40%,± 4.3%
"Cottle County, Texas",26.60%,± 10.4%
"Cotton County, Oklahoma",13.70%,± 3.3%
"Cottonwood County, Minnesota",14.30%,± 2%
"Covington city, Virginia",22.10%,± 5.7%
"Covington County, Alabama",15.70%,± 2.1%
"Covington County, Mississippi",13.80%,± 4.5%
"Coweta County, Georgia",15.10%,± 1.1%
"Cowley County, Kansas",19.60%,± 1.9%
"Cowlitz County, Washington",18.90%,± 1.5%
"Craig County, Oklahoma",23.20%,± 2.5%
"Craig County, Virginia",13%,± 7%
"Craighead County, Arkansas",17.70%,± 1.4%
"Crane County, Texas",16.10%,± 7.9%
"Craven County, North Carolina",19.40%,± 1.9%
"Crawford County, Arkansas",16.90%,± 1.7%
"Crawford County, Georgia",12.30%,± 3.9%
"Crawford County, Illinois",21.70%,± 2.9%
"Crawford County, Indiana",13.90%,± 3.3%
"Crawford County, Iowa",18.60%,± 8.2%
"Crawford County, Kansas",18.50%,± 2%
"Crawford County, Michigan",20.80%,± 2.6%
"Crawford County, Missouri",16.30%,± 2.5%
"Crawford County, Ohio",17.60%,± 1.8%
"Crawford County, Pennsylvania",19.20%,± 1.2%
"Crawford County, Wisconsin",16.30%,± 2.1%
"Creek County, Oklahoma",14.90%,± 1%
"Crenshaw County, Alabama",15%,± 3.6%
"Crisp County, Georgia",17.90%,± 3.9%
"Crittenden County, Arkansas",17.20%,± 1.7%
"Crittenden County, Kentucky",19.30%,± 5.1%
"Crockett County, Tennessee",13.80%,± 3.1%
"Crockett County, Texas",6.90%,± 6.1%
"Crook County, Oregon",19.90%,± 3.4%
"Crook County, Wyoming",15.70%,± 4.7%
"Crosby County, Texas",23.40%,± 4.9%
"Cross County, Arkansas",16.60%,± 2.7%
"Crow Wing County, Minnesota",18.50%,± 1.4%
"Crowley County, Colorado",23.30%,± 7.1%
"Culberson County, Texas",23.70%,± 15.9%
"Culebra Municipio, Puerto Rico",26.30%,± 8.5%
"Cullman County, Alabama",16.70%,± 1.5%
"Culpeper County, Virginia",18.10%,± 1.9%
"Cumberland County, Illinois",16.80%,± 3%
"Cumberland County, Kentucky",13.40%,± 7.6%
"Cumberland County, Maine",14.10%,± 0.7%
"Cumberland County, New Jersey",22.40%,± 1.6%
"Cumberland County, North Carolina",19.70%,± 0.8%
"Cumberland County, Pennsylvania",14.60%,± 0.9%
"Cumberland County, Tennessee",16.80%,± 2.1%
"Cumberland County, Virginia",23.80%,± 4.9%
"Cuming County, Nebraska",16.60%,± 3.3%
"Currituck County, North Carolina",17.60%,± 2.7%
"Curry County, New Mexico",18%,± 2.5%
"Curry County, Oregon",24.90%,± 3.9%
"Custer County, Colorado",11.40%,± 4.8%
"Custer County, Idaho",25.20%,± 11.3%
"Custer County, Montana",16.60%,± 2.7%
"Custer County, Nebraska",14.70%,± 2.4%
"Custer County, Oklahoma",18.10%,± 2.5%
"Custer County, South Dakota",16.20%,± 3.9%
"Cuyahoga County, Ohio",16.70%,± 0.4%
"Dade County, Georgia",17%,± 2.7%
"Dade County, Missouri",15.70%,± 2.2%
"Daggett County, Utah",22.10%,± 7.5%
"Dakota County, Minnesota",14%,± 0.4%
"Dakota County, Nebraska",14.90%,± 2.5%
"Dale County, Alabama",18.60%,± 2.1%
"Dallam County, Texas",13.10%,± 6.5%
"Dallas County, Alabama",15.70%,± 2.2%
"Dallas County, Arkansas",21.10%,± 5.6%
"Dallas County, Iowa",11.30%,± 1.1%
"Dallas County, Missouri",19.30%,± 4.8%
"Dallas County, Texas",15.90%,± 0.3%
"Dane County, Wisconsin",13.70%,± 0.6%
"Daniels County, Montana",13.50%,± 4%
"Danville city, Virginia",22.10%,± 2.4%
"Dare County, North Carolina",16.20%,± 2.1%
"Darke County, Ohio",12.70%,± 1.6%
"Darlington County, South Carolina",17%,± 2.5%
"Dauphin County, Pennsylvania",17%,± 1.1%
"Davidson County, North Carolina",15.10%,± 1.2%
"Davidson County, Tennessee",14.50%,± 0.6%
"Davie County, North Carolina",15.50%,± 2.5%
"Daviess County, Indiana",15.30%,± 1.8%
"Daviess County, Kentucky",16.20%,± 1.2%
"Daviess County, Missouri",15.60%,± 2.9%
"Davis County, Iowa",10.90%,± 2.6%
"Davis County, Utah",13%,± 0.8%
"Davison County, South Dakota",22.10%,± 3.3%
"Dawes County, Nebraska",18.30%,± 4.3%
"Dawson County, Georgia",13%,± 2.8%
"Dawson County, Montana",17%,± 4.8%
"Dawson County, Nebraska",13.20%,± 2.1%
"Dawson County, Texas",20.40%,± 5%
"Day County, South Dakota",13.80%,± 2.6%
"De Baca County, New Mexico",6.70%,± 5%
"De Soto Parish, Louisiana",15.70%,± 2.6%
"De Witt County, Illinois",19.30%,± 2.8%
"Deaf Smith County, Texas",19.20%,± 3.5%
"Dearborn County, Indiana",14.80%,± 1.8%
"Decatur County, Georgia",22.40%,± 4.3%
"Decatur County, Indiana",14.50%,± 2.7%
"Decatur County, Iowa",17.50%,± 3.4%
"Decatur County, Kansas",18.30%,± 6%
"Decatur County, Tennessee",13%,± 3.6%
"Deer Lodge County, Montana",28.30%,± 5.6%
"Defiance County, Ohio",12.80%,± 1.6%
"DeKalb County, Alabama",16.20%,± 1.7%
"DeKalb County, Georgia",14.50%,± 0.6%
"DeKalb County, Illinois",19.60%,± 1.5%
"DeKalb County, Indiana",13.50%,± 1.7%
"DeKalb County, Missouri",15%,± 4.1%
"DeKalb County, Tennessee",15.20%,± 3.2%
"Del Norte County, California",30.50%,± 3.7%
"Delaware County, Indiana",20.50%,± 1.6%
"Delaware County, Iowa",15.90%,± 2.3%
"Delaware County, New York",20.90%,± 1.8%
"Delaware County, Ohio",11.90%,± 0.9%
"Delaware County, Oklahoma",17.90%,± 1.7%
"Delaware County, Pennsylvania",16.80%,± 0.6%
"Delta County, Colorado",18.20%,± 2%
"Delta County, Michigan",18.90%,± 2%
"Delta County, Texas",15.80%,± 4.6%
"Denali Borough, Alaska",16.40%,± 14%
"Dent County, Missouri",21.90%,± 3.2%
"Denton County, Texas",12.50%,± 0.5%
"Denver County, Colorado",13.90%,± 0.5%
"Des Moines County, Iowa",16.70%,± 2%
"Deschutes County, Oregon",17.50%,± 1.2%
"Desha County, Arkansas",20.10%,± 4.8%
"DeSoto County, Florida",22.10%,± 4.2%
"DeSoto County, Mississippi",13.60%,± 0.9%
"Deuel County, Nebraska",15.10%,± 5.1%
"Deuel County, South Dakota",11.60%,± 2.7%
"Dewey County, Oklahoma",15.30%,± 3.5%
"Dewey County, South Dakota",14.90%,± 3.2%
"DeWitt County, Texas",18.10%,± 3.4%
"Dickens County, Texas",18.80%,± 7.4%
"Dickenson County, Virginia",23.10%,± 4.5%
"Dickey County, North Dakota",17.80%,± 3.5%
"Dickinson County, Iowa",15.40%,± 2.1%
"Dickinson County, Kansas",15.70%,± 2.4%
"Dickinson County, Michigan",18.10%,± 3.4%
"Dickson County, Tennessee",14.30%,± 1.8%
"Dillingham Census Area, Alaska",18.90%,± 8.8%
"Dillon County, South Carolina",16.40%,± 2.7%
"Dimmit County, Texas",25.10%,± 9.6%
"Dinwiddie County, Virginia",14.40%,± 2.1%
"District of Columbia, District of Columbia",11.90%,± 0.5%
"Divide County, North Dakota",16.20%,± 5.7%
"Dixie County, Florida",22%,± 5.1%
"Dixon County, Nebraska",21.40%,± 3.2%
"Doddridge County, West Virginia",21%,± 6.6%
"Dodge County, Georgia",14.60%,± 2.7%
"Dodge County, Minnesota",13.70%,± 1.8%
"Dodge County, Nebraska",14.70%,± 2%
"Dodge County, Wisconsin",15.40%,± 1.2%
"Dolores County, Colorado",14.30%,± 6.7%
"Doña Ana County, New Mexico",22.10%,± 1.5%
"Doniphan County, Kansas",19.10%,± 3.5%
"Donley County, Texas",22.80%,± 5.8%
"Dooly County, Georgia",21.40%,± 5.8%
"Door County, Wisconsin",17.20%,± 2.1%
"Dorado Municipio, Puerto Rico",15.60%,± 3%
"Dorchester County, Maryland",23.50%,± 2.4%
"Dorchester County, South Carolina",15.10%,± 1.3%
"Dougherty County, Georgia",21.60%,± 2%
"Douglas County, Colorado",11.60%,± 0.5%
"Douglas County, Georgia",13.50%,± 1.5%
"Douglas County, Illinois",14%,± 1.8%
"Douglas County, Kansas",17.60%,± 1.3%
"Douglas County, Minnesota",17.10%,± 1.9%
"Douglas County, Missouri",13.80%,± 3.4%
"Douglas County, Nebraska",15%,± 0.4%
"Douglas County, Nevada",17.50%,± 2%
"Douglas County, Oregon",19.90%,± 1.9%
"Douglas County, South Dakota",18.30%,± 4.7%
"Douglas County, Washington",17.10%,± 1.6%
"Douglas County, Wisconsin",20.60%,± 1.5%
"Drew County, Arkansas",17.60%,± 4%
"Dubois County, Indiana",11.20%,± 1.7%
"Dubuque County, Iowa",16.10%,± 1.3%
"Duchesne County, Utah",13.40%,± 1.4%
"Dukes County, Massachusetts",17.80%,± 3.5%
"Dundy County, Nebraska",14.80%,± 4.9%
"Dunklin County, Missouri",21.30%,± 2.8%
"Dunn County, North Dakota",12%,± 2.9%
"Dunn County, Wisconsin",17.40%,± 1.5%
"DuPage County, Illinois",12.40%,± 0.4%
"Duplin County, North Carolina",18.50%,± 2.2%
"Durham County, North Carolina",14.80%,± 0.8%
"Dutchess County, New York",18.20%,± 0.9%
"Duval County, Florida",17.10%,± 0.6%
"Duval County, Texas",22.40%,± 7%
"Dyer County, Tennessee",13.30%,± 2.3%
"Eagle County, Colorado",20.90%,± 2.9%
"Early County, Georgia",18.20%,± 5%
"East Baton Rouge Parish, Louisiana",17.90%,± 1%
"East Carroll Parish, Louisiana",38%,± 10.4%
"East Feliciana Parish, Louisiana",20.60%,± 3.2%
"Eastland County, Texas",18.70%,± 3.2%
"Eaton County, Michigan",15.60%,± 1.1%
"Eau Claire County, Wisconsin",16.40%,± 1.2%
"Echols County, Georgia",13.40%,± 5.8%
"Ector County, Texas",12.80%,± 1.2%
"Eddy County, New Mexico",14%,± 1.9%
"Eddy County, North Dakota",14.10%,± 4%
"Edgar County, Illinois",17.80%,± 2.6%
"Edgecombe County, North Carolina",20.30%,± 2.7%
"Edgefield County, South Carolina",17.60%,± 2.7%
"Edmonson County, Kentucky",21%,± 4.7%
"Edmunds County, South Dakota",17.50%,± 3.2%
"Edwards County, Illinois",15.80%,± 3.3%
"Edwards County, Kansas",16%,± 3.5%
"Edwards County, Texas",35.40%,± 13.4%
"Effingham County, Georgia",13.90%,± 1.7%
"Effingham County, Illinois",15.40%,± 1.7%
"El Dorado County, California",19.10%,± 1%
"El Paso County, Colorado",16.50%,± 0.5%
"El Paso County, Texas",20.60%,± 0.7%
"Elbert County, Colorado",16.10%,± 2.6%
"Elbert County, Georgia",14.60%,± 3.4%
"Elk County, Kansas",17.90%,± 4%
"Elk County, Pennsylvania",11.90%,± 1.7%
"Elkhart County, Indiana",14.80%,± 1%
"Elko County, Nevada",17.20%,± 2%
"Elliott County, Kentucky",12%,± 4.7%
"Ellis County, Kansas",19.70%,± 3.1%
"Ellis County, Oklahoma",16.40%,± 4.8%
"Ellis County, Texas",13.50%,± 1.1%
"Ellsworth County, Kansas",23.40%,± 3.6%
"Elmore County, Alabama",14.50%,± 1.7%
"Elmore County, Idaho",19.20%,± 2.9%
"Emanuel County, Georgia",17.20%,± 3.7%
"Emery County, Utah",18.40%,± 2.9%
"Emmet County, Iowa",17.90%,± 3.8%
"Emmet County, Michigan",21.20%,± 1.7%
"Emmons County, North Dakota",9.50%,± 2.9%
"Emporia city, Virginia",18.20%,± 8.8%
"Erath County, Texas",17.60%,± 2.2%
"Erie County, New York",17.20%,± 0.4%
"Erie County, Ohio",17.70%,± 1.8%
"Erie County, Pennsylvania",20.10%,± 0.8%
"Escambia County, Alabama",20.30%,± 2.6%
"Escambia County, Florida",19.60%,± 1%
"Esmeralda County, Nevada",21.80%,± 17.9%
"Essex County, Massachusetts",16.40%,± 0.5%
"Essex County, New Jersey",18.20%,± 0.6%
"Essex County, New York",21.10%,± 1.9%
"Essex County, Vermont",17.80%,± 3.1%
"Essex County, Virginia",16.90%,± 5.8%
"Estill County, Kentucky",13.60%,± 3.5%
"Etowah County, Alabama",16.80%,± 1.5%
"Eureka County, Nevada",2.90%,± 4.6%
"Evangeline Parish, Louisiana",19.40%,± 2.7%
"Evans County, Georgia",16.10%,± 4%
"Fairbanks North Star Borough, Alaska",19.20%,± 2.2%
"Fairfax city, Virginia",16.40%,± 2.5%
"Fairfax County, Virginia",13.50%,± 0.4%
"Fairfield County, Ohio",15.90%,± 1.3%
"Fairfield County, South Carolina",17.30%,± 3%
"Fajardo Municipio, Puerto Rico",28.40%,± 3.6%
"Fall River County, South Dakota",27.60%,± 6.4%
"Fallon County, Montana",14.20%,± 5.4%
"Falls Church city, Virginia",10%,± 2.3%
"Falls County, Texas",14.90%,± 3.7%
"Fannin County, Georgia",21.20%,± 4.1%
"Fannin County, Texas",15.10%,± 2.2%
"Faribault County, Minnesota",15.40%,± 1.6%
"Faulk County, South Dakota",10.80%,± 3.9%
"Faulkner County, Arkansas",16.80%,± 1.5%
"Fauquier County, Virginia",14.90%,± 1.5%
"Fayette County, Alabama",14.20%,± 3.5%
"Fayette County, Georgia",12.90%,± 1.3%
"Fayette County, Illinois",18.20%,± 2.7%
"Fayette County, Indiana",23.30%,± 3.1%
"Fayette County, Iowa",15.30%,± 2%
"Fayette County, Kentucky",16.20%,± 0.9%
"Fayette County, Ohio",15.90%,± 2.3%
"Fayette County, Pennsylvania",18.50%,± 1.2%
"Fayette County, Tennessee",12.30%,± 1.6%
"Fayette County, Texas",16.70%,± 2.9%
"Fayette County, West Virginia",23.10%,± 2.7%
"Fentress County, Tennessee",21.30%,± 4.3%
"Fergus County, Montana",17.60%,± 3.2%
"Ferry County, Washington",26.50%,± 5.3%
"Fillmore County, Minnesota",16.20%,± 1%
"Fillmore County, Nebraska",14%,± 3%
"Finney County, Kansas",14.30%,± 2%
"Fisher County, Texas",12.60%,± 3.7%
"Flagler County, Florida",17.50%,± 1.6%
"Flathead County, Montana",18%,± 1.4%
"Fleming County, Kentucky",13.80%,± 3.1%
"Florence County, South Carolina",17%,± 1.7%
"Florence County, Wisconsin",14.40%,± 3.4%
"Florida Municipio, Puerto Rico",15.20%,± 6.2%
"Floyd County, Georgia",18.40%,± 1.5%
"Floyd County, Indiana",14.60%,± 1.4%
"Floyd County, Iowa",15.80%,± 3%
"Floyd County, Kentucky",19.10%,± 3.4%
"Floyd County, Texas",22.50%,± 4.4%
"Floyd County, Virginia",14%,± 2.4%
"Fluvanna County, Virginia",17.80%,± 3.3%
"Foard County, Texas",19.90%,± 6.7%
"Fond du Lac County, Wisconsin",15.90%,± 1.2%
"Ford County, Illinois",12.50%,± 2.2%
"Ford County, Kansas",17.10%,± 3.2%
"Forest County, Pennsylvania",23.60%,± 5%
"Forest County, Wisconsin",18.50%,± 2.4%
"Forrest County, Mississippi",19.10%,± 1.8%
"Forsyth County, Georgia",10.80%,± 0.6%
"Forsyth County, North Carolina",15.80%,± 0.8%
"Fort Bend County, Texas",12.50%,± 0.6%
"Foster County, North Dakota",13.30%,± 4.4%
"Fountain County, Indiana",18.10%,± 2.7%
"Franklin city, Virginia",22.80%,± 5.3%
"Franklin County, Alabama",14.80%,± 2.7%
"Franklin County, Arkansas",16.60%,± 3.7%
"Franklin County, Florida",20.30%,± 3.6%
"Franklin County, Georgia",16.30%,± 2.9%
"Franklin County, Idaho",17.40%,± 3.4%
"Franklin County, Illinois",20.90%,± 2%
"Franklin County, Indiana",14.50%,± 2.7%
"Franklin County, Iowa",16.20%,± 2.4%
"Franklin County, Kansas",15.30%,± 1.7%
"Franklin County, Kentucky",16.50%,± 2.2%
"Franklin County, Maine",20.10%,± 2.6%
"Franklin County, Massachusetts",16.60%,± 1.4%
"Franklin County, Mississippi",15.40%,± 4.9%
"Franklin County, Missouri",14.40%,± 1.3%
"Franklin County, Nebraska",16.50%,± 3.2%
"Franklin County, New York",21.80%,± 2%
"Franklin County, North Carolina",16.20%,± 1.7%
"Franklin County, Ohio",15.10%,± 0.4%
"Franklin County, Pennsylvania",14.80%,± 1.2%
"Franklin County, Tennessee",16.40%,± 2.1%
"Franklin County, Texas",16.10%,± 4.6%
"Franklin County, Vermont",12.60%,± 1.3%
"Franklin County, Virginia",17.30%,± 2.3%
"Franklin County, Washington",17%,± 2%
"Franklin Parish, Louisiana",17.20%,± 3.6%
"Frederick County, Maryland",14.90%,± 0.8%
"Frederick County, Virginia",15%,± 1.4%
"Fredericksburg city, Virginia",15.70%,± 2.4%
"Freeborn County, Minnesota",15.70%,± 1.8%
"Freestone County, Texas",19.60%,± 3.9%
"Fremont County, Colorado",24%,± 2.4%
"Fremont County, Idaho",15.20%,± 2.7%
"Fremont County, Iowa",19.40%,± 2.9%
"Fremont County, Wyoming",23.80%,± 2%
"Fresno County, California",19.30%,± 0.5%
"Frio County, Texas",24.90%,± 5.5%
"Frontier County, Nebraska",11.90%,± 2.8%
"Fulton County, Arkansas",24.30%,± 6.8%
"Fulton County, Georgia",11.80%,± 0.5%
"Fulton County, Illinois",18.50%,± 2.3%
"Fulton County, Indiana",15.90%,± 3.4%
"Fulton County, Kentucky",17.50%,± 7.1%
"Fulton County, New York",20.10%,± 2%
"Fulton County, Ohio",14.80%,± 1.5%
"Fulton County, Pennsylvania",15.90%,± 1.7%
"Furnas County, Nebraska",13.40%,± 3%
"Gadsden County, Florida",24.70%,± 3%
"Gage County, Nebraska",20.40%,± 2.5%
"Gaines County, Texas",11.70%,± 3.3%
"Galax city, Virginia",19.20%,± 7%
"Gallatin County, Illinois",14.40%,± 3.5%
"Gallatin County, Kentucky",18.50%,± 3.5%
"Gallatin County, Montana",17%,± 1.2%
"Gallia County, Ohio",19.80%,± 3.3%
"Galveston County, Texas",16.60%,± 0.9%
"Garden County, Nebraska",12.80%,± 5%
"Garfield County, Colorado",20.20%,± 2.2%
"Garfield County, Montana",9.10%,± 3.3%
"Garfield County, Nebraska",15.90%,± 5.5%
"Garfield County, Oklahoma",19.10%,± 1.9%
"Garfield County, Utah",30.60%,± 6.1%
"Garfield County, Washington",15.10%,± 6.3%
"Garland County, Arkansas",22.70%,± 2%
"Garrard County, Kentucky",17.90%,± 2.8%
"Garrett County, Maryland",18.50%,± 2.4%
"Garvin County, Oklahoma",15.60%,± 1.5%
"Garza County, Texas",18.40%,± 9.3%
"Gasconade County, Missouri",13.40%,± 2.4%
"Gaston County, North Carolina",15.10%,± 0.9%
"Gates County, North Carolina",19.10%,± 5.2%
"Geary County, Kansas",19.60%,± 2.9%
"Geauga County, Ohio",15%,± 1.4%
"Gem County, Idaho",13.10%,± 2.6%
"Genesee County, Michigan",18.60%,± 0.7%
"Genesee County, New York",17%,± 1.5%
"Geneva County, Alabama",16.80%,± 2.3%
"Gentry County, Missouri",19.50%,± 2.8%
"George County, Mississippi",15.30%,± 3.9%
"Georgetown County, South Carolina",24.70%,± 2%
"Gibson County, Indiana",13.70%,± 1.7%
"Gibson County, Tennessee",14.10%,± 2%
"Gila County, Arizona",24.20%,± 2.1%
"Gilchrist County, Florida",18.80%,± 3.4%
"Giles County, Tennessee",12.40%,± 1.8%
"Giles County, Virginia",18.90%,± 3.2%
"Gillespie County, Texas",19.60%,± 3.2%
"Gilliam County, Oregon",30%,± 8.8%
"Gilmer County, Georgia",15.90%,± 2.9%
"Gilmer County, West Virginia",17%,± 4.5%
"Gilpin County, Colorado",17.80%,± 5.7%
"Glacier County, Montana",26.60%,± 4.5%
"Glades County, Florida",15.40%,± 5.1%
"Gladwin County, Michigan",17.60%,± 2.1%
"Glascock County, Georgia",18.50%,± 4.8%
"Glasscock County, Texas",1.70%,± 2.5%
"Glenn County, California",17%,± 2.7%
"Gloucester County, New Jersey",13.60%,± 0.8%
"Gloucester County, Virginia",17.20%,± 2.5%
"Glynn County, Georgia",20.10%,± 1.8%
"Gogebic County, Michigan",18.80%,± 3.4%
"Golden Valley County, Montana",17.90%,± 4.5%
"Golden Valley County, North Dakota",18.40%,± 6.9%
"Goliad County, Texas",10.20%,± 4%
"Gonzales County, Texas",16.10%,± 3.4%
"Goochland County, Virginia",14.20%,± 2.8%
"Goodhue County, Minnesota",16.30%,± 1.6%
"Gooding County, Idaho",16.60%,± 3.2%
"Gordon County, Georgia",15.40%,± 2.5%
"Goshen County, Wyoming",16.10%,± 2.8%
"Gosper County, Nebraska",13.10%,± 3.9%
"Gove County, Kansas",15.60%,± 3.5%
"Grady County, Georgia",15.50%,± 3.2%
"Grady County, Oklahoma",14.30%,± 1.3%
"Grafton County, New Hampshire",18%,± 1.3%
"Graham County, Arizona",20.90%,± 3%
"Graham County, Kansas",16.10%,± 4.6%
"Graham County, North Carolina",29.60%,± 6%
"Grainger County, Tennessee",15.20%,± 2.8%
"Grand County, Colorado",18%,± 3.6%
"Grand County, Utah",26.80%,± 5.4%
"Grand Forks County, North Dakota",19.30%,± 1.5%
"Grand Isle County, Vermont",13.80%,± 3.1%
"Grand Traverse County, Michigan",17.10%,± 1.5%
"Granite County, Montana",20.20%,± 6.2%
"Grant County, Arkansas",14.90%,± 3.2%
"Grant County, Indiana",17.80%,± 1.8%
"Grant County, Kansas",16.30%,± 5.3%
"Grant County, Kentucky",15%,± 2.7%
"Grant County, Minnesota",18.10%,± 2.2%
"Grant County, Nebraska",11.10%,± 5.1%
"Grant County, New Mexico",16.90%,± 3.4%
"Grant County, North Dakota",13.20%,± 2.8%
"Grant County, Oklahoma",14.90%,± 4.3%
"Grant County, Oregon",21.80%,± 3.9%
"Grant County, South Dakota",16.50%,± 3.6%
"Grant County, Washington",16.40%,± 1.7%
"Grant County, West Virginia",18.90%,± 5%
"Grant County, Wisconsin",16.10%,± 1.1%
"Grant Parish, Louisiana",17.50%,± 3.6%
"Granville County, North Carolina",14.70%,± 1.7%
"Gratiot County, Michigan",19.60%,± 1.8%
"Graves County, Kentucky",12.30%,± 2%
"Gray County, Kansas",15.50%,± 3.2%
"Gray County, Texas",17.10%,± 2.5%
"Grays Harbor County, Washington",21.90%,± 1.7%
"Grayson County, Kentucky",14.30%,± 2.6%
"Grayson County, Texas",17.70%,± 1.4%
"Grayson County, Virginia",21.10%,± 3.1%
"Greater Bridgeport Planning Region, Connecticut",17.50%,± 0.8%
"Greeley County, Kansas",12.90%,± 5.5%
"Greeley County, Nebraska",14.20%,± 3.9%
"Green County, Kentucky",18.60%,± 4.2%
"Green County, Wisconsin",13%,± 1.4%
"Green Lake County, Wisconsin",14.50%,± 1.7%
"Greenbrier County, West Virginia",24.60%,± 3.1%
"Greene County, Alabama",14.70%,± 5.3%
"Greene County, Arkansas",14.20%,± 2.1%
"Greene County, Georgia",15.70%,± 3.2%
"Greene County, Illinois",22.50%,± 3.2%
"Greene County, Indiana",17.60%,± 2.5%
"Greene County, Iowa",15%,± 2.8%
"Greene County, Mississippi",15.70%,± 5.2%
"Greene County, Missouri",16.80%,± 0.9%
"Greene County, New York",19.70%,± 2%
"Greene County, North Carolina",18%,± 2.8%
"Greene County, Ohio",15.70%,± 1%
"Greene County, Pennsylvania",21.60%,± 2.4%
"Greene County, Tennessee",16.20%,± 2%
"Greene County, Virginia",14.50%,± 2.6%
"Greenlee County, Arizona",19.40%,± 3.9%
