Geography,Total—Total households—SELECTED HOUSEHOLDS BY TYPE—Householder living alone—65 years and over—Estimate,MoE
"Clay County, Minnesota",12.20%,± 1%
"Clay County, Mississippi",15%,± 2.6%
"Clay County, Missouri",9.90%,± 0.8%
"Clay County, Nebraska",13.40%,± 2.1%
"Clay County, North Carolina",21.30%,± 5%
"Clay County, South Dakota",9.40%,± 2.3%
"Clay County, Tennessee",17.80%,± 4.1%
"Clay County, Texas",13.20%,± 2.8%
"Clay County, West Virginia",14.20%,± 3.6%
"Clayton County, Georgia",7.50%,± 0.7%
"Clayton County, Iowa",14.90%,± 1.9%
"Clear Creek County, Colorado",18.60%,± 3.6%
"Clearfield County, Pennsylvania",15%,± 1.3%
"Clearwater County, Idaho",17.80%,± 2.4%
"Clearwater County, Minnesota",15.80%,± 2%
"Cleburne County, Alabama",17.30%,± 3.1%
"Cleburne County, Arkansas",16.20%,± 2.4%
"Clermont County, Ohio",12.90%,± 0.9%
"Cleveland County, Arkansas",16.70%,± 3.7%
"Cleveland County, North Carolina",13.80%,± 1.3%
"Cleveland County, Oklahoma",10.90%,± 0.9%
"Clinch County, Georgia",7.50%,± 3.1%
"Clinton County, Illinois",14.20%,± 1.6%
"Clinton County, Indiana",12.50%,± 1.8%
"Clinton County, Iowa",14.90%,± 1.3%
"Clinton County, Kentucky",14.70%,± 3.5%
"Clinton County, Michigan",10.90%,± 1.1%
"Clinton County, Missouri",12.70%,± 2.3%
"Clinton County, New York",12.50%,± 1.2%
"Clinton County, Ohio",13.80%,± 1.7%
"Clinton County, Pennsylvania",14.70%,± 1.4%
"Cloud County, Kansas",16.60%,± 2.9%
"Coahoma County, Mississippi",13.50%,± 2%
"Coal County, Oklahoma",18%,± 3.3%
"Coamo Municipio, Puerto Rico",14.50%,± 2.1%
"Cobb County, Georgia",7.70%,± 0.4%
"Cochise County, Arizona",18.20%,± 1.1%
"Cochran County, Texas",14%,± 4.5%
"Cocke County, Tennessee",13.10%,± 2%
"Coconino County, Arizona",8.70%,± 0.7%
"Codington County, South Dakota",14.50%,± 2.4%
"Coffee County, Alabama",13%,± 1.3%
"Coffee County, Georgia",10.80%,± 1.7%
"Coffee County, Tennessee",13.90%,± 1.7%
"Coffey County, Kansas",14.10%,± 2.3%
"Coke County, Texas",23.50%,± 5.4%
"Colbert County, Alabama",13.30%,± 1.6%
"Cole County, Missouri",14.80%,± 1.4%
"Coleman County, Texas",20.20%,± 4.5%
"Coles County, Illinois",12.80%,± 1.7%
"Colfax County, Nebraska",9.80%,± 2.6%
"Colfax County, New Mexico",19%,± 3.9%
"Colleton County, South Carolina",13.30%,± 2.2%
"Collier County, Florida",17.20%,± 1%
"Collin County, Texas",6.20%,± 0.3%
"Collingsworth County, Texas",14%,± 4.5%
"Colonial Heights city, Virginia",13.70%,± 2.3%
"Colorado County, Texas",16%,± 3.3%
"Colquitt County, Georgia",12.90%,± 2%
"Columbia County, Arkansas",15.90%,± 3.3%
"Columbia County, Florida",12.50%,± 1.3%
"Columbia County, Georgia",9.90%,± 1%
"Columbia County, New York",15.20%,± 1.7%
"Columbia County, Oregon",11.10%,± 1.5%
"Columbia County, Pennsylvania",14.20%,± 1.2%
"Columbia County, Washington",16.10%,± 4.5%
"Columbia County, Wisconsin",12.80%,± 1.1%
"Columbiana County, Ohio",15.30%,± 1.3%
"Columbus County, North Carolina",17.80%,± 1.9%
"Colusa County, California",15.50%,± 2.7%
"Comal County, Texas",8.30%,± 0.7%
"Comanche County, Kansas",25.30%,± 8.1%
"Comanche County, Oklahoma",10.10%,± 0.8%
"Comanche County, Texas",15.40%,± 2.7%
"Comerío Municipio, Puerto Rico",19.20%,± 3.7%
"Concho County, Texas",16.70%,± 6.3%
"Concordia Parish, Louisiana",19.10%,± 2.9%
"Conecuh County, Alabama",18.90%,± 4.9%
"Conejos County, Colorado",18.40%,± 2.7%
"Contra Costa County, California",10.60%,± 0.4%
"Converse County, Wyoming",14.50%,± 3.4%
"Conway County, Arkansas",13.80%,± 2.6%
"Cook County, Georgia",12.30%,± 2.6%
"Cook County, Illinois",11.90%,± 0.1%
"Cook County, Minnesota",13.70%,± 3.1%
"Cooke County, Texas",11.10%,± 1.5%
"Cooper County, Missouri",13.70%,± 1.9%
"Coos County, New Hampshire",17.40%,± 1.6%
"Coos County, Oregon",18%,± 1.8%
"Coosa County, Alabama",13.50%,± 3.2%
"Copiah County, Mississippi",12.30%,± 2.7%
"Copper River Census Area, Alaska",12.40%,± 4.9%
"Corozal Municipio, Puerto Rico",14.60%,± 2.8%
"Corson County, South Dakota",8.30%,± 1.9%
"Cortland County, New York",12%,± 1.4%
"Coryell County, Texas",9.20%,± 1.2%
"Coshocton County, Ohio",12.90%,± 1.6%
"Costilla County, Colorado",16.50%,± 4.5%
"Cottle County, Texas",25.40%,± 7%
"Cotton County, Oklahoma",17.60%,± 3.8%
"Cottonwood County, Minnesota",15.70%,± 2.4%
"Covington city, Virginia",16.80%,± 4.1%
"Covington County, Alabama",16.60%,± 1.7%
"Covington County, Mississippi",9.50%,± 2.7%
"Coweta County, Georgia",8.30%,± 1%
"Cowley County, Kansas",15.80%,± 1.9%
"Cowlitz County, Washington",13.70%,± 1.1%
"Craig County, Oklahoma",15.10%,± 1.9%
"Craig County, Virginia",10.90%,± 7%
"Craighead County, Arkansas",10.20%,± 0.9%
"Crane County, Texas",6.90%,± 4.3%
"Craven County, North Carolina",14.30%,± 1.4%
"Crawford County, Arkansas",11.20%,± 1.2%
"Crawford County, Georgia",13.60%,± 2.8%
"Crawford County, Illinois",13.50%,± 1.9%
"Crawford County, Indiana",11.60%,± 2.3%
"Crawford County, Iowa",12.70%,± 2.4%
"Crawford County, Kansas",12.60%,± 1.6%
"Crawford County, Michigan",15.30%,± 2.3%
"Crawford County, Missouri",14.90%,± 2.5%
"Crawford County, Ohio",14.90%,± 1.6%
"Crawford County, Pennsylvania",13.90%,± 1%
"Crawford County, Wisconsin",15.10%,± 1.9%
"Creek County, Oklahoma",11.90%,± 1.2%
"Crenshaw County, Alabama",14.10%,± 2.5%
"Crisp County, Georgia",15.60%,± 3.3%
"Crittenden County, Arkansas",9.80%,± 1.4%
"Crittenden County, Kentucky",18.50%,± 3.2%
"Crockett County, Tennessee",10.20%,± 2.3%
"Crockett County, Texas",7.50%,± 7.4%
"Crook County, Oregon",12.90%,± 2.5%
"Crook County, Wyoming",12.80%,± 3.6%
"Crosby County, Texas",8.40%,± 2.2%
"Cross County, Arkansas",12.90%,± 2.3%
"Crow Wing County, Minnesota",13.80%,± 1.1%
"Crowley County, Colorado",21.10%,± 4.5%
"Culberson County, Texas",31.80%,± 14.2%
"Culebra Municipio, Puerto Rico",24.80%,± 8.1%
"Cullman County, Alabama",12.60%,± 1.1%
"Culpeper County, Virginia",8.30%,± 1.6%
"Cumberland County, Illinois",16.50%,± 2.8%
"Cumberland County, Kentucky",18.70%,± 4.3%
"Cumberland County, Maine",13.20%,± 0.8%
"Cumberland County, New Jersey",12.80%,± 1.1%
"Cumberland County, North Carolina",10.20%,± 0.5%
"Cumberland County, Pennsylvania",12.90%,± 0.7%
"Cumberland County, Tennessee",15.50%,± 1.8%
"Cumberland County, Virginia",12.10%,± 4%
"Cuming County, Nebraska",15.40%,± 3.2%
"Currituck County, North Carolina",9.90%,± 1.7%
"Curry County, New Mexico",12.10%,± 1.6%
"Curry County, Oregon",17.20%,± 2.9%
"Custer County, Colorado",12.70%,± 4.8%
"Custer County, Idaho",13.40%,± 6.7%
"Custer County, Montana",15.20%,± 2.9%
"Custer County, Nebraska",15%,± 2.1%
"Custer County, Oklahoma",8.80%,± 1.5%
"Custer County, South Dakota",17.60%,± 4.7%
"Cuyahoga County, Ohio",15.20%,± 0.3%
"Dade County, Georgia",12.60%,± 3%
"Dade County, Missouri",15.60%,± 3.1%
"Daggett County, Utah",13.60%,± 6.4%
"Dakota County, Minnesota",10.80%,± 0.5%
"Dakota County, Nebraska",9.70%,± 2.7%
"Dale County, Alabama",13.60%,± 1.5%
"Dallam County, Texas",6.30%,± 5.2%
"Dallas County, Alabama",18.40%,± 2%
"Dallas County, Arkansas",22%,± 5%
"Dallas County, Iowa",8.30%,± 0.9%
"Dallas County, Missouri",11.10%,± 2.7%
"Dallas County, Texas",7.90%,± 0.2%
"Dane County, Wisconsin",9.90%,± 0.5%
"Daniels County, Montana",23.50%,± 6.2%
"Danville city, Virginia",18.80%,± 1.8%
"Dare County, North Carolina",14.80%,± 1.8%
"Darke County, Ohio",15.90%,± 1.7%
"Darlington County, South Carolina",14.30%,± 1.8%
"Dauphin County, Pennsylvania",11.70%,± 0.7%
"Davidson County, North Carolina",12.70%,± 1.1%
"Davidson County, Tennessee",10.20%,± 0.5%
"Davie County, North Carolina",14.50%,± 2.4%
"Daviess County, Indiana",11.30%,± 1.7%
"Daviess County, Kentucky",13.30%,± 1.1%
"Daviess County, Missouri",12.60%,± 2.9%
"Davis County, Iowa",11.70%,± 2.8%
"Davis County, Utah",6.40%,± 0.6%
"Davison County, South Dakota",16%,± 2.8%
"Dawes County, Nebraska",13.30%,± 3.8%
"Dawson County, Georgia",11.10%,± 2.5%
"Dawson County, Montana",16.60%,± 3.1%
"Dawson County, Nebraska",13.30%,± 1.8%
"Dawson County, Texas",13.50%,± 3.2%
"Day County, South Dakota",18.40%,± 2.9%
"De Baca County, New Mexico",27.40%,± 11.1%
"De Soto Parish, Louisiana",12.80%,± 3%
"De Witt County, Illinois",14.80%,± 2.3%
"Deaf Smith County, Texas",7.80%,± 2.4%
"Dearborn County, Indiana",12.50%,± 1.5%
"Decatur County, Georgia",12.50%,± 2.4%
"Decatur County, Indiana",10%,± 1.6%
"Decatur County, Iowa",12.90%,± 2.7%
"Decatur County, Kansas",23.60%,± 5.2%
"Decatur County, Tennessee",15.80%,± 3.2%
"Deer Lodge County, Montana",19.30%,± 3.7%
"Defiance County, Ohio",10.30%,± 1.4%
"DeKalb County, Alabama",12.70%,± 1.4%
"DeKalb County, Georgia",10.20%,± 0.4%
"DeKalb County, Illinois",9%,± 1%
"DeKalb County, Indiana",12.20%,± 1.9%
"DeKalb County, Missouri",18.90%,± 3.7%
"DeKalb County, Tennessee",12.70%,± 2.5%
"Del Norte County, California",13.70%,± 2.9%
"Delaware County, Indiana",12.10%,± 1.2%
"Delaware County, Iowa",11.90%,± 2.3%
"Delaware County, New York",17.50%,± 1.6%
"Delaware County, Ohio",8.80%,± 0.8%
"Delaware County, Oklahoma",16.20%,± 1.5%
"Delaware County, Pennsylvania",12.70%,± 0.6%
"Delta County, Colorado",16.70%,± 2.1%
"Delta County, Michigan",16.20%,± 1.4%
"Delta County, Texas",12.50%,± 4.9%
"Denali Borough, Alaska",19.20%,± 6.4%
"Dent County, Missouri",18.10%,± 2.6%
"Denton County, Texas",6%,± 0.4%
"Denver County, Colorado",9.80%,± 0.4%
"Des Moines County, Iowa",15.70%,± 1.8%
"Deschutes County, Oregon",10.90%,± 1%
"Desha County, Arkansas",18.40%,± 3%
"DeSoto County, Florida",13.40%,± 2.1%
"DeSoto County, Mississippi",7.60%,± 0.9%
"Deuel County, Nebraska",15.30%,± 3.3%
"Deuel County, South Dakota",16.30%,± 2.6%
"Dewey County, Oklahoma",12.60%,± 2.5%
"Dewey County, South Dakota",8.80%,± 1.7%
"DeWitt County, Texas",16.50%,± 2.5%
"Dickens County, Texas",16.10%,± 4.5%
"Dickenson County, Virginia",14.80%,± 3.3%
"Dickey County, North Dakota",12%,± 3.2%
"Dickinson County, Iowa",19.10%,± 2.4%
"Dickinson County, Kansas",15.10%,± 2.4%
"Dickinson County, Michigan",14.70%,± 1.9%
"Dickson County, Tennessee",12%,± 1.8%
"Dillingham Census Area, Alaska",7.70%,± 11.4%
"Dillon County, South Carolina",11.50%,± 2%
"Dimmit County, Texas",12.20%,± 4.9%
"Dinwiddie County, Virginia",11.50%,± 2.3%
"District of Columbia, District of Columbia",10.60%,± 0.4%
"Divide County, North Dakota",12.40%,± 4.7%
"Dixie County, Florida",16%,± 4.3%
"Dixon County, Nebraska",14.40%,± 2.3%
"Doddridge County, West Virginia",13.80%,± 3.9%
"Dodge County, Georgia",13.70%,± 3%
"Dodge County, Minnesota",8.70%,± 1.7%
"Dodge County, Nebraska",14.90%,± 1.8%
"Dodge County, Wisconsin",12.90%,± 1.1%
"Dolores County, Colorado",13.80%,± 7.6%
"Doña Ana County, New Mexico",10.10%,± 1.1%
"Doniphan County, Kansas",13.50%,± 3.4%
"Donley County, Texas",12.80%,± 4.9%
"Dooly County, Georgia",11.40%,± 4%
"Door County, Wisconsin",17.80%,± 1.8%
"Dorado Municipio, Puerto Rico",13.60%,± 2.2%
"Dorchester County, Maryland",15.50%,± 1.7%
"Dorchester County, South Carolina",8.60%,± 1%
"Dougherty County, Georgia",14.40%,± 1.3%
"Douglas County, Colorado",7%,± 0.5%
"Douglas County, Georgia",7.50%,± 0.9%
"Douglas County, Illinois",15.40%,± 2.3%
"Douglas County, Kansas",9%,± 0.9%
"Douglas County, Minnesota",13.20%,± 1.1%
"Douglas County, Missouri",15.80%,± 4.1%
"Douglas County, Nebraska",10.60%,± 0.4%
"Douglas County, Nevada",12.30%,± 1.3%
"Douglas County, Oregon",14.20%,± 1.2%
"Douglas County, South Dakota",13.70%,± 3.5%
"Douglas County, Washington",11.90%,± 1.6%
"Douglas County, Wisconsin",13.80%,± 1.4%
"Drew County, Arkansas",17%,± 3.4%
"Dubois County, Indiana",12.30%,± 2%
"Dubuque County, Iowa",12.60%,± 1.1%
"Duchesne County, Utah",6.90%,± 1.2%
"Dukes County, Massachusetts",17.60%,± 4%
"Dundy County, Nebraska",18.90%,± 5.2%
"Dunklin County, Missouri",15.30%,± 1.7%
"Dunn County, North Dakota",15.80%,± 4%
"Dunn County, Wisconsin",13.10%,± 1.4%
"DuPage County, Illinois",10.80%,± 0.4%
"Duplin County, North Carolina",12.90%,± 1.6%
"Durham County, North Carolina",9.60%,± 0.7%
"Dutchess County, New York",13.60%,± 0.8%
"Duval County, Florida",10%,± 0.4%
"Duval County, Texas",16.60%,± 4.6%
"Dyer County, Tennessee",14%,± 2%
"Eagle County, Colorado",7.20%,± 1.7%
"Early County, Georgia",12.80%,± 3.4%
"East Baton Rouge Parish, Louisiana",11.30%,± 0.7%
"East Carroll Parish, Louisiana",15.50%,± 4.8%
"East Feliciana Parish, Louisiana",18.20%,± 3.3%
"Eastland County, Texas",16.90%,± 3.2%
"Eaton County, Michigan",12.40%,± 0.9%
"Eau Claire County, Wisconsin",12%,± 1%
"Echols County, Georgia",8.30%,± 5.2%
"Ector County, Texas",9%,± 0.9%
"Eddy County, New Mexico",11.40%,± 1.4%
"Eddy County, North Dakota",21.30%,± 4.8%
"Edgar County, Illinois",13.90%,± 2.3%
"Edgecombe County, North Carolina",16.40%,± 1.6%
"Edgefield County, South Carolina",12.90%,± 2.2%
"Edmonson County, Kentucky",13.20%,± 3.3%
"Edmunds County, South Dakota",13%,± 3.7%
"Edwards County, Illinois",11.70%,± 2.8%
"Edwards County, Kansas",19.40%,± 3.4%
"Edwards County, Texas",35.20%,± 11.8%
"Effingham County, Georgia",5.80%,± 1.1%
"Effingham County, Illinois",12%,± 1.4%
"El Dorado County, California",12.20%,± 1%
"El Paso County, Colorado",8.80%,± 0.4%
"El Paso County, Texas",9%,± 0.4%
"Elbert County, Colorado",6.80%,± 1.7%
"Elbert County, Georgia",14.30%,± 2.7%
"Elk County, Kansas",18%,± 4.8%
"Elk County, Pennsylvania",16.30%,± 1.7%
"Elkhart County, Indiana",10.80%,± 0.8%
"Elko County, Nevada",7.30%,± 1.3%
"Elliott County, Kentucky",13%,± 4.7%
"Ellis County, Kansas",13%,± 2.2%
"Ellis County, Oklahoma",20.20%,± 5.6%
"Ellis County, Texas",7.20%,± 0.8%
"Ellsworth County, Kansas",18.80%,± 4.4%
"Elmore County, Alabama",10.50%,± 1.3%
"Elmore County, Idaho",11%,± 2.5%
"Emanuel County, Georgia",13.60%,± 2.6%
"Emery County, Utah",9.60%,± 2.4%
"Emmet County, Iowa",17%,± 3.4%
"Emmet County, Michigan",12.20%,± 1.4%
"Emmons County, North Dakota",20.50%,± 3.3%
"Emporia city, Virginia",18.10%,± 5.7%
"Erath County, Texas",11.20%,± 1.4%
"Erie County, New York",14.50%,± 0.4%
"Erie County, Ohio",14%,± 1.2%
"Erie County, Pennsylvania",14.10%,± 0.8%
"Escambia County, Alabama",17.20%,± 2.2%
"Escambia County, Florida",11.70%,± 0.6%
"Esmeralda County, Nevada",11.10%,± 6.7%
"Essex County, Massachusetts",12.60%,± 0.4%
"Essex County, New Jersey",11.20%,± 0.4%
"Essex County, New York",16.10%,± 1.6%
"Essex County, Vermont",19.30%,± 3%
"Essex County, Virginia",16.60%,± 3.3%
"Estill County, Kentucky",13%,± 3.1%
"Etowah County, Alabama",14.90%,± 1.1%
"Eureka County, Nevada",4.60%,± 5%
"Evangeline Parish, Louisiana",13.60%,± 2%
"Evans County, Georgia",14.30%,± 3.2%
"Fairbanks North Star Borough, Alaska",8.90%,± 1.3%
"Fairfax city, Virginia",8.40%,± 1.7%
"Fairfax County, Virginia",8.70%,± 0.3%
"Fairfield County, Ohio",10.70%,± 0.9%
"Fairfield County, South Carolina",13.60%,± 3%
"Fajardo Municipio, Puerto Rico",16.10%,± 2.4%
"Fall River County, South Dakota",18.90%,± 3.9%
"Fallon County, Montana",10.30%,± 4.5%
"Falls Church city, Virginia",11%,± 3.3%
"Falls County, Texas",19.70%,± 3.1%
"Fannin County, Georgia",14.40%,± 2.6%
"Fannin County, Texas",13.50%,± 1.5%
"Faribault County, Minnesota",15%,± 1.9%
"Faulk County, South Dakota",21.80%,± 6.8%
"Faulkner County, Arkansas",8.20%,± 0.9%
"Fauquier County, Virginia",10.80%,± 1.2%
"Fayette County, Alabama",16.40%,± 3.2%
"Fayette County, Georgia",10.40%,± 1.2%
"Fayette County, Illinois",15.40%,± 1.8%
"Fayette County, Indiana",14.60%,± 2.3%
"Fayette County, Iowa",17%,± 1.8%
"Fayette County, Kentucky",10.80%,± 0.6%
"Fayette County, Ohio",13.40%,± 2%
"Fayette County, Pennsylvania",15.20%,± 0.9%
"Fayette County, Tennessee",11.50%,± 1.7%
"Fayette County, Texas",15.90%,± 2.7%
"Fayette County, West Virginia",15.60%,± 2.1%
"Fentress County, Tennessee",16.60%,± 3.5%
"Fergus County, Montana",15.60%,± 3.8%
"Ferry County, Washington",22.10%,± 4.1%
"Fillmore County, Minnesota",13.90%,± 1.2%
"Fillmore County, Nebraska",16.10%,± 2.6%
"Finney County, Kansas",9.50%,± 1.6%
"Fisher County, Texas",17.20%,± 3.5%
"Flagler County, Florida",13%,± 1.5%
"Flathead County, Montana",14.60%,± 1.3%
"Fleming County, Kentucky",15.10%,± 2.9%
"Florence County, South Carolina",12.70%,± 1.1%
"Florence County, Wisconsin",11.90%,± 3.1%
"Florida Municipio, Puerto Rico",11.30%,± 3.8%
"Floyd County, Georgia",12%,± 1.4%
"Floyd County, Indiana",10.80%,± 1.2%
"Floyd County, Iowa",15.20%,± 2.9%
"Floyd County, Kentucky",12.20%,± 2%
"Floyd County, Texas",14.90%,± 3.2%
"Floyd County, Virginia",17.20%,± 3.8%
"Fluvanna County, Virginia",12.20%,± 2.5%
"Foard County, Texas",19%,± 9%
"Fond du Lac County, Wisconsin",12.80%,± 1.1%
"Ford County, Illinois",13.10%,± 2.2%
"Ford County, Kansas",10.50%,± 1.7%
"Forest County, Pennsylvania",22.70%,± 3.1%
"Forest County, Wisconsin",15.10%,± 1.6%
"Forrest County, Mississippi",9.80%,± 1.3%
"Forsyth County, Georgia",6.20%,± 0.5%
"Forsyth County, North Carolina",11.90%,± 0.6%
"Fort Bend County, Texas",5.30%,± 0.4%
"Foster County, North Dakota",14.30%,± 4.3%
"Fountain County, Indiana",13.60%,± 2.1%
"Franklin city, Virginia",13.40%,± 3.9%
"Franklin County, Alabama",13.60%,± 2%
"Franklin County, Arkansas",15.70%,± 3.1%
"Franklin County, Florida",16.80%,± 3.3%
"Franklin County, Georgia",9.70%,± 2.1%
"Franklin County, Idaho",6.60%,± 2.5%
"Franklin County, Illinois",17.30%,± 1.6%
"Franklin County, Indiana",14.90%,± 2.7%
"Franklin County, Iowa",12.70%,± 2.8%
"Franklin County, Kansas",9.80%,± 1.9%
"Franklin County, Kentucky",13.80%,± 1.9%
"Franklin County, Maine",14.30%,± 2.2%
"Franklin County, Massachusetts",16.50%,± 1.1%
"Franklin County, Mississippi",14.40%,± 4.4%
"Franklin County, Missouri",12.70%,± 1.2%
"Franklin County, Nebraska",13.10%,± 2.8%
"Franklin County, New York",14.80%,± 1.8%
"Franklin County, North Carolina",10.30%,± 1.6%
"Franklin County, Ohio",9.50%,± 0.3%
"Franklin County, Pennsylvania",12.80%,± 1%
"Franklin County, Tennessee",14.20%,± 1.7%
"Franklin County, Texas",12.10%,± 3.4%
"Franklin County, Vermont",12.90%,± 1.5%
"Franklin County, Virginia",15.10%,± 2.4%
"Franklin County, Washington",7.30%,± 1.2%
"Franklin Parish, Louisiana",14.60%,± 2.7%
"Frederick County, Maryland",9.40%,± 0.6%
"Frederick County, Virginia",11.60%,± 1.3%
"Fredericksburg city, Virginia",12.10%,± 1.9%
"Freeborn County, Minnesota",16.20%,± 1.5%
"Freestone County, Texas",15.90%,± 2.8%
"Fremont County, Colorado",14.70%,± 1.9%
"Fremont County, Idaho",9.20%,± 2.7%
"Fremont County, Iowa",11.70%,± 2.5%
"Fremont County, Wyoming",13.60%,± 1.5%
"Fresno County, California",9.50%,± 0.4%
"Frio County, Texas",15%,± 4.9%
"Frontier County, Nebraska",17.30%,± 3.9%
"Fulton County, Arkansas",19.60%,± 3.4%
"Fulton County, Georgia",9.40%,± 0.4%
"Fulton County, Illinois",13.80%,± 1.4%
"Fulton County, Indiana",13.30%,± 2.3%
"Fulton County, Kentucky",14.60%,± 4.7%
"Fulton County, New York",13.70%,± 1.6%
"Fulton County, Ohio",12.50%,± 1.4%
"Fulton County, Pennsylvania",14.60%,± 1.5%
"Furnas County, Nebraska",18.10%,± 2.3%
"Gadsden County, Florida",14.80%,± 2.1%
"Gage County, Nebraska",17.20%,± 1.8%
"Gaines County, Texas",9.10%,± 2.8%
"Galax city, Virginia",17.90%,± 4.9%
"Gallatin County, Illinois",17.70%,± 4.1%
"Gallatin County, Kentucky",10.20%,± 2.9%
"Gallatin County, Montana",7.50%,± 1%
"Gallia County, Ohio",14.80%,± 2.2%
"Galveston County, Texas",9.90%,± 0.6%
"Garden County, Nebraska",21%,± 5.9%
"Garfield County, Colorado",9%,± 1.4%
"Garfield County, Montana",12.10%,± 5.2%
"Garfield County, Nebraska",14.10%,± 5.3%
"Garfield County, Oklahoma",12.40%,± 1.7%
"Garfield County, Utah",14.10%,± 4.2%
"Garfield County, Washington",20.60%,± 5.8%
"Garland County, Arkansas",16.30%,± 1.2%
"Garrard County, Kentucky",9.90%,± 2.4%
"Garrett County, Maryland",15.90%,± 2.1%
"Garvin County, Oklahoma",13.90%,± 1.6%
"Garza County, Texas",18.20%,± 7.6%
"Gasconade County, Missouri",13.60%,± 2.5%
"Gaston County, North Carolina",12.50%,± 0.7%
"Gates County, North Carolina",18.20%,± 4%
"Geary County, Kansas",6.70%,± 1.3%
"Geauga County, Ohio",11.30%,± 1.2%
"Gem County, Idaho",15.20%,± 2.9%
"Genesee County, Michigan",13.50%,± 0.7%
"Genesee County, New York",14.10%,± 1.3%
"Geneva County, Alabama",14.90%,± 2.5%
"Gentry County, Missouri",16.40%,± 2.8%
"George County, Mississippi",10.60%,± 2.5%
"Georgetown County, South Carolina",16.90%,± 2%
"Gibson County, Indiana",11.50%,± 1.7%
"Gibson County, Tennessee",12.30%,± 1.6%
"Gila County, Arizona",20%,± 2.3%
"Gilchrist County, Florida",10.40%,± 2.2%
"Giles County, Tennessee",15.60%,± 2.5%
"Giles County, Virginia",16.20%,± 3.1%
"Gillespie County, Texas",17.30%,± 3%
"Gilliam County, Oregon",24%,± 7.1%
"Gilmer County, Georgia",13.60%,± 2.4%
"Gilmer County, West Virginia",12.90%,± 4.1%
"Gilpin County, Colorado",8.20%,± 3.6%
"Glacier County, Montana",10.30%,± 2.3%
"Glades County, Florida",13.20%,± 3.9%
"Gladwin County, Michigan",16.20%,± 1.5%
"Glascock County, Georgia",11.20%,± 4.5%
"Glasscock County, Texas",6%,± 4.6%
"Glenn County, California",10.10%,± 2%
"Gloucester County, New Jersey",11.10%,± 0.7%
"Gloucester County, Virginia",10.50%,± 2.1%
"Glynn County, Georgia",12.80%,± 1.4%
"Gogebic County, Michigan",19.50%,± 2.5%
"Golden Valley County, Montana",19.20%,± 4.6%
"Golden Valley County, North Dakota",15.30%,± 5.1%
"Goliad County, Texas",18.90%,± 5%
"Gonzales County, Texas",10.70%,± 2.1%
"Goochland County, Virginia",11%,± 2%
"Goodhue County, Minnesota",13.90%,± 1.3%
"Gooding County, Idaho",13%,± 2.7%
"Gordon County, Georgia",11.10%,± 1.5%
"Goshen County, Wyoming",20.10%,± 3.2%
"Gosper County, Nebraska",10.90%,± 4.1%
"Gove County, Kansas",17.60%,± 3.2%
"Grady County, Georgia",15.20%,± 2.3%
"Grady County, Oklahoma",11.40%,± 1.3%
"Grafton County, New Hampshire",15.10%,± 1.3%
"Graham County, Arizona",9%,± 1.5%
"Graham County, Kansas",21%,± 4.8%
"Graham County, North Carolina",13.30%,± 3.8%
"Grainger County, Tennessee",14.20%,± 2.2%
"Grand County, Colorado",13.70%,± 3.8%
"Grand County, Utah",16.10%,± 4.6%
"Grand Forks County, North Dakota",11.90%,± 1.4%
"Grand Isle County, Vermont",10.90%,± 2.1%
"Grand Traverse County, Michigan",14.40%,± 1.2%
"Granite County, Montana",19.10%,± 5.3%
"Grant County, Arkansas",12.50%,± 2.7%
"Grant County, Indiana",13.80%,± 1.3%
"Grant County, Kansas",6.90%,± 3.6%
"Grant County, Kentucky",7.70%,± 1.9%
"Grant County, Minnesota",14.70%,± 1.9%
"Grant County, Nebraska",15.30%,± 6.8%
"Grant County, New Mexico",19.30%,± 2.5%
"Grant County, North Dakota",22%,± 3.7%
"Grant County, Oklahoma",18.80%,± 3.9%
"Grant County, Oregon",21.70%,± 4.3%
"Grant County, South Dakota",15.90%,± 3.9%
"Grant County, Washington",11.20%,± 1.2%
"Grant County, West Virginia",19%,± 3.7%
"Grant County, Wisconsin",12.40%,± 0.9%
"Grant Parish, Louisiana",13.20%,± 3%
"Granville County, North Carolina",11.10%,± 1.6%
"Gratiot County, Michigan",12.90%,± 1.4%
"Graves County, Kentucky",13.60%,± 1.7%
"Gray County, Kansas",13.30%,± 3%
"Gray County, Texas",11.60%,± 2.4%
"Grays Harbor County, Washington",15.40%,± 1.6%
"Grayson County, Kentucky",17%,± 2.5%
"Grayson County, Texas",12.20%,± 1%
"Grayson County, Virginia",15.20%,± 2.5%
"Greater Bridgeport Planning Region, Connecticut",13%,± 0.8%
"Greeley County, Kansas",12.10%,± 4.7%
"Greeley County, Nebraska",19.10%,± 3.9%
"Green County, Kentucky",13.40%,± 2.7%
"Green County, Wisconsin",14%,± 1.5%
"Green Lake County, Wisconsin",14.10%,± 1.3%
"Greenbrier County, West Virginia",19.40%,± 2.3%
"Greene County, Alabama",26.90%,± 6.5%
"Greene County, Arkansas",13.20%,± 2%
"Greene County, Georgia",15.40%,± 2.6%
"Greene County, Illinois",16.10%,± 2%
"Greene County, Indiana",13.80%,± 1.8%
"Greene County, Iowa",19.90%,± 3%
"Greene County, Mississippi",13.80%,± 3.3%
"Greene County, Missouri",12.20%,± 0.6%
"Greene County, New York",17.90%,± 1.8%
"Greene County, North Carolina",15.50%,± 2.7%
"Greene County, Ohio",11%,± 0.7%
