Geography,Percent—Total population—SELECTED AGE CATEGORIES—65 years and over—Estimate,MoE
"Clay County, Nebraska",20.30%,± 0.4%
"Clay County, North Carolina",31.90%,± 1%
"Clay County, South Dakota",11.90%,± 0.3%
"Clay County, Tennessee",24.20%,± 0.9%
"Clay County, Texas",22.30%,± 0.4%
"Clay County, West Virginia",21.20%,± 0.3%
"Clayton County, Georgia",10%,± 0.1%
"Clayton County, Iowa",24.10%,± 0.2%
"Clear Creek County, Colorado",21.10%,± 0.6%
"Clearfield County, Pennsylvania",21.10%,± 0.1%
"Clearwater County, Idaho",28.40%,± 0.5%
"Clearwater County, Minnesota",20.70%,± 0.2%
"Cleburne County, Alabama",19.60%,± 0.6%
"Cleburne County, Arkansas",27.40%,± 0.4%
"Clermont County, Ohio",17.40%,± 0.1%
"Cleveland County, Arkansas",20.80%,± 0.5%
"Cleveland County, North Carolina",18.70%,± 0.1%
"Cleveland County, Oklahoma",14.10%,± 0.1%
"Clinch County, Georgia",15.50%,± 1%
"Clinton County, Illinois",17.70%,± 0.2%
"Clinton County, Indiana",16.40%,± 0.4%
"Clinton County, Iowa",19.80%,± 0.1%
"Clinton County, Kentucky",20%,± 0.7%
"Clinton County, Michigan",17.80%,± 0.1%
"Clinton County, Missouri",18%,± 0.2%
"Clinton County, New York",17.80%,± 0.2%
"Clinton County, Ohio",17.70%,± 0.2%
"Clinton County, Pennsylvania",19.30%,± 0.2%
"Cloud County, Kansas",20.90%,± 0.5%
"Coahoma County, Mississippi",15.80%,± 0.1%
"Coal County, Oklahoma",20.70%,± 0.2%
"Coamo Municipio, Puerto Rico",19.70%,*****
"Cobb County, Georgia",13%,± 0.1%
"Cochise County, Arizona",23.20%,± 0.1%
"Cochran County, Texas",16.80%,± 1.3%
"Cocke County, Tennessee",21.70%,± 0.3%
"Coconino County, Arizona",13.40%,± 0.1%
"Codington County, South Dakota",18.40%,± 0.2%
"Coffee County, Alabama",17.10%,± 0.1%
"Coffee County, Georgia",14.70%,± 0.4%
"Coffee County, Tennessee",17.40%,± 0.3%
"Coffey County, Kansas",21.70%,± 0.3%
"Coke County, Texas",27.20%,± 1.4%
"Colbert County, Alabama",20%,± 0.1%
"Cole County, Missouri",17.30%,± 0.2%
"Coleman County, Texas",25.50%,± 1.1%
"Coles County, Illinois",18%,± 0.2%
"Colfax County, Nebraska",13.30%,± 1.3%
"Colfax County, New Mexico",27.50%,± 0.4%
"Colleton County, South Carolina",19.90%,± 0.2%
"Collier County, Florida",32.80%,± 0.1%
"Collin County, Texas",11.20%,± 0.1%
"Collingsworth County, Texas",20.40%,± 2.9%
"Colonial Heights city, Virginia",18.80%,± 0.4%
"Colorado County, Texas",22.30%,*****
"Colquitt County, Georgia",15.30%,± 0.3%
"Columbia County, Arkansas",17.20%,± 0.4%
"Columbia County, Florida",19.60%,± 0.1%
"Columbia County, Georgia",14.60%,± 0.1%
"Columbia County, New York",24.80%,± 0.2%
"Columbia County, Oregon",19.40%,± 0.2%
"Columbia County, Pennsylvania",19.90%,± 0.1%
"Columbia County, Washington",28.90%,± 1.4%
"Columbia County, Wisconsin",18.70%,± 0.1%
"Columbiana County, Ohio",20.90%,± 0.1%
"Columbus County, North Carolina",20.10%,± 0.2%
"Colusa County, California",15.10%,± 0.4%
"Comal County, Texas",18.30%,± 0.1%
"Comanche County, Kansas",26.70%,± 4%
"Comanche County, Oklahoma",13.10%,± 0.1%
"Comanche County, Texas",23.50%,± 0.2%
"Comerío Municipio, Puerto Rico",20%,*****
"Concho County, Texas",24.50%,± 2%
"Concordia Parish, Louisiana",18.60%,± 0.1%
"Conecuh County, Alabama",23.40%,*****
"Conejos County, Colorado",19.50%,± 0.6%
"Contra Costa County, California",16.40%,*****
"Converse County, Wyoming",17.50%,± 0.5%
"Conway County, Arkansas",19.50%,± 0.2%
"Cook County, Georgia",16.20%,± 0.1%
"Cook County, Illinois",15.20%,± 0.1%
"Cook County, Minnesota",29.30%,± 0.1%
"Cooke County, Texas",18.90%,± 0.4%
"Cooper County, Missouri",18.60%,± 0.3%
"Coos County, New Hampshire",24.90%,± 0.2%
"Coos County, Oregon",26.80%,± 0.2%
"Coosa County, Alabama",24.40%,± 0.4%
"Copiah County, Mississippi",18.20%,± 0.1%
"Copper River Census Area, Alaska",17.20%,± 3.3%
"Corozal Municipio, Puerto Rico",19.60%,*****
"Corson County, South Dakota",11.60%,*****
"Cortland County, New York",16.50%,± 0.1%
"Coryell County, Texas",10.70%,± 0.1%
"Coshocton County, Ohio",19.50%,± 0.2%
"Costilla County, Colorado",27.80%,± 1.1%
"Cottle County, Texas",21.90%,± 6.2%
"Cotton County, Oklahoma",18.70%,± 0.9%
"Cottonwood County, Minnesota",22.70%,± 0.3%
"Covington city, Virginia",19.10%,± 1.1%
"Covington County, Alabama",21.70%,± 0.2%
"Covington County, Mississippi",17.30%,± 0.4%
"Coweta County, Georgia",14.40%,± 0.1%
"Cowley County, Kansas",18.50%,± 0.3%
"Cowlitz County, Washington",19.20%,± 0.1%
"Craig County, Oklahoma",18.80%,± 0.2%
"Craig County, Virginia",19.20%,± 4.6%
"Craighead County, Arkansas",13.60%,± 0.2%
"Crane County, Texas",14%,± 2.6%
"Craven County, North Carolina",19.80%,± 0.2%
"Crawford County, Arkansas",17.20%,± 0.2%
"Crawford County, Georgia",18.70%,± 0.1%
"Crawford County, Illinois",19.40%,± 0.2%
"Crawford County, Indiana",20%,± 0.2%
"Crawford County, Iowa",17.70%,± 0.6%
"Crawford County, Kansas",15.50%,± 0.2%
"Crawford County, Michigan",25.90%,± 0.3%
"Crawford County, Missouri",20.30%,± 0.3%
"Crawford County, Ohio",20.60%,± 0.1%
"Crawford County, Pennsylvania",21.60%,± 0.1%
"Crawford County, Wisconsin",24.20%,± 0.2%
"Creek County, Oklahoma",18.10%,± 0.1%
"Crenshaw County, Alabama",19.80%,± 0.6%
"Crisp County, Georgia",19.30%,± 0.6%
"Crittenden County, Arkansas",14.60%,± 0.1%
"Crittenden County, Kentucky",20.50%,± 0.3%
"Crockett County, Tennessee",19%,± 0.4%
"Crockett County, Texas",23.50%,± 6.5%
"Crook County, Oregon",24.70%,± 0.4%
"Crook County, Wyoming",21.60%,± 0.6%
"Crosby County, Texas",18.40%,± 0.3%
"Cross County, Arkansas",18.50%,± 0.2%
"Crow Wing County, Minnesota",23.50%,± 0.1%
"Crowley County, Colorado",14.40%,± 1.3%
"Culberson County, Texas",21.70%,± 9.8%
"Culebra Municipio, Puerto Rico",21.90%,± 6.6%
"Cullman County, Alabama",18.80%,± 0.1%
"Culpeper County, Virginia",16.20%,± 0.3%
"Cumberland County, Illinois",20.40%,± 0.4%
"Cumberland County, Kentucky",22%,± 0.5%
"Cumberland County, Maine",19.50%,± 0.1%
"Cumberland County, New Jersey",15.60%,± 0.1%
"Cumberland County, North Carolina",12.50%,± 0.1%
"Cumberland County, Pennsylvania",18.70%,± 0.1%
"Cumberland County, Tennessee",31.50%,± 0.2%
"Cumberland County, Virginia",22.70%,*****
"Cuming County, Nebraska",21.60%,± 0.2%
"Currituck County, North Carolina",16.70%,± 0.3%
"Curry County, New Mexico",12.80%,± 0.3%
"Curry County, Oregon",34.40%,± 0.5%
"Custer County, Colorado",29.70%,± 4.1%
"Custer County, Idaho",33.60%,± 3.7%
"Custer County, Montana",20.50%,± 0.5%
"Custer County, Nebraska",22.10%,± 0.1%
"Custer County, Oklahoma",13.80%,± 0.3%
"Custer County, South Dakota",31.50%,± 0.7%
"Cuyahoga County, Ohio",18.70%,± 0.1%
"Dade County, Georgia",19.90%,± 0.4%
"Dade County, Missouri",24.50%,± 0.5%
"Daggett County, Utah",18.50%,± 5.5%
"Dakota County, Minnesota",15%,± 0.1%
"Dakota County, Nebraska",13.20%,± 0.7%
"Dale County, Alabama",17.50%,± 0.3%
"Dallam County, Texas",9.50%,± 1.4%
"Dallas County, Alabama",19.40%,± 0.4%
"Dallas County, Arkansas",24.50%,*****
"Dallas County, Iowa",12.20%,± 0.2%
"Dallas County, Missouri",20.60%,± 0.5%
"Dallas County, Texas",11.20%,± 0.1%
"Dane County, Wisconsin",14.40%,± 0.1%
"Daniels County, Montana",29.80%,± 4.6%
"Danville city, Virginia",21.10%,± 0.2%
"Dare County, North Carolina",23%,± 0.2%
"Darke County, Ohio",20%,± 0.1%
"Darlington County, South Carolina",19.20%,± 0.1%
"Dauphin County, Pennsylvania",17.50%,± 0.1%
"Davidson County, North Carolina",18.50%,± 0.1%
"Davidson County, Tennessee",12.80%,± 0.1%
"Davie County, North Carolina",21.40%,± 0.2%
"Daviess County, Indiana",15.70%,± 0.3%
"Daviess County, Kentucky",17.20%,± 0.1%
"Daviess County, Missouri",20.90%,± 0.1%
"Davis County, Iowa",17.80%,± 0.3%
"Davis County, Utah",10.50%,± 0.1%
"Davison County, South Dakota",20%,± 0.5%
"Dawes County, Nebraska",18.90%,± 0.6%
"Dawson County, Georgia",19.70%,± 0.2%
"Dawson County, Montana",20.50%,± 0.5%
"Dawson County, Nebraska",16.80%,± 0.4%
"Dawson County, Texas",14.10%,*****
"Day County, South Dakota",26.10%,± 0.4%
"De Baca County, New Mexico",21.10%,± 7%
"De Soto Parish, Louisiana",18.20%,± 0.3%
"De Witt County, Illinois",19.60%,± 0.2%
"Deaf Smith County, Texas",12.90%,± 0.3%
"Dearborn County, Indiana",18.20%,± 0.2%
"Decatur County, Georgia",16.70%,± 0.2%
"Decatur County, Indiana",17.40%,± 0.3%
"Decatur County, Iowa",20.70%,± 0.3%
"Decatur County, Kansas",28.20%,± 0.8%
"Decatur County, Tennessee",23.50%,± 0.5%
"Deer Lodge County, Montana",24.90%,± 0.4%
"Defiance County, Ohio",19%,± 0.2%
"DeKalb County, Alabama",17.30%,± 0.2%
"DeKalb County, Georgia",13.10%,± 0.1%
"DeKalb County, Illinois",13.50%,± 0.1%
"DeKalb County, Indiana",16.60%,± 0.1%
"DeKalb County, Missouri",18.10%,± 0.6%
"DeKalb County, Tennessee",18.70%,± 0.5%
"Del Norte County, California",19.20%,± 0.4%
"Delaware County, Indiana",17.30%,± 0.1%
"Delaware County, Iowa",20.30%,± 0.2%
"Delaware County, New York",25.20%,± 0.2%
"Delaware County, Ohio",14.40%,± 0.1%
"Delaware County, Oklahoma",25%,± 0.1%
"Delaware County, Pennsylvania",16.70%,*****
"Delta County, Colorado",26.90%,± 0.2%
"Delta County, Michigan",24.90%,± 0.2%
"Delta County, Texas",20.30%,± 1%
"Denali Borough, Alaska",14.10%,± 3.3%
"Dent County, Missouri",21.60%,± 0.4%
"Denton County, Texas",10.90%,± 0.1%
"Denver County, Colorado",12%,± 0.1%
"Des Moines County, Iowa",20.70%,± 0.3%
"Deschutes County, Oregon",20.50%,± 0.1%
"Desha County, Arkansas",19.20%,± 0.1%
"DeSoto County, Florida",22.30%,± 0.3%
"DeSoto County, Mississippi",13.10%,± 0.1%
"Deuel County, Nebraska",25.90%,± 2.6%
"Deuel County, South Dakota",21.90%,± 0.6%
"Dewey County, Oklahoma",18.70%,± 0.4%
"Dewey County, South Dakota",9.60%,*****
"DeWitt County, Texas",19.60%,± 0.4%
"Dickens County, Texas",23.90%,± 3.8%
"Dickenson County, Virginia",23.40%,± 0.3%
"Dickey County, North Dakota",19.10%,± 0.7%
"Dickinson County, Iowa",27%,± 0.1%
"Dickinson County, Kansas",20.60%,± 0.4%
"Dickinson County, Michigan",23.10%,± 0.3%
"Dickson County, Tennessee",16.30%,± 0.3%
"Dillingham Census Area, Alaska",11.70%,± 6.1%
"Dillon County, South Carolina",16.90%,± 0.2%
"Dimmit County, Texas",17%,± 0.5%
"Dinwiddie County, Virginia",18.50%,± 0.2%
"District of Columbia, District of Columbia",12.60%,± 0.1%
"Divide County, North Dakota",24.10%,± 3.3%
"Dixie County, Florida",23.70%,± 0.6%
"Dixon County, Nebraska",20.70%,± 0.4%
"Doddridge County, West Virginia",20.80%,± 0.2%
"Dodge County, Georgia",19%,± 0.2%
"Dodge County, Minnesota",15.20%,± 0.1%
"Dodge County, Nebraska",19.40%,± 0.4%
"Dodge County, Wisconsin",18.20%,± 0.1%
"Dolores County, Colorado",35.70%,± 9.5%
"Doña Ana County, New Mexico",16.10%,± 0.1%
"Doniphan County, Kansas",19.50%,± 0.4%
"Donley County, Texas",23.80%,± 1.5%
"Dooly County, Georgia",21.50%,± 0.7%
"Door County, Wisconsin",30.60%,± 0.2%
"Dorado Municipio, Puerto Rico",18.70%,*****
"Dorchester County, Maryland",21.90%,± 0.2%
"Dorchester County, South Carolina",14.70%,± 0.1%
"Dougherty County, Georgia",16.50%,± 0.1%
"Douglas County, Colorado",12.90%,± 0.1%
"Douglas County, Georgia",11.90%,± 0.1%
"Douglas County, Illinois",18.50%,± 0.4%
"Douglas County, Kansas",13.20%,± 0.1%
"Douglas County, Minnesota",23.60%,± 0.1%
"Douglas County, Missouri",24.90%,± 0.4%
"Douglas County, Nebraska",13.50%,± 0.1%
"Douglas County, Nevada",30.30%,± 0.1%
"Douglas County, Oregon",26%,± 0.1%
"Douglas County, South Dakota",23.60%,± 0.5%
"Douglas County, Washington",17.80%,± 0.1%
"Douglas County, Wisconsin",19.40%,± 0.1%
"Drew County, Arkansas",17.80%,± 0.6%
"Dubois County, Indiana",17.80%,± 0.1%
"Dubuque County, Iowa",18.40%,± 0.1%
"Duchesne County, Utah",12.30%,± 0.2%
"Dukes County, Massachusetts",25.10%,± 0.6%
"Dundy County, Nebraska",20.50%,± 3.1%
"Dunklin County, Missouri",18.40%,± 0.2%
"Dunn County, North Dakota",17.70%,± 1.6%
"Dunn County, Wisconsin",16%,± 0.1%
"DuPage County, Illinois",16.40%,± 0.1%
"Duplin County, North Carolina",19.10%,± 0.3%
"Durham County, North Carolina",13.80%,± 0.1%
"Dutchess County, New York",18.40%,± 0.1%
"Duval County, Florida",14.70%,± 0.1%
"Duval County, Texas",15.80%,± 0.8%
"Dyer County, Tennessee",17.60%,± 0.2%
"Eagle County, Colorado",13.60%,± 0.3%
"Early County, Georgia",19.20%,± 0.4%
"East Baton Rouge Parish, Louisiana",14.70%,*****
"East Carroll Parish, Louisiana",15.80%,± 1.5%
"East Feliciana Parish, Louisiana",18.70%,± 0.5%
"Eastland County, Texas",21.60%,± 0.5%
"Eaton County, Michigan",19.20%,± 0.1%
"Eau Claire County, Wisconsin",16.30%,± 0.1%
"Echols County, Georgia",12.80%,± 3.7%
"Ector County, Texas",9.50%,± 0.1%
"Eddy County, New Mexico",14.50%,± 0.1%
"Eddy County, North Dakota",27.70%,± 2.6%
"Edgar County, Illinois",23.30%,± 0.3%
"Edgecombe County, North Carolina",20.10%,± 0.1%
"Edgefield County, South Carolina",19%,± 0.1%
"Edmonson County, Kentucky",21.30%,± 0.4%
"Edmunds County, South Dakota",21.40%,± 2%
"Edwards County, Illinois",21.60%,± 0.2%
"Edwards County, Kansas",21.90%,± 0.9%
"Edwards County, Texas",22%,± 7.8%
"Effingham County, Georgia",11.90%,± 0.2%
"Effingham County, Illinois",17.90%,± 0.1%
"El Dorado County, California",22.20%,± 0.1%
"El Paso County, Colorado",13.30%,± 0.1%
"El Paso County, Texas",12.50%,± 0.1%
"Elbert County, Colorado",17.50%,± 0.3%
"Elbert County, Georgia",20.80%,± 0.2%
"Elk County, Kansas",27.50%,± 0.6%
"Elk County, Pennsylvania",22.80%,± 0.2%
"Elkhart County, Indiana",15.20%,± 0.1%
"Elko County, Nevada",12.20%,± 0.1%
"Elliott County, Kentucky",20.50%,*****
"Ellis County, Kansas",15.10%,± 0.2%
"Ellis County, Oklahoma",23.70%,± 0.7%
"Ellis County, Texas",12.90%,± 0.1%
"Ellsworth County, Kansas",22.80%,± 0.3%
"Elmore County, Alabama",15.80%,± 0.1%
"Elmore County, Idaho",14%,± 0.3%
"Emanuel County, Georgia",16%,± 0.1%
"Emery County, Utah",17.70%,± 0.9%
"Emmet County, Iowa",23.10%,± 1.3%
"Emmet County, Michigan",23.20%,± 0.1%
"Emmons County, North Dakota",28.10%,± 1.7%
"Emporia city, Virginia",17.70%,± 2.8%
"Erath County, Texas",14.20%,± 0.2%
"Erie County, New York",18.50%,± 0.1%
"Erie County, Ohio",22.50%,± 0.2%
"Erie County, Pennsylvania",18.70%,± 0.1%
"Escambia County, Alabama",18.60%,± 0.2%
"Escambia County, Florida",17.50%,± 0.1%
"Esmeralda County, Nevada",26.20%,± 8.4%
"Essex County, Massachusetts",17.60%,± 0.1%
"Essex County, New Jersey",13.80%,± 0.1%
"Essex County, New York",24.80%,± 0.1%
"Essex County, Vermont",26.60%,± 0.2%
"Essex County, Virginia",23.50%,± 0.6%
"Estill County, Kentucky",19.20%,± 0.3%
"Etowah County, Alabama",19.40%,± 0.1%
"Eureka County, Nevada",25%,± 10.6%
"Evangeline Parish, Louisiana",15.60%,± 0.2%
"Evans County, Georgia",16.90%,± 1.2%
"Fairbanks North Star Borough, Alaska",11.80%,± 0.2%
"Fairfax city, Virginia",14.40%,± 0.2%
"Fairfax County, Virginia",14.20%,± 0.1%
"Fairfield County, Ohio",16.20%,± 0.1%
"Fairfield County, South Carolina",22.40%,± 0.1%
"Fajardo Municipio, Puerto Rico",22.90%,*****
"Fall River County, South Dakota",31.40%,± 1.1%
"Fallon County, Montana",19.40%,± 2.6%
"Falls Church city, Virginia",13.70%,± 0.7%
"Falls County, Texas",18.70%,± 0.6%
"Fannin County, Georgia",29.80%,± 0.2%
"Fannin County, Texas",18.10%,± 0.2%
"Faribault County, Minnesota",22.80%,± 0.2%
"Faulk County, South Dakota",26.50%,± 3.7%
"Faulkner County, Arkansas",13.30%,± 0.1%
"Fauquier County, Virginia",16.70%,± 0.1%
"Fayette County, Alabama",21.20%,± 0.5%
"Fayette County, Georgia",19.10%,± 0.1%
"Fayette County, Illinois",19.20%,± 0.5%
"Fayette County, Indiana",20.40%,± 0.2%
"Fayette County, Iowa",21.80%,± 0.1%
"Fayette County, Kentucky",14.20%,*****
"Fayette County, Ohio",17.70%,± 0.3%
"Fayette County, Pennsylvania",21.80%,± 0.1%
"Fayette County, Tennessee",22%,± 0.1%
"Fayette County, Texas",26.10%,± 0.4%
"Fayette County, West Virginia",21.90%,± 0.2%
"Fentress County, Tennessee",22.70%,± 0.3%
"Fergus County, Montana",24.90%,± 0.5%
"Ferry County, Washington",29%,± 0.2%
"Fillmore County, Minnesota",21.50%,± 0.1%
"Fillmore County, Nebraska",23.90%,± 0.4%
"Finney County, Kansas",11.30%,± 0.2%
"Fisher County, Texas",23.10%,± 2.5%
"Flagler County, Florida",30.90%,± 0.1%
"Flathead County, Montana",20.40%,± 0.1%
"Fleming County, Kentucky",18.20%,± 0.3%
"Florence County, South Carolina",17.50%,± 0.1%
"Florence County, Wisconsin",27%,± 1.3%
"Florida Municipio, Puerto Rico",20.30%,*****
"Floyd County, Georgia",16.50%,± 0.1%
"Floyd County, Indiana",16.70%,± 0.1%
"Floyd County, Iowa",22.60%,± 0.6%
"Floyd County, Kentucky",18.80%,± 0.2%
"Floyd County, Texas",18.30%,± 0.5%
"Floyd County, Virginia",24.20%,± 0.6%
"Fluvanna County, Virginia",20.40%,± 0.2%
"Foard County, Texas",30.30%,± 6.3%
"Fond du Lac County, Wisconsin",19%,± 0.1%
"Ford County, Illinois",18.70%,± 0.3%
"Ford County, Kansas",11.40%,± 0.3%
"Forest County, Pennsylvania",22.90%,± 0.5%
"Forest County, Wisconsin",24.40%,± 0.2%
"Forrest County, Mississippi",13.60%,± 0.1%
"Forsyth County, Georgia",12.30%,± 0.1%
"Forsyth County, North Carolina",16.40%,± 0.1%
"Fort Bend County, Texas",11.80%,± 0.1%
"Foster County, North Dakota",23.70%,± 1.2%
"Fountain County, Indiana",19.80%,± 0.3%
"Franklin city, Virginia",19%,*****
"Franklin County, Alabama",17.10%,± 0.5%
"Franklin County, Arkansas",19.90%,± 0.4%
"Franklin County, Florida",25.30%,± 0.5%
"Franklin County, Georgia",18.40%,± 0.4%
"Franklin County, Idaho",14.20%,± 0.3%
"Franklin County, Illinois",20.50%,± 0.1%
"Franklin County, Indiana",19.20%,± 0.4%
"Franklin County, Iowa",21.30%,± 0.3%
"Franklin County, Kansas",17.30%,± 0.3%
"Franklin County, Kentucky",18.10%,± 0.2%
"Franklin County, Maine",22.90%,± 0.2%
"Franklin County, Massachusetts",23.20%,± 0.1%
"Franklin County, Mississippi",20.70%,*****
"Franklin County, Missouri",18.20%,± 0.1%
"Franklin County, Nebraska",27.60%,± 0.6%
"Franklin County, New York",18.40%,± 0.1%
"Franklin County, North Carolina",16.90%,± 0.2%
"Franklin County, Ohio",12.50%,± 0.1%
"Franklin County, Pennsylvania",19.80%,± 0.1%
"Franklin County, Tennessee",20.30%,± 0.1%
"Franklin County, Texas",22.10%,± 0.8%
"Franklin County, Vermont",16.80%,± 0.1%
"Franklin County, Virginia",24%,± 0.1%
"Franklin County, Washington",9.80%,± 0.1%
"Franklin Parish, Louisiana",19%,± 0.5%
"Frederick County, Maryland",14.90%,± 0.1%
"Frederick County, Virginia",18.10%,± 0.1%
"Fredericksburg city, Virginia",11.20%,± 0.4%
"Freeborn County, Minnesota",22.40%,± 0.2%
"Freestone County, Texas",19.90%,± 0.4%
"Fremont County, Colorado",21.90%,± 0.3%
"Fremont County, Idaho",17.80%,± 0.5%
"Fremont County, Iowa",22.60%,± 0.2%
"Fremont County, Wyoming",19.20%,± 0.1%
"Fresno County, California",12.50%,± 0.1%
"Frio County, Texas",12.60%,*****
"Frontier County, Nebraska",25.20%,± 1.6%
"Fulton County, Arkansas",25.50%,± 0.3%
"Fulton County, Georgia",12.20%,± 0.1%
"Fulton County, Illinois",20.60%,± 0.1%
"Fulton County, Indiana",19.80%,± 0.4%
"Fulton County, Kentucky",21%,± 0.7%
"Fulton County, New York",20.20%,± 0.1%
"Fulton County, Ohio",18.50%,± 0.1%
"Fulton County, Pennsylvania",21.80%,± 0.2%
"Furnas County, Nebraska",25.40%,± 0.4%
"Gadsden County, Florida",19.20%,± 0.2%
"Gage County, Nebraska",21.40%,± 0.3%
"Gaines County, Texas",8.90%,± 0.2%
"Galax city, Virginia",18.80%,± 2.8%
"Gallatin County, Illinois",24.70%,± 1%
"Gallatin County, Kentucky",13.50%,± 0.3%
"Gallatin County, Montana",13%,± 0.1%
"Gallia County, Ohio",19.20%,± 0.4%
"Galveston County, Texas",14.90%,*****
"Garden County, Nebraska",28.60%,± 3.5%
"Garfield County, Colorado",13.60%,± 0.2%
"Garfield County, Montana",23.80%,± 5.9%
"Garfield County, Nebraska",27.20%,± 2.2%
"Garfield County, Oklahoma",16.50%,± 0.2%
"Garfield County, Utah",22.90%,± 0.7%
"Garfield County, Washington",27.80%,± 5.4%
"Garland County, Arkansas",24%,± 0.1%
"Garrard County, Kentucky",18.50%,± 0.4%
"Garrett County, Maryland",23%,± 0.1%
"Garvin County, Oklahoma",18%,± 0.2%
"Garza County, Texas",16.80%,± 3.6%
"Gasconade County, Missouri",22.60%,± 0.3%
"Gaston County, North Carolina",16.40%,*****
"Gates County, North Carolina",21.20%,± 0.1%
"Geary County, Kansas",8.50%,± 0.3%
"Geauga County, Ohio",21.30%,± 0.1%
"Gem County, Idaho",22.20%,± 0.6%
"Genesee County, Michigan",18%,*****
"Genesee County, New York",19.50%,± 0.2%
"Geneva County, Alabama",20.30%,± 0.4%
"Gentry County, Missouri",18.70%,± 0.3%
"George County, Mississippi",15.20%,± 0.5%
"Georgetown County, South Carolina",29.20%,± 0.2%
"Gibson County, Indiana",17.40%,± 0.2%
"Gibson County, Tennessee",17.50%,± 0.1%
"Gila County, Arizona",29.60%,± 0.1%
"Gilchrist County, Florida",20.10%,± 0.3%
"Giles County, Tennessee",20.70%,± 0.5%
"Giles County, Virginia",21.70%,± 0.3%
"Gillespie County, Texas",29%,± 0.4%
"Gilliam County, Oregon",31.20%,± 3.8%
"Gilmer County, Georgia",25.80%,± 0.3%
"Gilmer County, West Virginia",17.50%,± 0.4%
"Gilpin County, Colorado",15.90%,± 3.2%
"Glacier County, Montana",12.40%,± 0.3%
"Glades County, Florida",26.80%,± 1.2%
"Gladwin County, Michigan",26.80%,± 0.2%
"Glascock County, Georgia",17%,± 0.7%
"Glasscock County, Texas",12.70%,± 5.8%
"Glenn County, California",16.90%,± 0.3%
"Gloucester County, New Jersey",16.20%,± 0.1%
"Gloucester County, Virginia",19.60%,± 0.2%
"Glynn County, Georgia",21.80%,± 0.2%
"Gogebic County, Michigan",27.70%,± 0.3%
"Golden Valley County, Montana",27.10%,± 5.2%
"Golden Valley County, North Dakota",23.70%,± 2.6%
"Goliad County, Texas",23.90%,± 1%
"Gonzales County, Texas",16.90%,± 0.4%
"Goochland County, Virginia",23%,± 0.3%
"Goodhue County, Minnesota",19.90%,± 0.1%
"Gooding County, Idaho",17.70%,± 0.8%
"Gordon County, Georgia",15%,± 0.3%
"Goshen County, Wyoming",22.80%,± 0.5%
"Gosper County, Nebraska",25.60%,± 3%
"Gove County, Kansas",23.80%,± 2.3%
"Grady County, Georgia",18.80%,± 0.5%
"Grady County, Oklahoma",16.50%,± 0.1%
"Grafton County, New Hampshire",22%,± 0.1%
"Graham County, Arizona",14%,± 0.3%
"Graham County, Kansas",26.30%,± 1.1%
"Graham County, North Carolina",23.60%,± 0.9%
"Grainger County, Tennessee",20.70%,± 0.3%
"Grand County, Colorado",19.30%,± 0.6%
"Grand County, Utah",19.70%,± 1.4%
"Grand Forks County, North Dakota",13.50%,± 0.2%
"Grand Isle County, Vermont",21.80%,± 0.4%
"Grand Traverse County, Michigan",20.70%,± 0.1%
"Granite County, Montana",30.70%,± 1%
"Grant County, Arkansas",18.20%,± 0.2%
"Grant County, Indiana",19%,± 0.1%
"Grant County, Kansas",12.80%,± 1.6%
"Grant County, Kentucky",14%,± 0.3%
"Grant County, Minnesota",23.40%,± 0.2%
"Grant County, Nebraska",21.40%,± 5.3%
"Grant County, New Mexico",28.40%,± 0.3%
"Grant County, North Dakota",29.30%,± 2.6%
"Grant County, Oklahoma",22.10%,± 0.3%
"Grant County, Oregon",31%,± 0.4%
"Grant County, South Dakota",23%,± 0.4%
"Grant County, Washington",14.20%,± 0.1%
"Grant County, West Virginia",24.30%,± 0.4%
"Grant County, Wisconsin",17.70%,± 0.1%
"Grant Parish, Louisiana",15.20%,± 0.5%
"Granville County, North Carolina",17.10%,± 0.2%
"Gratiot County, Michigan",17.50%,± 0.2%
"Graves County, Kentucky",18.30%,± 0.3%
"Gray County, Kansas",15.10%,± 0.3%
"Gray County, Texas",16.10%,± 0.3%
"Grays Harbor County, Washington",22.30%,± 0.1%
"Grayson County, Kentucky",17.80%,± 0.3%
"Grayson County, Texas",17.90%,± 0.1%
"Grayson County, Virginia",25.40%,± 0.4%
"Greater Bridgeport Planning Region, Connecticut",15.90%,± 0.1%
"Greeley County, Kansas",18.10%,± 3.3%
"Greeley County, Nebraska",25.70%,± 1%
"Green County, Kentucky",20.10%,± 0.4%
"Green County, Wisconsin",19.40%,± 0.1%
"Green Lake County, Wisconsin",22.80%,± 0.2%
"Greenbrier County, West Virginia",23.60%,± 0.4%
"Greene County, Alabama",23.70%,± 1%
"Greene County, Arkansas",16.20%,± 0.2%
"Greene County, Georgia",29.60%,± 0.2%
"Greene County, Illinois",20%,± 0.1%
"Greene County, Indiana",19.70%,± 0.2%
"Greene County, Iowa",23.40%,± 0.5%
"Greene County, Mississippi",14.60%,± 0.7%
"Greene County, Missouri",16.80%,± 0.1%
"Greene County, New York",23.20%,± 0.2%
"Greene County, North Carolina",16.50%,± 0.3%
"Greene County, Ohio",17.80%,± 0.1%
"Greene County, Pennsylvania",19.70%,± 0.1%
"Greene County, Tennessee",21.80%,± 0.2%
"Greene County, Virginia",18.50%,± 0.5%
"Greenlee County, Arizona",13.70%,± 1%
