Geography,Percent—Total population—AGE—Under 5 years—Estimate,MoE
"Clay County, North Carolina",4.20%,± 0.8%
"Clay County, South Dakota",4.60%,± 0.4%
"Clay County, Tennessee",4.10%,± 0.6%
"Clay County, Texas",4.50%,± 0.2%
"Clay County, West Virginia",5%,± 0.5%
"Clayton County, Georgia",7.20%,± 0.1%
"Clayton County, Iowa",5.70%,± 0.2%
"Clear Creek County, Colorado",2.90%,± 0.1%
"Clearfield County, Pennsylvania",4.60%,± 0.1%
"Clearwater County, Idaho",3.60%,± 0.4%
"Clearwater County, Minnesota",6.10%,± 0.1%
"Cleburne County, Alabama",5.90%,± 0.4%
"Cleburne County, Arkansas",4.30%,± 0.3%
"Clermont County, Ohio",5.60%,± 0.1%
"Cleveland County, Arkansas",4%,± 0.5%
"Cleveland County, North Carolina",5.70%,± 0.1%
"Cleveland County, Oklahoma",5%,± 0.1%
"Clinch County, Georgia",6.40%,*****
"Clinton County, Illinois",5.60%,± 0.1%
"Clinton County, Indiana",7.10%,± 0.2%
"Clinton County, Iowa",5.70%,± 0.1%
"Clinton County, Kentucky",5.60%,± 0.4%
"Clinton County, Michigan",5.30%,± 0.1%
"Clinton County, Missouri",5.30%,± 0.1%
"Clinton County, New York",4.50%,± 0.1%
"Clinton County, Ohio",5.80%,± 0.2%
"Clinton County, Pennsylvania",5.40%,± 0.1%
"Cloud County, Kansas",6.70%,± 0.5%
"Coahoma County, Mississippi",7.40%,± 0.1%
"Coal County, Oklahoma",7.10%,± 0.4%
"Coamo Municipio, Puerto Rico",3.50%,*****
"Cobb County, Georgia",5.80%,± 0.1%
"Cochise County, Arizona",5.40%,± 0.1%
"Cochran County, Texas",7.70%,± 0.9%
"Cocke County, Tennessee",5.40%,± 0.4%
"Coconino County, Arizona",4.90%,± 0.1%
"Codington County, South Dakota",5.40%,± 0.3%
"Coffee County, Alabama",5.90%,± 0.1%
"Coffee County, Georgia",6.70%,± 0.2%
"Coffee County, Tennessee",6.30%,± 0.1%
"Coffey County, Kansas",4.80%,± 0.3%
"Coke County, Texas",4%,± 2%
"Colbert County, Alabama",5.50%,± 0.2%
"Cole County, Missouri",5.70%,± 0.2%
"Coleman County, Texas",4.50%,± 1.2%
"Coles County, Illinois",4.80%,± 0.2%
"Colfax County, Nebraska",8.10%,± 0.1%
"Colfax County, New Mexico",4.10%,± 0.1%
"Colleton County, South Carolina",5.50%,± 0.1%
"Collier County, Florida",4.20%,± 0.1%
"Collin County, Texas",5.80%,± 0.1%
"Collingsworth County, Texas",6.20%,± 2%
"Colonial Heights city, Virginia",6.40%,± 0.7%
"Colorado County, Texas",6.10%,*****
"Colquitt County, Georgia",6.50%,± 0.1%
"Columbia County, Arkansas",6.10%,± 0.2%
"Columbia County, Florida",5.70%,± 0.1%
"Columbia County, Georgia",6.10%,± 0.1%
"Columbia County, New York",3.80%,± 0.1%
"Columbia County, Oregon",5.10%,± 0.2%
"Columbia County, Pennsylvania",4.30%,± 0.1%
"Columbia County, Washington",4.30%,± 1.1%
"Columbia County, Wisconsin",5.10%,± 0.1%
"Columbiana County, Ohio",4.90%,± 0.1%
"Columbus County, North Carolina",5.10%,± 0.1%
"Colusa County, California",6.80%,± 0.2%
"Comal County, Texas",5.40%,± 0.1%
"Comanche County, Kansas",3.40%,± 1.6%
"Comanche County, Oklahoma",6.70%,± 0.1%
"Comanche County, Texas",5.40%,± 0.1%
"Comerío Municipio, Puerto Rico",3.40%,*****
"Concho County, Texas",4%,± 0.5%
"Concordia Parish, Louisiana",6.20%,± 0.1%
"Conecuh County, Alabama",4%,± 1.7%
"Conejos County, Colorado",6.20%,± 0.2%
"Contra Costa County, California",5.40%,*****
"Converse County, Wyoming",6.60%,± 0.6%
"Conway County, Arkansas",5.50%,± 0.2%
"Cook County, Georgia",6.50%,± 0.5%
"Cook County, Illinois",5.70%,± 0.1%
"Cook County, Minnesota",4.20%,± 0.4%
"Cooke County, Texas",6.40%,± 0.2%
"Cooper County, Missouri",5.90%,± 0.3%
"Coos County, New Hampshire",3.80%,± 0.1%
"Coos County, Oregon",4.50%,± 0.1%
"Coosa County, Alabama",4.50%,± 1.2%
"Copiah County, Mississippi",5.80%,± 0.3%
"Copper River Census Area, Alaska",7.20%,± 2.7%
"Corozal Municipio, Puerto Rico",3.90%,*****
"Corson County, South Dakota",9.30%,± 0.3%
"Cortland County, New York",4.80%,± 0.1%
"Coryell County, Texas",6.50%,± 0.1%
"Coshocton County, Ohio",6.30%,± 0.1%
"Costilla County, Colorado",4.70%,± 1.4%
"Cottle County, Texas",6.10%,± 3.1%
"Cotton County, Oklahoma",4.80%,± 0.6%
"Cottonwood County, Minnesota",6.50%,± 0.1%
"Covington city, Virginia",6.10%,± 0.8%
"Covington County, Alabama",5.70%,± 0.2%
"Covington County, Mississippi",6.50%,± 0.5%
"Coweta County, Georgia",5.60%,± 0.1%
"Cowley County, Kansas",5.60%,± 0.2%
"Cowlitz County, Washington",5.90%,± 0.1%
"Craig County, Oklahoma",5.10%,± 0.1%
"Craig County, Virginia",7.70%,± 3%
"Craighead County, Arkansas",6.70%,± 0.1%
"Crane County, Texas",9.60%,± 1.7%
"Craven County, North Carolina",6.20%,± 0.1%
"Crawford County, Arkansas",6.10%,± 0.2%
"Crawford County, Georgia",4.80%,± 0.8%
"Crawford County, Illinois",5.20%,± 0.3%
"Crawford County, Indiana",5.30%,± 0.3%
"Crawford County, Iowa",6%,± 0.1%
"Crawford County, Kansas",5.70%,± 0.1%
"Crawford County, Michigan",4.40%,± 0.2%
"Crawford County, Missouri",5.70%,± 0.4%
"Crawford County, Ohio",5.70%,± 0.1%
"Crawford County, Pennsylvania",5.30%,± 0.1%
"Crawford County, Wisconsin",4.90%,± 0.1%
"Creek County, Oklahoma",5.90%,± 0.1%
"Crenshaw County, Alabama",5.40%,± 0.2%
"Crisp County, Georgia",6.10%,± 0.8%
"Crittenden County, Arkansas",7.40%,± 0.1%
"Crittenden County, Kentucky",5.20%,± 0.1%
"Crockett County, Tennessee",5.90%,± 0.1%
"Crockett County, Texas",3.40%,± 2.1%
"Crook County, Oregon",5.30%,± 0.5%
"Crook County, Wyoming",6.90%,± 0.4%
"Crosby County, Texas",6.30%,± 0.1%
"Cross County, Arkansas",6.30%,± 0.2%
"Crow Wing County, Minnesota",5.10%,± 0.2%
"Crowley County, Colorado",3%,± 0.8%
"Culberson County, Texas",1.50%,± 2.3%
"Culebra Municipio, Puerto Rico",2.50%,± 2.3%
"Cullman County, Alabama",5.90%,± 0.1%
"Culpeper County, Virginia",6.20%,± 0.1%
"Cumberland County, Illinois",6%,± 0.4%
"Cumberland County, Kentucky",5.70%,± 0.2%
"Cumberland County, Maine",4.70%,± 0.1%
"Cumberland County, New Jersey",6.10%,± 0.1%
"Cumberland County, North Carolina",7.40%,± 0.1%
"Cumberland County, Pennsylvania",5.30%,± 0.1%
"Cumberland County, Tennessee",4.40%,± 0.2%
"Cumberland County, Virginia",4.40%,± 0.6%
"Cuming County, Nebraska",6.70%,± 0.1%
"Currituck County, North Carolina",5.30%,± 0.4%
"Curry County, New Mexico",7.90%,± 0.3%
"Curry County, Oregon",3.40%,± 0.3%
"Custer County, Colorado",1.60%,± 1%
"Custer County, Idaho",3.50%,± 1%
"Custer County, Montana",4.90%,± 0.2%
"Custer County, Nebraska",6%,± 0.2%
"Custer County, Oklahoma",6.50%,± 0.3%
"Custer County, South Dakota",3.60%,± 0.3%
"Cuyahoga County, Ohio",5.50%,± 0.1%
"Dade County, Georgia",5.30%,± 0.5%
"Dade County, Missouri",4.80%,± 0.3%
"Daggett County, Utah",4.20%,± 3.6%
"Dakota County, Minnesota",6.10%,± 0.1%
"Dakota County, Nebraska",8.20%,± 0.4%
"Dale County, Alabama",6.60%,± 0.1%
"Dallam County, Texas",8.90%,± 1.2%
"Dallas County, Alabama",6%,± 0.1%
"Dallas County, Arkansas",5%,*****
"Dallas County, Iowa",7%,± 0.1%
"Dallas County, Missouri",6.50%,± 0.3%
"Dallas County, Texas",7%,± 0.1%
"Dane County, Wisconsin",5.20%,± 0.1%
"Daniels County, Montana",4.50%,± 1.8%
"Danville city, Virginia",5.70%,± 0.2%
"Dare County, North Carolina",4.50%,± 0.7%
"Darke County, Ohio",5.90%,± 0.1%
"Darlington County, South Carolina",5.50%,± 0.1%
"Dauphin County, Pennsylvania",6%,± 0.1%
"Davidson County, North Carolina",5.30%,*****
"Davidson County, Tennessee",6.40%,± 0.1%
"Davie County, North Carolina",4.80%,± 0.1%
"Daviess County, Indiana",7.80%,± 0.5%
"Daviess County, Kentucky",6.40%,± 0.1%
"Daviess County, Missouri",6.90%,± 0.1%
"Davis County, Iowa",9%,± 0.2%
"Davis County, Utah",7.60%,*****
"Davison County, South Dakota",6.30%,± 0.6%
"Dawes County, Nebraska",5.30%,± 1.3%
"Dawson County, Georgia",4.90%,± 0.4%
"Dawson County, Montana",5.30%,± 0.4%
"Dawson County, Nebraska",7.50%,± 0.3%
"Dawson County, Texas",7%,*****
"Day County, South Dakota",5.90%,± 0.6%
"De Baca County, New Mexico",13%,± 3.8%
"De Soto Parish, Louisiana",5.90%,± 0.3%
"De Witt County, Illinois",5.60%,± 0.2%
"Deaf Smith County, Texas",8.50%,± 0.1%
"Dearborn County, Indiana",5.30%,± 0.1%
"Decatur County, Georgia",6.70%,± 0.1%
"Decatur County, Indiana",6.20%,± 0.2%
"Decatur County, Iowa",5.90%,± 0.2%
"Decatur County, Kansas",5.60%,± 0.4%
"Decatur County, Tennessee",4.80%,± 0.3%
"Deer Lodge County, Montana",3.40%,± 0.4%
"Defiance County, Ohio",5.80%,± 0.2%
"DeKalb County, Alabama",5.70%,± 0.1%
"DeKalb County, Georgia",6.60%,± 0.1%
"DeKalb County, Illinois",5.50%,± 0.1%
"DeKalb County, Indiana",6.60%,± 0.2%
"DeKalb County, Missouri",5%,± 0.2%
"DeKalb County, Tennessee",6.50%,± 0.4%
"Del Norte County, California",5.50%,± 0.4%
"Delaware County, Indiana",4.70%,± 0.1%
"Delaware County, Iowa",6.20%,± 0.6%
"Delaware County, New York",3.70%,± 0.2%
"Delaware County, Ohio",5.70%,± 0.1%
"Delaware County, Oklahoma",4.80%,± 0.1%
"Delaware County, Pennsylvania",5.70%,± 0.1%
"Delta County, Colorado",4.40%,± 0.1%
"Delta County, Michigan",4.80%,± 0.2%
"Delta County, Texas",7.40%,± 1.2%
"Denali Borough, Alaska",3%,± 1.6%
"Dent County, Missouri",5.60%,± 0.4%
"Denton County, Texas",5.90%,± 0.1%
"Denver County, Colorado",5.60%,± 0.1%
"Des Moines County, Iowa",5.90%,± 0.3%
"Deschutes County, Oregon",4.80%,± 0.1%
"Desha County, Arkansas",6.40%,± 0.6%
"DeSoto County, Florida",4.90%,± 0.1%
"DeSoto County, Mississippi",5.90%,± 0.1%
"Deuel County, Nebraska",6.10%,± 1.6%
"Deuel County, South Dakota",6%,± 0.4%
"Dewey County, Oklahoma",6.10%,± 0.7%
"Dewey County, South Dakota",11%,± 0.6%
"DeWitt County, Texas",6.30%,± 0.6%
"Dickens County, Texas",6.90%,± 2.4%
"Dickenson County, Virginia",4.60%,± 0.2%
"Dickey County, North Dakota",6.10%,± 0.7%
"Dickinson County, Iowa",4.40%,± 0.2%
"Dickinson County, Kansas",5.20%,± 0.2%
"Dickinson County, Michigan",4.90%,± 0.3%
"Dickson County, Tennessee",5.90%,± 0.1%
"Dillingham Census Area, Alaska",8.60%,± 1.3%
"Dillon County, South Carolina",7.20%,± 0.3%
"Dimmit County, Texas",6.40%,± 0.2%
"Dinwiddie County, Virginia",5.10%,± 0.4%
"District of Columbia, District of Columbia",6.20%,± 0.1%
"Divide County, North Dakota",7.70%,± 1.8%
"Dixie County, Florida",3.80%,± 0.3%
"Dixon County, Nebraska",6.40%,± 1%
"Doddridge County, West Virginia",3.70%,± 0.5%
"Dodge County, Georgia",4.70%,± 0.2%
"Dodge County, Minnesota",6.10%,± 0.2%
"Dodge County, Nebraska",6.30%,± 0.1%
"Dodge County, Wisconsin",4.50%,± 0.1%
"Dolores County, Colorado",2.70%,± 3%
"Doña Ana County, New Mexico",5.90%,± 0.1%
"Doniphan County, Kansas",4.80%,± 0.4%
"Donley County, Texas",3.90%,± 0.6%
"Dooly County, Georgia",3.80%,± 0.7%
"Door County, Wisconsin",4%,± 0.2%
"Dorado Municipio, Puerto Rico",3.60%,*****
"Dorchester County, Maryland",5.40%,± 0.3%
"Dorchester County, South Carolina",5.80%,± 0.1%
"Dougherty County, Georgia",6.50%,± 0.1%
"Douglas County, Colorado",5.50%,± 0.1%
"Douglas County, Georgia",5.90%,± 0.1%
"Douglas County, Illinois",6.80%,± 0.3%
"Douglas County, Kansas",4.50%,*****
"Douglas County, Minnesota",5.70%,± 0.2%
"Douglas County, Missouri",5.40%,± 0.2%
"Douglas County, Nebraska",7.10%,± 0.1%
"Douglas County, Nevada",3.20%,± 0.1%
"Douglas County, Oregon",4.80%,± 0.1%
"Douglas County, South Dakota",8.10%,± 0.6%
"Douglas County, Washington",6.30%,± 0.2%
"Douglas County, Wisconsin",4.60%,± 0.2%
"Drew County, Arkansas",5.80%,± 0.2%
"Dubois County, Indiana",6.40%,± 0.1%
"Dubuque County, Iowa",6%,± 0.1%
"Duchesne County, Utah",8.40%,± 0.1%
"Dukes County, Massachusetts",3.80%,± 0.3%
"Dundy County, Nebraska",8.10%,± 2.5%
"Dunklin County, Missouri",6.60%,± 0.1%
"Dunn County, North Dakota",7%,± 1.2%
"Dunn County, Wisconsin",4.90%,± 0.1%
"DuPage County, Illinois",5.60%,± 0.1%
"Duplin County, North Carolina",6.10%,± 0.1%
"Durham County, North Carolina",6%,± 0.1%
"Dutchess County, New York",4.50%,± 0.1%
"Duval County, Florida",6.50%,± 0.1%
"Duval County, Texas",6.70%,± 0.3%
"Dyer County, Tennessee",6%,± 0.3%
"Eagle County, Colorado",4.90%,± 0.1%
"Early County, Georgia",6.10%,± 0.1%
"East Baton Rouge Parish, Louisiana",6.20%,± 0.1%
"East Carroll Parish, Louisiana",3.20%,± 1.9%
"East Feliciana Parish, Louisiana",4.50%,± 0.1%
"Eastland County, Texas",5.50%,± 0.3%
"Eaton County, Michigan",5.20%,*****
"Eau Claire County, Wisconsin",5.10%,± 0.1%
"Echols County, Georgia",7.20%,± 2.7%
"Ector County, Texas",8.70%,± 0.1%
"Eddy County, New Mexico",7.20%,± 0.2%
"Eddy County, North Dakota",6.50%,± 1.6%
"Edgar County, Illinois",4.90%,± 0.1%
"Edgecombe County, North Carolina",5.70%,± 0.1%
"Edgefield County, South Carolina",3.60%,± 0.2%
"Edmonson County, Kentucky",4.30%,± 0.1%
"Edmunds County, South Dakota",7.60%,± 1%
"Edwards County, Illinois",5.90%,± 0.3%
"Edwards County, Kansas",5.80%,± 0.5%
"Edwards County, Texas",3.30%,± 3.1%
"Effingham County, Georgia",6.40%,± 0.1%
"Effingham County, Illinois",6.50%,± 0.1%
"El Dorado County, California",4.50%,± 0.1%
"El Paso County, Colorado",6.30%,± 0.1%
"El Paso County, Texas",6.90%,± 0.1%
"Elbert County, Colorado",4.30%,± 0.1%
"Elbert County, Georgia",5.30%,± 0.4%
"Elk County, Kansas",4.70%,± 0.4%
"Elk County, Pennsylvania",4.60%,± 0.2%
"Elkhart County, Indiana",7.30%,± 0.1%
"Elko County, Nevada",7%,± 0.3%
"Elliott County, Kentucky",4.10%,*****
"Ellis County, Kansas",5.30%,± 0.2%
"Ellis County, Oklahoma",5.10%,± 0.3%
"Ellis County, Texas",6.40%,± 0.1%
"Ellsworth County, Kansas",4.50%,± 0.4%
"Elmore County, Alabama",5.50%,± 0.1%
"Elmore County, Idaho",7.90%,± 0.2%
"Emanuel County, Georgia",6.90%,± 0.3%
"Emery County, Utah",6%,± 0.3%
"Emmet County, Iowa",4.20%,± 0.3%
"Emmet County, Michigan",4.50%,± 0.2%
"Emmons County, North Dakota",5.40%,± 0.9%
"Emporia city, Virginia",5.30%,± 2%
"Erath County, Texas",5.80%,± 0.2%
"Erie County, New York",5.30%,± 0.1%
"Erie County, Ohio",5.20%,± 0.1%
"Erie County, Pennsylvania",5.30%,± 0.1%
"Escambia County, Alabama",5.80%,± 0.1%
"Escambia County, Florida",5.80%,± 0.1%
"Esmeralda County, Nevada",2%,± 2.2%
"Essex County, Massachusetts",5.40%,± 0.1%
"Essex County, New Jersey",6.40%,± 0.1%
"Essex County, New York",3.90%,± 0.2%
"Essex County, Vermont",4.30%,± 0.1%
"Essex County, Virginia",4.70%,± 0.4%
"Estill County, Kentucky",5.10%,± 0.2%
"Etowah County, Alabama",5.80%,± 0.1%
"Eureka County, Nevada",6.50%,± 3.6%
"Evangeline Parish, Louisiana",6.70%,± 0.1%
"Evans County, Georgia",6%,± 0.7%
"Fairbanks North Star Borough, Alaska",7.10%,± 0.1%
"Fairfax city, Virginia",7.30%,± 0.8%
"Fairfax County, Virginia",6%,± 0.1%
"Fairfield County, Ohio",5.80%,± 0.1%
"Fairfield County, South Carolina",4.60%,± 0.2%
"Fajardo Municipio, Puerto Rico",3.70%,*****
"Fall River County, South Dakota",4.60%,± 1.1%
"Fallon County, Montana",6.20%,± 0.9%
"Falls Church city, Virginia",4.80%,± 0.7%
"Falls County, Texas",5%,± 0.5%
"Fannin County, Georgia",4%,± 0.4%
"Fannin County, Texas",5%,± 0.1%
"Faribault County, Minnesota",5.20%,± 0.1%
"Faulk County, South Dakota",5.70%,± 1.5%
"Faulkner County, Arkansas",5.80%,± 0.1%
"Fauquier County, Virginia",5.60%,± 0.1%
"Fayette County, Alabama",5.20%,± 0.4%
"Fayette County, Georgia",4.40%,± 0.1%
"Fayette County, Illinois",5.70%,± 0.3%
"Fayette County, Indiana",5.50%,± 0.2%
"Fayette County, Iowa",5.80%,± 0.3%
"Fayette County, Kentucky",5.70%,± 0.1%
"Fayette County, Ohio",5.60%,± 0.2%
"Fayette County, Pennsylvania",5%,± 0.1%
"Fayette County, Tennessee",4.80%,± 0.1%
"Fayette County, Texas",4.80%,± 0.1%
"Fayette County, West Virginia",4.90%,± 0.1%
"Fentress County, Tennessee",5.50%,± 0.2%
"Fergus County, Montana",5%,± 0.1%
"Ferry County, Washington",4.60%,± 0.4%
"Fillmore County, Minnesota",5.90%,± 0.1%
"Fillmore County, Nebraska",5.50%,± 0.2%
"Finney County, Kansas",7.90%,± 0.4%
"Fisher County, Texas",6.40%,± 1.5%
"Flagler County, Florida",3.60%,± 0.1%
"Flathead County, Montana",5.40%,± 0.1%
"Fleming County, Kentucky",6.70%,± 0.4%
"Florence County, South Carolina",5.80%,± 0.1%
"Florence County, Wisconsin",3.80%,± 0.2%
"Florida Municipio, Puerto Rico",3.70%,*****
"Floyd County, Georgia",5.70%,± 0.1%
"Floyd County, Indiana",5.60%,± 0.1%
"Floyd County, Iowa",6.60%,± 0.6%
"Floyd County, Kentucky",5.70%,± 0.1%
"Floyd County, Texas",6.30%,± 0.5%
"Floyd County, Virginia",4.30%,± 0.3%
"Fluvanna County, Virginia",5.10%,± 0.3%
"Foard County, Texas",4.10%,± 2.4%
"Fond du Lac County, Wisconsin",5.10%,± 0.1%
"Ford County, Illinois",5.70%,± 0.2%
"Ford County, Kansas",8.40%,± 0.2%
"Forest County, Pennsylvania",4%,± 2.1%
"Forest County, Wisconsin",5.50%,± 0.3%
"Forrest County, Mississippi",6.30%,± 0.1%
"Forsyth County, Georgia",5.60%,± 0.1%
"Forsyth County, North Carolina",5.70%,± 0.1%
"Fort Bend County, Texas",6.30%,± 0.1%
"Foster County, North Dakota",5.60%,± 0.1%
"Fountain County, Indiana",5.90%,± 0.2%
"Franklin city, Virginia",7.40%,*****
"Franklin County, Alabama",7.20%,± 0.5%
"Franklin County, Arkansas",5.20%,± 0.3%
"Franklin County, Florida",3.60%,± 0.4%
"Franklin County, Georgia",5.10%,± 0.2%
"Franklin County, Idaho",7.10%,± 0.1%
"Franklin County, Illinois",5.70%,± 0.1%
"Franklin County, Indiana",5.90%,± 0.3%
"Franklin County, Iowa",6.30%,± 0.3%
"Franklin County, Kansas",5.30%,± 0.2%
"Franklin County, Kentucky",5.50%,± 0.1%
"Franklin County, Maine",4.50%,± 0.2%
"Franklin County, Massachusetts",3.90%,± 0.1%
"Franklin County, Mississippi",5.70%,*****
"Franklin County, Missouri",5.70%,± 0.1%
"Franklin County, Nebraska",5.20%,± 0.3%
"Franklin County, New York",5.20%,± 0.3%
"Franklin County, North Carolina",5.50%,± 0.1%
"Franklin County, Ohio",6.70%,± 0.1%
"Franklin County, Pennsylvania",5.60%,± 0.1%
"Franklin County, Tennessee",4.90%,± 0.1%
"Franklin County, Texas",7.30%,± 1.7%
"Franklin County, Vermont",5.50%,± 0.2%
"Franklin County, Virginia",4.30%,± 0.1%
"Franklin County, Washington",8.40%,± 0.1%
"Franklin Parish, Louisiana",6.70%,± 0.3%
"Frederick County, Maryland",5.80%,± 0.1%
"Frederick County, Virginia",5.70%,± 0.1%
"Fredericksburg city, Virginia",6.10%,± 0.7%
"Freeborn County, Minnesota",5.50%,± 0.2%
"Freestone County, Texas",5.30%,± 0.4%
"Fremont County, Colorado",4.10%,± 0.2%
"Fremont County, Idaho",6%,± 0.1%
"Fremont County, Iowa",4.90%,± 0.4%
"Fremont County, Wyoming",6.20%,± 0.1%
"Fresno County, California",7.20%,*****
"Frio County, Texas",6.10%,± 1%
"Frontier County, Nebraska",4.80%,± 0.8%
"Fulton County, Arkansas",5.10%,± 0.4%
"Fulton County, Georgia",5.50%,± 0.1%
"Fulton County, Illinois",5%,± 0.1%
"Fulton County, Indiana",6.10%,± 0.4%
"Fulton County, Kentucky",5.10%,± 1%
"Fulton County, New York",4.90%,± 0.1%
"Fulton County, Ohio",5.70%,± 0.1%
"Fulton County, Pennsylvania",4.80%,± 0.1%
"Furnas County, Nebraska",5.70%,± 0.2%
"Gadsden County, Florida",5.80%,*****
"Gage County, Nebraska",5.50%,± 0.3%
"Gaines County, Texas",10.10%,± 0.3%
"Galax city, Virginia",6.90%,± 2.4%
"Gallatin County, Illinois",4.50%,± 0.2%
"Gallatin County, Kentucky",5.40%,± 0.3%
"Gallatin County, Montana",4.90%,± 0.1%
"Gallia County, Ohio",6.30%,± 0.3%
"Galveston County, Texas",5.90%,*****
"Garden County, Nebraska",4.20%,± 1.2%
"Garfield County, Colorado",6.40%,± 0.2%
"Garfield County, Montana",7.10%,± 2.8%
"Garfield County, Nebraska",3.40%,± 1%
"Garfield County, Oklahoma",6.80%,± 0.4%
"Garfield County, Utah",5.60%,± 0.6%
"Garfield County, Washington",4.70%,± 1.7%
"Garland County, Arkansas",5.20%,± 0.1%
"Garrard County, Kentucky",5.20%,± 0.3%
"Garrett County, Maryland",4.90%,± 0.1%
"Garvin County, Oklahoma",6%,± 0.1%
"Garza County, Texas",2.90%,± 1.6%
"Gasconade County, Missouri",5.20%,± 0.3%
"Gaston County, North Carolina",5.70%,± 0.1%
"Gates County, North Carolina",3.30%,± 0.8%
"Geary County, Kansas",11.60%,± 0.1%
"Geauga County, Ohio",5.20%,± 0.1%
"Gem County, Idaho",5.20%,± 0.5%
"Genesee County, Michigan",5.70%,*****
"Genesee County, New York",5.20%,± 0.2%
"Geneva County, Alabama",5.40%,± 0.1%
"Gentry County, Missouri",6.80%,± 0.3%
"George County, Mississippi",7.70%,± 0.3%
"Georgetown County, South Carolina",4.20%,± 0.1%
"Gibson County, Indiana",6.10%,± 0.2%
"Gibson County, Tennessee",5.90%,± 0.1%
"Gila County, Arizona",4.70%,± 0.1%
"Gilchrist County, Florida",5.20%,± 0.2%
"Giles County, Tennessee",5.60%,± 0.3%
"Giles County, Virginia",4.90%,± 0.2%
"Gillespie County, Texas",4.70%,± 0.1%
"Gilliam County, Oregon",2.40%,± 1.1%
"Gilmer County, Georgia",5%,± 0.1%
"Gilmer County, West Virginia",3.90%,± 0.4%
"Gilpin County, Colorado",3.40%,± 1.6%
"Glacier County, Montana",8%,± 0.2%
"Glades County, Florida",4.70%,± 1.2%
"Gladwin County, Michigan",5.20%,± 0.3%
"Glascock County, Georgia",4.90%,± 1.6%
"Glasscock County, Texas",7.10%,± 3.8%
"Glenn County, California",7.30%,± 0.9%
"Gloucester County, New Jersey",5%,± 0.1%
"Gloucester County, Virginia",4.80%,± 0.2%
"Glynn County, Georgia",5.30%,± 0.1%
"Gogebic County, Michigan",3.90%,± 0.3%
"Golden Valley County, Montana",3.70%,± 2.2%
"Golden Valley County, North Dakota",6.70%,± 1.4%
"Goliad County, Texas",3.50%,± 0.6%
"Gonzales County, Texas",7.10%,± 0.3%
"Goochland County, Virginia",3.60%,± 0.3%
"Goodhue County, Minnesota",5.50%,± 0.1%
"Gooding County, Idaho",6.10%,± 0.1%
"Gordon County, Georgia",5.80%,± 0.2%
"Goshen County, Wyoming",6%,± 0.7%
"Gosper County, Nebraska",3.80%,± 1.8%
"Gove County, Kansas",7.30%,± 0.9%
"Grady County, Georgia",6.20%,± 0.1%
"Grady County, Oklahoma",5.40%,± 0.1%
"Grafton County, New Hampshire",3.90%,± 0.1%
"Graham County, Arizona",6.60%,± 0.1%
"Graham County, Kansas",4.30%,± 0.3%
"Graham County, North Carolina",3.90%,± 0.4%
"Grainger County, Tennessee",4.60%,± 0.1%
"Grand County, Colorado",4.10%,± 0.5%
"Grand County, Utah",4.10%,± 0.6%
"Grand Forks County, North Dakota",6.40%,*****
"Grand Isle County, Vermont",4.30%,± 0.3%
"Grand Traverse County, Michigan",4.80%,± 0.1%
"Granite County, Montana",5.20%,± 1.8%
"Grant County, Arkansas",5.20%,± 0.3%
"Grant County, Indiana",5.80%,± 0.1%
"Grant County, Kansas",7.20%,± 0.1%
"Grant County, Kentucky",7.10%,± 0.3%
"Grant County, Minnesota",5.40%,± 0.2%
"Grant County, Nebraska",5.70%,± 1.7%
"Grant County, New Mexico",4.50%,± 0.6%
"Grant County, North Dakota",4.90%,± 1.1%
"Grant County, Oklahoma",6.10%,± 0.4%
"Grant County, Oregon",4.30%,± 0.2%
"Grant County, South Dakota",5.50%,± 0.3%
"Grant County, Washington",7.30%,± 0.1%
"Grant County, West Virginia",5.40%,± 0.5%
"Grant County, Wisconsin",5.60%,± 0.1%
"Grant Parish, Louisiana",5.40%,± 0.4%
"Granville County, North Carolina",5%,± 0.1%
"Gratiot County, Michigan",4.80%,± 0.1%
"Graves County, Kentucky",6.70%,± 0.3%
"Gray County, Kansas",7%,± 0.5%
"Gray County, Texas",6.30%,± 0.3%
"Grays Harbor County, Washington",4.80%,± 0.1%
"Grayson County, Kentucky",6.40%,± 0.2%
"Grayson County, Texas",6.10%,*****
"Grayson County, Virginia",3.80%,± 0.5%
"Greater Bridgeport Planning Region, Connecticut",5.30%,± 0.1%
"Greeley County, Kansas",6.80%,± 2.2%
"Greeley County, Nebraska",6.50%,± 0.2%
"Green County, Kentucky",5.90%,± 0.7%
"Green County, Wisconsin",5.20%,± 0.1%
"Green Lake County, Wisconsin",5.50%,± 0.2%
"Greenbrier County, West Virginia",5.30%,± 0.3%
"Greene County, Alabama",7.10%,± 0.8%
"Greene County, Arkansas",6.20%,± 0.2%
"Greene County, Georgia",4.40%,± 0.2%
"Greene County, Illinois",5.10%,± 0.1%
"Greene County, Indiana",5.30%,± 0.1%
"Greene County, Iowa",5.50%,± 0.2%
"Greene County, Mississippi",5.10%,± 0.8%
"Greene County, Missouri",5.70%,± 0.1%
"Greene County, New York",4.30%,± 0.2%
"Greene County, North Carolina",4.80%,± 0.1%
"Greene County, Ohio",5.40%,± 0.1%
"Greene County, Pennsylvania",4.90%,± 0.1%
"Greene County, Tennessee",4.60%,± 0.1%
"Greene County, Virginia",5.60%,± 0.3%
"Greenlee County, Arizona",7.30%,± 0.3%
"Greensville County, Virginia",4.50%,± 0.4%
