Geography,Percent occupied housing units—Occupied housing units—VEHICLES AVAILABLE—No vehicle available—Estimate,MoE
"Clay County, Nebraska",2.60%,± 0.9%
"Clay County, North Carolina",7.30%,± 3.9%
"Clay County, South Dakota",8.20%,± 3.2%
"Clay County, Tennessee",6.50%,± 2.9%
"Clay County, Texas",3.30%,± 1.5%
"Clay County, West Virginia",7.90%,± 3.4%
"Clayton County, Georgia",7.40%,± 0.8%
"Clayton County, Iowa",7.50%,± 1.6%
"Clear Creek County, Colorado",4%,± 2%
"Clearfield County, Pennsylvania",7.50%,± 0.8%
"Clearwater County, Idaho",5.40%,± 1.7%
"Clearwater County, Minnesota",8.50%,± 1.8%
"Cleburne County, Alabama",6.80%,± 2.5%
"Cleburne County, Arkansas",3.10%,± 1.2%
"Clermont County, Ohio",4.80%,± 0.6%
"Cleveland County, Arkansas",7%,± 3.3%
"Cleveland County, North Carolina",6.50%,± 0.9%
"Cleveland County, Oklahoma",4.10%,± 0.6%
"Clinch County, Georgia",10.70%,± 4.7%
"Clinton County, Illinois",3.20%,± 0.9%
"Clinton County, Indiana",4.80%,± 1.4%
"Clinton County, Iowa",6.60%,± 1.3%
"Clinton County, Kentucky",6.10%,± 2.4%
"Clinton County, Michigan",2.60%,± 0.5%
"Clinton County, Missouri",4.10%,± 1.6%
"Clinton County, New York",9.50%,± 1.3%
"Clinton County, Ohio",4%,± 0.9%
"Clinton County, Pennsylvania",9.50%,± 1.2%
"Cloud County, Kansas",6.30%,± 2.4%
"Coahoma County, Mississippi",12%,± 2.5%
"Coal County, Oklahoma",6.40%,± 1.7%
"Coamo Municipio, Puerto Rico",12.50%,± 1.9%
"Cobb County, Georgia",3.50%,± 0.3%
"Cochise County, Arizona",6%,± 0.8%
"Cochran County, Texas",6%,± 3.3%
"Cocke County, Tennessee",4.30%,± 1.3%
"Coconino County, Arizona",5.40%,± 0.8%
"Codington County, South Dakota",5.50%,± 1.9%
"Coffee County, Alabama",4%,± 0.8%
"Coffee County, Georgia",6.40%,± 1.5%
"Coffee County, Tennessee",4.30%,± 0.9%
"Coffey County, Kansas",4.90%,± 1.5%
"Coke County, Texas",3.60%,± 1.9%
"Colbert County, Alabama",4.70%,± 1%
"Cole County, Missouri",5.30%,± 1.1%
"Coleman County, Texas",6.80%,± 2.8%
"Coles County, Illinois",7.50%,± 1.4%
"Colfax County, Nebraska",1.40%,± 0.8%
"Colfax County, New Mexico",8.70%,± 3.1%
"Colleton County, South Carolina",9.40%,± 2.3%
"Collier County, Florida",4.60%,± 0.6%
"Collin County, Texas",2.90%,± 0.2%
"Collingsworth County, Texas",4%,± 2.6%
"Colonial Heights city, Virginia",6.60%,± 1.9%
"Colorado County, Texas",5.60%,± 2.3%
"Colquitt County, Georgia",6.90%,± 1.7%
"Columbia County, Arkansas",4.20%,± 1.3%
"Columbia County, Florida",4.50%,± 1.2%
"Columbia County, Georgia",2.70%,± 0.7%
"Columbia County, New York",6.20%,± 1.1%
"Columbia County, Oregon",4.40%,± 1.2%
"Columbia County, Pennsylvania",7.30%,± 1.1%
"Columbia County, Washington",4%,± 2.5%
"Columbia County, Wisconsin",4.20%,± 0.7%
"Columbiana County, Ohio",7.20%,± 1.1%
"Columbus County, North Carolina",6.20%,± 1.3%
"Colusa County, California",4.60%,± 1.8%
"Comal County, Texas",2.50%,± 0.6%
"Comanche County, Kansas",3.90%,± 2.4%
"Comanche County, Oklahoma",8.30%,± 1%
"Comanche County, Texas",4.30%,± 2%
"Comerío Municipio, Puerto Rico",19.10%,± 3.6%
"Concho County, Texas",4.30%,± 3.9%
"Concordia Parish, Louisiana",11.80%,± 3.3%
"Conecuh County, Alabama",7%,± 3.4%
"Conejos County, Colorado",6.50%,± 2.3%
"Contra Costa County, California",5.10%,± 0.3%
"Converse County, Wyoming",4.50%,± 2.7%
"Conway County, Arkansas",7.50%,± 2.3%
"Cook County, Georgia",7.50%,± 2.3%
"Cook County, Illinois",17.70%,± 0.2%
"Cook County, Minnesota",4%,± 1.9%
"Cooke County, Texas",4.80%,± 1.5%
"Cooper County, Missouri",4.40%,± 1.3%
"Coos County, New Hampshire",8.10%,± 1.4%
"Coos County, Oregon",6.50%,± 1.4%
"Coosa County, Alabama",3.80%,± 1.6%
"Copiah County, Mississippi",7.40%,± 1.9%
"Copper River Census Area, Alaska",7%,± 3.1%
"Corozal Municipio, Puerto Rico",13.20%,± 2.5%
"Corson County, South Dakota",10.60%,± 2.7%
"Cortland County, New York",9%,± 1.5%
"Coryell County, Texas",4.20%,± 1%
"Coshocton County, Ohio",9.70%,± 1.4%
"Costilla County, Colorado",5.30%,± 2.5%
"Cottle County, Texas",7.90%,± 6%
"Cotton County, Oklahoma",7.10%,± 2.6%
"Cottonwood County, Minnesota",5.60%,± 1.5%
"Covington city, Virginia",8.50%,± 3.7%
"Covington County, Alabama",6.40%,± 1.4%
"Covington County, Mississippi",6.50%,± 3.4%
"Coweta County, Georgia",3.50%,± 0.7%
"Cowley County, Kansas",6.20%,± 1.6%
"Cowlitz County, Washington",6.20%,± 0.9%
"Craig County, Oklahoma",5.20%,± 1.4%
"Craig County, Virginia",4.70%,± 4.5%
"Craighead County, Arkansas",6.80%,± 1.3%
"Crane County, Texas",9.50%,± 9.3%
"Craven County, North Carolina",5.90%,± 1%
"Crawford County, Arkansas",4.80%,± 1.1%
"Crawford County, Georgia",6.20%,± 2.3%
"Crawford County, Illinois",5.40%,± 1.6%
"Crawford County, Indiana",5.30%,± 2.2%
"Crawford County, Iowa",4.70%,± 2.9%
"Crawford County, Kansas",8.80%,± 1.7%
"Crawford County, Michigan",7.20%,± 2.1%
"Crawford County, Missouri",6.10%,± 1.6%
"Crawford County, Ohio",5.50%,± 1.2%
"Crawford County, Pennsylvania",9.70%,± 0.9%
"Crawford County, Wisconsin",6.60%,± 1.4%
"Creek County, Oklahoma",4.60%,± 0.6%
"Crenshaw County, Alabama",7.30%,± 2.3%
"Crisp County, Georgia",13%,± 3.2%
"Crittenden County, Arkansas",9.60%,± 1.7%
"Crittenden County, Kentucky",5.70%,± 2.1%
"Crockett County, Tennessee",5.20%,± 2%
"Crockett County, Texas",0%,± 3.8%
"Crook County, Oregon",3.70%,± 1.3%
"Crook County, Wyoming",1.50%,± 1.4%
"Crosby County, Texas",6.10%,± 3%
"Cross County, Arkansas",9.30%,± 2.6%
"Crow Wing County, Minnesota",4.80%,± 0.8%
"Crowley County, Colorado",5.70%,± 2.7%
"Culberson County, Texas",10.70%,± 9%
"Culebra Municipio, Puerto Rico",24.20%,± 8.2%
"Cullman County, Alabama",2.90%,± 0.7%
"Culpeper County, Virginia",3.40%,± 1.3%
"Cumberland County, Illinois",3%,± 0.9%
"Cumberland County, Kentucky",9.90%,± 3.1%
"Cumberland County, Maine",7%,± 0.6%
"Cumberland County, New Jersey",9.70%,± 1.1%
"Cumberland County, North Carolina",6.90%,± 0.5%
"Cumberland County, Pennsylvania",5.50%,± 0.6%
"Cumberland County, Tennessee",5.60%,± 1.4%
"Cumberland County, Virginia",6.90%,± 3%
"Cuming County, Nebraska",2.30%,± 1.3%
"Currituck County, North Carolina",1.70%,± 0.9%
"Curry County, New Mexico",4.30%,± 1.4%
"Curry County, Oregon",4.40%,± 1.2%
"Custer County, Colorado",2.50%,± 1.7%
"Custer County, Idaho",3.70%,± 2.7%
"Custer County, Montana",4.40%,± 1.9%
"Custer County, Nebraska",4.50%,± 1.5%
"Custer County, Oklahoma",4%,± 1.5%
"Custer County, South Dakota",0.70%,± 0.5%
"Cuyahoga County, Ohio",12.30%,± 0.4%
"Dade County, Georgia",2.50%,± 1.5%
"Dade County, Missouri",6.60%,± 2%
"Daggett County, Utah",4.70%,± 4.2%
"Dakota County, Minnesota",4.50%,± 0.3%
"Dakota County, Nebraska",6.70%,± 2.2%
"Dale County, Alabama",5.20%,± 1.2%
"Dallam County, Texas",3.40%,± 3.2%
"Dallas County, Alabama",14.60%,± 2.5%
"Dallas County, Arkansas",7.70%,± 2.7%
"Dallas County, Iowa",3%,± 0.8%
"Dallas County, Missouri",4.80%,± 1.9%
"Dallas County, Texas",6.70%,± 0.2%
"Dane County, Wisconsin",7.50%,± 0.5%
"Daniels County, Montana",5.90%,± 2.8%
"Danville city, Virginia",13.90%,± 2%
"Dare County, North Carolina",1.80%,± 0.6%
"Darke County, Ohio",5%,± 0.9%
"Darlington County, South Carolina",9.90%,± 1.5%
"Dauphin County, Pennsylvania",9%,± 0.8%
"Davidson County, North Carolina",4.20%,± 0.7%
"Davidson County, Tennessee",6.70%,± 0.4%
"Davie County, North Carolina",5%,± 1.8%
"Daviess County, Indiana",13.60%,± 2.2%
"Daviess County, Kentucky",6.90%,± 1.1%
"Daviess County, Missouri",8.90%,± 2%
"Davis County, Iowa",16.60%,± 3.7%
"Davis County, Utah",2.40%,± 0.3%
"Davison County, South Dakota",7.70%,± 2.1%
"Dawes County, Nebraska",3.50%,± 1.9%
"Dawson County, Georgia",2.40%,± 1.4%
"Dawson County, Montana",5.10%,± 2.7%
"Dawson County, Nebraska",5.30%,± 1.7%
"Dawson County, Texas",8.30%,± 3.5%
"Day County, South Dakota",4%,± 1.8%
"De Baca County, New Mexico",5.50%,± 5.4%
"De Soto Parish, Louisiana",9.10%,± 2%
"De Witt County, Illinois",3.40%,± 1.2%
"Deaf Smith County, Texas",3.40%,± 1.8%
"Dearborn County, Indiana",4.30%,± 1%
"Decatur County, Georgia",8.20%,± 2.5%
"Decatur County, Indiana",2.80%,± 1.1%
"Decatur County, Iowa",8.30%,± 2.4%
"Decatur County, Kansas",2.90%,± 1.9%
"Decatur County, Tennessee",3.80%,± 1.5%
"Deer Lodge County, Montana",9.30%,± 3.3%
"Defiance County, Ohio",5.10%,± 1%
"DeKalb County, Alabama",4.20%,± 0.9%
"DeKalb County, Georgia",7.70%,± 0.6%
"DeKalb County, Illinois",6.60%,± 1.1%
"DeKalb County, Indiana",5%,± 1%
"DeKalb County, Missouri",6.30%,± 2.4%
"DeKalb County, Tennessee",8.70%,± 2.1%
"Del Norte County, California",7.30%,± 2.4%
"Delaware County, Indiana",7.70%,± 0.8%
"Delaware County, Iowa",5.20%,± 1.6%
"Delaware County, New York",7.40%,± 1.2%
"Delaware County, Ohio",2.60%,± 0.6%
"Delaware County, Oklahoma",4.30%,± 0.8%
"Delaware County, Pennsylvania",10.10%,± 0.5%
"Delta County, Colorado",4.20%,± 1.5%
"Delta County, Michigan",8.90%,± 1.6%
"Delta County, Texas",3.30%,± 1.6%
"Denali Borough, Alaska",3.20%,± 2.6%
"Dent County, Missouri",5.60%,± 1.7%
"Denton County, Texas",3.10%,± 0.3%
"Denver County, Colorado",9.90%,± 0.5%
"Des Moines County, Iowa",8.60%,± 1.6%
"Deschutes County, Oregon",4.20%,± 0.7%
"Desha County, Arkansas",14.60%,± 3.5%
"DeSoto County, Florida",6.20%,± 1.6%
"DeSoto County, Mississippi",3.70%,± 0.7%
"Deuel County, Nebraska",1.60%,± 1.1%
"Deuel County, South Dakota",2.10%,± 1.3%
"Dewey County, Oklahoma",2.50%,± 1.4%
"Dewey County, South Dakota",6.20%,± 2.2%
"DeWitt County, Texas",7.70%,± 2.5%
"Dickens County, Texas",5.30%,± 3.4%
"Dickenson County, Virginia",7.10%,± 2%
"Dickey County, North Dakota",1.60%,± 1.5%
"Dickinson County, Iowa",3.90%,± 1.5%
"Dickinson County, Kansas",5.90%,± 2.1%
"Dickinson County, Michigan",6.90%,± 1.6%
"Dickson County, Tennessee",1.90%,± 0.6%
"Dillingham Census Area, Alaska",36.20%,± 30.5%
"Dillon County, South Carolina",10.60%,± 2.7%
"Dimmit County, Texas",14.90%,± 5.7%
"Dinwiddie County, Virginia",2.80%,± 1.4%
"District of Columbia, District of Columbia",35.70%,± 0.8%
"Divide County, North Dakota",4.60%,± 3.3%
"Dixie County, Florida",5.10%,± 2.2%
"Dixon County, Nebraska",2.60%,± 1.2%
"Doddridge County, West Virginia",2.60%,± 1.9%
"Dodge County, Georgia",6.90%,± 2.9%
"Dodge County, Minnesota",3.80%,± 1.2%
"Dodge County, Nebraska",4.80%,± 1.4%
"Dodge County, Wisconsin",4.40%,± 0.9%
"Dolores County, Colorado",5%,± 4.7%
"Doña Ana County, New Mexico",5.70%,± 0.8%
"Doniphan County, Kansas",4.80%,± 2.1%
"Donley County, Texas",3.70%,± 2.3%
"Dooly County, Georgia",9.30%,± 3.5%
"Door County, Wisconsin",3.10%,± 0.9%
"Dorado Municipio, Puerto Rico",11%,± 2.2%
"Dorchester County, Maryland",10%,± 1.7%
"Dorchester County, South Carolina",3.10%,± 0.8%
"Dougherty County, Georgia",10.90%,± 1.3%
"Douglas County, Colorado",2.10%,± 0.3%
"Douglas County, Georgia",3.80%,± 0.8%
"Douglas County, Illinois",12.10%,± 1.8%
"Douglas County, Kansas",6.50%,± 1.1%
"Douglas County, Minnesota",5.40%,± 1.2%
"Douglas County, Missouri",4.50%,± 2.2%
"Douglas County, Nebraska",6.50%,± 0.4%
"Douglas County, Nevada",2.50%,± 0.7%
"Douglas County, Oregon",5.10%,± 0.9%
"Douglas County, South Dakota",3%,± 1.9%
"Douglas County, Washington",4.50%,± 1.2%
"Douglas County, Wisconsin",8.20%,± 1.4%
"Drew County, Arkansas",7.60%,± 2.6%
"Dubois County, Indiana",4.90%,± 1.7%
"Dubuque County, Iowa",5.80%,± 0.8%
"Duchesne County, Utah",4.70%,± 1.2%
"Dukes County, Massachusetts",3.90%,± 2.6%
"Dundy County, Nebraska",2.90%,± 2.1%
"Dunklin County, Missouri",8.50%,± 1.6%
"Dunn County, North Dakota",1.90%,± 1%
"Dunn County, Wisconsin",4.70%,± 1.1%
"DuPage County, Illinois",4.20%,± 0.3%
"Duplin County, North Carolina",5.20%,± 1.2%
"Durham County, North Carolina",7%,± 0.6%
"Dutchess County, New York",7.20%,± 0.5%
"Duval County, Florida",7.10%,± 0.4%
"Duval County, Texas",10.20%,± 3.8%
"Dyer County, Tennessee",6.40%,± 1.7%
"Eagle County, Colorado",4%,± 1.4%
"Early County, Georgia",11.20%,± 3.7%
"East Baton Rouge Parish, Louisiana",7.70%,± 0.7%
"East Carroll Parish, Louisiana",12.10%,± 5%
"East Feliciana Parish, Louisiana",8.30%,± 2.6%
"Eastland County, Texas",6.30%,± 2.5%
"Eaton County, Michigan",4.30%,± 0.6%
"Eau Claire County, Wisconsin",5.70%,± 1%
"Echols County, Georgia",1.10%,± 1.1%
"Ector County, Texas",5.20%,± 0.9%
"Eddy County, New Mexico",4.70%,± 1.3%
"Eddy County, North Dakota",7.40%,± 3.6%
"Edgar County, Illinois",7.40%,± 2.2%
"Edgecombe County, North Carolina",10.40%,± 1.8%
"Edgefield County, South Carolina",7.50%,± 1.7%
"Edmonson County, Kentucky",3.80%,± 1.7%
"Edmunds County, South Dakota",0.90%,± 0.7%
"Edwards County, Illinois",4.60%,± 2.1%
"Edwards County, Kansas",4.80%,± 2.5%
"Edwards County, Texas",3%,± 4.3%
"Effingham County, Georgia",2.40%,± 0.8%
"Effingham County, Illinois",6.20%,± 1.6%
"El Dorado County, California",3.80%,± 0.6%
"El Paso County, Colorado",3.60%,± 0.3%
"El Paso County, Texas",6.50%,± 0.4%
"Elbert County, Colorado",1.10%,± 0.5%
"Elbert County, Georgia",8.70%,± 2.7%
"Elk County, Kansas",5.20%,± 1.8%
"Elk County, Pennsylvania",6.40%,± 1.7%
"Elkhart County, Indiana",8.40%,± 0.8%
"Elko County, Nevada",5.70%,± 1.9%
"Elliott County, Kentucky",6.90%,± 3.7%
"Ellis County, Kansas",3.80%,± 1.5%
"Ellis County, Oklahoma",5.20%,± 1.9%
"Ellis County, Texas",2.90%,± 0.6%
"Ellsworth County, Kansas",4%,± 1.6%
"Elmore County, Alabama",4.30%,± 0.9%
"Elmore County, Idaho",4.80%,± 1.4%
"Emanuel County, Georgia",8.70%,± 2.4%
"Emery County, Utah",2.70%,± 1.4%
"Emmet County, Iowa",3.80%,± 1.8%
"Emmet County, Michigan",5.30%,± 1.1%
"Emmons County, North Dakota",3.30%,± 1.7%
"Emporia city, Virginia",16%,± 5.8%
"Erath County, Texas",4.10%,± 1.3%
"Erie County, New York",12.10%,± 0.4%
"Erie County, Ohio",5.90%,± 0.9%
"Erie County, Pennsylvania",10.20%,± 0.7%
"Escambia County, Alabama",6.10%,± 1.6%
"Escambia County, Florida",6.90%,± 0.7%
"Esmeralda County, Nevada",27.20%,± 19.3%
"Essex County, Massachusetts",9.90%,± 0.4%
"Essex County, New Jersey",21.40%,± 0.7%
"Essex County, New York",9.40%,± 1.4%
"Essex County, Vermont",4.90%,± 1.9%
"Essex County, Virginia",5.30%,± 2.6%
"Estill County, Kentucky",8%,± 2.4%
"Etowah County, Alabama",4.20%,± 0.8%
"Eureka County, Nevada",6%,± 6.4%
"Evangeline Parish, Louisiana",11.10%,± 1.8%
"Evans County, Georgia",4.10%,± 1.7%
"Fairbanks North Star Borough, Alaska",4.80%,± 1%
"Fairfax city, Virginia",6.20%,± 1.9%
"Fairfax County, Virginia",4.60%,± 0.3%
"Fairfield County, Ohio",4%,± 0.6%
"Fairfield County, South Carolina",6.60%,± 2.1%
"Fajardo Municipio, Puerto Rico",13.50%,± 2.4%
"Fall River County, South Dakota",5.70%,± 3.2%
"Fallon County, Montana",7.20%,± 3.6%
"Falls Church city, Virginia",5.70%,± 2.2%
"Falls County, Texas",8.90%,± 2.8%
"Fannin County, Georgia",3.80%,± 1.4%
"Fannin County, Texas",3.20%,± 0.9%
"Faribault County, Minnesota",5.10%,± 1.2%
"Faulk County, South Dakota",7.10%,± 4.6%
"Faulkner County, Arkansas",4.80%,± 0.8%
"Fauquier County, Virginia",3.10%,± 0.7%
"Fayette County, Alabama",10.70%,± 2.7%
"Fayette County, Georgia",3%,± 0.7%
"Fayette County, Illinois",5.60%,± 1.7%
"Fayette County, Indiana",7.70%,± 1.8%
"Fayette County, Iowa",4.70%,± 1.1%
"Fayette County, Kentucky",7.20%,± 0.6%
"Fayette County, Ohio",6.60%,± 1.5%
"Fayette County, Pennsylvania",8.10%,± 0.9%
"Fayette County, Tennessee",5%,± 1.3%
"Fayette County, Texas",4.80%,± 1.7%
"Fayette County, West Virginia",10.20%,± 1.7%
"Fentress County, Tennessee",5.50%,± 2.1%
"Fergus County, Montana",7.40%,± 2.7%
"Ferry County, Washington",6.20%,± 1.8%
"Fillmore County, Minnesota",6.20%,± 1.1%
"Fillmore County, Nebraska",2.50%,± 1.2%
"Finney County, Kansas",6.30%,± 1.5%
"Fisher County, Texas",5.60%,± 2.6%
"Flagler County, Florida",3.60%,± 0.8%
"Flathead County, Montana",3.70%,± 0.7%
"Fleming County, Kentucky",8.90%,± 2.5%
"Florence County, South Carolina",7.40%,± 0.8%
"Florence County, Wisconsin",2.80%,± 1.4%
"Florida Municipio, Puerto Rico",12.90%,± 4.2%
"Floyd County, Georgia",8.40%,± 1.4%
"Floyd County, Indiana",5.70%,± 1.1%
"Floyd County, Iowa",7.20%,± 2.3%
"Floyd County, Kentucky",8.60%,± 1.8%
"Floyd County, Texas",10.20%,± 5%
"Floyd County, Virginia",5.60%,± 3.7%
"Fluvanna County, Virginia",2.70%,± 1.1%
"Foard County, Texas",5.40%,± 5.5%
"Fond du Lac County, Wisconsin",5.70%,± 0.8%
"Ford County, Illinois",7.50%,± 2.1%
"Ford County, Kansas",4.80%,± 1.8%
"Forest County, Pennsylvania",6.10%,± 2.3%
"Forest County, Wisconsin",4.20%,± 0.9%
"Forrest County, Mississippi",8%,± 1.3%
"Forsyth County, Georgia",1.80%,± 0.3%
"Forsyth County, North Carolina",6.60%,± 0.6%
"Fort Bend County, Texas",2.80%,± 0.4%
"Foster County, North Dakota",4.60%,± 3.3%
"Fountain County, Indiana",4.60%,± 1.2%
"Franklin city, Virginia",10.90%,± 3.3%
"Franklin County, Alabama",9.20%,± 2.6%
"Franklin County, Arkansas",5.60%,± 1.9%
"Franklin County, Florida",6.60%,± 2.5%
"Franklin County, Georgia",4.20%,± 1.3%
"Franklin County, Idaho",1.80%,± 1.4%
"Franklin County, Illinois",7%,± 1.2%
"Franklin County, Indiana",7.10%,± 1.9%
"Franklin County, Iowa",3.90%,± 1.6%
"Franklin County, Kansas",4%,± 1.2%
"Franklin County, Kentucky",5.80%,± 1.5%
"Franklin County, Maine",9.20%,± 2.2%
"Franklin County, Massachusetts",7.30%,± 1%
"Franklin County, Mississippi",3.30%,± 1.9%
"Franklin County, Missouri",4%,± 0.9%
"Franklin County, Nebraska",3.50%,± 2.1%
"Franklin County, New York",11%,± 1.8%
"Franklin County, North Carolina",3.20%,± 0.9%
"Franklin County, Ohio",7.10%,± 0.3%
"Franklin County, Pennsylvania",5.20%,± 0.7%
"Franklin County, Tennessee",5.50%,± 1.3%
"Franklin County, Texas",1.90%,± 1.1%
"Franklin County, Vermont",6.20%,± 1.4%
"Franklin County, Virginia",5.50%,± 1.5%
"Franklin County, Washington",4.30%,± 1.1%
"Franklin Parish, Louisiana",5.20%,± 2.2%
"Frederick County, Maryland",3.90%,± 0.5%
"Frederick County, Virginia",3.60%,± 0.8%
"Fredericksburg city, Virginia",9.20%,± 2.2%
"Freeborn County, Minnesota",6.30%,± 1.2%
"Freestone County, Texas",3.30%,± 1.3%
"Fremont County, Colorado",5.20%,± 1.3%
"Fremont County, Idaho",2.10%,± 1.1%
"Fremont County, Iowa",2.60%,± 1.1%
"Fremont County, Wyoming",5.20%,± 1.2%
"Fresno County, California",7.40%,± 0.4%
"Frio County, Texas",10.90%,± 4.3%
"Frontier County, Nebraska",2.90%,± 2%
"Fulton County, Arkansas",5.40%,± 1.9%
"Fulton County, Georgia",10.70%,± 0.5%
"Fulton County, Illinois",5%,± 1%
"Fulton County, Indiana",6%,± 2%
"Fulton County, Kentucky",14.10%,± 4.6%
"Fulton County, New York",10%,± 1.7%
"Fulton County, Ohio",2.50%,± 0.8%
"Fulton County, Pennsylvania",5.60%,± 1.2%
"Furnas County, Nebraska",4.50%,± 1.9%
"Gadsden County, Florida",9.80%,± 1.9%
"Gage County, Nebraska",7.70%,± 2%
"Gaines County, Texas",4.10%,± 2.2%
"Galax city, Virginia",9.70%,± 4.3%
"Gallatin County, Illinois",7.70%,± 2.7%
"Gallatin County, Kentucky",3.30%,± 1.3%
"Gallatin County, Montana",2.60%,± 0.5%
"Gallia County, Ohio",9.10%,± 2.3%
"Galveston County, Texas",5.40%,± 0.5%
"Garden County, Nebraska",2.40%,± 1.6%
"Garfield County, Colorado",4.50%,± 1.4%
"Garfield County, Montana",0.70%,± 0.9%
"Garfield County, Nebraska",5.90%,± 3%
"Garfield County, Oklahoma",4.10%,± 1%
"Garfield County, Utah",2.50%,± 1.7%
"Garfield County, Washington",1.20%,± 1.8%
"Garland County, Arkansas",6.20%,± 1%
"Garrard County, Kentucky",4.70%,± 1.7%
"Garrett County, Maryland",7.40%,± 1.5%
"Garvin County, Oklahoma",4%,± 0.7%
"Garza County, Texas",6.30%,± 4.1%
"Gasconade County, Missouri",6%,± 1.4%
"Gaston County, North Carolina",5.40%,± 0.6%
"Gates County, North Carolina",3.40%,± 1.9%
"Geary County, Kansas",4.10%,± 1.1%
"Geauga County, Ohio",8.90%,± 0.8%
"Gem County, Idaho",4.80%,± 2.1%
"Genesee County, Michigan",7.90%,± 0.4%
"Genesee County, New York",9.80%,± 1.4%
"Geneva County, Alabama",6.80%,± 1.9%
"Gentry County, Missouri",5%,± 1.3%
"George County, Mississippi",6.10%,± 2.1%
"Georgetown County, South Carolina",5.10%,± 1%
"Gibson County, Indiana",3.90%,± 0.9%
"Gibson County, Tennessee",9.20%,± 1.8%
"Gila County, Arizona",6.90%,± 1.5%
"Gilchrist County, Florida",7.50%,± 2.1%
"Giles County, Tennessee",4%,± 1.6%
"Giles County, Virginia",5.60%,± 1.7%
"Gillespie County, Texas",5.50%,± 1.8%
"Gilliam County, Oregon",7.20%,± 4.1%
"Gilmer County, Georgia",3.70%,± 1.3%
"Gilmer County, West Virginia",6.60%,± 3.1%
"Gilpin County, Colorado",5.20%,± 5.7%
"Glacier County, Montana",5.60%,± 2.2%
"Glades County, Florida",2%,± 1.3%
"Gladwin County, Michigan",6.80%,± 1.1%
"Glascock County, Georgia",10.40%,± 6.5%
"Glasscock County, Texas",1.20%,± 2.3%
"Glenn County, California",3.60%,± 1.2%
"Gloucester County, New Jersey",5%,± 0.5%
"Gloucester County, Virginia",2.40%,± 0.9%
"Glynn County, Georgia",5.70%,± 1.3%
"Gogebic County, Michigan",8.30%,± 2%
"Golden Valley County, Montana",2.30%,± 1.8%
"Golden Valley County, North Dakota",5.60%,± 3.1%
"Goliad County, Texas",8.60%,± 3.8%
"Gonzales County, Texas",8.30%,± 2.3%
"Goochland County, Virginia",2.70%,± 1%
"Goodhue County, Minnesota",6.60%,± 1.2%
"Gooding County, Idaho",5.60%,± 2%
"Gordon County, Georgia",4.60%,± 1.6%
"Goshen County, Wyoming",4.70%,± 2.1%
"Gosper County, Nebraska",0.70%,± 0.8%
"Gove County, Kansas",1.40%,± 1%
"Grady County, Georgia",5%,± 1.5%
"Grady County, Oklahoma",4%,± 0.9%
"Grafton County, New Hampshire",6.60%,± 1.1%
"Graham County, Arizona",4.90%,± 1.2%
"Graham County, Kansas",4.20%,± 2.1%
"Graham County, North Carolina",6.40%,± 2.6%
"Grainger County, Tennessee",6.60%,± 2%
"Grand County, Colorado",2.50%,± 1.4%
"Grand County, Utah",2.10%,± 2.3%
"Grand Forks County, North Dakota",5.70%,± 1.2%
"Grand Isle County, Vermont",2%,± 1%
"Grand Traverse County, Michigan",5.80%,± 1%
"Granite County, Montana",3.10%,± 2.5%
"Grant County, Arkansas",2.40%,± 1.3%
"Grant County, Indiana",7.90%,± 1.4%
"Grant County, Kansas",1.80%,± 2.4%
"Grant County, Kentucky",5.60%,± 1.9%
"Grant County, Minnesota",4.20%,± 1.1%
"Grant County, Nebraska",3.60%,± 3.9%
"Grant County, New Mexico",4%,± 1.3%
"Grant County, North Dakota",3.80%,± 2.2%
"Grant County, Oklahoma",3%,± 1.4%
"Grant County, Oregon",3.50%,± 1.4%
"Grant County, South Dakota",5.30%,± 3.4%
"Grant County, Washington",4.70%,± 1.2%
"Grant County, West Virginia",7.20%,± 2.5%
"Grant County, Wisconsin",5.20%,± 0.7%
"Grant Parish, Louisiana",7.50%,± 2.7%
"Granville County, North Carolina",4.10%,± 1.1%
"Gratiot County, Michigan",5.20%,± 1.2%
"Graves County, Kentucky",5.90%,± 1.4%
"Gray County, Kansas",1.50%,± 1.4%
"Gray County, Texas",3.20%,± 1.4%
"Grays Harbor County, Washington",5.50%,± 0.9%
"Grayson County, Kentucky",5%,± 1.2%
"Grayson County, Texas",3.80%,± 0.7%
"Grayson County, Virginia",5%,± 1.5%
"Greater Bridgeport Planning Region, Connecticut",10%,± 0.7%
"Greeley County, Kansas",4.90%,± 3.5%
"Greeley County, Nebraska",1.80%,± 1.2%
"Green County, Kentucky",4.60%,± 1.7%
"Green County, Wisconsin",3.90%,± 0.9%
"Green Lake County, Wisconsin",6.20%,± 1.2%
"Greenbrier County, West Virginia",6.70%,± 1.7%
"Greene County, Alabama",13.20%,± 4.9%
"Greene County, Arkansas",4.90%,± 1.3%
"Greene County, Georgia",3.70%,± 1.4%
"Greene County, Illinois",3.50%,± 1.2%
"Greene County, Indiana",6.10%,± 1.7%
"Greene County, Iowa",4.70%,± 1.6%
"Greene County, Mississippi",7.20%,± 3.3%
"Greene County, Missouri",7.10%,± 0.7%
"Greene County, New York",8.60%,± 1.8%
"Greene County, North Carolina",5.50%,± 1.7%
"Greene County, Ohio",4.50%,± 0.6%
"Greene County, Pennsylvania",5.70%,± 1.4%
"Greene County, Tennessee",4.90%,± 1.3%
