Geography,Total—AGE OF OWN CHILDREN—Households with own children of the householder under 18 years—Under 6 years and 6 to 17 years—Estimate,MoE
"Clay County, Mississippi",27.80%,± 9.4%
"Clay County, Missouri",17.90%,± 2.1%
"Clay County, Nebraska",23%,± 4.7%
"Clay County, North Carolina",18%,± 11.5%
"Clay County, South Dakota",21.30%,± 8.2%
"Clay County, Tennessee",12.90%,± 9.2%
"Clay County, Texas",20.40%,± 7.7%
"Clay County, West Virginia",16.10%,± 11.8%
"Clayton County, Georgia",21.80%,± 2.7%
"Clayton County, Iowa",22.60%,± 4.3%
"Clear Creek County, Colorado",15.70%,± 8.1%
"Clearfield County, Pennsylvania",17.30%,± 2.9%
"Clearwater County, Idaho",16.70%,± 6.9%
"Clearwater County, Minnesota",20.60%,± 5%
"Cleburne County, Alabama",20.70%,± 7.6%
"Cleburne County, Arkansas",20.50%,± 6.1%
"Clermont County, Ohio",20.20%,± 2%
"Cleveland County, Arkansas",12.70%,± 6.3%
"Cleveland County, North Carolina",20.60%,± 3.7%
"Cleveland County, Oklahoma",20.40%,± 1.7%
"Clinch County, Georgia",38.10%,± 16%
"Clinton County, Illinois",28.80%,± 5.5%
"Clinton County, Indiana",20.20%,± 4.3%
"Clinton County, Iowa",18.40%,± 3.8%
"Clinton County, Kentucky",24.80%,± 11.7%
"Clinton County, Michigan",19.10%,± 2.2%
"Clinton County, Missouri",26.70%,± 6.5%
"Clinton County, New York",17.90%,± 3.4%
"Clinton County, Ohio",20%,± 4.2%
"Clinton County, Pennsylvania",19.20%,± 3.4%
"Cloud County, Kansas",33.50%,± 8.4%
"Coahoma County, Mississippi",22.10%,± 6.4%
"Coal County, Oklahoma",32.10%,± 7%
"Coamo Municipio, Puerto Rico",13.10%,± 5.4%
"Cobb County, Georgia",16.80%,± 1.4%
"Cochise County, Arizona",23.20%,± 3.2%
"Cochran County, Texas",26.80%,± 11.1%
"Cocke County, Tennessee",14.60%,± 5%
"Coconino County, Arizona",21.30%,± 2.5%
"Codington County, South Dakota",24.20%,± 6.1%
"Coffee County, Alabama",17.90%,± 3.3%
"Coffee County, Georgia",21.90%,± 5%
"Coffee County, Tennessee",17.30%,± 4.1%
"Coffey County, Kansas",13.70%,± 4.8%
"Coke County, Texas",11%,± 7.8%
"Colbert County, Alabama",20.60%,± 5.1%
"Cole County, Missouri",17.80%,± 2.9%
"Coleman County, Texas",22.20%,± 11.7%
"Coles County, Illinois",16.10%,± 3.7%
"Colfax County, Nebraska",25.80%,± 7.2%
"Colfax County, New Mexico",29.70%,± 8.8%
"Colleton County, South Carolina",19.30%,± 6.4%
"Collier County, Florida",18.20%,± 2.6%
"Collin County, Texas",17.20%,± 0.9%
"Collingsworth County, Texas",21%,± 10.7%
"Colonial Heights city, Virginia",22.30%,± 8.4%
"Colorado County, Texas",34.60%,± 8.7%
"Colquitt County, Georgia",22.40%,± 5.9%
"Columbia County, Arkansas",30.20%,± 9%
"Columbia County, Florida",16.40%,± 3.4%
"Columbia County, Georgia",20.40%,± 2.6%
"Columbia County, New York",15.90%,± 3.2%
"Columbia County, Oregon",21.40%,± 5%
"Columbia County, Pennsylvania",20.10%,± 3.3%
"Columbia County, Washington",15.60%,± 9.1%
"Columbia County, Wisconsin",17%,± 2.4%
"Columbiana County, Ohio",19.10%,± 3.1%
"Columbus County, North Carolina",19.60%,± 5%
"Colusa County, California",20.50%,± 5.6%
"Comal County, Texas",21.80%,± 3.4%
"Comanche County, Kansas",17.40%,± 10.4%
"Comanche County, Oklahoma",23.80%,± 2.7%
"Comanche County, Texas",28.20%,± 7.2%
"Comerío Municipio, Puerto Rico",11.90%,± 8.3%
"Concho County, Texas",16.20%,± 16%
"Concordia Parish, Louisiana",33.10%,± 10.6%
"Conecuh County, Alabama",20.20%,± 10.8%
"Conejos County, Colorado",29.60%,± 7.6%
"Contra Costa County, California",18.40%,± 1%
"Converse County, Wyoming",15.60%,± 6.2%
"Conway County, Arkansas",22.90%,± 7.4%
"Cook County, Georgia",15.60%,± 5.4%
"Cook County, Illinois",19.10%,± 0.5%
"Cook County, Minnesota",27.60%,± 10.6%
"Cooke County, Texas",16.10%,± 4.1%
"Cooper County, Missouri",15.40%,± 4.2%
"Coos County, New Hampshire",13%,± 3.8%
"Coos County, Oregon",19.50%,± 4.2%
"Coosa County, Alabama",17.70%,± 8.8%
"Copiah County, Mississippi",17.90%,± 5.7%
"Copper River Census Area, Alaska",15.20%,± 9.6%
"Corozal Municipio, Puerto Rico",15.60%,± 6.2%
"Corson County, South Dakota",21.90%,± 7.9%
"Cortland County, New York",21.60%,± 4.7%
"Coryell County, Texas",21.80%,± 3.5%
"Coshocton County, Ohio",23.40%,± 4.3%
"Costilla County, Colorado",18.40%,± 11.3%
"Cottle County, Texas",26.20%,± 17.4%
"Cotton County, Oklahoma",14.40%,± 6.7%
"Cottonwood County, Minnesota",21.90%,± 3.7%
"Covington city, Virginia",40.20%,± 13.7%
"Covington County, Alabama",22.70%,± 4.8%
"Covington County, Mississippi",24.10%,± 9.2%
"Coweta County, Georgia",19.50%,± 2.8%
"Cowley County, Kansas",18.90%,± 4%
"Cowlitz County, Washington",22.40%,± 3.3%
"Craig County, Oklahoma",22.90%,± 4.9%
"Craig County, Virginia",35.40%,± 19.7%
"Craighead County, Arkansas",24%,± 3.7%
"Crane County, Texas",19.20%,± 15.9%
"Craven County, North Carolina",18.50%,± 3.1%
"Crawford County, Arkansas",25.40%,± 4.9%
"Crawford County, Georgia",18.80%,± 9.1%
"Crawford County, Illinois",13.70%,± 4.9%
"Crawford County, Indiana",24.70%,± 9%
"Crawford County, Iowa",23.10%,± 7.2%
"Crawford County, Kansas",19.40%,± 3.8%
"Crawford County, Michigan",18.70%,± 6.5%
"Crawford County, Missouri",20.40%,± 6.1%
"Crawford County, Ohio",20.30%,± 4.3%
"Crawford County, Pennsylvania",20.10%,± 2.9%
"Crawford County, Wisconsin",22.90%,± 4.9%
"Creek County, Oklahoma",21.40%,± 2.3%
"Crenshaw County, Alabama",22.10%,± 8.7%
"Crisp County, Georgia",21%,± 7.9%
"Crittenden County, Arkansas",21.90%,± 3.8%
"Crittenden County, Kentucky",26.70%,± 9.6%
"Crockett County, Tennessee",23.10%,± 6.2%
"Crockett County, Texas",9.80%,± 10.6%
"Crook County, Oregon",17.90%,± 6.3%
"Crook County, Wyoming",21.40%,± 10.2%
"Crosby County, Texas",24.20%,± 8.4%
"Cross County, Arkansas",25.10%,± 7.4%
"Crow Wing County, Minnesota",22.20%,± 3.1%
"Crowley County, Colorado",22.20%,± 9.8%
"Culberson County, Texas",53.20%,± 43.2%
"Culebra Municipio, Puerto Rico",9.60%,± 11.5%
"Cullman County, Alabama",18.90%,± 3.2%
"Culpeper County, Virginia",25.20%,± 5.4%
"Cumberland County, Illinois",25.70%,± 8%
"Cumberland County, Kentucky",25.40%,± 13.3%
"Cumberland County, Maine",14.20%,± 1.6%
"Cumberland County, New Jersey",22.30%,± 3%
"Cumberland County, North Carolina",21.60%,± 1.6%
"Cumberland County, Pennsylvania",20.80%,± 1.9%
"Cumberland County, Tennessee",20.90%,± 5%
"Cumberland County, Virginia",12.30%,± 7.9%
"Cuming County, Nebraska",36.90%,± 7.8%
"Currituck County, North Carolina",25.60%,± 6.2%
"Curry County, New Mexico",26.40%,± 5.3%
"Curry County, Oregon",15.80%,± 6.6%
"Custer County, Colorado",2.80%,± 4.9%
"Custer County, Idaho",40.50%,± 16.5%
"Custer County, Montana",20.60%,± 5.6%
"Custer County, Nebraska",14.70%,± 5.4%
"Custer County, Oklahoma",18.10%,± 5.3%
"Custer County, South Dakota",19%,± 11.4%
"Cuyahoga County, Ohio",20%,± 1.1%
"Dade County, Georgia",24.60%,± 7.4%
"Dade County, Missouri",27.40%,± 9%
"Daggett County, Utah",20.70%,± 21.8%
"Dakota County, Minnesota",19.30%,± 1.3%
"Dakota County, Nebraska",26%,± 8%
"Dale County, Alabama",22%,± 3.8%
"Dallam County, Texas",47.40%,± 17.6%
"Dallas County, Alabama",25.50%,± 6.7%
"Dallas County, Arkansas",36.80%,± 16.1%
"Dallas County, Iowa",18.30%,± 2.4%
"Dallas County, Missouri",26.80%,± 9.3%
"Dallas County, Texas",22.20%,± 0.9%
"Dane County, Wisconsin",17%,± 1.2%
"Daniels County, Montana",4.80%,± 6.2%
"Danville city, Virginia",24%,± 5.6%
"Dare County, North Carolina",21.60%,± 6.6%
"Darke County, Ohio",24.40%,± 4%
"Darlington County, South Carolina",23.10%,± 4.7%
"Dauphin County, Pennsylvania",19.90%,± 2%
"Davidson County, North Carolina",17.10%,± 2.2%
"Davidson County, Tennessee",20.80%,± 1.4%
"Davie County, North Carolina",20.60%,± 4.7%
"Daviess County, Indiana",26.80%,± 4.2%
"Daviess County, Kentucky",24.10%,± 3.3%
"Daviess County, Missouri",27.20%,± 6.8%
"Davis County, Iowa",27.60%,± 7.3%
"Davis County, Utah",24.50%,± 1.4%
"Davison County, South Dakota",22%,± 6.3%
"Dawes County, Nebraska",18.60%,± 11.5%
"Dawson County, Georgia",22.60%,± 6.8%
"Dawson County, Montana",15.60%,± 9.5%
"Dawson County, Nebraska",28.90%,± 5.5%
"Dawson County, Texas",17.80%,± 8.7%
"Day County, South Dakota",25.90%,± 9.8%
"De Baca County, New Mexico",77%,± 25.8%
"De Soto Parish, Louisiana",24.70%,± 5.8%
"De Witt County, Illinois",19.10%,± 5.6%
"Deaf Smith County, Texas",19.60%,± 7.2%
"Dearborn County, Indiana",22.90%,± 6.7%
"Decatur County, Georgia",28.20%,± 6.3%
"Decatur County, Indiana",23.80%,± 6.1%
"Decatur County, Iowa",22.90%,± 5.4%
"Decatur County, Kansas",25%,± 10.6%
"Decatur County, Tennessee",19.70%,± 7.4%
"Deer Lodge County, Montana",12.40%,± 8.2%
"Defiance County, Ohio",23%,± 5.1%
"DeKalb County, Alabama",19.50%,± 3.6%
"DeKalb County, Georgia",17.30%,± 1.3%
"DeKalb County, Illinois",21.30%,± 2.9%
"DeKalb County, Indiana",22.80%,± 4.5%
"DeKalb County, Missouri",28.30%,± 7.8%
"DeKalb County, Tennessee",20.20%,± 7%
"Del Norte County, California",22.60%,± 7.1%
"Delaware County, Indiana",20.70%,± 2.9%
"Delaware County, Iowa",20.50%,± 6.4%
"Delaware County, New York",15.50%,± 3.8%
"Delaware County, Ohio",18.10%,± 1.9%
"Delaware County, Oklahoma",25.10%,± 3.5%
"Delaware County, Pennsylvania",20.80%,± 1.3%
"Delta County, Colorado",18.60%,± 4.9%
"Delta County, Michigan",21.60%,± 4.4%
"Delta County, Texas",22.60%,± 9%
"Denali Borough, Alaska",13.10%,± 11.5%
"Dent County, Missouri",15.30%,± 5.2%
"Denton County, Texas",17.10%,± 1%
"Denver County, Colorado",17%,± 1%
"Des Moines County, Iowa",21.10%,± 4.4%
"Deschutes County, Oregon",14.60%,± 2.2%
"Desha County, Arkansas",20.80%,± 8.4%
"DeSoto County, Florida",28.60%,± 7.1%
"DeSoto County, Mississippi",19.20%,± 2.3%
"Deuel County, Nebraska",14.40%,± 7.4%
"Deuel County, South Dakota",16%,± 6.8%
"Dewey County, Oklahoma",19.60%,± 6.3%
"Dewey County, South Dakota",23.70%,± 7%
"DeWitt County, Texas",27.60%,± 7.6%
"Dickens County, Texas",6.40%,± 6.3%
"Dickenson County, Virginia",18.10%,± 7.1%
"Dickey County, North Dakota",24%,± 6.7%
"Dickinson County, Iowa",13%,± 5.2%
"Dickinson County, Kansas",19.60%,± 5.2%
"Dickinson County, Michigan",17.80%,± 4.1%
"Dickson County, Tennessee",16.80%,± 3.7%
"Dillingham Census Area, Alaska",27.30%,± 5.7%
"Dillon County, South Carolina",19.10%,± 4.9%
"Dimmit County, Texas",44.90%,± 19.1%
"Dinwiddie County, Virginia",14.60%,± 5.9%
"District of Columbia, District of Columbia",20%,± 1.7%
"Divide County, North Dakota",11.70%,± 9.2%
"Dixie County, Florida",28.20%,± 11.3%
"Dixon County, Nebraska",25.80%,± 6.9%
"Doddridge County, West Virginia",26.40%,± 15.3%
"Dodge County, Georgia",10.60%,± 4.7%
"Dodge County, Minnesota",17.50%,± 4%
"Dodge County, Nebraska",21.10%,± 3.6%
"Dodge County, Wisconsin",19.10%,± 2.6%
"Dolores County, Colorado",5.80%,± 8.2%
"Doña Ana County, New Mexico",22.80%,± 3%
"Doniphan County, Kansas",33.30%,± 8.6%
"Donley County, Texas",10.60%,± 9.6%
"Dooly County, Georgia",13.50%,± 8.3%
"Door County, Wisconsin",17%,± 4.9%
"Dorado Municipio, Puerto Rico",10.90%,± 6.1%
"Dorchester County, Maryland",16.50%,± 4.6%
"Dorchester County, South Carolina",19.20%,± 2.3%
"Dougherty County, Georgia",21.10%,± 4%
"Douglas County, Colorado",15.90%,± 1.4%
"Douglas County, Georgia",17.60%,± 3.4%
"Douglas County, Illinois",24.20%,± 5.2%
"Douglas County, Kansas",18.30%,± 3.3%
"Douglas County, Minnesota",20.10%,± 3.2%
"Douglas County, Missouri",18.60%,± 8.6%
"Douglas County, Nebraska",21.10%,± 1.4%
"Douglas County, Nevada",12.40%,± 4.3%
"Douglas County, Oregon",18.80%,± 4%
"Douglas County, South Dakota",34.50%,± 9.3%
"Douglas County, Washington",23.20%,± 4.3%
"Douglas County, Wisconsin",15.50%,± 3.4%
"Drew County, Arkansas",21.30%,± 7.1%
"Dubois County, Indiana",25.30%,± 5%
"Dubuque County, Iowa",23.10%,± 2.5%
"Duchesne County, Utah",35.80%,± 4.3%
"Dukes County, Massachusetts",14.40%,± 8.3%
"Dundy County, Nebraska",23.30%,± 12.7%
"Dunklin County, Missouri",18.80%,± 3.8%
"Dunn County, North Dakota",29.80%,± 8.2%
"Dunn County, Wisconsin",25.10%,± 4.4%
"DuPage County, Illinois",19.40%,± 1%
"Duplin County, North Carolina",15.20%,± 4.1%
"Durham County, North Carolina",20.50%,± 1.8%
"Dutchess County, New York",15.60%,± 1.6%
"Duval County, Florida",20.90%,± 1.4%
"Duval County, Texas",31.20%,± 15.7%
"Dyer County, Tennessee",23.90%,± 5.5%
"Eagle County, Colorado",17%,± 5%
"Early County, Georgia",17.60%,± 6.9%
"East Baton Rouge Parish, Louisiana",21.30%,± 2.4%
"East Carroll Parish, Louisiana",18.30%,± 14.8%
"East Feliciana Parish, Louisiana",16.10%,± 7.5%
"Eastland County, Texas",14.60%,± 6.9%
"Eaton County, Michigan",17.20%,± 2.3%
"Eau Claire County, Wisconsin",18%,± 2.6%
"Echols County, Georgia",12.50%,± 9.2%
"Ector County, Texas",28.10%,± 3.4%
"Eddy County, New Mexico",23.70%,± 5.4%
"Eddy County, North Dakota",17.50%,± 8.3%
"Edgar County, Illinois",15.40%,± 6%
"Edgecombe County, North Carolina",26.80%,± 5.4%
"Edgefield County, South Carolina",14.90%,± 5.7%
"Edmonson County, Kentucky",30.20%,± 10.7%
"Edmunds County, South Dakota",25.40%,± 10.3%
"Edwards County, Illinois",13.90%,± 5.3%
"Edwards County, Kansas",21.10%,± 7.1%
"Edwards County, Texas",49.40%,± 43.8%
"Effingham County, Georgia",25.30%,± 4.5%
"Effingham County, Illinois",23.90%,± 4.2%
"El Dorado County, California",18.60%,± 2.1%
"El Paso County, Colorado",19.60%,± 1.2%
"El Paso County, Texas",23.30%,± 1.5%
"Elbert County, Colorado",20.40%,± 5.3%
"Elbert County, Georgia",27.20%,± 9.2%
"Elk County, Kansas",19.70%,± 8%
"Elk County, Pennsylvania",16.80%,± 4.3%
"Elkhart County, Indiana",19.60%,± 2%
"Elko County, Nevada",24.50%,± 3.8%
"Elliott County, Kentucky",16.80%,± 10.8%
"Ellis County, Kansas",26.90%,± 6.4%
"Ellis County, Oklahoma",16%,± 6.2%
"Ellis County, Texas",20.80%,± 2.4%
"Ellsworth County, Kansas",20.60%,± 7%
"Elmore County, Alabama",19.30%,± 3.3%
"Elmore County, Idaho",20.40%,± 5.4%
"Emanuel County, Georgia",27.70%,± 9.5%
"Emery County, Utah",35.60%,± 7.6%
"Emmet County, Iowa",26%,± 8.8%
"Emmet County, Michigan",13.90%,± 3.4%
"Emmons County, North Dakota",24.80%,± 7%
"Emporia city, Virginia",12.40%,± 12.9%
"Erath County, Texas",20.10%,± 5.6%
"Erie County, New York",20%,± 1%
"Erie County, Ohio",24.30%,± 4.3%
"Erie County, Pennsylvania",20.50%,± 2%
"Escambia County, Alabama",20%,± 7%
"Escambia County, Florida",18.20%,± 2.2%
"Esmeralda County, Nevada",42.30%,± 33.3%
"Essex County, Massachusetts",17.50%,± 1.1%
"Essex County, New Jersey",19%,± 1.2%
"Essex County, New York",12.20%,± 4%
"Essex County, Vermont",20.30%,± 6.2%
"Essex County, Virginia",14.10%,± 8.6%
"Estill County, Kentucky",22.20%,± 8.1%
"Etowah County, Alabama",20.90%,± 2.8%
"Eureka County, Nevada",34.20%,± 26.8%
"Evangeline Parish, Louisiana",15.80%,± 4.9%
"Evans County, Georgia",37.90%,± 9.8%
"Fairbanks North Star Borough, Alaska",20.70%,± 3.1%
"Fairfax city, Virginia",15.50%,± 5.2%
"Fairfax County, Virginia",17.50%,± 0.8%
"Fairfield County, Ohio",19%,± 1.9%
"Fairfield County, South Carolina",14%,± 8.4%
"Fajardo Municipio, Puerto Rico",13.80%,± 4.3%
"Fall River County, South Dakota",26.10%,± 13.8%
"Fallon County, Montana",15.50%,± 10.4%
"Falls Church city, Virginia",8%,± 3%
"Falls County, Texas",29.30%,± 9.2%
"Fannin County, Georgia",23.90%,± 8.9%
"Fannin County, Texas",20.50%,± 5%
"Faribault County, Minnesota",21.30%,± 4.8%
"Faulk County, South Dakota",24.60%,± 10.2%
"Faulkner County, Arkansas",21%,± 3.5%
"Fauquier County, Virginia",18.50%,± 2.7%
"Fayette County, Alabama",17.20%,± 6.5%
"Fayette County, Georgia",17%,± 3%
"Fayette County, Illinois",18.60%,± 4.5%
"Fayette County, Indiana",18.20%,± 5.1%
"Fayette County, Iowa",27.40%,± 6%
"Fayette County, Kentucky",20.10%,± 1.9%
"Fayette County, Ohio",27.40%,± 5.6%
"Fayette County, Pennsylvania",17.50%,± 3.1%
"Fayette County, Tennessee",28.40%,± 5.2%
"Fayette County, Texas",22.10%,± 6.3%
"Fayette County, West Virginia",24.30%,± 5.7%
"Fentress County, Tennessee",19.40%,± 6.4%
"Fergus County, Montana",21.10%,± 7.4%
"Ferry County, Washington",24.80%,± 9.4%
"Fillmore County, Minnesota",23.10%,± 2.9%
"Fillmore County, Nebraska",20.50%,± 6.1%
"Finney County, Kansas",32.30%,± 5.3%
"Fisher County, Texas",22.40%,± 10.1%
"Flagler County, Florida",15.80%,± 3.1%
"Flathead County, Montana",20.30%,± 3.1%
"Fleming County, Kentucky",23.80%,± 6.6%
"Florence County, South Carolina",21.20%,± 3.3%
"Florence County, Wisconsin",9.60%,± 5.3%
"Florida Municipio, Puerto Rico",9.90%,± 9.1%
"Floyd County, Georgia",21.20%,± 3.5%
"Floyd County, Indiana",18%,± 3.3%
"Floyd County, Iowa",29.60%,± 7.5%
"Floyd County, Kentucky",23.60%,± 5.9%
"Floyd County, Texas",35.20%,± 13.1%
"Floyd County, Virginia",19.60%,± 7.3%
"Fluvanna County, Virginia",16.20%,± 6.8%
"Foard County, Texas",19.60%,± 26.5%
"Fond du Lac County, Wisconsin",20.90%,± 2.8%
"Ford County, Illinois",21.80%,± 5%
"Ford County, Kansas",25.40%,± 6.5%
"Forest County, Pennsylvania",10.90%,± 7.3%
"Forest County, Wisconsin",26.40%,± 4.9%
"Forrest County, Mississippi",21.70%,± 3.7%
"Forsyth County, Georgia",17.40%,± 1.3%
"Forsyth County, North Carolina",20.10%,± 1.6%
"Fort Bend County, Texas",20.50%,± 1.7%
"Foster County, North Dakota",29%,± 10.8%
"Fountain County, Indiana",17.40%,± 5.3%
"Franklin city, Virginia",37.30%,± 13.6%
"Franklin County, Alabama",32.30%,± 8.2%
"Franklin County, Arkansas",29.60%,± 10.7%
"Franklin County, Florida",23.60%,± 13.4%
"Franklin County, Georgia",22.20%,± 6.3%
"Franklin County, Idaho",24.10%,± 6.4%
"Franklin County, Illinois",16.50%,± 3.3%
"Franklin County, Indiana",23.80%,± 8%
"Franklin County, Iowa",28.20%,± 7.5%
"Franklin County, Kansas",22.40%,± 6.2%
"Franklin County, Kentucky",16.10%,± 4.7%
"Franklin County, Maine",21.60%,± 6.4%
"Franklin County, Massachusetts",18.70%,± 2.9%
"Franklin County, Mississippi",9.10%,± 7%
"Franklin County, Missouri",20.30%,± 3.2%
"Franklin County, Nebraska",24.90%,± 9.5%
"Franklin County, New York",23.50%,± 3.8%
"Franklin County, North Carolina",23.70%,± 4%
"Franklin County, Ohio",21.30%,± 1%
"Franklin County, Pennsylvania",21.20%,± 3%
"Franklin County, Tennessee",20.90%,± 4.2%
"Franklin County, Texas",24.20%,± 9.6%
"Franklin County, Vermont",16.50%,± 3.6%
"Franklin County, Virginia",27.30%,± 5.7%
"Franklin County, Washington",23.90%,± 3.7%
"Franklin Parish, Louisiana",18.10%,± 6.8%
"Frederick County, Maryland",19.80%,± 1.7%
"Frederick County, Virginia",21.50%,± 3.4%
"Fredericksburg city, Virginia",27.80%,± 8.5%
"Freeborn County, Minnesota",22.20%,± 3.8%
"Freestone County, Texas",19.20%,± 7.4%
"Fremont County, Colorado",23.20%,± 5%
"Fremont County, Idaho",20.20%,± 5.6%
"Fremont County, Iowa",20.40%,± 5.5%
"Fremont County, Wyoming",22.10%,± 4.1%
"Fresno County, California",26.20%,± 1.2%
"Frio County, Texas",32%,± 15.9%
"Frontier County, Nebraska",27.30%,± 10.5%
"Fulton County, Arkansas",28.80%,± 11.8%
"Fulton County, Georgia",16.70%,± 1.5%
"Fulton County, Illinois",22.20%,± 4.5%
"Fulton County, Indiana",30.20%,± 8.7%
"Fulton County, Kentucky",33.50%,± 16.8%
"Fulton County, New York",19.40%,± 4.6%
"Fulton County, Ohio",18.80%,± 4.6%
"Fulton County, Pennsylvania",18.70%,± 3.1%
"Furnas County, Nebraska",18%,± 5.5%
"Gadsden County, Florida",26.20%,± 5.8%
"Gage County, Nebraska",23.60%,± 5.3%
"Gaines County, Texas",32.80%,± 8.8%
"Galax city, Virginia",27.10%,± 14.2%
"Gallatin County, Illinois",13%,± 7%
"Gallatin County, Kentucky",17.20%,± 8.5%
"Gallatin County, Montana",15.20%,± 2.4%
"Gallia County, Ohio",20.60%,± 5.5%
"Galveston County, Texas",18.80%,± 1.8%
"Garden County, Nebraska",17.20%,± 10%
"Garfield County, Colorado",17.50%,± 4%
"Garfield County, Montana",26.90%,± 14.3%
"Garfield County, Nebraska",8.50%,± 9.4%
"Garfield County, Oklahoma",25%,± 3.8%
"Garfield County, Utah",28.60%,± 12.8%
"Garfield County, Washington",35.40%,± 15.5%
"Garland County, Arkansas",19.90%,± 3.2%
"Garrard County, Kentucky",25.20%,± 8.1%
"Garrett County, Maryland",19.40%,± 4.3%
"Garvin County, Oklahoma",23.80%,± 4.1%
"Garza County, Texas",20.60%,± 18.8%
"Gasconade County, Missouri",27%,± 6.6%
"Gaston County, North Carolina",18.20%,± 2%
"Gates County, North Carolina",20.60%,± 9.3%
"Geary County, Kansas",19.70%,± 4.2%
"Geauga County, Ohio",16.40%,± 2.3%
"Gem County, Idaho",23.10%,± 7.8%
"Genesee County, Michigan",17.50%,± 1.4%
"Genesee County, New York",20.10%,± 3.7%
"Geneva County, Alabama",22.90%,± 7.2%
"Gentry County, Missouri",27.90%,± 5.8%
"George County, Mississippi",27.90%,± 8.3%
"Georgetown County, South Carolina",21.20%,± 6.7%
"Gibson County, Indiana",19.60%,± 4.5%
"Gibson County, Tennessee",25.20%,± 5.3%
"Gila County, Arizona",21.10%,± 4.8%
"Gilchrist County, Florida",16.70%,± 4.9%
"Giles County, Tennessee",13.60%,± 4.4%
"Giles County, Virginia",35.30%,± 8.1%
"Gillespie County, Texas",20%,± 5.9%
"Gilliam County, Oregon",19.20%,± 11.9%
"Gilmer County, Georgia",21.20%,± 7.1%
"Gilmer County, West Virginia",10%,± 8.3%
"Gilpin County, Colorado",10.40%,± 10.4%
"Glacier County, Montana",16.80%,± 5.3%
"Glades County, Florida",12.40%,± 9.5%
"Gladwin County, Michigan",25.10%,± 4.6%
"Glascock County, Georgia",12.40%,± 11%
"Glasscock County, Texas",48.50%,± 29.9%
"Glenn County, California",27.40%,± 7%
"Gloucester County, New Jersey",18.60%,± 1.7%
"Gloucester County, Virginia",19.90%,± 5.2%
"Glynn County, Georgia",16.10%,± 4.4%
"Gogebic County, Michigan",14%,± 4.9%
"Golden Valley County, Montana",28.60%,± 15.8%
"Golden Valley County, North Dakota",31.40%,± 16.2%
"Goliad County, Texas",25.80%,± 10.2%
"Gonzales County, Texas",23.80%,± 6.3%
"Goochland County, Virginia",15.60%,± 7.6%
"Goodhue County, Minnesota",22.40%,± 3.2%
"Gooding County, Idaho",27.40%,± 8.4%
"Gordon County, Georgia",15.20%,± 4.2%
"Goshen County, Wyoming",18.90%,± 6.3%
"Gosper County, Nebraska",11.70%,± 10%
"Gove County, Kansas",25.80%,± 10.3%
"Grady County, Georgia",27.50%,± 7.5%
"Grady County, Oklahoma",20.30%,± 2.7%
"Grafton County, New Hampshire",15.30%,± 2.8%
"Graham County, Arizona",23.90%,± 5%
"Graham County, Kansas",19.10%,± 10.9%
"Graham County, North Carolina",12.30%,± 7.6%
"Grainger County, Tennessee",16.20%,± 4.7%
"Grand County, Colorado",13.70%,± 8.6%
"Grand County, Utah",15.50%,± 9.8%
"Grand Forks County, North Dakota",17%,± 2.6%
"Grand Isle County, Vermont",14.50%,± 5.6%
"Grand Traverse County, Michigan",18.60%,± 3%
"Granite County, Montana",18.50%,± 13%
"Grant County, Arkansas",21.60%,± 8.3%
"Grant County, Indiana",21.50%,± 4.4%
"Grant County, Kansas",36.50%,± 18.2%
"Grant County, Kentucky",19.20%,± 6.3%
"Grant County, Minnesota",25.30%,± 4.6%
"Grant County, Nebraska",32.30%,± 15.5%
"Grant County, New Mexico",17.70%,± 8.1%
"Grant County, North Dakota",30.50%,± 10%
"Grant County, Oklahoma",24%,± 8.3%
"Grant County, Oregon",7.10%,± 4.2%
"Grant County, South Dakota",19.10%,± 7%
"Grant County, Washington",32.60%,± 4%
"Grant County, West Virginia",19.50%,± 8.3%
"Grant County, Wisconsin",19.20%,± 3.1%
"Grant Parish, Louisiana",17.30%,± 8.8%
"Granville County, North Carolina",15.40%,± 3.7%
"Gratiot County, Michigan",22.90%,± 3.9%
"Graves County, Kentucky",19.20%,± 5.2%
"Gray County, Kansas",17.30%,± 6.1%
"Gray County, Texas",27.70%,± 5.7%
"Grays Harbor County, Washington",20.20%,± 4.3%
"Grayson County, Kentucky",15%,± 4.3%
"Grayson County, Texas",19.10%,± 2.9%
"Grayson County, Virginia",16%,± 5.9%
"Greater Bridgeport Planning Region, Connecticut",18.30%,± 1.7%
"Greeley County, Kansas",28.40%,± 13.1%
"Greeley County, Nebraska",24.20%,± 9%
"Green County, Kentucky",18.60%,± 9%
"Green County, Wisconsin",18.50%,± 3.1%
"Green Lake County, Wisconsin",25%,± 4.5%
"Greenbrier County, West Virginia",14.50%,± 5%
"Greene County, Alabama",8.20%,± 7.7%
"Greene County, Arkansas",19.20%,± 4.2%
"Greene County, Georgia",30.60%,± 8.9%
"Greene County, Illinois",20.20%,± 5.6%
"Greene County, Indiana",19.30%,± 4.2%
"Greene County, Iowa",24.50%,± 7.8%
"Greene County, Mississippi",20.10%,± 9.3%
"Greene County, Missouri",19.40%,± 2.2%
"Greene County, New York",14.10%,± 3.5%
"Greene County, North Carolina",31.40%,± 8.3%
"Greene County, Ohio",22.50%,± 2.4%
"Greene County, Pennsylvania",23.10%,± 4.3%
"Greene County, Tennessee",16%,± 3.5%
