Geography,"Natural resources, construction, and maintenance occupations—Civilian employed population 16 years and over—Estimate",MoE
"Clay County, Mississippi",9.30%,± 2.4%
"Clay County, Missouri",7.80%,± 0.6%
"Clay County, Nebraska",15.50%,± 2.1%
"Clay County, North Carolina",9.90%,± 4.6%
"Clay County, South Dakota",7.10%,± 1.9%
"Clay County, Tennessee",22.50%,± 7.1%
"Clay County, Texas",12.80%,± 2.3%
"Clay County, West Virginia",18.50%,± 5.2%
"Clayton County, Georgia",8.40%,± 0.8%
"Clayton County, Iowa",14.80%,± 1.8%
"Clear Creek County, Colorado",8.60%,± 3.1%
"Clearfield County, Pennsylvania",11.60%,± 1.2%
"Clearwater County, Idaho",13.80%,± 3.3%
"Clearwater County, Minnesota",14.40%,± 1.8%
"Cleburne County, Alabama",16.60%,± 4.3%
"Cleburne County, Arkansas",12.60%,± 2.9%
"Clermont County, Ohio",9.10%,± 0.8%
"Cleveland County, Arkansas",14.10%,± 5.2%
"Cleveland County, North Carolina",9.70%,± 1.2%
"Cleveland County, Oklahoma",8.90%,± 0.6%
"Clinch County, Georgia",19.20%,± 6.2%
"Clinton County, Illinois",11.60%,± 1.6%
"Clinton County, Indiana",14.50%,± 2.2%
"Clinton County, Iowa",10.30%,± 1.4%
"Clinton County, Kentucky",12.50%,± 3.4%
"Clinton County, Michigan",9.10%,± 1%
"Clinton County, Missouri",10.90%,± 2.1%
"Clinton County, New York",8.50%,± 1.4%
"Clinton County, Ohio",9.50%,± 1.6%
"Clinton County, Pennsylvania",12.10%,± 1.5%
"Cloud County, Kansas",14.70%,± 2.9%
"Coahoma County, Mississippi",10.20%,± 2.4%
"Coal County, Oklahoma",16.10%,± 3.1%
"Coamo Municipio, Puerto Rico",11.20%,± 2.6%
"Cobb County, Georgia",7.30%,± 0.4%
"Cochise County, Arizona",9.70%,± 1%
"Cochran County, Texas",20.10%,± 5.3%
"Cocke County, Tennessee",10.70%,± 2%
"Coconino County, Arizona",7.90%,± 0.9%
"Codington County, South Dakota",9.30%,± 1.7%
"Coffee County, Alabama",14%,± 1.5%
"Coffee County, Georgia",14.70%,± 2.6%
"Coffee County, Tennessee",11.10%,± 1.7%
"Coffey County, Kansas",12.70%,± 2.2%
"Coke County, Texas",16.50%,± 5.2%
"Colbert County, Alabama",9.80%,± 1.6%
"Cole County, Missouri",9.20%,± 1.2%
"Coleman County, Texas",11.60%,± 4.2%
"Coles County, Illinois",8.30%,± 1.5%
"Colfax County, Nebraska",18.30%,± 4%
"Colfax County, New Mexico",11.60%,± 3.7%
"Colleton County, South Carolina",17.80%,± 3%
"Collier County, Florida",12.10%,± 0.9%
"Collin County, Texas",4.90%,± 0.3%
"Collingsworth County, Texas",15.10%,± 5.4%
"Colonial Heights city, Virginia",9.40%,± 2.1%
"Colorado County, Texas",15.70%,± 4.4%
"Colquitt County, Georgia",16.60%,± 2.4%
"Columbia County, Arkansas",9.40%,± 2.5%
"Columbia County, Florida",11.40%,± 1.7%
"Columbia County, Georgia",8.70%,± 1.5%
"Columbia County, New York",9.30%,± 1.1%
"Columbia County, Oregon",11%,± 1.4%
"Columbia County, Pennsylvania",10.80%,± 1.3%
"Columbia County, Washington",16.40%,± 4.9%
"Columbia County, Wisconsin",11.40%,± 0.8%
"Columbiana County, Ohio",10.30%,± 1.1%
"Columbus County, North Carolina",12.30%,± 2.4%
"Colusa County, California",23.70%,± 3.5%
"Comal County, Texas",8.70%,± 0.9%
"Comanche County, Kansas",15.50%,± 4%
"Comanche County, Oklahoma",9%,± 1%
"Comanche County, Texas",18.60%,± 3.3%
"Comerío Municipio, Puerto Rico",13.90%,± 5.3%
"Concho County, Texas",13.80%,± 5.3%
"Concordia Parish, Louisiana",17.50%,± 4.2%
"Conecuh County, Alabama",7.20%,± 2.3%
"Conejos County, Colorado",16.10%,± 3.4%
"Contra Costa County, California",7.50%,± 0.3%
"Converse County, Wyoming",21.80%,± 3.4%
"Conway County, Arkansas",14.90%,± 2.5%
"Cook County, Georgia",14.30%,± 3.1%
"Cook County, Illinois",5.80%,± 0.1%
"Cook County, Minnesota",8.10%,± 2.3%
"Cooke County, Texas",14.70%,± 2.3%
"Cooper County, Missouri",13%,± 1.7%
"Coos County, New Hampshire",13.30%,± 1.4%
"Coos County, Oregon",10.50%,± 1.5%
"Coosa County, Alabama",14.10%,± 3.8%
"Copiah County, Mississippi",7.70%,± 1.8%
"Copper River Census Area, Alaska",16.70%,± 6.8%
"Corozal Municipio, Puerto Rico",11.80%,± 2.7%
"Corson County, South Dakota",9.80%,± 2.3%
"Cortland County, New York",9.20%,± 1.1%
"Coryell County, Texas",11.50%,± 1.6%
"Coshocton County, Ohio",13.70%,± 2%
"Costilla County, Colorado",19%,± 6.3%
"Cottle County, Texas",16.20%,± 7.4%
"Cotton County, Oklahoma",12%,± 3.1%
"Cottonwood County, Minnesota",12.40%,± 2.3%
"Covington city, Virginia",15.80%,± 5.2%
"Covington County, Alabama",12.40%,± 1.9%
"Covington County, Mississippi",10.50%,± 2.9%
"Coweta County, Georgia",8.50%,± 0.9%
"Cowley County, Kansas",11.70%,± 1.5%
"Cowlitz County, Washington",12.10%,± 1.3%
"Craig County, Oklahoma",14.70%,± 2.3%
"Craig County, Virginia",10.70%,± 6.7%
"Craighead County, Arkansas",10.10%,± 0.9%
"Crane County, Texas",25.90%,± 8.1%
"Craven County, North Carolina",9.10%,± 1.3%
"Crawford County, Arkansas",10.50%,± 1.6%
"Crawford County, Georgia",18%,± 3.8%
"Crawford County, Illinois",10.30%,± 1.8%
"Crawford County, Indiana",12.90%,± 3.1%
"Crawford County, Iowa",12.20%,± 2%
"Crawford County, Kansas",9.50%,± 1.5%
"Crawford County, Michigan",11.20%,± 2.5%
"Crawford County, Missouri",13.90%,± 2.4%
"Crawford County, Ohio",10.90%,± 1.4%
"Crawford County, Pennsylvania",10.20%,± 0.8%
"Crawford County, Wisconsin",14%,± 1.7%
"Creek County, Oklahoma",12.60%,± 1%
"Crenshaw County, Alabama",12%,± 2.7%
"Crisp County, Georgia",12.50%,± 3.8%
"Crittenden County, Arkansas",9.30%,± 1.4%
"Crittenden County, Kentucky",18.80%,± 4.7%
"Crockett County, Tennessee",14%,± 2.3%
"Crockett County, Texas",24.30%,± 12.6%
"Crook County, Oregon",15.10%,± 2.8%
"Crook County, Wyoming",24.20%,± 5%
"Crosby County, Texas",19.30%,± 4.3%
"Cross County, Arkansas",17.40%,± 2.7%
"Crow Wing County, Minnesota",9.80%,± 1.1%
"Crowley County, Colorado",10%,± 4.2%
"Culberson County, Texas",26.90%,± 18.6%
"Culebra Municipio, Puerto Rico",20.20%,± 8%
"Cullman County, Alabama",13.60%,± 1.3%
"Culpeper County, Virginia",10.90%,± 1.4%
"Cumberland County, Illinois",12.10%,± 2.1%
"Cumberland County, Kentucky",18.60%,± 5.9%
"Cumberland County, Maine",6.30%,± 0.5%
"Cumberland County, New Jersey",12.20%,± 1.3%
"Cumberland County, North Carolina",8.20%,± 0.6%
"Cumberland County, Pennsylvania",6.80%,± 0.5%
"Cumberland County, Tennessee",10.30%,± 1.3%
"Cumberland County, Virginia",14.40%,± 4%
"Cuming County, Nebraska",14%,± 2.6%
"Currituck County, North Carolina",14.30%,± 2.1%
"Curry County, New Mexico",12.90%,± 1.9%
"Curry County, Oregon",14%,± 3.2%
"Custer County, Colorado",22%,± 5.7%
"Custer County, Idaho",9.90%,± 4.9%
"Custer County, Montana",13.40%,± 2.1%
"Custer County, Nebraska",17.80%,± 2.6%
"Custer County, Oklahoma",11.30%,± 2%
"Custer County, South Dakota",11.50%,± 3.9%
"Cuyahoga County, Ohio",5.40%,± 0.2%
"Dade County, Georgia",14.70%,± 3.1%
"Dade County, Missouri",15%,± 3.2%
"Daggett County, Utah",13.30%,± 6.8%
"Dakota County, Minnesota",6.40%,± 0.4%
"Dakota County, Nebraska",9.70%,± 1.9%
"Dale County, Alabama",14%,± 2.1%
"Dallam County, Texas",12%,± 5.2%
"Dallas County, Alabama",9.10%,± 2%
"Dallas County, Arkansas",5.10%,± 1.8%
"Dallas County, Iowa",5.90%,± 0.8%
"Dallas County, Missouri",12.10%,± 2.5%
"Dallas County, Texas",11.30%,± 0.2%
"Dane County, Wisconsin",5.30%,± 0.3%
"Daniels County, Montana",20.90%,± 6.7%
"Danville city, Virginia",8.50%,± 2%
"Dare County, North Carolina",13.20%,± 2.1%
"Darke County, Ohio",11.10%,± 1.1%
"Darlington County, South Carolina",7.30%,± 1.4%
"Dauphin County, Pennsylvania",6.50%,± 0.7%
"Davidson County, North Carolina",11.80%,± 1%
"Davidson County, Tennessee",6.30%,± 0.3%
"Davie County, North Carolina",10.90%,± 1.8%
"Daviess County, Indiana",15.90%,± 2.3%
"Daviess County, Kentucky",8.40%,± 1.2%
"Daviess County, Missouri",11.50%,± 2.1%
"Davis County, Iowa",14.10%,± 3.3%
"Davis County, Utah",7.70%,± 0.5%
"Davison County, South Dakota",11.70%,± 2.5%
"Dawes County, Nebraska",12.80%,± 3.6%
"Dawson County, Georgia",8.10%,± 1.8%
"Dawson County, Montana",17.40%,± 3.2%
"Dawson County, Nebraska",14.50%,± 2.8%
"Dawson County, Texas",19.70%,± 4.3%
"Day County, South Dakota",15.40%,± 2.8%
"De Baca County, New Mexico",50.10%,± 14.7%
"De Soto Parish, Louisiana",14.30%,± 2.5%
"De Witt County, Illinois",12.90%,± 2.2%
"Deaf Smith County, Texas",19.40%,± 3.8%
"Dearborn County, Indiana",9.90%,± 1.5%
"Decatur County, Georgia",10.10%,± 1.9%
"Decatur County, Indiana",9.50%,± 1.8%
"Decatur County, Iowa",14.20%,± 2.2%
"Decatur County, Kansas",14.50%,± 3.9%
"Decatur County, Tennessee",15.70%,± 2.8%
"Deer Lodge County, Montana",11.50%,± 3.9%
"Defiance County, Ohio",11.50%,± 1.9%
"DeKalb County, Alabama",14.50%,± 1.9%
"DeKalb County, Georgia",5.20%,± 0.4%
"DeKalb County, Illinois",9.50%,± 1.1%
"DeKalb County, Indiana",7.80%,± 1.1%
"DeKalb County, Missouri",14.30%,± 3.7%
"DeKalb County, Tennessee",11.10%,± 2.6%
"Del Norte County, California",11.20%,± 2.4%
"Delaware County, Indiana",7.10%,± 1%
"Delaware County, Iowa",12.90%,± 2.1%
"Delaware County, New York",11.50%,± 1.3%
"Delaware County, Ohio",3.70%,± 0.5%
"Delaware County, Oklahoma",12.60%,± 1.3%
"Delaware County, Pennsylvania",6.60%,± 0.4%
"Delta County, Colorado",15.70%,± 2.2%
"Delta County, Michigan",12.20%,± 1.6%
"Delta County, Texas",11.30%,± 3.8%
"Denali Borough, Alaska",41.20%,± 35.4%
"Dent County, Missouri",7.50%,± 1.8%
"Denton County, Texas",6%,± 0.3%
"Denver County, Colorado",6.60%,± 0.4%
"Des Moines County, Iowa",7.90%,± 1.1%
"Deschutes County, Oregon",8.50%,± 0.9%
"Desha County, Arkansas",13.70%,± 3.6%
"DeSoto County, Florida",25.20%,± 3.6%
"DeSoto County, Mississippi",9%,± 0.9%
"Deuel County, Nebraska",19.50%,± 5.8%
"Deuel County, South Dakota",11.80%,± 2.6%
"Dewey County, Oklahoma",15.30%,± 3.2%
"Dewey County, South Dakota",16.10%,± 2.5%
"DeWitt County, Texas",13.50%,± 2.9%
"Dickens County, Texas",20.90%,± 6.2%
"Dickenson County, Virginia",12.10%,± 3.3%
"Dickey County, North Dakota",14.20%,± 2.7%
"Dickinson County, Iowa",9.90%,± 1.9%
"Dickinson County, Kansas",12.80%,± 2.1%
"Dickinson County, Michigan",8.30%,± 2%
"Dickson County, Tennessee",11.80%,± 1.3%
"Dillingham Census Area, Alaska",14%,± 9.5%
"Dillon County, South Carolina",12.20%,± 2.2%
"Dimmit County, Texas",17.60%,± 7%
"Dinwiddie County, Virginia",11.70%,± 2%
"District of Columbia, District of Columbia",2.30%,± 0.2%
"Divide County, North Dakota",16.20%,± 4.6%
"Dixie County, Florida",12.90%,± 3.5%
"Dixon County, Nebraska",13.90%,± 3.1%
"Doddridge County, West Virginia",21.80%,± 7.2%
"Dodge County, Georgia",18%,± 4.2%
"Dodge County, Minnesota",13.40%,± 1.7%
"Dodge County, Nebraska",11.70%,± 1.7%
"Dodge County, Wisconsin",10.90%,± 1%
"Dolores County, Colorado",15.70%,± 5.5%
"Doña Ana County, New Mexico",11.60%,± 1.4%
"Doniphan County, Kansas",11.70%,± 2.8%
"Donley County, Texas",20.90%,± 5%
"Dooly County, Georgia",10.50%,± 3.9%
"Door County, Wisconsin",13.10%,± 1.6%
"Dorado Municipio, Puerto Rico",8%,± 3.6%
"Dorchester County, Maryland",11.10%,± 1.7%
"Dorchester County, South Carolina",9.60%,± 1%
"Dougherty County, Georgia",7%,± 1.2%
"Douglas County, Colorado",4.20%,± 0.4%
"Douglas County, Georgia",8.40%,± 1.1%
"Douglas County, Illinois",13.50%,± 1.9%
"Douglas County, Kansas",6.20%,± 0.9%
"Douglas County, Minnesota",8.20%,± 1%
"Douglas County, Missouri",11.80%,± 3.1%
"Douglas County, Nebraska",7.70%,± 0.4%
"Douglas County, Nevada",9.60%,± 1.4%
"Douglas County, Oregon",11.10%,± 1.1%
"Douglas County, South Dakota",14.30%,± 4%
"Douglas County, Washington",21.30%,± 1.9%
"Douglas County, Wisconsin",10.90%,± 1.2%
"Drew County, Arkansas",11%,± 3.4%
"Dubois County, Indiana",9.10%,± 1.7%
"Dubuque County, Iowa",7.50%,± 0.7%
"Duchesne County, Utah",16.80%,± 1.8%
"Dukes County, Massachusetts",15.20%,± 4.4%
"Dundy County, Nebraska",14.50%,± 4.5%
"Dunklin County, Missouri",10.30%,± 1.8%
"Dunn County, North Dakota",18.10%,± 3.8%
"Dunn County, Wisconsin",9.40%,± 0.9%
"DuPage County, Illinois",5.40%,± 0.2%
"Duplin County, North Carolina",15.10%,± 2.1%
"Durham County, North Carolina",6.60%,± 0.5%
"Dutchess County, New York",8.40%,± 0.6%
"Duval County, Florida",7.90%,± 0.4%
"Duval County, Texas",24.50%,± 8.4%
"Dyer County, Tennessee",11.80%,± 2.2%
"Eagle County, Colorado",11.10%,± 2%
"Early County, Georgia",11.20%,± 2.7%
"East Baton Rouge Parish, Louisiana",7.60%,± 0.6%
"East Carroll Parish, Louisiana",4.80%,± 3%
"East Feliciana Parish, Louisiana",14.20%,± 3.3%
"Eastland County, Texas",13.80%,± 3%
"Eaton County, Michigan",7.90%,± 0.8%
"Eau Claire County, Wisconsin",5.80%,± 0.8%
"Echols County, Georgia",28.80%,± 8.9%
"Ector County, Texas",18.20%,± 2.1%
"Eddy County, New Mexico",17.50%,± 2.2%
"Eddy County, North Dakota",9.30%,± 2.8%
"Edgar County, Illinois",12.30%,± 2.2%
"Edgecombe County, North Carolina",7.30%,± 1.3%
"Edgefield County, South Carolina",14.70%,± 3.5%
"Edmonson County, Kentucky",15.40%,± 3.6%
"Edmunds County, South Dakota",14.30%,± 3.7%
"Edwards County, Illinois",15.30%,± 3.6%
"Edwards County, Kansas",17.10%,± 4%
"Edwards County, Texas",34.20%,± 17.3%
"Effingham County, Georgia",12.20%,± 1.7%
"Effingham County, Illinois",9.40%,± 1.2%
"El Dorado County, California",9.10%,± 0.8%
"El Paso County, Colorado",8.40%,± 0.4%
"El Paso County, Texas",10%,± 0.5%
"Elbert County, Colorado",12.70%,± 1.7%
"Elbert County, Georgia",13.30%,± 2.9%
"Elk County, Kansas",13.80%,± 3.5%
"Elk County, Pennsylvania",9.20%,± 1.4%
"Elkhart County, Indiana",8.30%,± 0.7%
"Elko County, Nevada",22.20%,± 2%
"Elliott County, Kentucky",21.20%,± 7.2%
"Ellis County, Kansas",9%,± 1.4%
"Ellis County, Oklahoma",14.30%,± 3%
"Ellis County, Texas",10.70%,± 1.1%
"Ellsworth County, Kansas",12.50%,± 3.1%
"Elmore County, Alabama",8.70%,± 1.4%
"Elmore County, Idaho",17%,± 2.9%
"Emanuel County, Georgia",16.50%,± 3.4%
"Emery County, Utah",22.50%,± 3.4%
"Emmet County, Iowa",9.90%,± 2.1%
"Emmet County, Michigan",9.40%,± 1.3%
"Emmons County, North Dakota",13.90%,± 3.2%
"Emporia city, Virginia",7.60%,± 4.3%
"Erath County, Texas",13.50%,± 1.7%
"Erie County, New York",6.20%,± 0.3%
"Erie County, Ohio",7.70%,± 1%
"Erie County, Pennsylvania",6.90%,± 0.5%
"Escambia County, Alabama",12.20%,± 2%
"Escambia County, Florida",8.80%,± 0.7%
"Esmeralda County, Nevada",25.90%,± 15.5%
"Essex County, Massachusetts",7.30%,± 0.4%
"Essex County, New Jersey",7.50%,± 0.4%
"Essex County, New York",10.90%,± 1.5%
"Essex County, Vermont",14.90%,± 2.5%
"Essex County, Virginia",15.80%,± 3.3%
"Estill County, Kentucky",8.60%,± 2.9%
"Etowah County, Alabama",10%,± 1.2%
"Eureka County, Nevada",18.70%,± 10.4%
"Evangeline Parish, Louisiana",15.70%,± 2.7%
"Evans County, Georgia",19.30%,± 4.3%
"Fairbanks North Star Borough, Alaska",10.20%,± 1.3%
"Fairfax city, Virginia",3.90%,± 1.2%
"Fairfax County, Virginia",4.60%,± 0.3%
"Fairfield County, Ohio",8.40%,± 0.7%
"Fairfield County, South Carolina",7.90%,± 2%
"Fajardo Municipio, Puerto Rico",9.10%,± 2.3%
"Fall River County, South Dakota",13.90%,± 4%
"Fallon County, Montana",26.40%,± 6.5%
"Falls Church city, Virginia",2.20%,± 1.5%
"Falls County, Texas",15.80%,± 4.5%
"Fannin County, Georgia",10.70%,± 2.4%
"Fannin County, Texas",13.50%,± 2%
"Faribault County, Minnesota",14.70%,± 1.6%
"Faulk County, South Dakota",18.10%,± 6.9%
"Faulkner County, Arkansas",9.10%,± 1%
"Fauquier County, Virginia",11.10%,± 1.3%
"Fayette County, Alabama",11.10%,± 2.4%
"Fayette County, Georgia",6.40%,± 1%
"Fayette County, Illinois",13.70%,± 2%
"Fayette County, Indiana",7.50%,± 1.7%
"Fayette County, Iowa",14%,± 1.7%
"Fayette County, Kentucky",5.50%,± 0.5%
"Fayette County, Ohio",12.30%,± 2%
"Fayette County, Pennsylvania",12.20%,± 1.1%
"Fayette County, Tennessee",11.70%,± 1.9%
"Fayette County, Texas",14.40%,± 2.5%
"Fayette County, West Virginia",12.50%,± 2.1%
"Fentress County, Tennessee",17.40%,± 3.4%
"Fergus County, Montana",18.20%,± 3.7%
"Ferry County, Washington",11.70%,± 3.7%
"Fillmore County, Minnesota",13.50%,± 0.9%
"Fillmore County, Nebraska",13.20%,± 2.4%
"Finney County, Kansas",13%,± 1.8%
"Fisher County, Texas",20.30%,± 5.6%
"Flagler County, Florida",10.20%,± 1.4%
"Flathead County, Montana",12.20%,± 1%
"Fleming County, Kentucky",12.60%,± 2.8%
"Florence County, South Carolina",9.10%,± 1.2%
"Florence County, Wisconsin",17%,± 4.1%
"Florida Municipio, Puerto Rico",16.10%,± 6.2%
"Floyd County, Georgia",9.70%,± 1.4%
"Floyd County, Indiana",8.40%,± 1%
"Floyd County, Iowa",12.80%,± 2.3%
"Floyd County, Kentucky",11%,± 2.3%
"Floyd County, Texas",16.40%,± 4.3%
"Floyd County, Virginia",13%,± 2.2%
"Fluvanna County, Virginia",11%,± 1.8%
"Foard County, Texas",12.20%,± 6%
"Fond du Lac County, Wisconsin",12.10%,± 0.9%
"Ford County, Illinois",13.90%,± 2.2%
"Ford County, Kansas",14.30%,± 2.4%
"Forest County, Pennsylvania",14.50%,± 5.9%
"Forest County, Wisconsin",13.20%,± 1.7%
"Forrest County, Mississippi",7.60%,± 1.4%
"Forsyth County, Georgia",5.10%,± 0.5%
"Forsyth County, North Carolina",7.90%,± 0.5%
"Fort Bend County, Texas",6.10%,± 0.5%
"Foster County, North Dakota",13.80%,± 4.2%
"Fountain County, Indiana",13.80%,± 2%
"Franklin city, Virginia",10.20%,± 4.6%
"Franklin County, Alabama",13.60%,± 2.6%
"Franklin County, Arkansas",12.40%,± 2.7%
"Franklin County, Florida",17.80%,± 4.2%
"Franklin County, Georgia",11.40%,± 2.2%
"Franklin County, Idaho",15.40%,± 3.1%
"Franklin County, Illinois",11.90%,± 1.5%
"Franklin County, Indiana",14.50%,± 2.4%
"Franklin County, Iowa",13.50%,± 2.5%
"Franklin County, Kansas",12.70%,± 1.9%
"Franklin County, Kentucky",6.80%,± 1.2%
"Franklin County, Maine",12.60%,± 1.7%
"Franklin County, Massachusetts",10.10%,± 1.1%
"Franklin County, Mississippi",10.90%,± 4.2%
"Franklin County, Missouri",14.50%,± 1.5%
"Franklin County, Nebraska",16.80%,± 3.3%
"Franklin County, New York",9.70%,± 1.3%
"Franklin County, North Carolina",11.90%,± 1.5%
"Franklin County, Ohio",4.90%,± 0.2%
"Franklin County, Pennsylvania",10.20%,± 0.9%
"Franklin County, Tennessee",11.60%,± 1.7%
"Franklin County, Texas",10%,± 3%
"Franklin County, Vermont",12.50%,± 1.6%
"Franklin County, Virginia",11.20%,± 1.9%
"Franklin County, Washington",19.60%,± 2%
"Franklin Parish, Louisiana",20.30%,± 3.5%
"Frederick County, Maryland",8.60%,± 0.6%
"Frederick County, Virginia",10.70%,± 1.5%
"Fredericksburg city, Virginia",6.40%,± 1.6%
"Freeborn County, Minnesota",11.10%,± 1.3%
"Freestone County, Texas",15.90%,± 3.3%
"Fremont County, Colorado",11.50%,± 2.4%
"Fremont County, Idaho",16.20%,± 3.4%
"Fremont County, Iowa",11.60%,± 2.2%
"Fremont County, Wyoming",12.70%,± 1.3%
"Fresno County, California",14%,± 0.5%
"Frio County, Texas",19.80%,± 6.1%
"Frontier County, Nebraska",18.10%,± 4.3%
"Fulton County, Arkansas",8.10%,± 3.3%
"Fulton County, Georgia",3.20%,± 0.3%
"Fulton County, Illinois",13.10%,± 1.9%
"Fulton County, Indiana",10.20%,± 2.7%
"Fulton County, Kentucky",8.70%,± 2.5%
"Fulton County, New York",10.30%,± 1.5%
"Fulton County, Ohio",11.80%,± 1.7%
"Fulton County, Pennsylvania",13.30%,± 1.5%
"Furnas County, Nebraska",17.20%,± 2.9%
"Gadsden County, Florida",13.10%,± 2.4%
"Gage County, Nebraska",10.10%,± 1.6%
"Gaines County, Texas",26.90%,± 4.3%
"Galax city, Virginia",7.40%,± 3.7%
"Gallatin County, Illinois",19.90%,± 4.7%
"Gallatin County, Kentucky",12.80%,± 3%
"Gallatin County, Montana",11.20%,± 0.8%
"Gallia County, Ohio",7%,± 2%
"Galveston County, Texas",8.30%,± 0.7%
"Garden County, Nebraska",15.50%,± 4.7%
"Garfield County, Colorado",13.30%,± 1.6%
"Garfield County, Montana",10.60%,± 3.8%
"Garfield County, Nebraska",21.10%,± 7.1%
"Garfield County, Oklahoma",14%,± 1.7%
"Garfield County, Utah",11.30%,± 3.7%
"Garfield County, Washington",13.40%,± 5.3%
"Garland County, Arkansas",10.50%,± 1.3%
"Garrard County, Kentucky",11.70%,± 2.3%
"Garrett County, Maryland",13.20%,± 2%
"Garvin County, Oklahoma",14.60%,± 2%
"Garza County, Texas",8.40%,± 4.7%
"Gasconade County, Missouri",13.80%,± 2.1%
"Gaston County, North Carolina",10.60%,± 0.7%
"Gates County, North Carolina",18.20%,± 4%
"Geary County, Kansas",15%,± 2.9%
"Geauga County, Ohio",11%,± 1%
"Gem County, Idaho",16.10%,± 3.2%
"Genesee County, Michigan",8.40%,± 0.5%
"Genesee County, New York",13.10%,± 1.2%
"Geneva County, Alabama",15%,± 2.3%
"Gentry County, Missouri",13.30%,± 2.4%
"George County, Mississippi",19.90%,± 3.8%
"Georgetown County, South Carolina",8.50%,± 1.4%
"Gibson County, Indiana",12.20%,± 1.8%
"Gibson County, Tennessee",10%,± 1.7%
"Gila County, Arizona",13.70%,± 1.9%
"Gilchrist County, Florida",20.30%,± 4.2%
"Giles County, Tennessee",10.60%,± 2.2%
"Giles County, Virginia",12.40%,± 2.6%
"Gillespie County, Texas",12.90%,± 2.5%
"Gilliam County, Oregon",13.80%,± 4.3%
"Gilmer County, Georgia",14.30%,± 3%
"Gilmer County, West Virginia",9.50%,± 3.5%
"Gilpin County, Colorado",6.50%,± 4.9%
"Glacier County, Montana",7.50%,± 2%
"Glades County, Florida",28%,± 5.6%
"Gladwin County, Michigan",13.40%,± 1.7%
"Glascock County, Georgia",13.60%,± 4.9%
"Glasscock County, Texas",33.90%,± 11.6%
"Glenn County, California",19.80%,± 2.7%
"Gloucester County, New Jersey",8.40%,± 0.6%
"Gloucester County, Virginia",12.90%,± 2.3%
"Glynn County, Georgia",8%,± 1.5%
"Gogebic County, Michigan",12.70%,± 2.2%
"Golden Valley County, Montana",25.30%,± 8.4%
"Golden Valley County, North Dakota",8.50%,± 2.8%
"Goliad County, Texas",17%,± 4.2%
"Gonzales County, Texas",14.90%,± 3%
"Goochland County, Virginia",8.10%,± 1.9%
"Goodhue County, Minnesota",12.60%,± 1.4%
"Gooding County, Idaho",25.50%,± 3.5%
"Gordon County, Georgia",11.40%,± 1.9%
"Goshen County, Wyoming",15.70%,± 2.8%
"Gosper County, Nebraska",13.50%,± 3.7%
"Gove County, Kansas",15.30%,± 3%
"Grady County, Georgia",15.60%,± 3.7%
"Grady County, Oklahoma",13.80%,± 1.2%
"Grafton County, New Hampshire",7.70%,± 0.9%
"Graham County, Arizona",18.50%,± 2.5%
"Graham County, Kansas",16.10%,± 3.2%
"Graham County, North Carolina",17.30%,± 4.6%
"Grainger County, Tennessee",13.40%,± 2.4%
"Grand County, Colorado",15.50%,± 2.8%
"Grand County, Utah",8.30%,± 2.9%
"Grand Forks County, North Dakota",9%,± 1%
"Grand Isle County, Vermont",11.10%,± 2.2%
"Grand Traverse County, Michigan",9.20%,± 1.1%
"Granite County, Montana",13.70%,± 4.5%
"Grant County, Arkansas",12.30%,± 2.5%
"Grant County, Indiana",8.50%,± 1.4%
"Grant County, Kansas",26.60%,± 6.2%
"Grant County, Kentucky",10.40%,± 2.4%
"Grant County, Minnesota",14.20%,± 1.9%
"Grant County, Nebraska",18.30%,± 5.9%
"Grant County, New Mexico",15.30%,± 3.9%
"Grant County, North Dakota",12.20%,± 2.9%
"Grant County, Oklahoma",19.20%,± 4.8%
"Grant County, Oregon",18.20%,± 3.4%
"Grant County, South Dakota",17.30%,± 4%
"Grant County, Washington",24%,± 1.8%
"Grant County, West Virginia",15.40%,± 3.2%
"Grant County, Wisconsin",12.20%,± 1.3%
"Grant Parish, Louisiana",19.60%,± 3.8%
"Granville County, North Carolina",9.70%,± 1.5%
"Gratiot County, Michigan",10.40%,± 1.3%
"Graves County, Kentucky",16.70%,± 2.1%
"Gray County, Kansas",16.60%,± 2.9%
"Gray County, Texas",16.80%,± 2.8%
"Grays Harbor County, Washington",12.50%,± 1.5%
"Grayson County, Kentucky",15.60%,± 2.2%
"Grayson County, Texas",10.90%,± 1.2%
"Grayson County, Virginia",10.70%,± 2.8%
"Greater Bridgeport Planning Region, Connecticut",7.40%,± 0.5%
"Greeley County, Kansas",15.30%,± 5.7%
"Greeley County, Nebraska",21.70%,± 4%
"Green County, Kentucky",12.30%,± 3.4%
"Green County, Wisconsin",12%,± 1.1%
"Green Lake County, Wisconsin",14%,± 1.8%
"Greenbrier County, West Virginia",12.60%,± 2.2%
"Greene County, Alabama",16.90%,± 8%
"Greene County, Arkansas",12.40%,± 2%
"Greene County, Georgia",10.60%,± 3%
"Greene County, Illinois",11%,± 2.2%
"Greene County, Indiana",14%,± 1.8%
"Greene County, Iowa",10.20%,± 2.4%
"Greene County, Mississippi",19.20%,± 5.6%
"Greene County, Missouri",7.20%,± 0.6%
"Greene County, New York",9.10%,± 1.4%
"Greene County, North Carolina",14.30%,± 2.8%
"Greene County, Ohio",5.50%,± 0.6%
"Greene County, Pennsylvania",13.50%,± 1.5%
"Greene County, Tennessee",8.30%,± 1.3%
