Geography,"Total—Civilian employed population 16 years and over—Management, business, science, and arts occupations:—Education, legal, community service, arts, and media occupations:—Educational instruction, and library occupations—Estimate",MoE,Total—Civilian employed population 16 years and over—Estimate
"Clare County, Michigan",553,± 136,"11,041"
"Clarendon County, South Carolina",628,± 136,"11,104"
"Clarion County, Pennsylvania","1,006",± 132,"17,376"
"Clark County, Arkansas",833,± 213,"9,869"
"Clark County, Idaho",32,± 21,404
"Clark County, Illinois",554,± 159,"7,194"
"Clark County, Indiana","2,614",± 421,"62,265"
"Clark County, Kansas",25,± 12,946
"Clark County, Kentucky",875,± 231,"16,821"
"Clark County, Missouri",127,± 53,"2,874"
"Clark County, Nevada","49,008","± 1,760","1,057,265"
"Clark County, Ohio","2,988",± 335,"60,332"
"Clark County, South Dakota",93,± 38,"1,575"
"Clark County, Washington","12,315",± 927,"242,552"
"Clark County, Wisconsin",805,± 96,"16,074"
"Clarke County, Alabama",478,± 123,"7,841"
"Clarke County, Georgia","8,552",± 766,"63,458"
"Clarke County, Iowa",353,± 142,"4,561"
"Clarke County, Mississippi",350,± 143,"6,258"
"Clarke County, Virginia",421,± 122,"7,396"
"Clatsop County, Oregon",796,± 180,"18,558"
"Clay County, Alabama",209,± 88,"5,165"
"Clay County, Arkansas",416,± 116,"6,367"
"Clay County, Florida","5,724",± 826,"103,623"
"Clay County, Georgia",41,± 34,"1,132"
"Clay County, Illinois",387,± 120,"5,789"
"Clay County, Indiana",563,± 141,"11,741"
"Clay County, Iowa",522,± 158,"8,420"
"Clay County, Kansas",312,± 116,"3,794"
"Clay County, Kentucky",429,± 165,"6,202"
"Clay County, Minnesota","2,923",± 307,"34,404"
"Clay County, Mississippi",354,± 120,"7,086"
"Clay County, Missouri","6,928",± 620,"133,662"
"Clay County, Nebraska",236,± 38,"3,115"
"Clay County, North Carolina",156,± 96,"4,386"
"Clay County, South Dakota",945,± 196,"7,809"
"Clay County, Tennessee",136,± 89,"2,638"
"Clay County, Texas",408,± 113,"4,791"
"Clay County, West Virginia",315,± 131,"2,572"
"Clayton County, Georgia","6,145",± 785,"138,006"
"Clayton County, Iowa",367,± 82,"8,611"
"Clear Creek County, Colorado",433,± 212,"5,590"
"Clearfield County, Pennsylvania","1,579",± 276,"34,861"
"Clearwater County, Idaho",135,± 49,"3,332"
"Clearwater County, Minnesota",235,± 38,"3,628"
"Cleburne County, Alabama",294,± 134,"5,692"
"Cleburne County, Arkansas",384,± 120,"9,386"
"Clermont County, Ohio","5,045",± 625,"104,710"
"Cleveland County, Arkansas",317,± 112,"2,923"
"Cleveland County, North Carolina","2,624",± 439,"43,294"
"Cleveland County, Oklahoma","11,658",± 944,"148,128"
"Clinch County, Georgia",336,± 133,"2,515"
"Clinton County, Illinois",852,± 170,"18,281"
"Clinton County, Indiana",864,± 190,"15,524"
"Clinton County, Iowa","1,093",± 181,"21,617"
"Clinton County, Kentucky",203,± 82,"3,746"
"Clinton County, Michigan","2,402",± 287,"39,293"
"Clinton County, Missouri",570,± 156,"9,539"
"Clinton County, New York","3,144",± 338,"35,932"
"Clinton County, Ohio","1,135",± 298,"20,167"
"Clinton County, Pennsylvania",984,± 195,"17,621"
"Cloud County, Kansas",251,± 90,"4,156"
"Coahoma County, Mississippi",655,± 210,"7,572"
"Coal County, Oklahoma",115,± 37,"2,025"
"Coamo Municipio, Puerto Rico",743,± 220,"10,921"
"Cobb County, Georgia","24,531","± 1,405","409,632"
"Cochise County, Arizona","3,166",± 464,"44,200"
"Cochran County, Texas",51,± 23,"1,069"
"Cocke County, Tennessee",816,± 270,"14,689"
"Coconino County, Arizona","5,423",± 593,"67,955"
"Codington County, South Dakota",847,± 232,"15,397"
"Coffee County, Alabama","1,093",± 195,"21,804"
"Coffee County, Georgia","1,414",± 365,"17,710"
"Coffee County, Tennessee","1,688",± 392,"25,872"
"Coffey County, Kansas",278,± 88,"3,961"
"Coke County, Texas",98,± 40,"1,341"
"Colbert County, Alabama","1,138",± 236,"25,589"
"Cole County, Missouri","2,274",± 336,"37,723"
"Coleman County, Texas",178,± 75,"3,371"
"Coles County, Illinois","1,806",± 349,"23,400"
"Colfax County, Nebraska",278,± 78,"5,275"
"Colfax County, New Mexico",241,± 75,"5,160"
"Colleton County, South Carolina",876,± 192,"15,659"
"Collier County, Florida","6,511",± 666,"161,734"
"Collin County, Texas","36,773","± 1,620","565,939"
"Collingsworth County, Texas",71,± 45,"1,306"
"Colonial Heights city, Virginia",810,± 187,"8,700"
"Colorado County, Texas",521,± 173,"8,841"
"Colquitt County, Georgia","1,352",± 281,"19,342"
"Columbia County, Arkansas",606,± 198,"9,232"
"Columbia County, Florida","1,399",± 342,"27,450"
"Columbia County, Georgia","5,566",± 745,"73,121"
"Columbia County, New York","2,012",± 323,"29,575"
"Columbia County, Oregon","1,147",± 252,"24,361"
"Columbia County, Pennsylvania","1,690",± 246,"30,240"
"Columbia County, Washington",198,± 99,"1,833"
"Columbia County, Wisconsin","1,459",± 229,"30,765"
"Columbiana County, Ohio","1,944",± 304,"46,351"
"Columbus County, North Carolina","1,237",± 249,"18,872"
"Colusa County, California",563,± 162,"9,728"
"Comal County, Texas","5,799",± 791,"77,609"
"Comanche County, Kansas",54,± 30,878
"Comanche County, Oklahoma","4,141",± 450,"45,750"
"Comanche County, Texas",368,± 130,"6,177"
"Comerío Municipio, Puerto Rico",165,± 85,"5,588"
"Concho County, Texas",95,± 56,997
"Concordia Parish, Louisiana",294,± 134,"5,455"
"Conecuh County, Alabama",137,± 70,"3,757"
"Conejos County, Colorado",229,± 64,"3,066"
"Contra Costa County, California","34,190","± 1,550","573,653"
"Converse County, Wyoming",716,± 204,"6,867"
"Conway County, Arkansas",523,± 137,"8,958"
"Cook County, Georgia",404,± 137,"7,551"
"Cook County, Illinois","161,891","± 4,064","2,600,619"
"Cook County, Minnesota",248,± 116,"2,876"
"Cooke County, Texas","1,148",± 295,"20,047"
"Cooper County, Missouri",434,± 127,"7,258"
"Coos County, New Hampshire",876,± 166,"14,431"
"Coos County, Oregon","1,611",± 346,"25,960"
"Coosa County, Alabama",125,± 65,"3,868"
"Copiah County, Mississippi",421,± 163,"10,780"
"Copper River Census Area, Alaska",89,± 42,"1,124"
"Corozal Municipio, Puerto Rico",556,± 205,"10,271"
"Corson County, South Dakota",95,± 30,"1,186"
"Cortland County, New York","2,040",± 325,"23,285"
"Coryell County, Texas","1,989",± 371,"25,141"
"Coshocton County, Ohio",984,± 175,"15,505"
"Costilla County, Colorado",63,± 35,"1,229"
"Cottle County, Texas",40,± 29,717
"Cotton County, Oklahoma",247,± 73,"2,382"
"Cottonwood County, Minnesota",437,± 100,"5,398"
"Covington city, Virginia",93,± 69,"2,357"
"Covington County, Alabama",874,± 199,"15,090"
"Covington County, Mississippi",737,± 236,"7,128"
"Coweta County, Georgia","5,225",± 773,"73,138"
"Cowley County, Kansas","1,231",± 181,"15,273"
"Cowlitz County, Washington","2,043",± 403,"46,916"
"Craig County, Oklahoma",324,± 75,"5,393"
"Craig County, Virginia",51,± 61,"1,997"
"Craighead County, Arkansas","4,027",± 503,"51,494"
"Crane County, Texas",307,± 138,"2,244"
"Craven County, North Carolina","2,258",± 430,"40,158"
"Crawford County, Arkansas","1,636",± 352,"24,637"
"Crawford County, Georgia",125,± 82,"5,008"
"Crawford County, Illinois",571,± 138,"8,281"
"Crawford County, Indiana",217,± 85,"4,325"
"Crawford County, Iowa",345,± 159,"7,910"
"Crawford County, Kansas","1,586",± 239,"19,531"
"Crawford County, Michigan",226,± 68,"5,281"
"Crawford County, Missouri",444,± 140,"9,115"
"Crawford County, Ohio",838,± 166,"19,199"
"Crawford County, Pennsylvania","2,021",± 253,"36,129"
"Crawford County, Wisconsin",288,± 53,"7,087"
"Creek County, Oklahoma","1,884",± 261,"31,202"
"Crenshaw County, Alabama",268,± 86,"5,132"
"Crisp County, Georgia",358,± 151,"8,630"
"Crittenden County, Arkansas","1,215",± 196,"20,355"
"Crittenden County, Kentucky",74,± 43,"3,485"
"Crockett County, Tennessee",342,± 110,"6,449"
"Crockett County, Texas",343,± 183,"1,558"
"Crook County, Oregon",594,± 224,"11,300"
"Crook County, Wyoming",239,± 95,"3,457"
"Crosby County, Texas",169,± 60,"2,368"
"Cross County, Arkansas",387,± 132,"7,273"
"Crow Wing County, Minnesota","1,565",± 225,"30,900"
"Crowley County, Colorado",145,± 71,"1,589"
"Culberson County, Texas",24,± 24,930
"Culebra Municipio, Puerto Rico",22,± 20,574
"Cullman County, Alabama","1,935",± 388,"39,440"
"Culpeper County, Virginia","1,879",± 338,"25,794"
"Cumberland County, Illinois",219,± 82,"5,524"
"Cumberland County, Kentucky",174,± 94,"2,361"
"Cumberland County, Maine","11,808",± 871,"167,364"
"Cumberland County, New Jersey","4,069",± 543,"63,166"
"Cumberland County, North Carolina","9,416",± 600,"125,174"
"Cumberland County, Pennsylvania","8,436",± 846,"131,777"
"Cumberland County, Tennessee",784,± 213,"22,676"
"Cumberland County, Virginia",143,± 82,"5,069"
"Cuming County, Nebraska",169,± 52,"4,684"
"Currituck County, North Carolina",979,± 315,"14,123"
"Curry County, New Mexico",997,± 209,"18,437"
"Curry County, Oregon",530,± 250,"8,833"
"Custer County, Colorado",61,± 42,"2,046"
"Custer County, Idaho",113,± 75,"1,826"
"Custer County, Montana",409,± 111,"6,245"
"Custer County, Nebraska",367,± 90,"5,261"
"Custer County, Oklahoma","1,074",± 254,"14,247"
"Custer County, South Dakota",189,± 77,"3,839"
"Cuyahoga County, Ohio","33,497","± 1,481","605,214"
"Dade County, Georgia",352,± 125,"7,073"
"Dade County, Missouri",126,± 45,"3,136"
"Daggett County, Utah",21,± 14,249
"Dakota County, Minnesota","13,604",± 933,"239,442"
"Dakota County, Nebraska",689,± 215,"10,539"
"Dale County, Alabama",863,± 193,"18,115"
"Dallam County, Texas",92,± 81,"3,839"
"Dallas County, Alabama",828,± 167,"14,359"
"Dallas County, Arkansas",104,± 50,"2,627"
"Dallas County, Iowa","3,994",± 499,"55,396"
"Dallas County, Missouri",391,± 153,"6,453"
"Dallas County, Texas","63,777","± 2,352","1,319,521"
"Dane County, Wisconsin","25,690","± 1,296","317,881"
"Daniels County, Montana",31,± 22,784
"Danville city, Virginia",737,± 157,"16,670"
"Dare County, North Carolina","1,123",± 298,"19,041"
"Darke County, Ohio","1,186",± 201,"24,579"
"Darlington County, South Carolina","1,731",± 373,"26,305"
"Dauphin County, Pennsylvania","7,809",± 762,"143,394"
"Davidson County, North Carolina","4,131",± 477,"77,106"
"Davidson County, Tennessee","24,588","± 1,642","396,132"
"Davie County, North Carolina",958,± 215,"19,800"
"Daviess County, Indiana",747,± 151,"15,248"
"Daviess County, Kentucky","2,789",± 378,"47,470"
"Daviess County, Missouri",285,± 62,"3,638"
"Davis County, Iowa",195,± 68,"4,107"
"Davis County, Utah","11,032",± 697,"178,388"
"Davison County, South Dakota",548,± 143,"10,433"
"Dawes County, Nebraska",720,± 237,"4,373"
"Dawson County, Georgia","1,063",± 243,"13,604"
"Dawson County, Montana",263,± 101,"4,460"
"Dawson County, Nebraska",788,± 174,"12,386"
"Dawson County, Texas",369,± 131,"4,270"
"Day County, South Dakota",125,± 38,"2,485"
"De Baca County, New Mexico",12,± 20,729
"De Soto Parish, Louisiana",475,± 155,"10,342"
"De Witt County, Illinois",461,± 178,"7,604"
"Deaf Smith County, Texas",495,± 150,"8,428"
"Dearborn County, Indiana","1,533",± 315,"25,739"
"Decatur County, Georgia",495,± 183,"11,043"
"Decatur County, Indiana",504,± 175,"13,324"
"Decatur County, Iowa",345,± 91,"3,479"
"Decatur County, Kansas",108,± 43,"1,308"
"Decatur County, Tennessee",185,± 72,"4,419"
"Deer Lodge County, Montana",165,± 105,"4,207"
"Defiance County, Ohio",929,± 190,"18,813"
"DeKalb County, Alabama","1,587",± 321,"30,827"
"DeKalb County, Georgia","25,890","± 1,689","388,455"
"DeKalb County, Illinois","4,547",± 508,"51,628"
"DeKalb County, Indiana","1,032",± 193,"21,356"
"DeKalb County, Missouri",214,± 78,"4,245"
"DeKalb County, Tennessee",312,± 149,"8,292"
"Del Norte County, California",636,± 189,"9,912"
"Delaware County, Indiana","3,690",± 461,"52,929"
"Delaware County, Iowa",514,± 188,"9,586"
"Delaware County, New York","1,573",± 250,"19,247"
"Delaware County, Ohio","8,334",± 877,"114,307"
"Delaware County, Oklahoma",923,± 192,"16,076"
"Delaware County, Pennsylvania","19,797","± 1,061","285,672"
"Delta County, Colorado",567,± 149,"12,228"
"Delta County, Michigan",658,± 148,"15,097"
"Delta County, Texas",175,± 69,"2,310"
"Denali Borough, Alaska",72,± 65,"1,344"
"Dent County, Missouri",482,± 152,"6,154"
"Denton County, Texas","34,760","± 1,619","501,458"
"Denver County, Colorado","22,204","± 1,291","416,271"
"Des Moines County, Iowa","1,214",± 241,"18,599"
"Deschutes County, Oregon","5,559",± 645,"98,636"
"Desha County, Arkansas",356,± 126,"4,057"
"DeSoto County, Florida",681,± 221,"12,390"
"DeSoto County, Mississippi","5,601",± 643,"93,433"
"Deuel County, Nebraska",72,± 25,881
"Deuel County, South Dakota",98,± 38,"2,110"
"Dewey County, Oklahoma",84,± 29,"1,860"
"Dewey County, South Dakota",265,± 57,"1,953"
"DeWitt County, Texas",744,± 203,"7,539"
"Dickens County, Texas",53,± 23,589
"Dickenson County, Virginia",238,± 98,"4,472"
"Dickey County, North Dakota",124,± 38,"2,520"
"Dickinson County, Iowa",507,± 119,"9,372"
"Dickinson County, Kansas",900,± 270,"8,870"
"Dickinson County, Michigan",479,± 110,"11,876"
"Dickson County, Tennessee","1,215",± 283,"26,078"
"Dillingham Census Area, Alaska",153,± 148,"1,935"
"Dillon County, South Carolina",545,± 204,"11,296"
"Dimmit County, Texas",30,± 26,"2,352"
"Dinwiddie County, Virginia",727,± 206,"13,516"
"District of Columbia, District of Columbia","22,989","± 1,091","369,398"
"Divide County, North Dakota",41,± 27,986
"Dixie County, Florida",241,± 126,"5,447"
"Dixon County, Nebraska",109,± 29,"2,800"
"Doddridge County, West Virginia",88,± 49,"2,990"
"Dodge County, Georgia",440,± 139,"7,728"
"Dodge County, Minnesota",774,± 163,"11,441"
"Dodge County, Nebraska","1,388",± 259,"18,088"
"Dodge County, Wisconsin","1,857",± 239,"47,053"
"Dolores County, Colorado",81,± 57,"1,073"
"Doña Ana County, New Mexico","8,191",± 964,"92,088"
"Doniphan County, Kansas",207,± 55,"3,721"
"Donley County, Texas",108,± 78,"1,386"
"Dooly County, Georgia",108,± 62,"3,958"
"Door County, Wisconsin",517,± 118,"14,387"
"Dorado Municipio, Puerto Rico",619,± 227,"12,313"
"Dorchester County, Maryland",612,± 182,"15,001"
"Dorchester County, South Carolina","4,613",± 650,"77,519"
"Dougherty County, Georgia","1,970",± 372,"33,442"
"Douglas County, Colorado","11,332",± 790,"197,288"
"Douglas County, Georgia","4,549",± 766,"70,280"
"Douglas County, Illinois",665,± 130,"9,641"
"Douglas County, Kansas","6,978",± 631,"66,803"
"Douglas County, Minnesota","1,114",± 198,"19,658"
"Douglas County, Missouri",166,± 80,"4,344"
"Douglas County, Nebraska","20,165",± 914,"304,777"
"Douglas County, Nevada","1,077",± 198,"21,681"
"Douglas County, Oregon","2,044",± 340,"43,613"
"Douglas County, South Dakota",83,± 34,"1,446"
"Douglas County, Washington",953,± 243,"20,627"
"Douglas County, Wisconsin","1,197",± 227,"22,041"
"Drew County, Arkansas",771,± 225,"7,146"
"Dubois County, Indiana","1,047",± 257,"22,743"
"Dubuque County, Iowa","3,093",± 357,"51,346"
"Duchesne County, Utah",468,± 98,"8,006"
"Dukes County, Massachusetts",860,± 318,"10,474"
"Dundy County, Nebraska",63,± 40,975
"Dunklin County, Missouri",848,± 180,"11,043"
"Dunn County, North Dakota",67,± 31,"1,913"
"Dunn County, Wisconsin","1,627",± 362,"24,233"
"DuPage County, Illinois","30,027","± 1,284","489,400"
"Duplin County, North Carolina","1,273",± 299,"21,679"
"Durham County, North Carolina","15,041","± 1,261","171,659"
"Dutchess County, New York","11,817",± 869,"148,109"
"Duval County, Florida","23,705","± 1,265","484,091"
"Duval County, Texas",175,± 111,"3,646"
"Dyer County, Tennessee",761,± 239,"15,967"
"Eagle County, Colorado","1,640",± 427,"32,146"
"Early County, Georgia",286,± 99,"4,258"
"East Baton Rouge Parish, Louisiana","16,355","± 1,417","217,919"
"East Carroll Parish, Louisiana",40,± 33,"1,693"
"East Feliciana Parish, Louisiana",283,± 113,"6,647"
"Eastland County, Texas",487,± 143,"7,706"
"Eaton County, Michigan","2,583",± 369,"53,895"
"Eau Claire County, Wisconsin","3,585",± 450,"57,979"
"Echols County, Georgia",69,± 46,"1,901"
"Ector County, Texas","3,340",± 472,"74,794"
"Eddy County, New Mexico","1,610",± 293,"27,391"
"Eddy County, North Dakota",99,± 37,"1,105"
"Edgar County, Illinois",444,± 138,"7,526"
"Edgecombe County, North Carolina","1,252",± 295,"20,366"
"Edgefield County, South Carolina",923,± 243,"11,160"
"Edmonson County, Kentucky",260,± 96,"4,727"
"Edmunds County, South Dakota",148,± 47,"1,913"
"Edwards County, Illinois",140,± 46,"2,694"
"Edwards County, Kansas",63,± 30,"1,359"
"Edwards County, Texas",35,± 33,728
"Effingham County, Georgia","2,014",± 364,"30,888"
"Effingham County, Illinois",723,± 128,"17,595"
"El Dorado County, California","4,920",± 491,"87,959"
"El Paso County, Colorado","22,885","± 1,357","342,274"
"El Paso County, Texas","28,843","± 1,894","368,320"
"Elbert County, Colorado",607,± 147,"14,177"
"Elbert County, Georgia",474,± 162,"8,514"
"Elk County, Kansas",98,± 29,955
"Elk County, Pennsylvania",484,± 116,"14,970"
"Elkhart County, Indiana","4,854",± 617,"98,862"
"Elko County, Nevada","1,554",± 344,"26,275"
"Elliott County, Kentucky",101,± 100,"1,884"
"Ellis County, Kansas","1,662",± 292,"16,719"
"Ellis County, Oklahoma",86,± 35,"1,585"
"Ellis County, Texas","6,791",± 702,"99,369"
"Ellsworth County, Kansas",198,± 56,"2,638"
"Elmore County, Alabama","2,176",± 419,"39,250"
"Elmore County, Idaho",434,± 154,"10,014"
"Emanuel County, Georgia",434,± 157,"9,194"
"Emery County, Utah",279,± 73,"4,043"
"Emmet County, Iowa",179,± 66,"4,871"
"Emmet County, Michigan","1,178",± 259,"17,075"
"Emmons County, North Dakota",87,± 31,"1,571"
"Emporia city, Virginia",58,± 57,"2,185"
"Erath County, Texas","1,461",± 305,"20,833"
"Erie County, New York","35,815","± 1,603","466,028"
"Erie County, Ohio","1,916",± 343,"35,755"
"Erie County, Pennsylvania","7,208",± 685,"124,388"
"Escambia County, Alabama",546,± 188,"12,964"
"Escambia County, Florida","7,732",± 760,"139,992"
"Esmeralda County, Nevada",31,± 25,409
"Essex County, Massachusetts","27,384","± 1,275","421,898"
"Essex County, New Jersey","27,179","± 1,424","408,082"
"Essex County, New York","1,349",± 233,"17,294"
"Essex County, Vermont",211,± 57,"2,628"
"Essex County, Virginia",153,± 100,"4,402"
"Estill County, Kentucky",266,± 119,"4,815"
"Etowah County, Alabama","2,509",± 370,"44,508"
"Eureka County, Nevada",36,± 41,579
"Evangeline Parish, Louisiana",757,± 229,"11,404"
"Evans County, Georgia",283,± 91,"4,406"
"Fairbanks North Star Borough, Alaska","3,128",± 541,"42,078"
"Fairfax city, Virginia","1,185",± 242,"13,137"
"Fairfax County, Virginia","38,410","± 1,355","610,265"
"Fairfield County, Ohio","4,837",± 567,"78,317"
"Fairfield County, South Carolina",353,± 198,"9,232"
"Fajardo Municipio, Puerto Rico",471,± 169,"10,590"
"Fall River County, South Dakota",164,± 107,"2,971"
"Fallon County, Montana",65,± 38,"1,426"
"Falls Church city, Virginia",592,± 208,"7,941"
"Falls County, Texas",289,± 81,"6,248"
"Fannin County, Georgia",577,± 196,"9,979"
"Fannin County, Texas","1,184",± 209,"15,060"
"Faribault County, Minnesota",388,± 82,"6,889"
"Faulk County, South Dakota",45,± 20,947
"Faulkner County, Arkansas","4,252",± 533,"58,278"
"Fauquier County, Virginia","2,323",± 348,"38,689"
"Fayette County, Alabama",196,± 76,"6,296"
"Fayette County, Georgia","3,834",± 580,"54,962"
"Fayette County, Illinois",291,± 94,"9,012"
"Fayette County, Indiana",292,± 98,"10,377"
"Fayette County, Iowa",496,± 112,"9,230"
"Fayette County, Kentucky","14,405","± 1,046","169,451"
"Fayette County, Ohio",582,± 156,"12,940"
"Fayette County, Pennsylvania","2,957",± 352,"54,363"
"Fayette County, Tennessee",930,± 205,"19,462"
"Fayette County, Texas",434,± 140,"10,862"
"Fayette County, West Virginia",691,± 193,"14,182"
"Fentress County, Tennessee",342,± 145,"7,223"
"Fergus County, Montana",160,± 67,"5,591"
"Ferry County, Washington",186,± 105,"2,521"
"Fillmore County, Minnesota",620,± 79,"10,778"
"Fillmore County, Nebraska",225,± 43,"3,004"
"Finney County, Kansas","1,381",± 261,"18,692"
"Fisher County, Texas",146,± 52,"1,816"
"Flagler County, Florida","2,590",± 420,"48,151"
"Flathead County, Montana","2,427",± 357,"52,022"
"Fleming County, Kentucky",288,± 121,"6,049"
"Florence County, South Carolina","4,141",± 489,"60,040"
"Florence County, Wisconsin",63,± 25,"1,964"
"Florida Municipio, Puerto Rico",202,± 144,"3,544"
"Floyd County, Georgia","2,496",± 329,"43,616"
"Floyd County, Indiana","1,992",± 325,"39,654"
"Floyd County, Iowa",374,± 102,"7,426"
"Floyd County, Kentucky",838,± 250,"11,249"
"Floyd County, Texas",148,± 79,"2,238"
"Floyd County, Virginia",375,± 141,"7,652"
"Fluvanna County, Virginia",836,± 255,"13,379"
"Foard County, Texas",57,± 22,508
"Fond du Lac County, Wisconsin","2,288",± 318,"53,417"
"Ford County, Illinois",482,± 147,"6,382"
"Ford County, Kansas","1,089",± 234,"17,165"
"Forest County, Pennsylvania",59,± 24,"1,630"
"Forest County, Wisconsin",225,± 60,"3,779"
"Forrest County, Mississippi","2,430",± 421,"36,010"
"Forsyth County, Georgia","8,800",± 736,"130,217"
"Forsyth County, North Carolina","12,095","± 1,039","178,260"
"Fort Bend County, Texas","28,040","± 1,843","401,677"
"Foster County, North Dakota",82,± 37,"1,808"
"Fountain County, Indiana",425,± 125,"7,752"
"Franklin city, Virginia",173,± 128,"3,449"
"Franklin County, Alabama",740,± 189,"13,469"
"Franklin County, Arkansas",316,± 128,"6,743"
"Franklin County, Florida",205,± 98,"4,255"
"Franklin County, Georgia",621,± 201,"9,505"
"Franklin County, Idaho",377,± 129,"6,506"
"Franklin County, Illinois",960,± 212,"15,875"
"Franklin County, Indiana",383,± 130,"11,566"
"Franklin County, Iowa",271,± 68,"4,735"
"Franklin County, Kansas",717,± 207,"13,107"
"Franklin County, Kentucky","1,412",± 393,"24,728"
"Franklin County, Maine","1,086",± 231,"14,000"
"Franklin County, Massachusetts","3,860",± 392,"36,043"
"Franklin County, Mississippi",243,± 111,"2,580"
"Franklin County, Missouri","2,548",± 410,"50,028"
"Franklin County, Nebraska",58,± 22,"1,378"
"Franklin County, New York","1,662",± 358,"19,321"
"Franklin County, North Carolina","2,173",± 422,"32,725"
"Franklin County, Ohio","41,876","± 1,577","694,653"
"Franklin County, Pennsylvania","5,332",± 683,"75,850"
"Franklin County, Tennessee","1,393",± 287,"19,502"
"Franklin County, Texas",486,± 199,"4,771"
"Franklin County, Vermont","1,742",± 259,"25,632"
"Franklin County, Virginia","1,410",± 376,"23,999"
"Franklin County, Washington","1,901",± 377,"43,495"
"Franklin Parish, Louisiana",376,± 110,"6,686"
"Frederick County, Maryland","9,904",± 741,"144,673"
"Frederick County, Virginia","2,736",± 436,"44,888"
"Fredericksburg city, Virginia","1,201",± 296,"14,745"
"Freeborn County, Minnesota",676,± 118,"14,695"
"Freestone County, Texas",518,± 176,"7,131"
"Fremont County, Colorado","1,080",± 283,"16,855"
"Fremont County, Idaho",330,± 110,"5,798"
"Fremont County, Iowa",186,± 41,"3,129"
"Fremont County, Wyoming","1,145",± 213,"17,285"
"Fresno County, California","26,901","± 1,473","423,399"
"Frio County, Texas",354,± 138,"6,930"
"Frontier County, Nebraska",127,± 36,"1,181"
"Fulton County, Arkansas",204,± 107,"4,249"
"Fulton County, Georgia","33,830","± 1,508","561,697"
"Fulton County, Illinois",854,± 203,"14,496"
"Fulton County, Indiana",344,± 153,"8,887"
"Fulton County, Kentucky",83,± 59,"2,196"
"Fulton County, New York","1,747",± 281,"24,326"
"Fulton County, Ohio",921,± 188,"20,603"
"Fulton County, Pennsylvania",303,± 52,"6,879"
"Furnas County, Nebraska",137,± 38,"2,219"
"Gadsden County, Florida",889,± 241,"16,452"
"Gage County, Nebraska",587,± 126,"10,781"
"Gaines County, Texas",267,± 118,"8,826"
"Galax city, Virginia",98,± 47,"2,796"
"Gallatin County, Illinois",89,± 46,"2,125"
"Gallatin County, Kentucky",176,± 70,"3,940"
"Gallatin County, Montana","4,316",± 468,"69,031"
"Gallia County, Ohio",803,± 231,"11,806"
"Galveston County, Texas","12,250","± 1,149","166,845"
"Garden County, Nebraska",55,± 29,698
"Garfield County, Colorado","1,742",± 293,"34,042"
"Garfield County, Montana",37,± 22,536
"Garfield County, Nebraska",62,± 29,956
"Garfield County, Oklahoma","1,578",± 312,"28,071"
"Garfield County, Utah",137,± 48,"2,337"
"Garfield County, Washington",46,± 28,910
"Garland County, Arkansas","2,654",± 484,"42,296"
"Garrard County, Kentucky",420,± 119,"7,209"
"Garrett County, Maryland",606,± 149,"13,555"
"Garvin County, Oklahoma",548,± 103,"10,810"
"Garza County, Texas",149,± 78,"1,662"
"Gasconade County, Missouri",344,± 104,"7,175"
"Gaston County, North Carolina","5,327",± 530,"109,133"
"Gates County, North Carolina",264,± 105,"4,560"
"Geary County, Kansas","1,067",± 259,"13,229"
"Geauga County, Ohio","2,578",± 384,"48,094"
"Gem County, Idaho",657,± 190,"8,608"
"Genesee County, Michigan","8,347",± 587,"173,444"
"Genesee County, New York","1,944",± 248,"28,893"
"Geneva County, Alabama",491,± 154,"10,890"
"Gentry County, Missouri",207,± 61,"2,801"
"George County, Mississippi",638,± 199,"8,394"
"Georgetown County, South Carolina","1,736",± 361,"26,060"
"Gibson County, Indiana",879,± 224,"15,859"
"Gibson County, Tennessee",951,± 265,"21,560"
"Gila County, Arizona","1,072",± 229,"18,692"
"Gilchrist County, Florida",477,± 191,"7,606"
"Giles County, Tennessee",462,± 144,"13,161"
"Giles County, Virginia",506,± 117,"7,458"
"Gillespie County, Texas",678,± 207,"12,396"
"Gilliam County, Oregon",39,± 25,802
"Gilmer County, Georgia","1,242",± 354,"13,571"
"Gilmer County, West Virginia",309,± 91,"2,367"
"Gilpin County, Colorado",251,± 138,"3,574"
"Glacier County, Montana",424,± 130,"4,926"
"Glades County, Florida",83,± 59,"3,608"
"Gladwin County, Michigan",361,± 75,"9,258"
"Glascock County, Georgia",48,± 34,"1,321"
"Glasscock County, Texas",6,± 8,463
"Glenn County, California",580,± 173,"12,496"
"Gloucester County, New Jersey","12,135","± 1,010","155,791"
"Gloucester County, Virginia","1,007",± 227,"19,020"
"Glynn County, Georgia","2,449",± 466,"37,799"
"Gogebic County, Michigan",270,± 91,"6,081"
"Golden Valley County, Montana",29,± 15,380
"Golden Valley County, North Dakota",27,± 15,810
"Goliad County, Texas",183,± 87,"2,882"
"Gonzales County, Texas",349,± 136,"8,679"
"Goochland County, Virginia",618,± 175,"11,680"
"Goodhue County, Minnesota","1,810",± 266,"23,981"
"Gooding County, Idaho",407,± 151,"7,184"
"Gordon County, Georgia","1,333",± 341,"26,411"
"Goshen County, Wyoming",456,± 142,"5,770"
"Gosper County, Nebraska",77,± 31,917
"Gove County, Kansas",140,± 33,"1,297"
"Grady County, Georgia",932,± 271,"11,042"
