Geography,"Total—Civilian employed population 16 years and over—Management, business, science, and arts occupations:—Healthcare practitioners and technical occupations:—Estimate",MoE,Total—Civilian employed population 16 years and over—Estimate
"Clarendon County, South Carolina",553,± 142,"11,104"
"Clarion County, Pennsylvania","1,252",± 170,"17,376"
"Clark County, Arkansas",200,± 78,"9,869"
"Clark County, Idaho",1,± 3,404
"Clark County, Illinois",489,± 124,"7,194"
"Clark County, Indiana","4,524",± 552,"62,265"
"Clark County, Kansas",64,± 25,946
"Clark County, Kentucky","1,312",± 278,"16,821"
"Clark County, Missouri",158,± 83,"2,874"
"Clark County, Nevada","52,068","± 1,996","1,057,265"
"Clark County, Ohio","4,268",± 556,"60,332"
"Clark County, South Dakota",48,± 19,"1,575"
"Clark County, Washington","14,195",± 975,"242,552"
"Clark County, Wisconsin",667,± 82,"16,074"
"Clarke County, Alabama",580,± 205,"7,841"
"Clarke County, Georgia","3,162",± 425,"63,458"
"Clarke County, Iowa",167,± 69,"4,561"
"Clarke County, Mississippi",643,± 204,"6,258"
"Clarke County, Virginia",488,± 162,"7,396"
"Clatsop County, Oregon",814,± 190,"18,558"
"Clay County, Alabama",497,± 152,"5,165"
"Clay County, Arkansas",601,± 156,"6,367"
"Clay County, Florida","7,466","± 1,122","103,623"
"Clay County, Georgia",45,± 38,"1,132"
"Clay County, Illinois",358,± 145,"5,789"
"Clay County, Indiana",819,± 226,"11,741"
"Clay County, Iowa",567,± 178,"8,420"
"Clay County, Kansas",306,± 112,"3,794"
"Clay County, Kentucky",274,± 123,"6,202"
"Clay County, Minnesota","2,626",± 321,"34,404"
"Clay County, Mississippi",373,± 144,"7,086"
"Clay County, Missouri","9,006",± 720,"133,662"
"Clay County, Nebraska",210,± 50,"3,115"
"Clay County, North Carolina",540,± 165,"4,386"
"Clay County, South Dakota",332,± 125,"7,809"
"Clay County, Tennessee",232,± 125,"2,638"
"Clay County, Texas",324,± 97,"4,791"
"Clay County, West Virginia",198,± 130,"2,572"
"Clayton County, Georgia","6,306",± 795,"138,006"
"Clayton County, Iowa",284,± 71,"8,611"
"Clear Creek County, Colorado",518,± 226,"5,590"
"Clearfield County, Pennsylvania","3,058",± 354,"34,861"
"Clearwater County, Idaho",297,± 102,"3,332"
"Clearwater County, Minnesota",253,± 45,"3,628"
"Cleburne County, Alabama",413,± 158,"5,692"
"Cleburne County, Arkansas",741,± 158,"9,386"
"Clermont County, Ohio","6,264",± 598,"104,710"
"Cleveland County, Arkansas",324,± 162,"2,923"
"Cleveland County, North Carolina","2,427",± 452,"43,294"
"Cleveland County, Oklahoma","9,965",± 638,"148,128"
"Clinch County, Georgia",77,± 67,"2,515"
"Clinton County, Illinois","1,500",± 203,"18,281"
"Clinton County, Indiana",726,± 178,"15,524"
"Clinton County, Iowa","1,456",± 259,"21,617"
"Clinton County, Kentucky",212,± 106,"3,746"
"Clinton County, Michigan","2,657",± 272,"39,293"
"Clinton County, Missouri",548,± 160,"9,539"
"Clinton County, New York","2,638",± 323,"35,932"
"Clinton County, Ohio","1,177",± 284,"20,167"
"Clinton County, Pennsylvania","1,080",± 198,"17,621"
"Cloud County, Kansas",318,± 91,"4,156"
"Coahoma County, Mississippi",549,± 162,"7,572"
"Coal County, Oklahoma",86,± 30,"2,025"
"Coamo Municipio, Puerto Rico",595,± 188,"10,921"
"Cobb County, Georgia","22,918","± 1,434","409,632"
"Cochise County, Arizona","2,717",± 372,"44,200"
"Cochran County, Texas",19,± 14,"1,069"
"Cocke County, Tennessee",794,± 240,"14,689"
"Coconino County, Arizona","4,299",± 532,"67,955"
"Codington County, South Dakota",785,± 188,"15,397"
"Coffee County, Alabama","1,511",± 265,"21,804"
"Coffee County, Georgia",717,± 280,"17,710"
"Coffee County, Tennessee","1,200",± 252,"25,872"
"Coffey County, Kansas",203,± 54,"3,961"
"Coke County, Texas",30,± 18,"1,341"
"Colbert County, Alabama","1,961",± 389,"25,589"
"Cole County, Missouri","1,961",± 339,"37,723"
"Coleman County, Texas",174,± 107,"3,371"
"Coles County, Illinois","1,322",± 309,"23,400"
"Colfax County, Nebraska",166,± 52,"5,275"
"Colfax County, New Mexico",185,± 80,"5,160"
"Colleton County, South Carolina",836,± 282,"15,659"
"Collier County, Florida","9,608",± 928,"161,734"
"Collin County, Texas","33,686","± 1,651","565,939"
"Collingsworth County, Texas",73,± 49,"1,306"
"Colonial Heights city, Virginia",552,± 157,"8,700"
"Colorado County, Texas",771,± 260,"8,841"
"Colquitt County, Georgia","1,248",± 272,"19,342"
"Columbia County, Arkansas",549,± 153,"9,232"
"Columbia County, Florida","2,659",± 459,"27,450"
"Columbia County, Georgia","6,093",± 694,"73,121"
"Columbia County, New York","1,969",± 258,"29,575"
"Columbia County, Oregon",985,± 237,"24,361"
"Columbia County, Pennsylvania","2,563",± 258,"30,240"
"Columbia County, Washington",60,± 41,"1,833"
"Columbia County, Wisconsin","1,799",± 278,"30,765"
"Columbiana County, Ohio","2,841",± 425,"46,351"
"Columbus County, North Carolina","1,099",± 207,"18,872"
"Colusa County, California",200,± 96,"9,728"
"Comal County, Texas","5,244",± 674,"77,609"
"Comanche County, Kansas",53,± 28,878
"Comanche County, Oklahoma","3,510",± 543,"45,750"
"Comanche County, Texas",348,± 98,"6,177"
"Comerío Municipio, Puerto Rico",841,± 332,"5,588"
"Concho County, Texas",235,± 112,997
"Concordia Parish, Louisiana",248,± 125,"5,455"
"Conecuh County, Alabama",256,± 118,"3,757"
"Conejos County, Colorado",139,± 53,"3,066"
"Contra Costa County, California","31,660","± 1,481","573,653"
"Converse County, Wyoming",296,± 115,"6,867"
"Conway County, Arkansas",445,± 188,"8,958"
"Cook County, Georgia",479,± 170,"7,551"
"Cook County, Illinois","156,205","± 3,398","2,600,619"
"Cook County, Minnesota",145,± 60,"2,876"
"Cooke County, Texas","1,389",± 306,"20,047"
"Cooper County, Missouri",548,± 126,"7,258"
"Coos County, New Hampshire",959,± 143,"14,431"
"Coos County, Oregon","1,130",± 233,"25,960"
"Coosa County, Alabama",182,± 69,"3,868"
"Copiah County, Mississippi","1,242",± 350,"10,780"
"Copper River Census Area, Alaska",45,± 30,"1,124"
"Corozal Municipio, Puerto Rico",884,± 329,"10,271"
"Corson County, South Dakota",33,± 14,"1,186"
"Cortland County, New York","1,552",± 235,"23,285"
"Coryell County, Texas","1,824",± 336,"25,141"
"Coshocton County, Ohio",978,± 188,"15,505"
"Costilla County, Colorado",60,± 44,"1,229"
"Cottle County, Texas",21,± 20,717
"Cotton County, Oklahoma",145,± 51,"2,382"
"Cottonwood County, Minnesota",266,± 69,"5,398"
"Covington city, Virginia",185,± 98,"2,357"
"Covington County, Alabama","1,336",± 248,"15,090"
"Covington County, Mississippi",495,± 220,"7,128"
"Coweta County, Georgia","4,310",± 633,"73,138"
"Cowley County, Kansas",785,± 177,"15,273"
"Cowlitz County, Washington","1,962",± 372,"46,916"
"Craig County, Oklahoma",320,± 74,"5,393"
"Craig County, Virginia",56,± 56,"1,997"
"Craighead County, Arkansas","4,862",± 677,"51,494"
"Crane County, Texas",20,± 27,"2,244"
"Craven County, North Carolina","3,121",± 519,"40,158"
"Crawford County, Arkansas","1,435",± 265,"24,637"
"Crawford County, Georgia",334,± 154,"5,008"
"Crawford County, Illinois",592,± 120,"8,281"
"Crawford County, Indiana",153,± 75,"4,325"
"Crawford County, Iowa",283,± 76,"7,910"
"Crawford County, Kansas","1,145",± 205,"19,531"
"Crawford County, Michigan",311,± 77,"5,281"
"Crawford County, Missouri",427,± 137,"9,115"
"Crawford County, Ohio","1,028",± 219,"19,199"
"Crawford County, Pennsylvania","2,161",± 246,"36,129"
"Crawford County, Wisconsin",382,± 80,"7,087"
"Creek County, Oklahoma","1,654",± 177,"31,202"
"Crenshaw County, Alabama",244,± 93,"5,132"
"Crisp County, Georgia",609,± 250,"8,630"
"Crittenden County, Arkansas","1,314",± 256,"20,355"
"Crittenden County, Kentucky",247,± 75,"3,485"
"Crockett County, Tennessee",537,± 142,"6,449"
"Crockett County, Texas",16,± 22,"1,558"
"Crook County, Oregon",609,± 276,"11,300"
"Crook County, Wyoming",147,± 83,"3,457"
"Crosby County, Texas",64,± 27,"2,368"
"Cross County, Arkansas",428,± 118,"7,273"
"Crow Wing County, Minnesota","2,160",± 226,"30,900"
"Crowley County, Colorado",90,± 42,"1,589"
"Culberson County, Texas",8,± 13,930
"Culebra Municipio, Puerto Rico",4,± 7,574
"Cullman County, Alabama","2,351",± 373,"39,440"
"Culpeper County, Virginia","1,127",± 249,"25,794"
"Cumberland County, Illinois",333,± 79,"5,524"
"Cumberland County, Kentucky",61,± 41,"2,361"
"Cumberland County, Maine","14,203",± 813,"167,364"
"Cumberland County, New Jersey","3,829",± 502,"63,166"
"Cumberland County, North Carolina","8,574",± 635,"125,174"
"Cumberland County, Pennsylvania","8,937",± 762,"131,777"
"Cumberland County, Tennessee","1,333",± 278,"22,676"
"Cumberland County, Virginia",285,± 132,"5,069"
"Cuming County, Nebraska",328,± 110,"4,684"
"Currituck County, North Carolina",582,± 189,"14,123"
"Curry County, New Mexico",675,± 216,"18,437"
"Curry County, Oregon",362,± 178,"8,833"
"Custer County, Colorado",210,± 110,"2,046"
"Custer County, Idaho",73,± 58,"1,826"
"Custer County, Montana",462,± 117,"6,245"
"Custer County, Nebraska",324,± 98,"5,261"
"Custer County, Oklahoma",904,± 264,"14,247"
"Custer County, South Dakota",342,± 124,"3,839"
"Cuyahoga County, Ohio","49,149","± 1,927","605,214"
"Dade County, Georgia",217,± 97,"7,073"
"Dade County, Missouri",139,± 52,"3,136"
"Daggett County, Utah",0,± 12,249
"Dakota County, Minnesota","14,667",± 866,"239,442"
"Dakota County, Nebraska",312,± 119,"10,539"
"Dale County, Alabama","1,138",± 204,"18,115"
"Dallam County, Texas",67,± 58,"3,839"
"Dallas County, Alabama",672,± 173,"14,359"
"Dallas County, Arkansas",206,± 110,"2,627"
"Dallas County, Iowa","3,898",± 521,"55,396"
"Dallas County, Missouri",330,± 145,"6,453"
"Dallas County, Texas","62,045","± 2,238","1,319,521"
"Dane County, Wisconsin","24,547","± 1,058","317,881"
"Daniels County, Montana",34,± 17,784
"Danville city, Virginia","1,169",± 259,"16,670"
"Dare County, North Carolina","1,431",± 340,"19,041"
"Darke County, Ohio","1,256",± 269,"24,579"
"Darlington County, South Carolina","1,634",± 321,"26,305"
"Dauphin County, Pennsylvania","10,440",± 836,"143,394"
"Davidson County, North Carolina","4,487",± 605,"77,106"
"Davidson County, Tennessee","26,175","± 1,418","396,132"
"Davie County, North Carolina","1,272",± 260,"19,800"
"Daviess County, Indiana",916,± 223,"15,248"
"Daviess County, Kentucky","3,287",± 416,"47,470"
"Daviess County, Missouri",163,± 45,"3,638"
"Davis County, Iowa",241,± 87,"4,107"
"Davis County, Utah","10,450",± 826,"178,388"
"Davison County, South Dakota",511,± 157,"10,433"
"Dawes County, Nebraska",146,± 111,"4,373"
"Dawson County, Georgia","1,086",± 284,"13,604"
"Dawson County, Montana",265,± 116,"4,460"
"Dawson County, Nebraska",495,± 134,"12,386"
"Dawson County, Texas",162,± 75,"4,270"
"Day County, South Dakota",132,± 53,"2,485"
"De Baca County, New Mexico",20,± 23,729
"De Soto Parish, Louisiana",757,± 205,"10,342"
"De Witt County, Illinois",331,± 112,"7,604"
"Deaf Smith County, Texas",90,± 60,"8,428"
"Dearborn County, Indiana","1,975",± 391,"25,739"
"Decatur County, Georgia",669,± 218,"11,043"
"Decatur County, Indiana",882,± 204,"13,324"
"Decatur County, Iowa",174,± 57,"3,479"
"Decatur County, Kansas",78,± 40,"1,308"
"Decatur County, Tennessee",437,± 124,"4,419"
"Deer Lodge County, Montana",318,± 122,"4,207"
"Defiance County, Ohio","1,143",± 238,"18,813"
"DeKalb County, Alabama","1,810",± 330,"30,827"
"DeKalb County, Georgia","21,493","± 1,177","388,455"
"DeKalb County, Illinois","3,139",± 388,"51,628"
"DeKalb County, Indiana","1,114",± 213,"21,356"
"DeKalb County, Missouri",230,± 89,"4,245"
"DeKalb County, Tennessee",721,± 261,"8,292"
"Del Norte County, California",844,± 235,"9,912"
"Delaware County, Indiana","3,507",± 539,"52,929"
"Delaware County, Iowa",599,± 149,"9,586"
"Delaware County, New York",997,± 182,"19,247"
"Delaware County, Ohio","9,224",± 764,"114,307"
"Delaware County, Oklahoma",899,± 174,"16,076"
"Delaware County, Pennsylvania","20,879","± 1,069","285,672"
"Delta County, Colorado",664,± 206,"12,228"
"Delta County, Michigan",803,± 172,"15,097"
"Delta County, Texas",210,± 121,"2,310"
"Denali Borough, Alaska",7,± 11,"1,344"
"Dent County, Missouri",456,± 148,"6,154"
"Denton County, Texas","27,058","± 1,552","501,458"
"Denver County, Colorado","27,396","± 1,482","416,271"
"Des Moines County, Iowa","1,233",± 225,"18,599"
"Deschutes County, Oregon","6,009",± 859,"98,636"
"Desha County, Arkansas",188,± 71,"4,057"
"DeSoto County, Florida",589,± 283,"12,390"
"DeSoto County, Mississippi","7,310",± 717,"93,433"
"Deuel County, Nebraska",71,± 57,881
"Deuel County, South Dakota",74,± 25,"2,110"
"Dewey County, Oklahoma",56,± 27,"1,860"
"Dewey County, South Dakota",49,± 26,"1,953"
"DeWitt County, Texas",471,± 132,"7,539"
"Dickens County, Texas",34,± 20,589
"Dickenson County, Virginia",409,± 125,"4,472"
"Dickey County, North Dakota",215,± 71,"2,520"
"Dickinson County, Iowa",581,± 124,"9,372"
"Dickinson County, Kansas",640,± 136,"8,870"
"Dickinson County, Michigan",883,± 163,"11,876"
"Dickson County, Tennessee","1,803",± 319,"26,078"
"Dillingham Census Area, Alaska",240,± 984,"1,935"
"Dillon County, South Carolina",674,± 193,"11,296"
"Dimmit County, Texas",40,± 44,"2,352"
"Dinwiddie County, Virginia",907,± 307,"13,516"
"District of Columbia, District of Columbia","14,232","± 1,122","369,398"
"Divide County, North Dakota",30,± 26,986
"Dixie County, Florida",124,± 89,"5,447"
"Dixon County, Nebraska",125,± 32,"2,800"
"Doddridge County, West Virginia",153,± 98,"2,990"
"Dodge County, Georgia",350,± 125,"7,728"
"Dodge County, Minnesota","1,203",± 179,"11,441"
"Dodge County, Nebraska",944,± 219,"18,088"
"Dodge County, Wisconsin","2,053",± 253,"47,053"
"Dolores County, Colorado",8,± 12,"1,073"
"Doña Ana County, New Mexico","4,791",± 744,"92,088"
"Doniphan County, Kansas",195,± 57,"3,721"
"Donley County, Texas",73,± 33,"1,386"
"Dooly County, Georgia",325,± 143,"3,958"
"Door County, Wisconsin",843,± 195,"14,387"
"Dorado Municipio, Puerto Rico",860,± 311,"12,313"
"Dorchester County, Maryland","1,132",± 288,"15,001"
"Dorchester County, South Carolina","5,104",± 641,"77,519"
"Dougherty County, Georgia","2,374",± 388,"33,442"
"Douglas County, Colorado","11,895",± 800,"197,288"
"Douglas County, Georgia","3,801",± 660,"70,280"
"Douglas County, Illinois",466,± 104,"9,641"
"Douglas County, Kansas","4,421",± 545,"66,803"
"Douglas County, Minnesota","1,357",± 250,"19,658"
"Douglas County, Missouri",196,± 103,"4,344"
"Douglas County, Nebraska","21,515","± 1,023","304,777"
"Douglas County, Nevada",957,± 236,"21,681"
"Douglas County, Oregon","2,592",± 348,"43,613"
"Douglas County, South Dakota",84,± 24,"1,446"
"Douglas County, Washington",985,± 220,"20,627"
"Douglas County, Wisconsin","1,399",± 221,"22,041"
"Drew County, Arkansas",460,± 182,"7,146"
"Dubois County, Indiana","1,135",± 216,"22,743"
"Dubuque County, Iowa","3,402",± 351,"51,346"
"Duchesne County, Utah",368,± 91,"8,006"
"Dukes County, Massachusetts",639,± 255,"10,474"
"Dundy County, Nebraska",61,± 33,975
"Dunklin County, Missouri",758,± 169,"11,043"
"Dunn County, North Dakota",89,± 42,"1,913"
"Dunn County, Wisconsin",920,± 123,"24,233"
"DuPage County, Illinois","32,696","± 1,424","489,400"
"Duplin County, North Carolina",952,± 230,"21,679"
"Durham County, North Carolina","16,141","± 1,177","171,659"
"Dutchess County, New York","10,712",± 870,"148,109"
"Duval County, Florida","30,187","± 1,772","484,091"
"Duval County, Texas",155,± 114,"3,646"
"Dyer County, Tennessee","1,436",± 322,"15,967"
"Eagle County, Colorado","1,402",± 345,"32,146"
"Early County, Georgia",224,± 99,"4,258"
"East Baton Rouge Parish, Louisiana","14,053","± 1,280","217,919"
"East Carroll Parish, Louisiana",72,± 46,"1,693"
"East Feliciana Parish, Louisiana",609,± 172,"6,647"
"Eastland County, Texas",333,± 143,"7,706"
"Eaton County, Michigan","2,904",± 361,"53,895"
"Eau Claire County, Wisconsin","4,016",± 446,"57,979"
"Echols County, Georgia",64,± 60,"1,901"
"Ector County, Texas","3,574",± 635,"74,794"
"Eddy County, New Mexico","1,179",± 339,"27,391"
"Eddy County, North Dakota",66,± 24,"1,105"
"Edgar County, Illinois",530,± 137,"7,526"
"Edgecombe County, North Carolina","1,146",± 286,"20,366"
"Edgefield County, South Carolina",586,± 142,"11,160"
"Edmonson County, Kentucky",205,± 77,"4,727"
"Edmunds County, South Dakota",206,± 63,"1,913"
"Edwards County, Illinois",257,± 83,"2,694"
"Edwards County, Kansas",48,± 27,"1,359"
"Edwards County, Texas",0,± 15,728
"Effingham County, Georgia","2,087",± 363,"30,888"
"Effingham County, Illinois","1,509",± 221,"17,595"
"El Dorado County, California","5,389",± 540,"87,959"
"El Paso County, Colorado","22,494","± 1,136","342,274"
"El Paso County, Texas","21,405","± 1,464","368,320"
"Elbert County, Colorado",742,± 204,"14,177"
"Elbert County, Georgia",355,± 141,"8,514"
"Elk County, Kansas",63,± 27,955
"Elk County, Pennsylvania","1,245",± 164,"14,970"
"Elkhart County, Indiana","4,954",± 548,"98,862"
"Elko County, Nevada","1,046",± 227,"26,275"
"Elliott County, Kentucky",219,± 92,"1,884"
"Ellis County, Kansas","1,104",± 189,"16,719"
"Ellis County, Oklahoma",121,± 78,"1,585"
"Ellis County, Texas","5,044",± 647,"99,369"
"Ellsworth County, Kansas",217,± 53,"2,638"
"Elmore County, Alabama","3,076",± 534,"39,250"
"Elmore County, Idaho",404,± 170,"10,014"
"Emanuel County, Georgia",691,± 199,"9,194"
"Emery County, Utah",146,± 61,"4,043"
"Emmet County, Iowa",225,± 93,"4,871"
"Emmet County, Michigan","1,242",± 222,"17,075"
"Emmons County, North Dakota",77,± 22,"1,571"
"Emporia city, Virginia",91,± 60,"2,185"
"Erath County, Texas",785,± 236,"20,833"
"Erie County, New York","35,181","± 1,584","466,028"
"Erie County, Ohio","2,670",± 467,"35,755"
"Erie County, Pennsylvania","9,647",± 782,"124,388"
"Escambia County, Alabama",691,± 184,"12,964"
"Escambia County, Florida","9,370",± 915,"139,992"
"Esmeralda County, Nevada",2,± 5,409
"Essex County, Massachusetts","26,641","± 1,432","421,898"
"Essex County, New Jersey","21,299","± 1,350","408,082"
"Essex County, New York","1,159",± 191,"17,294"
"Essex County, Vermont",128,± 37,"2,628"
"Essex County, Virginia",114,± 63,"4,402"
"Estill County, Kentucky",193,± 103,"4,815"
"Etowah County, Alabama","3,340",± 492,"44,508"
"Eureka County, Nevada",0,± 14,579
"Evangeline Parish, Louisiana",930,± 226,"11,404"
"Evans County, Georgia",184,± 91,"4,406"
"Fairbanks North Star Borough, Alaska","2,254",± 383,"42,078"
"Fairfax city, Virginia",486,± 143,"13,137"
"Fairfax County, Virginia","27,766","± 1,177","610,265"
"Fairfield County, Ohio","5,468",± 642,"78,317"
"Fairfield County, South Carolina",449,± 124,"9,232"
"Fajardo Municipio, Puerto Rico",578,± 198,"10,590"
"Fall River County, South Dakota",322,± 107,"2,971"
"Fallon County, Montana",50,± 38,"1,426"
"Falls Church city, Virginia",440,± 159,"7,941"
"Falls County, Texas",391,± 102,"6,248"
"Fannin County, Georgia",415,± 147,"9,979"
"Fannin County, Texas",784,± 179,"15,060"
"Faribault County, Minnesota",313,± 45,"6,889"
"Faulk County, South Dakota",40,± 19,947
"Faulkner County, Arkansas","5,204",± 870,"58,278"
"Fauquier County, Virginia","1,959",± 272,"38,689"
"Fayette County, Alabama",580,± 193,"6,296"
"Fayette County, Georgia","4,116",± 667,"54,962"
"Fayette County, Illinois",750,± 154,"9,012"
"Fayette County, Indiana",499,± 149,"10,377"
"Fayette County, Iowa",487,± 129,"9,230"
"Fayette County, Kentucky","14,398","± 1,010","169,451"
"Fayette County, Ohio",669,± 187,"12,940"
"Fayette County, Pennsylvania","3,944",± 418,"54,363"
"Fayette County, Tennessee","1,312",± 220,"19,462"
"Fayette County, Texas",394,± 117,"10,862"
"Fayette County, West Virginia","1,132",± 247,"14,182"
"Fentress County, Tennessee",485,± 200,"7,223"
"Fergus County, Montana",339,± 130,"5,591"
"Ferry County, Washington",180,± 123,"2,521"
"Fillmore County, Minnesota","1,049",± 90,"10,778"
"Fillmore County, Nebraska",203,± 62,"3,004"
"Finney County, Kansas",999,± 232,"18,692"
"Fisher County, Texas",152,± 56,"1,816"
"Flagler County, Florida","3,492",± 593,"48,151"
"Flathead County, Montana","3,361",± 396,"52,022"
"Fleming County, Kentucky",487,± 168,"6,049"
"Florence County, South Carolina","5,162",± 610,"60,040"
"Florence County, Wisconsin",129,± 44,"1,964"
"Florida Municipio, Puerto Rico",226,± 164,"3,544"
"Floyd County, Georgia","3,211",± 447,"43,616"
"Floyd County, Indiana","3,252",± 370,"39,654"
"Floyd County, Iowa",436,± 155,"7,426"
"Floyd County, Kentucky",805,± 193,"11,249"
"Floyd County, Texas",83,± 44,"2,238"
"Floyd County, Virginia",720,± 155,"7,652"
"Fluvanna County, Virginia","1,239",± 310,"13,379"
"Foard County, Texas",47,± 45,508
"Fond du Lac County, Wisconsin","2,920",± 379,"53,417"
"Ford County, Illinois",481,± 123,"6,382"
"Ford County, Kansas",650,± 193,"17,165"
"Forest County, Pennsylvania",104,± 55,"1,630"
"Forest County, Wisconsin",153,± 52,"3,779"
"Forrest County, Mississippi","2,385",± 439,"36,010"
"Forsyth County, Georgia","6,492",± 639,"130,217"
"Forsyth County, North Carolina","14,578","± 1,161","178,260"
"Fort Bend County, Texas","32,722","± 2,079","401,677"
"Foster County, North Dakota",107,± 49,"1,808"
"Fountain County, Indiana",441,± 121,"7,752"
"Franklin city, Virginia",175,± 84,"3,449"
"Franklin County, Alabama",536,± 160,"13,469"
"Franklin County, Arkansas",273,± 112,"6,743"
"Franklin County, Florida",149,± 88,"4,255"
"Franklin County, Georgia",579,± 163,"9,505"
"Franklin County, Idaho",136,± 73,"6,506"
"Franklin County, Illinois","1,188",± 168,"15,875"
"Franklin County, Indiana",983,± 216,"11,566"
"Franklin County, Iowa",123,± 40,"4,735"
"Franklin County, Kansas",730,± 201,"13,107"
"Franklin County, Kentucky","1,257",± 301,"24,728"
"Franklin County, Maine",859,± 292,"14,000"
"Franklin County, Massachusetts","2,317",± 289,"36,043"
"Franklin County, Mississippi",148,± 76,"2,580"
"Franklin County, Missouri","2,885",± 438,"50,028"
"Franklin County, Nebraska",74,± 25,"1,378"
"Franklin County, New York","1,307",± 224,"19,321"
"Franklin County, North Carolina","2,042",± 497,"32,725"
"Franklin County, Ohio","49,796","± 2,054","694,653"
"Franklin County, Pennsylvania","4,644",± 546,"75,850"
"Franklin County, Tennessee","1,088",± 257,"19,502"
"Franklin County, Texas",255,± 117,"4,771"
"Franklin County, Vermont","1,532",± 278,"25,632"
"Franklin County, Virginia","1,504",± 270,"23,999"
"Franklin County, Washington","2,054",± 462,"43,495"
"Franklin Parish, Louisiana",463,± 153,"6,686"
"Frederick County, Maryland","8,304",± 621,"144,673"
"Frederick County, Virginia","2,717",± 406,"44,888"
"Fredericksburg city, Virginia",688,± 226,"14,745"
"Freeborn County, Minnesota",928,± 109,"14,695"
"Freestone County, Texas",432,± 122,"7,131"
"Fremont County, Colorado",701,± 220,"16,855"
"Fremont County, Idaho",232,± 93,"5,798"
"Fremont County, Iowa",179,± 50,"3,129"
"Fremont County, Wyoming","1,011",± 198,"17,285"
"Fresno County, California","23,236","± 1,253","423,399"
"Frio County, Texas",147,± 85,"6,930"
"Frontier County, Nebraska",52,± 18,"1,181"
"Fulton County, Arkansas",324,± 125,"4,249"
"Fulton County, Georgia","29,985","± 1,870","561,697"
"Fulton County, Illinois","1,191",± 207,"14,496"
"Fulton County, Indiana",500,± 167,"8,887"
"Fulton County, Kentucky",90,± 65,"2,196"
"Fulton County, New York","1,305",± 238,"24,326"
"Fulton County, Ohio","1,463",± 196,"20,603"
"Fulton County, Pennsylvania",427,± 76,"6,879"
"Furnas County, Nebraska",136,± 37,"2,219"
"Gadsden County, Florida",553,± 181,"16,452"
"Gage County, Nebraska",687,± 126,"10,781"
"Gaines County, Texas",199,± 122,"8,826"
"Galax city, Virginia",179,± 93,"2,796"
"Gallatin County, Illinois",162,± 64,"2,125"
"Gallatin County, Kentucky",112,± 63,"3,940"
"Gallatin County, Montana","3,429",± 457,"69,031"
"Gallia County, Ohio",882,± 237,"11,806"
"Galveston County, Texas","13,325",± 958,"166,845"
"Garden County, Nebraska",22,± 15,698
"Garfield County, Colorado","1,459",± 287,"34,042"
"Garfield County, Montana",33,± 20,536
"Garfield County, Nebraska",27,± 19,956
"Garfield County, Oklahoma","1,621",± 265,"28,071"
"Garfield County, Utah",169,± 87,"2,337"
"Garfield County, Washington",39,± 25,910
"Garland County, Arkansas","3,348",± 533,"42,296"
"Garrard County, Kentucky",551,± 145,"7,209"
"Garrett County, Maryland",933,± 225,"13,555"
"Garvin County, Oklahoma",608,± 160,"10,810"
"Garza County, Texas",100,± 83,"1,662"
"Gasconade County, Missouri",423,± 107,"7,175"
"Gaston County, North Carolina","6,864",± 710,"109,133"
"Gates County, North Carolina",134,± 67,"4,560"
"Geary County, Kansas",554,± 192,"13,229"
"Geauga County, Ohio","3,156",± 408,"48,094"
"Gem County, Idaho",444,± 176,"8,608"
"Genesee County, Michigan","13,104",± 997,"173,444"
"Genesee County, New York","1,696",± 312,"28,893"
"Geneva County, Alabama",783,± 193,"10,890"
"Gentry County, Missouri",176,± 53,"2,801"
"George County, Mississippi",836,± 245,"8,394"
"Georgetown County, South Carolina","1,783",± 303,"26,060"
"Gibson County, Indiana","1,007",± 220,"15,859"
"Gibson County, Tennessee","1,822",± 348,"21,560"
"Gila County, Arizona",840,± 230,"18,692"
"Gilchrist County, Florida",574,± 160,"7,606"
"Giles County, Tennessee",981,± 262,"13,161"
"Giles County, Virginia",382,± 123,"7,458"
"Gillespie County, Texas",922,± 262,"12,396"
"Gilliam County, Oregon",17,± 15,802
"Gilmer County, Georgia",672,± 229,"13,571"
"Gilmer County, West Virginia",135,± 66,"2,367"
"Gilpin County, Colorado",106,± 85,"3,574"
"Glacier County, Montana",298,± 102,"4,926"
"Glades County, Florida",107,± 64,"3,608"
"Gladwin County, Michigan",503,± 92,"9,258"
"Glascock County, Georgia",103,± 48,"1,321"
"Glasscock County, Texas",5,± 9,463
"Glenn County, California",371,± 142,"12,496"
"Gloucester County, New Jersey","12,884","± 1,017","155,791"
"Gloucester County, Virginia","1,045",± 238,"19,020"
"Glynn County, Georgia","2,475",± 513,"37,799"
"Gogebic County, Michigan",395,± 97,"6,081"
"Golden Valley County, Montana",11,± 11,380
"Golden Valley County, North Dakota",36,± 21,810
"Goliad County, Texas",230,± 108,"2,882"
"Gonzales County, Texas",254,± 96,"8,679"
"Goochland County, Virginia",748,± 191,"11,680"
"Goodhue County, Minnesota","2,265",± 281,"23,981"
"Gooding County, Idaho",157,± 89,"7,184"
"Gordon County, Georgia",874,± 240,"26,411"
"Goshen County, Wyoming",385,± 135,"5,770"
"Gosper County, Nebraska",71,± 38,917
"Gove County, Kansas",73,± 25,"1,297"
"Grady County, Georgia","1,065",± 327,"11,042"
"Grady County, Oklahoma","1,753",± 267,"24,964"
