Geography,Households—Median income (dollars)—Estimate,MoE
"Cleveland County, Arkansas","48,913","± 5,969"
"Cleveland County, North Carolina","50,723","± 2,733"
"Cleveland County, Oklahoma","71,757","± 1,737"
"Clinch County, Georgia","53,350","± 15,658"
"Clinton County, Illinois","78,054","± 3,586"
"Clinton County, Indiana","59,515","± 2,762"
"Clinton County, Iowa","61,080","± 2,438"
"Clinton County, Kentucky","41,180","± 3,267"
"Clinton County, Michigan","82,594","± 2,273"
"Clinton County, Missouri","66,494","± 3,646"
"Clinton County, New York","67,097","± 2,802"
"Clinton County, Ohio","64,210","± 4,538"
"Clinton County, Pennsylvania","59,011","± 2,275"
"Cloud County, Kansas","51,197","± 3,669"
"Coahoma County, Mississippi","36,075","± 2,567"
"Coal County, Oklahoma","47,117","± 3,277"
"Coamo Municipio, Puerto Rico","20,569","± 2,208"
"Cobb County, Georgia","94,244","± 1,802"
"Cochise County, Arizona","58,421","± 2,593"
"Cochran County, Texas","41,597","± 7,058"
"Cocke County, Tennessee","45,110","± 4,299"
"Coconino County, Arizona","67,266","± 1,828"
"Codington County, South Dakota","65,747","± 5,887"
"Coffee County, Alabama","62,199","± 3,570"
"Coffee County, Georgia","48,398","± 3,187"
"Coffee County, Tennessee","57,424","± 3,010"
"Coffey County, Kansas","67,645","± 7,991"
"Coke County, Texas","40,230","± 5,552"
"Colbert County, Alabama","56,149","± 3,200"
"Cole County, Missouri","70,667","± 3,712"
"Coleman County, Texas","51,034","± 4,056"
"Coles County, Illinois","53,732","± 4,076"
"Colfax County, Nebraska","71,205","± 3,687"
"Colfax County, New Mexico","46,286","± 5,957"
"Colleton County, South Carolina","46,795","± 2,513"
"Collier County, Florida","82,011","± 1,934"
"Collin County, Texas","113,255","± 1,316"
"Collingsworth County, Texas","52,045","± 11,458"
"Colonial Heights city, Virginia","72,216","± 5,437"
"Colorado County, Texas","63,352","± 5,177"
"Colquitt County, Georgia","47,235","± 4,294"
"Columbia County, Arkansas","47,441","± 6,433"
"Columbia County, Florida","53,501","± 3,291"
"Columbia County, Georgia","92,571","± 3,536"
"Columbia County, New York","81,741","± 2,769"
"Columbia County, Oregon","83,265","± 4,258"
"Columbia County, Pennsylvania","59,457","± 2,234"
"Columbia County, Washington","68,825","± 4,234"
"Columbia County, Wisconsin","79,271","± 2,428"
"Columbiana County, Ohio","55,473","± 2,209"
"Columbus County, North Carolina","43,206","± 3,741"
"Colusa County, California","69,619","± 5,745"
"Comal County, Texas","93,744","± 2,651"
"Comanche County, Kansas","49,754","± 8,107"
"Comanche County, Oklahoma","57,150","± 1,458"
"Comanche County, Texas","57,383","± 7,645"
"Comerío Municipio, Puerto Rico","16,153","± 1,314"
"Concho County, Texas","55,750","± 15,537"
"Concordia Parish, Louisiana","38,929","± 5,562"
"Conecuh County, Alabama","39,888","± 4,152"
"Conejos County, Colorado","44,093","± 2,222"
"Contra Costa County, California","120,020","± 1,496"
"Converse County, Wyoming","79,235","± 9,542"
"Conway County, Arkansas","50,282","± 4,273"
"Cook County, Georgia","46,706","± 8,630"
"Cook County, Illinois","78,304",± 571
"Cook County, Minnesota","71,937","± 4,681"
"Cooke County, Texas","66,374","± 5,551"
"Cooper County, Missouri","62,239","± 2,894"
"Coos County, New Hampshire","55,247","± 3,519"
"Coos County, Oregon","57,563","± 3,261"
"Coosa County, Alabama","52,279","± 4,025"
"Copiah County, Mississippi","46,889","± 3,613"
"Copper River Census Area, Alaska","70,606","± 9,374"
"Corozal Municipio, Puerto Rico","21,670","± 2,461"
"Corson County, South Dakota","48,125","± 11,870"
"Cortland County, New York","65,029","± 2,872"
"Coryell County, Texas","63,281","± 2,292"
"Coshocton County, Ohio","52,048","± 3,051"
"Costilla County, Colorado","34,578","± 3,894"
"Cottle County, Texas","47,625","± 18,011"
"Cotton County, Oklahoma","60,208","± 8,413"
"Cottonwood County, Minnesota","63,586","± 6,049"
"Covington city, Virginia","45,737","± 7,034"
"Covington County, Alabama","48,772","± 4,644"
"Covington County, Mississippi","40,164","± 5,734"
"Coweta County, Georgia","90,031","± 2,892"
"Cowley County, Kansas","55,726","± 2,349"
"Cowlitz County, Washington","70,912","± 2,483"
"Craig County, Oklahoma","48,018","± 3,075"
"Craig County, Virginia","66,286","± 8,134"
"Craighead County, Arkansas","55,169","± 2,630"
"Crane County, Texas","71,364","± 23,469"
"Craven County, North Carolina","61,676","± 2,559"
"Crawford County, Arkansas","56,702","± 2,201"
"Crawford County, Georgia","56,948","± 7,277"
"Crawford County, Illinois","64,163","± 5,977"
"Crawford County, Indiana","46,706","± 3,547"
"Crawford County, Iowa","61,188","± 4,191"
"Crawford County, Kansas","49,779","± 3,272"
"Crawford County, Michigan","57,998","± 3,442"
"Crawford County, Missouri","52,367","± 2,284"
"Crawford County, Ohio","52,486","± 2,180"
"Crawford County, Pennsylvania","58,734","± 2,298"
"Crawford County, Wisconsin","60,823","± 4,420"
"Creek County, Oklahoma","61,657","± 2,189"
"Crenshaw County, Alabama","48,557","± 3,908"
"Crisp County, Georgia","47,463","± 9,876"
"Crittenden County, Arkansas","51,860","± 3,801"
"Crittenden County, Kentucky","45,810","± 11,330"
"Crockett County, Tennessee","59,136","± 6,216"
"Crockett County, Texas","64,103","± 21,764"
"Crook County, Oregon","74,969","± 5,998"
"Crook County, Wyoming","68,876","± 4,355"
"Crosby County, Texas","50,268","± 5,227"
"Cross County, Arkansas","48,129","± 6,592"
"Crow Wing County, Minnesota","65,975","± 2,138"
"Crowley County, Colorado","40,685","± 7,356"
"Culberson County, Texas","35,924","± 18,455"
"Culebra Municipio, Puerto Rico","25,483","± 2,699"
"Cullman County, Alabama","58,119","± 2,269"
"Culpeper County, Virginia","92,359","± 4,299"
"Cumberland County, Illinois","71,274","± 7,545"
"Cumberland County, Kentucky","40,515","± 6,429"
"Cumberland County, Maine","87,710","± 2,034"
"Cumberland County, New Jersey","62,310","± 2,205"
"Cumberland County, North Carolina","55,551",± 979
"Cumberland County, Pennsylvania","82,849","± 1,822"
"Cumberland County, Tennessee","56,002","± 2,777"
"Cumberland County, Virginia","56,497","± 8,052"
"Cuming County, Nebraska","68,917","± 4,351"
"Currituck County, North Carolina","82,793","± 8,910"
"Curry County, New Mexico","55,427","± 3,635"
"Curry County, Oregon","64,300","± 5,381"
"Custer County, Colorado","66,250","± 8,149"
"Custer County, Idaho","60,357","± 10,589"
"Custer County, Montana","61,114","± 7,151"
"Custer County, Nebraska","62,288","± 4,725"
"Custer County, Oklahoma","58,669","± 3,871"
"Custer County, South Dakota","75,943","± 6,402"
"Cuyahoga County, Ohio","60,074",± 699
"Dade County, Georgia","59,531","± 7,802"
"Dade County, Missouri","46,806","± 5,007"
"Daggett County, Utah","61,250","± 14,033"
"Dakota County, Minnesota","101,360","± 1,174"
"Dakota County, Nebraska","66,112","± 6,181"
"Dale County, Alabama","52,813","± 3,967"
"Dallam County, Texas","71,969","± 7,016"
"Dallas County, Alabama","37,180","± 3,448"
"Dallas County, Arkansas","40,085","± 9,399"
"Dallas County, Iowa","99,533","± 3,165"
"Dallas County, Missouri","46,547","± 4,967"
"Dallas County, Texas","70,732",± 611
"Dane County, Wisconsin","84,297","± 1,578"
"Daniels County, Montana","47,378","± 13,835"
"Danville city, Virginia","41,484","± 3,434"
"Dare County, North Carolina","79,742","± 4,130"
"Darke County, Ohio","60,237","± 3,901"
"Darlington County, South Carolina","44,317","± 2,688"
"Dauphin County, Pennsylvania","71,046","± 1,614"
"Davidson County, North Carolina","58,473","± 1,984"
"Davidson County, Tennessee","71,863","± 1,354"
"Davie County, North Carolina","69,105","± 4,221"
"Daviess County, Indiana","64,113","± 4,054"
"Daviess County, Kentucky","64,021","± 3,874"
"Daviess County, Missouri","59,706","± 2,544"
"Davis County, Iowa","77,176","± 7,129"
"Davis County, Utah","101,285","± 1,754"
"Davison County, South Dakota","55,606","± 3,083"
"Dawes County, Nebraska","53,760","± 5,529"
"Dawson County, Georgia","84,516","± 5,754"
"Dawson County, Montana","68,168","± 5,777"
"Dawson County, Nebraska","67,462","± 4,763"
"Dawson County, Texas","45,268","± 12,510"
"Day County, South Dakota","57,558","± 4,408"
"De Baca County, New Mexico","34,702","± 25,897"
"De Soto Parish, Louisiana","49,807","± 5,118"
"De Witt County, Illinois","61,823","± 5,887"
"Deaf Smith County, Texas","51,942","± 3,123"
"Dearborn County, Indiana","80,352","± 3,326"
"Decatur County, Georgia","47,383","± 5,797"
"Decatur County, Indiana","71,566","± 3,961"
"Decatur County, Iowa","56,068","± 4,173"
"Decatur County, Kansas","49,412","± 5,958"
"Decatur County, Tennessee","48,466","± 6,128"
"Deer Lodge County, Montana","46,436","± 3,147"
"Defiance County, Ohio","69,302","± 3,324"
"DeKalb County, Alabama","47,920","± 2,836"
"DeKalb County, Georgia","76,044","± 1,458"
"DeKalb County, Illinois","68,617","± 2,335"
"DeKalb County, Indiana","68,110","± 4,173"
"DeKalb County, Missouri","67,910","± 8,906"
"DeKalb County, Tennessee","46,907","± 6,269"
"Del Norte County, California","61,149","± 4,376"
"Delaware County, Indiana","53,377","± 2,357"
"Delaware County, Iowa","75,896","± 3,205"
"Delaware County, New York","58,338","± 2,143"
"Delaware County, Ohio","123,995","± 2,344"
"Delaware County, Oklahoma","53,290","± 2,279"
"Delaware County, Pennsylvania","86,390","± 1,326"
"Delta County, Colorado","56,349","± 3,710"
"Delta County, Michigan","53,852","± 3,409"
"Delta County, Texas","68,491","± 19,007"
"Denali Borough, Alaska","87,292","± 10,131"
"Dent County, Missouri","51,410","± 3,880"
"Denton County, Texas","104,180","± 1,355"
"Denver County, Colorado","85,853","± 1,295"
"Des Moines County, Iowa","58,084","± 3,015"
"Deschutes County, Oregon","82,042","± 2,944"
"Desha County, Arkansas","38,067","± 4,386"
"DeSoto County, Florida","45,000","± 2,941"
"DeSoto County, Mississippi","79,666","± 2,535"
"Deuel County, Nebraska","58,875","± 6,223"
"Deuel County, South Dakota","76,997","± 5,001"
"Dewey County, Oklahoma","61,310","± 9,290"
"Dewey County, South Dakota","55,077","± 4,545"
"DeWitt County, Texas","61,100","± 4,804"
"Dickens County, Texas","46,638","± 6,354"
"Dickenson County, Virginia","40,143","± 2,993"
"Dickey County, North Dakota","60,250","± 6,798"
"Dickinson County, Iowa","72,446","± 4,086"
"Dickinson County, Kansas","62,971","± 4,164"
"Dickinson County, Michigan","59,651","± 2,603"
"Dickson County, Tennessee","68,492","± 2,865"
"Dillingham Census Area, Alaska","69,412","± 26,682"
"Dillon County, South Carolina","42,454","± 2,248"
"Dimmit County, Texas","27,374","± 12,374"
"Dinwiddie County, Virginia","77,225","± 7,376"
"District of Columbia, District of Columbia","101,722","± 1,569"
"Divide County, North Dakota","95,938","± 24,599"
"Dixie County, Florida","45,057","± 6,354"
"Dixon County, Nebraska","60,568","± 7,084"
"Doddridge County, West Virginia","56,587","± 9,976"
"Dodge County, Georgia","46,091","± 5,356"
"Dodge County, Minnesota","92,890","± 3,766"
"Dodge County, Nebraska","66,793","± 6,453"
"Dodge County, Wisconsin","71,747","± 1,661"
"Dolores County, Colorado","64,708","± 15,872"
"Doña Ana County, New Mexico","51,232","± 2,122"
"Doniphan County, Kansas","66,358","± 6,340"
"Donley County, Texas","51,711","± 6,438"
"Dooly County, Georgia","54,109","± 7,737"
"Door County, Wisconsin","68,257","± 3,193"
"Dorado Municipio, Puerto Rico","31,485","± 2,911"
"Dorchester County, Maryland","57,490","± 3,045"
"Dorchester County, South Carolina","73,686","± 3,419"
"Dougherty County, Georgia","45,640","± 1,246"
"Douglas County, Colorado","139,010","± 1,825"
"Douglas County, Georgia","76,930","± 2,793"
"Douglas County, Illinois","67,177","± 5,379"
"Douglas County, Kansas","66,153","± 2,646"
"Douglas County, Minnesota","72,472","± 4,761"
"Douglas County, Missouri","47,848","± 4,406"
"Douglas County, Nebraska","76,083","± 1,154"
"Douglas County, Nevada","84,262","± 4,442"
"Douglas County, Oregon","56,440","± 1,715"
"Douglas County, South Dakota","75,048","± 8,354"
"Douglas County, Washington","79,422","± 2,924"
"Douglas County, Wisconsin","64,682","± 3,277"
"Drew County, Arkansas","44,968","± 5,175"
"Dubois County, Indiana","68,945","± 3,904"
"Dubuque County, Iowa","73,495","± 2,421"
"Duchesne County, Utah","70,821","± 3,448"
"Dukes County, Massachusetts","93,225","± 8,589"
"Dundy County, Nebraska","58,977","± 9,239"
"Dunklin County, Missouri","44,868","± 3,104"
"Dunn County, North Dakota","91,758","± 6,889"
"Dunn County, Wisconsin","69,721","± 3,255"
"DuPage County, Illinois","107,035","± 1,258"
"Duplin County, North Carolina","49,376","± 2,472"
"Durham County, North Carolina","74,927","± 2,323"
"Dutchess County, New York","94,578","± 2,520"
"Duval County, Florida","65,579","± 1,206"
"Duval County, Texas","50,697","± 10,283"
"Dyer County, Tennessee","53,150","± 2,728"
"Eagle County, Colorado","98,887","± 4,834"
"Early County, Georgia","48,355","± 6,313"
"East Baton Rouge Parish, Louisiana","62,083","± 1,760"
"East Carroll Parish, Louisiana","30,856","± 4,931"
"East Feliciana Parish, Louisiana","64,709","± 7,398"
"Eastland County, Texas","52,902","± 6,459"
"Eaton County, Michigan","77,158","± 2,013"
"Eau Claire County, Wisconsin","70,127","± 1,894"
"Echols County, Georgia","61,184","± 8,190"
"Ector County, Texas","70,566","± 2,966"
"Eddy County, New Mexico","77,458","± 3,025"
"Eddy County, North Dakota","50,375","± 5,775"
"Edgar County, Illinois","56,687","± 6,375"
"Edgecombe County, North Carolina","46,370","± 2,542"
"Edgefield County, South Carolina","60,033","± 5,362"
"Edmonson County, Kentucky","53,029","± 7,062"
"Edmunds County, South Dakota","76,806","± 11,321"
"Edwards County, Illinois","60,784","± 4,934"
"Edwards County, Kansas","52,750","± 4,285"
"Edwards County, Texas","40,809","± 11,055"
"Effingham County, Georgia","79,474","± 3,492"
"Effingham County, Illinois","73,181","± 3,811"
"El Dorado County, California","99,246","± 3,330"
"El Paso County, Colorado","82,748","± 1,229"
"El Paso County, Texas","55,417","± 1,064"
"Elbert County, Colorado","124,360","± 5,503"
"Elbert County, Georgia","48,190","± 3,308"
"Elk County, Kansas","50,000","± 7,248"
"Elk County, Pennsylvania","61,672","± 4,091"
"Elkhart County, Indiana","63,978","± 2,412"
"Elko County, Nevada","87,755","± 3,959"
"Elliott County, Kentucky","39,469","± 6,812"
"Ellis County, Kansas","59,665","± 5,137"
"Ellis County, Oklahoma","57,768","± 7,607"
"Ellis County, Texas","93,248","± 2,485"
"Ellsworth County, Kansas","59,844","± 5,481"
"Elmore County, Alabama","73,258","± 2,727"
"Elmore County, Idaho","55,000","± 3,487"
"Emanuel County, Georgia","47,905","± 2,738"
"Emery County, Utah","67,056","± 3,821"
"Emmet County, Iowa","64,461","± 5,222"
"Emmet County, Michigan","69,690","± 3,985"
"Emmons County, North Dakota","63,750","± 10,219"
"Emporia city, Virginia","41,442","± 5,963"
"Erath County, Texas","59,654","± 4,017"
"Erie County, New York","68,014",± 804
"Erie County, Ohio","65,171","± 2,842"
"Erie County, Pennsylvania","59,396","± 1,515"
"Escambia County, Alabama","41,153","± 2,502"
"Escambia County, Florida","61,642","± 1,340"
"Esmeralda County, Nevada","40,694","± 30,242"
"Essex County, Massachusetts","94,378","± 1,325"
"Essex County, New Jersey","73,785","± 1,477"
"Essex County, New York","68,090","± 3,590"
"Essex County, Vermont","55,247","± 3,679"
"Essex County, Virginia","52,335","± 8,000"
"Estill County, Kentucky","39,980","± 7,132"
"Etowah County, Alabama","52,177","± 1,922"
"Eureka County, Nevada","73,929","± 32,052"
"Evangeline Parish, Louisiana","34,526","± 3,582"
"Evans County, Georgia","55,222","± 4,820"
"Fairbanks North Star Borough, Alaska","81,655","± 4,690"
"Fairfax city, Virginia","128,708","± 12,089"
"Fairfax County, Virginia","145,165","± 1,677"
"Fairfield County, Ohio","82,969","± 3,243"
"Fairfield County, South Carolina","44,521","± 4,757"
"Fajardo Municipio, Puerto Rico","24,309","± 2,087"
"Fall River County, South Dakota","54,886","± 7,119"
"Fallon County, Montana","79,750","± 12,297"
"Falls Church city, Virginia","164,536","± 13,182"
"Falls County, Texas","45,172","± 6,933"
"Fannin County, Georgia","54,857","± 4,506"
"Fannin County, Texas","65,835","± 4,008"
"Faribault County, Minnesota","64,000","± 3,320"
"Faulk County, South Dakota","56,734","± 7,820"
"Faulkner County, Arkansas","61,273","± 3,234"
"Fauquier County, Virginia","122,785","± 6,626"
"Fayette County, Alabama","45,650","± 6,646"
"Fayette County, Georgia","105,910","± 2,977"
"Fayette County, Illinois","51,962","± 3,591"
"Fayette County, Indiana","52,219","± 4,087"
"Fayette County, Iowa","56,043","± 2,534"
"Fayette County, Kentucky","66,087","± 1,966"
"Fayette County, Ohio","56,773","± 3,504"
"Fayette County, Pennsylvania","55,579","± 2,314"
"Fayette County, Tennessee","81,074","± 3,612"
"Fayette County, Texas","72,881","± 3,664"
"Fayette County, West Virginia","50,090","± 4,203"
"Fentress County, Tennessee","47,884","± 3,692"
"Fergus County, Montana","58,321","± 5,482"
"Ferry County, Washington","50,424","± 4,642"
"Fillmore County, Minnesota","73,234","± 3,056"
"Fillmore County, Nebraska","72,335","± 4,594"
"Finney County, Kansas","68,481","± 3,667"
"Fisher County, Texas","60,461","± 4,950"
"Flagler County, Florida","69,251","± 2,857"
"Flathead County, Montana","68,025","± 2,865"
"Fleming County, Kentucky","46,885","± 4,999"
"Florence County, South Carolina","56,088","± 2,337"
"Florence County, Wisconsin","58,049","± 5,060"
"Florida Municipio, Puerto Rico","21,560","± 3,076"
"Floyd County, Georgia","57,868","± 3,066"
"Floyd County, Indiana","75,686","± 2,658"
"Floyd County, Iowa","62,356","± 5,573"
"Floyd County, Kentucky","38,723","± 5,652"
"Floyd County, Texas","49,321","± 4,435"
"Floyd County, Virginia","57,146","± 6,227"
"Fluvanna County, Virginia","90,766","± 5,489"
"Foard County, Texas","41,944","± 8,781"
"Fond du Lac County, Wisconsin","70,368","± 2,178"
"Ford County, Illinois","58,930","± 4,209"
"Ford County, Kansas","67,997","± 6,667"
"Forest County, Pennsylvania","46,188","± 4,612"
"Forest County, Wisconsin","55,552","± 2,017"
"Forrest County, Mississippi","49,340","± 2,744"
"Forsyth County, Georgia","131,660","± 2,258"
"Forsyth County, North Carolina","61,229","± 1,542"
"Fort Bend County, Texas","109,987","± 2,899"
"Foster County, North Dakota","78,426","± 11,904"
"Fountain County, Indiana","60,559","± 5,217"
"Franklin city, Virginia","57,537","± 5,197"
"Franklin County, Alabama","47,359","± 4,879"
"Franklin County, Arkansas","47,695","± 4,935"
"Franklin County, Florida","58,107","± 4,380"
"Franklin County, Georgia","52,597","± 5,926"
"Franklin County, Idaho","61,679","± 6,758"
"Franklin County, Illinois","51,031","± 2,871"
"Franklin County, Indiana","75,985","± 4,420"
"Franklin County, Iowa","62,214","± 3,387"
"Franklin County, Kansas","68,217","± 5,387"
"Franklin County, Kentucky","62,929","± 4,060"
"Franklin County, Maine","56,890","± 2,475"
"Franklin County, Massachusetts","70,383","± 2,141"
"Franklin County, Mississippi","43,942","± 6,337"
"Franklin County, Missouri","70,111","± 2,827"
"Franklin County, Nebraska","55,625","± 4,955"
"Franklin County, New York","60,270","± 2,896"
"Franklin County, North Carolina","70,493","± 3,613"
"Franklin County, Ohio","71,070",± 926
"Franklin County, Pennsylvania","71,808","± 2,153"
"Franklin County, Tennessee","57,933","± 3,759"
"Franklin County, Texas","67,915","± 2,968"
"Franklin County, Vermont","73,633","± 4,436"
"Franklin County, Virginia","66,275","± 3,805"
"Franklin County, Washington","77,877","± 3,943"
"Franklin Parish, Louisiana","41,129","± 4,063"
"Frederick County, Maryland","115,724","± 2,555"
"Frederick County, Virginia","92,443","± 4,614"
"Fredericksburg city, Virginia","83,445","± 5,309"
"Freeborn County, Minnesota","65,679","± 2,178"
"Freestone County, Texas","55,902","± 5,887"
"Fremont County, Colorado","56,165","± 3,295"
"Fremont County, Idaho","67,015","± 4,310"
"Fremont County, Iowa","69,375","± 4,700"
"Fremont County, Wyoming","60,030","± 2,738"
"Fresno County, California","67,756",± 967
"Frio County, Texas","56,042","± 17,005"
"Frontier County, Nebraska","62,928","± 7,256"
"Fulton County, Arkansas","38,917","± 3,644"
"Fulton County, Georgia","86,267","± 1,215"
"Fulton County, Illinois","57,223","± 2,626"
"Fulton County, Indiana","62,644","± 4,485"
"Fulton County, Kentucky","35,449","± 2,562"
"Fulton County, New York","60,557","± 2,646"
"Fulton County, Ohio","71,453","± 3,235"
"Fulton County, Pennsylvania","63,153","± 2,303"
"Furnas County, Nebraska","58,895","± 3,573"
"Gadsden County, Florida","45,721","± 2,564"
"Gage County, Nebraska","60,035","± 4,191"
"Gaines County, Texas","73,299","± 10,129"
"Galax city, Virginia","44,612","± 9,343"
"Gallatin County, Illinois","51,868","± 5,442"
"Gallatin County, Kentucky","58,641","± 5,250"
"Gallatin County, Montana","83,434","± 2,988"
"Gallia County, Ohio","55,533","± 3,554"
"Galveston County, Texas","83,913","± 2,331"
"Garden County, Nebraska","47,139","± 5,743"
"Garfield County, Colorado","82,772","± 3,541"
"Garfield County, Montana","61,786","± 12,726"
"Garfield County, Nebraska","64,957","± 5,742"
"Garfield County, Oklahoma","64,165","± 2,469"
"Garfield County, Utah","56,481","± 7,536"
"Garfield County, Washington","57,958","± 13,662"
"Garland County, Arkansas","54,229","± 2,613"
"Garrard County, Kentucky","58,263","± 7,879"
"Garrett County, Maryland","64,447","± 4,886"
"Garvin County, Oklahoma","53,600","± 2,276"
"Garza County, Texas","56,215","± 19,650"
"Gasconade County, Missouri","62,638","± 4,011"
"Gaston County, North Carolina","62,628","± 1,627"
"Gates County, North Carolina","55,750","± 10,503"
"Geary County, Kansas","57,992","± 5,545"
"Geauga County, Ohio","97,162","± 3,810"
"Gem County, Idaho","65,204","± 3,694"
"Genesee County, Michigan","58,594","± 1,313"
"Genesee County, New York","68,178","± 3,117"
"Geneva County, Alabama","47,608","± 4,353"
"Gentry County, Missouri","53,799","± 3,256"
"George County, Mississippi","51,349","± 4,884"
"Georgetown County, South Carolina","59,782","± 4,565"
"Gibson County, Indiana","64,153","± 5,296"
"Gibson County, Tennessee","55,455","± 4,576"
"Gila County, Arizona","55,242","± 2,715"
"Gilchrist County, Florida","56,823","± 3,505"
"Giles County, Tennessee","56,877","± 4,773"
"Giles County, Virginia","61,987","± 3,840"
"Gillespie County, Texas","70,162","± 5,719"
"Gilliam County, Oregon","58,409","± 10,055"
"Gilmer County, Georgia","70,334","± 5,245"
"Gilmer County, West Virginia","51,552","± 6,416"
"Gilpin County, Colorado","95,902","± 18,562"
"Glacier County, Montana","41,078","± 4,052"
"Glades County, Florida","37,221","± 7,004"
"Gladwin County, Michigan","53,717","± 1,482"
"Glascock County, Georgia","60,469","± 19,682"
"Glasscock County, Texas","112,188","± 31,250"
"Glenn County, California","64,033","± 3,963"
"Gloucester County, New Jersey","99,668","± 2,605"
"Gloucester County, Virginia","83,750","± 4,392"
"Glynn County, Georgia","65,970","± 2,678"
"Gogebic County, Michigan","47,913","± 4,766"
"Golden Valley County, Montana","54,792","± 9,714"
"Golden Valley County, North Dakota","84,750","± 18,343"
"Goliad County, Texas","58,125","± 15,021"
"Gonzales County, Texas","64,255","± 5,415"
"Goochland County, Virginia","105,600","± 8,544"
"Goodhue County, Minnesota","78,338","± 3,302"
"Gooding County, Idaho","60,938","± 7,950"
"Gordon County, Georgia","57,555","± 3,290"
"Goshen County, Wyoming","62,356","± 4,352"
"Gosper County, Nebraska","76,583","± 8,773"
"Gove County, Kansas","59,417","± 7,218"
"Grady County, Georgia","51,929","± 3,920"
"Grady County, Oklahoma","74,349","± 3,413"
"Grafton County, New Hampshire","79,949","± 2,014"
"Graham County, Arizona","64,089","± 4,152"
"Graham County, Kansas","47,071","± 4,020"
"Graham County, North Carolina","46,010","± 5,267"
"Grainger County, Tennessee","47,098","± 3,618"
"Grand County, Colorado","79,367","± 13,357"
"Grand County, Utah","59,171","± 6,749"
"Grand Forks County, North Dakota","64,698","± 3,147"
"Grand Isle County, Vermont","86,639","± 10,729"
"Grand Traverse County, Michigan","75,553","± 2,259"
"Granite County, Montana","53,917","± 4,097"
"Grant County, Arkansas","68,598","± 7,227"
"Grant County, Indiana","53,033","± 2,844"
"Grant County, Kansas","84,808","± 25,730"
"Grant County, Kentucky","65,461","± 4,140"
"Grant County, Minnesota","67,600","± 4,961"
"Grant County, Nebraska","65,139","± 10,971"
"Grant County, New Mexico","44,895","± 4,241"
"Grant County, North Dakota","57,069","± 4,462"
"Grant County, Oklahoma","58,980","± 4,484"
"Grant County, Oregon","56,045","± 5,659"
"Grant County, South Dakota","70,851","± 5,942"
"Grant County, Washington","66,387","± 4,186"
"Grant County, West Virginia","52,877","± 6,827"
"Grant County, Wisconsin","63,497","± 2,131"
"Grant Parish, Louisiana","57,362","± 5,569"
"Granville County, North Carolina","68,079","± 3,010"
"Gratiot County, Michigan","57,934","± 2,238"
"Graves County, Kentucky","52,526","± 3,916"
"Gray County, Kansas","74,500","± 3,978"
"Gray County, Texas","54,563","± 3,905"
"Grays Harbor County, Washington","59,105","± 2,791"
"Grayson County, Kentucky","47,024","± 2,053"
"Grayson County, Texas","66,608","± 2,399"
"Grayson County, Virginia","43,348","± 4,570"
"Greater Bridgeport Planning Region, Connecticut","83,147","± 2,305"
"Greeley County, Kansas","69,948","± 9,695"
"Greeley County, Nebraska","52,813","± 4,220"
"Green County, Kentucky","38,595","± 5,791"
"Green County, Wisconsin","76,080","± 2,908"
"Green Lake County, Wisconsin","66,395","± 3,263"
"Greenbrier County, West Virginia","45,519","± 3,036"
"Greene County, Alabama","32,796","± 4,030"
"Greene County, Arkansas","54,879","± 2,724"
"Greene County, Georgia","77,527","± 9,672"
"Greene County, Illinois","58,900","± 2,560"
"Greene County, Indiana","57,771","± 3,435"
"Greene County, Iowa","56,884","± 2,866"
"Greene County, Mississippi","50,000","± 7,358"
"Greene County, Missouri","54,968","± 1,298"
"Greene County, New York","70,294","± 4,341"
"Greene County, North Carolina","50,320","± 3,386"
"Greene County, Ohio","81,243","± 2,430"
"Greene County, Pennsylvania","66,283","± 4,247"
"Greene County, Tennessee","51,975","± 3,691"
"Greene County, Virginia","81,338","± 5,401"
"Greenlee County, Arizona","73,756","± 3,780"
"Greensville County, Virginia","51,823","± 7,174"
"Greenup County, Kentucky","58,562","± 2,863"
"Greenville County, South Carolina","71,328","± 1,572"
"Greenwood County, Kansas","51,812","± 5,316"
"Greenwood County, South Carolina","47,553","± 2,407"
"Greer County, Oklahoma","55,204","± 5,069"
"Gregg County, Texas","63,811","± 2,496"
"Gregory County, South Dakota","48,272","± 4,761"
"Grenada County, Mississippi","45,745","± 4,951"
"Griggs County, North Dakota","66,688","± 8,819"
"Grimes County, Texas","63,484","± 5,777"
"Grundy County, Illinois","89,993","± 3,106"
"Grundy County, Iowa","80,701","± 2,848"
"Grundy County, Missouri","51,045","± 3,689"
"Grundy County, Tennessee","47,948","± 4,455"
"Guadalupe County, New Mexico","38,713","± 5,058"
"Guadalupe County, Texas","88,111","± 3,461"
"Guánica Municipio, Puerto Rico","14,525","± 1,783"
"Guayama Municipio, Puerto Rico","19,165","± 1,750"
"Guayanilla Municipio, Puerto Rico","21,312","± 2,583"
"Guaynabo Municipio, Puerto Rico","43,304","± 2,733"
"Guernsey County, Ohio","53,901","± 4,161"
"Guilford County, North Carolina","62,880","± 1,683"
"Gulf County, Florida","56,250","± 4,603"
"Gunnison County, Colorado","76,538","± 9,424"
"Gurabo Municipio, Puerto Rico","39,533","± 4,632"
"Guthrie County, Iowa","75,795","± 5,275"
"Gwinnett County, Georgia","82,296","± 1,577"
"Haakon County, South Dakota","53,109","± 4,362"
"Habersham County, Georgia","61,292","± 4,909"
