Geography,"Percent—AGE BY EDUCATIONAL ATTAINMENT—Population 25 years and over—9th to 12th grade, no diploma—Estimate",MoE
"Clay County, Minnesota",3.70%,± 0.8%
"Clay County, Mississippi",13%,± 2.8%
"Clay County, Missouri",4.20%,± 0.5%
"Clay County, Nebraska",4.40%,± 1%
"Clay County, North Carolina",8.20%,± 2.6%
"Clay County, South Dakota",4.70%,± 1.8%
"Clay County, Tennessee",7.60%,± 2.8%
"Clay County, Texas",4.30%,± 1.4%
"Clay County, West Virginia",9.60%,± 3.4%
"Clayton County, Georgia",8.50%,± 0.7%
"Clayton County, Iowa",5.90%,± 1%
"Clear Creek County, Colorado",2.30%,± 1.3%
"Clearfield County, Pennsylvania",7%,± 0.7%
"Clearwater County, Idaho",6.70%,± 1.5%
"Clearwater County, Minnesota",8.90%,± 1.2%
"Cleburne County, Alabama",12.30%,± 2.1%
"Cleburne County, Arkansas",7.70%,± 1.4%
"Clermont County, Ohio",6.30%,± 0.6%
"Cleveland County, Arkansas",7.20%,± 2.9%
"Cleveland County, North Carolina",9%,± 1.1%
"Cleveland County, Oklahoma",5.60%,± 0.5%
"Clinch County, Georgia",15.90%,± 5%
"Clinton County, Illinois",5%,± 0.6%
"Clinton County, Indiana",8.20%,± 1.5%
"Clinton County, Iowa",6.40%,± 1%
"Clinton County, Kentucky",9.90%,± 2.7%
"Clinton County, Michigan",3.10%,± 0.4%
"Clinton County, Missouri",5%,± 1.5%
"Clinton County, New York",8.70%,± 0.9%
"Clinton County, Ohio",6.60%,± 0.9%
"Clinton County, Pennsylvania",7.30%,± 1%
"Cloud County, Kansas",1.90%,± 0.7%
"Coahoma County, Mississippi",10.30%,± 2%
"Coal County, Oklahoma",11.20%,± 2%
"Coamo Municipio, Puerto Rico",5.50%,± 1.3%
"Cobb County, Georgia",3.20%,± 0.3%
"Cochise County, Arizona",6.50%,± 0.7%
"Cochran County, Texas",10.20%,± 3.3%
"Cocke County, Tennessee",8.90%,± 1.3%
"Coconino County, Arizona",5.30%,± 0.6%
"Codington County, South Dakota",4.80%,± 1.4%
"Coffee County, Alabama",8.90%,± 1%
"Coffee County, Georgia",13.70%,± 2.4%
"Coffee County, Tennessee",8.80%,± 1.1%
"Coffey County, Kansas",3.80%,± 1.2%
"Coke County, Texas",8.40%,± 2.9%
"Colbert County, Alabama",10.10%,± 1.3%
"Cole County, Missouri",5.10%,± 0.7%
"Coleman County, Texas",4.70%,± 2%
"Coles County, Illinois",5.90%,± 1.1%
"Colfax County, Nebraska",9.70%,± 2.8%
"Colfax County, New Mexico",7.50%,± 3.7%
"Colleton County, South Carolina",10.10%,± 1.8%
"Collier County, Florida",4.60%,± 0.4%
"Collin County, Texas",2.70%,± 0.2%
"Collingsworth County, Texas",13.60%,± 3.6%
"Colonial Heights city, Virginia",4.30%,± 1.3%
"Colorado County, Texas",7.30%,± 1.9%
"Colquitt County, Georgia",14%,± 1.8%
"Columbia County, Arkansas",8.20%,± 2.1%
"Columbia County, Florida",10.60%,± 1.5%
"Columbia County, Georgia",5%,± 1.1%
"Columbia County, New York",5.20%,± 0.8%
"Columbia County, Oregon",7.60%,± 1.5%
"Columbia County, Pennsylvania",6.10%,± 0.7%
"Columbia County, Washington",6.90%,± 3.3%
"Columbia County, Wisconsin",4.10%,± 0.5%
"Columbiana County, Ohio",7.40%,± 0.7%
"Columbus County, North Carolina",9.40%,± 1.2%
"Colusa County, California",8.70%,± 1.6%
"Comal County, Texas",3.90%,± 0.6%
"Comanche County, Kansas",1.80%,± 1.3%
"Comanche County, Oklahoma",6.90%,± 0.7%
"Comanche County, Texas",8.50%,± 1.9%
"Comerío Municipio, Puerto Rico",9.20%,± 2.3%
"Concho County, Texas",11.10%,± 4%
"Concordia Parish, Louisiana",9%,± 2.3%
"Conecuh County, Alabama",7.70%,± 2.5%
"Conejos County, Colorado",5.50%,± 1.4%
"Contra Costa County, California",5%,± 0.2%
"Converse County, Wyoming",4.80%,± 2%
"Conway County, Arkansas",7%,± 1.5%
"Cook County, Georgia",12%,± 2.3%
"Cook County, Illinois",5.70%,± 0.1%
"Cook County, Minnesota",2.30%,± 0.9%
"Cooke County, Texas",6.30%,± 1.3%
"Cooper County, Missouri",6.10%,± 1.2%
"Coos County, New Hampshire",7.50%,± 1%
"Coos County, Oregon",8%,± 1%
"Coosa County, Alabama",12.80%,± 2.8%
"Copiah County, Mississippi",10.20%,± 2.1%
"Copper River Census Area, Alaska",5.50%,± 2.5%
"Corozal Municipio, Puerto Rico",8.60%,± 1.6%
"Corson County, South Dakota",12.10%,± 2.2%
"Cortland County, New York",5.90%,± 0.8%
"Coryell County, Texas",6.20%,± 0.9%
"Coshocton County, Ohio",8.10%,± 1.2%
"Costilla County, Colorado",5.80%,± 1.9%
"Cottle County, Texas",11.10%,± 6.1%
"Cotton County, Oklahoma",12.50%,± 3.1%
"Cottonwood County, Minnesota",5.40%,± 1.2%
"Covington city, Virginia",8.80%,± 2.8%
"Covington County, Alabama",9.80%,± 1.4%
"Covington County, Mississippi",12.50%,± 3.1%
"Coweta County, Georgia",6.80%,± 0.9%
"Cowley County, Kansas",6.10%,± 1%
"Cowlitz County, Washington",6.60%,± 0.8%
"Craig County, Oklahoma",11%,± 1.8%
"Craig County, Virginia",9.20%,± 4.8%
"Craighead County, Arkansas",5.40%,± 0.8%
"Crane County, Texas",6.10%,± 3.6%
"Craven County, North Carolina",6.10%,± 0.7%
"Crawford County, Arkansas",10.30%,± 1.6%
"Crawford County, Georgia",13.80%,± 2.7%
"Crawford County, Illinois",8.30%,± 1.3%
"Crawford County, Indiana",10.90%,± 2.7%
"Crawford County, Iowa",8%,± 2.2%
"Crawford County, Kansas",3.60%,± 0.7%
"Crawford County, Michigan",7.50%,± 1.5%
"Crawford County, Missouri",10.10%,± 1.7%
"Crawford County, Ohio",7.30%,± 1%
"Crawford County, Pennsylvania",5.80%,± 0.6%
"Crawford County, Wisconsin",5.90%,± 1.1%
"Creek County, Oklahoma",7.70%,± 0.7%
"Crenshaw County, Alabama",11.10%,± 1.8%
"Crisp County, Georgia",13.20%,± 3.1%
"Crittenden County, Arkansas",9.70%,± 1%
"Crittenden County, Kentucky",7.80%,± 2.3%
"Crockett County, Tennessee",9.20%,± 2%
"Crockett County, Texas",15.50%,± 5.9%
"Crook County, Oregon",7.70%,± 1.8%
"Crook County, Wyoming",5.50%,± 2.5%
"Crosby County, Texas",12.60%,± 2.8%
"Cross County, Arkansas",10.70%,± 1.8%
"Crow Wing County, Minnesota",4.50%,± 0.5%
"Crowley County, Colorado",12.20%,± 2.6%
"Culberson County, Texas",4.80%,± 3.3%
"Culebra Municipio, Puerto Rico",4.70%,± 3.2%
"Cullman County, Alabama",10.80%,± 1%
"Culpeper County, Virginia",7%,± 1.2%
"Cumberland County, Illinois",4.20%,± 1.8%
"Cumberland County, Kentucky",12.70%,± 3.5%
"Cumberland County, Maine",2.30%,± 0.2%
"Cumberland County, New Jersey",10.80%,± 0.9%
"Cumberland County, North Carolina",5.50%,± 0.4%
"Cumberland County, Pennsylvania",4.10%,± 0.4%
"Cumberland County, Tennessee",6.80%,± 1%
"Cumberland County, Virginia",8.10%,± 2.4%
"Cuming County, Nebraska",4.20%,± 1.4%
"Currituck County, North Carolina",5.10%,± 1.3%
"Curry County, New Mexico",11.30%,± 1.7%
"Curry County, Oregon",6.20%,± 1.7%
"Custer County, Colorado",2.50%,± 1.3%
"Custer County, Idaho",6.30%,± 4.2%
"Custer County, Montana",4.10%,± 1.2%
"Custer County, Nebraska",3.60%,± 0.8%
"Custer County, Oklahoma",7.10%,± 1.5%
"Custer County, South Dakota",3.40%,± 1.5%
"Cuyahoga County, Ohio",6.40%,± 0.2%
"Dade County, Georgia",9.50%,± 2.1%
"Dade County, Missouri",7.90%,± 2%
"Daggett County, Utah",6.50%,± 3.5%
"Dakota County, Minnesota",2.60%,± 0.2%
"Dakota County, Nebraska",9.40%,± 2%
"Dale County, Alabama",9.80%,± 1.2%
"Dallam County, Texas",3.20%,± 2.3%
"Dallas County, Alabama",11.20%,± 1.6%
"Dallas County, Arkansas",7.70%,± 2.4%
"Dallas County, Iowa",2.10%,± 0.4%
"Dallas County, Missouri",6.90%,± 1.4%
"Dallas County, Texas",8.60%,± 0.2%
"Dane County, Wisconsin",2.40%,± 0.2%
"Daniels County, Montana",2.90%,± 1.5%
"Danville city, Virginia",10.70%,± 1.3%
"Dare County, North Carolina",3.80%,± 0.8%
"Darke County, Ohio",7%,± 0.9%
"Darlington County, South Carolina",9.60%,± 1.2%
"Dauphin County, Pennsylvania",5.50%,± 0.5%
"Davidson County, North Carolina",9.40%,± 0.9%
"Davidson County, Tennessee",5.90%,± 0.3%
"Davie County, North Carolina",7.10%,± 1.2%
"Daviess County, Indiana",8.50%,± 1.2%
"Daviess County, Kentucky",6%,± 0.8%
"Daviess County, Missouri",6.40%,± 1.4%
"Davis County, Iowa",4.40%,± 1.7%
"Davis County, Utah",2.90%,± 0.3%
"Davison County, South Dakota",5.80%,± 1.8%
"Dawes County, Nebraska",3.30%,± 2.9%
"Dawson County, Georgia",8.60%,± 1.8%
"Dawson County, Montana",3.40%,± 1.4%
"Dawson County, Nebraska",7.70%,± 1.5%
"Dawson County, Texas",15.30%,± 3.1%
"Day County, South Dakota",4.90%,± 1.4%
"De Baca County, New Mexico",7.90%,± 7%
"De Soto Parish, Louisiana",11.90%,± 1.5%
"De Witt County, Illinois",4.30%,± 1.1%
"Deaf Smith County, Texas",11.50%,± 3%
"Dearborn County, Indiana",6.50%,± 1%
"Decatur County, Georgia",10.50%,± 2.1%
"Decatur County, Indiana",5.70%,± 1.2%
"Decatur County, Iowa",6.50%,± 1.9%
"Decatur County, Kansas",4.80%,± 2.2%
"Decatur County, Tennessee",9.80%,± 2.5%
"Deer Lodge County, Montana",6.40%,± 2.4%
"Defiance County, Ohio",5.60%,± 1.2%
"DeKalb County, Alabama",11.10%,± 1.3%
"DeKalb County, Georgia",4.80%,± 0.3%
"DeKalb County, Illinois",3.80%,± 0.5%
"DeKalb County, Indiana",6.40%,± 1.1%
"DeKalb County, Missouri",6.50%,± 1.2%
"DeKalb County, Tennessee",12%,± 2.4%
"Del Norte County, California",12%,± 1.7%
"Delaware County, Indiana",7.50%,± 0.8%
"Delaware County, Iowa",5.60%,± 1.5%
"Delaware County, New York",7%,± 1.1%
"Delaware County, Ohio",2%,± 0.3%
"Delaware County, Oklahoma",10.10%,± 1.1%
"Delaware County, Pennsylvania",4.30%,± 0.3%
"Delta County, Colorado",7%,± 1.3%
"Delta County, Michigan",6.50%,± 0.9%
"Delta County, Texas",6.10%,± 2.6%
"Denali Borough, Alaska",2.20%,± 1.6%
"Dent County, Missouri",10.50%,± 2.2%
"Denton County, Texas",3.60%,± 0.2%
"Denver County, Colorado",4.90%,± 0.3%
"Des Moines County, Iowa",5.50%,± 1.1%
"Deschutes County, Oregon",3.80%,± 0.5%
"Desha County, Arkansas",11.30%,± 2.5%
"DeSoto County, Florida",14.20%,± 1.5%
"DeSoto County, Mississippi",5.80%,± 0.6%
"Deuel County, Nebraska",3.90%,± 1.5%
"Deuel County, South Dakota",4.80%,± 1.4%
"Dewey County, Oklahoma",5.90%,± 1.4%
"Dewey County, South Dakota",11.90%,± 2.1%
"DeWitt County, Texas",9.30%,± 1.6%
"Dickens County, Texas",8.60%,± 3.6%
"Dickenson County, Virginia",11.50%,± 2.4%
"Dickey County, North Dakota",4.70%,± 2.1%
"Dickinson County, Iowa",1.90%,± 0.6%
"Dickinson County, Kansas",4.40%,± 1.1%
"Dickinson County, Michigan",3.50%,± 0.9%
"Dickson County, Tennessee",7.80%,± 1.1%
"Dillingham Census Area, Alaska",7.80%,± 3.8%
"Dillon County, South Carolina",15.20%,± 2.5%
"Dimmit County, Texas",7.80%,± 3.9%
"Dinwiddie County, Virginia",7%,± 1.4%
"District of Columbia, District of Columbia",4.30%,± 0.3%
"Divide County, North Dakota",5.30%,± 2.8%
"Dixie County, Florida",14.30%,± 2.9%
"Dixon County, Nebraska",6.20%,± 1.5%
"Doddridge County, West Virginia",12.90%,± 3.4%
"Dodge County, Georgia",9.90%,± 2.3%
"Dodge County, Minnesota",3%,± 0.6%
"Dodge County, Nebraska",6.10%,± 1.2%
"Dodge County, Wisconsin",5.40%,± 0.5%
"Dolores County, Colorado",2.80%,± 2.5%
"Doña Ana County, New Mexico",8.20%,± 0.7%
"Doniphan County, Kansas",6%,± 1.5%
"Donley County, Texas",11.70%,± 3.7%
"Dooly County, Georgia",12.20%,± 3.7%
"Door County, Wisconsin",3.10%,± 0.7%
"Dorado Municipio, Puerto Rico",6.40%,± 1.9%
"Dorchester County, Maryland",8.80%,± 1.5%
"Dorchester County, South Carolina",6.50%,± 0.8%
"Dougherty County, Georgia",11.70%,± 1.3%
"Douglas County, Colorado",1.20%,± 0.2%
"Douglas County, Georgia",6.50%,± 0.8%
"Douglas County, Illinois",4.90%,± 1.2%
"Douglas County, Kansas",2.40%,± 0.7%
"Douglas County, Minnesota",2.90%,± 0.5%
"Douglas County, Missouri",11.80%,± 2.8%
"Douglas County, Nebraska",4.10%,± 0.2%
"Douglas County, Nevada",4.40%,± 0.9%
"Douglas County, Oregon",6.20%,± 0.6%
"Douglas County, South Dakota",5.20%,± 2.1%
"Douglas County, Washington",8.20%,± 1.1%
"Douglas County, Wisconsin",4.40%,± 0.8%
"Drew County, Arkansas",9.50%,± 2.2%
"Dubois County, Indiana",5.60%,± 1.1%
"Dubuque County, Iowa",4.10%,± 0.6%
"Duchesne County, Utah",8.70%,± 1.2%
"Dukes County, Massachusetts",3%,± 1.4%
"Dundy County, Nebraska",4.20%,± 2.2%
"Dunklin County, Missouri",13%,± 1.7%
"Dunn County, North Dakota",4.10%,± 1.5%
"Dunn County, Wisconsin",4.30%,± 0.7%
"DuPage County, Illinois",3.20%,± 0.1%
"Duplin County, North Carolina",11.20%,± 1.4%
"Durham County, North Carolina",4.40%,± 0.4%
"Dutchess County, New York",5.50%,± 0.4%
"Duval County, Florida",6.10%,± 0.3%
"Duval County, Texas",12.90%,± 3.6%
"Dyer County, Tennessee",7.60%,± 1.5%
"Eagle County, Colorado",3.50%,± 1.1%
"Early County, Georgia",14.60%,± 2.9%
"East Baton Rouge Parish, Louisiana",6.10%,± 0.4%
"East Carroll Parish, Louisiana",25.70%,± 4.9%
"East Feliciana Parish, Louisiana",12.80%,± 2.1%
"Eastland County, Texas",9.30%,± 2.1%
"Eaton County, Michigan",3.50%,± 0.4%
"Eau Claire County, Wisconsin",2.30%,± 0.3%
"Echols County, Georgia",13.30%,± 3.9%
"Ector County, Texas",13%,± 1.3%
"Eddy County, New Mexico",9.50%,± 1.4%
"Eddy County, North Dakota",4.40%,± 2.1%
"Edgar County, Illinois",8.70%,± 1.9%
"Edgecombe County, North Carolina",9.50%,± 1.3%
"Edgefield County, South Carolina",12.20%,± 2%
"Edmonson County, Kentucky",10.30%,± 3%
"Edmunds County, South Dakota",2.60%,± 1.7%
"Edwards County, Illinois",6.70%,± 1.7%
"Edwards County, Kansas",7%,± 2.1%
"Edwards County, Texas",10%,± 6.6%
"Effingham County, Georgia",7.70%,± 1.3%
"Effingham County, Illinois",4%,± 0.9%
"El Dorado County, California",3.20%,± 0.4%
"El Paso County, Colorado",3.30%,± 0.2%
"El Paso County, Texas",8.30%,± 0.4%
"Elbert County, Colorado",1.90%,± 0.5%
"Elbert County, Georgia",13.30%,± 3.2%
"Elk County, Kansas",9.10%,± 2.7%
"Elk County, Pennsylvania",5%,± 0.8%
"Elkhart County, Indiana",9.40%,± 0.7%
"Elko County, Nevada",6.40%,± 1.1%
"Elliott County, Kentucky",12.40%,± 2.7%
"Ellis County, Kansas",3.30%,± 1.2%
"Ellis County, Oklahoma",8%,± 2.5%
"Ellis County, Texas",6.50%,± 0.6%
"Ellsworth County, Kansas",6.30%,± 2.1%
"Elmore County, Alabama",8.10%,± 0.8%
"Elmore County, Idaho",6.20%,± 1.6%
"Emanuel County, Georgia",14.10%,± 2.1%
"Emery County, Utah",4.60%,± 1.5%
"Emmet County, Iowa",8.60%,± 2.7%
"Emmet County, Michigan",3.50%,± 0.6%
"Emmons County, North Dakota",4.20%,± 1.5%
"Emporia city, Virginia",14.70%,± 4.9%
"Erath County, Texas",6.60%,± 1.4%
"Erie County, New York",4.80%,± 0.2%
"Erie County, Ohio",6.40%,± 1%
"Erie County, Pennsylvania",5.20%,± 0.5%
"Escambia County, Alabama",13.20%,± 1.6%
"Escambia County, Florida",6.80%,± 0.5%
"Esmeralda County, Nevada",17.90%,± 12%
"Essex County, Massachusetts",4.80%,± 0.3%
"Essex County, New Jersey",6.10%,± 0.3%
"Essex County, New York",6.20%,± 1%
"Essex County, Vermont",8.40%,± 1.6%
"Essex County, Virginia",11.60%,± 2.3%
"Estill County, Kentucky",12.70%,± 2.7%
"Etowah County, Alabama",9.90%,± 1%
"Eureka County, Nevada",2.50%,± 2.1%
"Evangeline Parish, Louisiana",13.30%,± 1.6%
"Evans County, Georgia",14.10%,± 3%
"Fairbanks North Star Borough, Alaska",3.50%,± 0.7%
"Fairfax city, Virginia",4.10%,± 1.8%
"Fairfax County, Virginia",3%,± 0.2%
"Fairfield County, Ohio",4.60%,± 0.6%
"Fairfield County, South Carolina",12.20%,± 2.5%
"Fajardo Municipio, Puerto Rico",5.70%,± 1.1%
"Fall River County, South Dakota",5.30%,± 2.1%
"Fallon County, Montana",2.20%,± 1.9%
"Falls Church city, Virginia",1.10%,± 0.6%
"Falls County, Texas",11.50%,± 2.1%
"Fannin County, Georgia",7.70%,± 2%
"Fannin County, Texas",8.60%,± 1.1%
"Faribault County, Minnesota",4.80%,± 0.9%
"Faulk County, South Dakota",4.30%,± 2.8%
"Faulkner County, Arkansas",4%,± 0.7%
"Fauquier County, Virginia",4.80%,± 0.8%
"Fayette County, Alabama",9.80%,± 1.9%
"Fayette County, Georgia",2.90%,± 0.5%
"Fayette County, Illinois",9.30%,± 1.8%
"Fayette County, Indiana",10.10%,± 1.6%
"Fayette County, Iowa",4.60%,± 0.9%
"Fayette County, Kentucky",4.60%,± 0.4%
"Fayette County, Ohio",11.70%,± 2%
"Fayette County, Pennsylvania",7.70%,± 0.6%
"Fayette County, Tennessee",7.20%,± 1.1%
"Fayette County, Texas",5.10%,± 1.2%
"Fayette County, West Virginia",10.30%,± 1.2%
"Fentress County, Tennessee",7.70%,± 2.3%
"Fergus County, Montana",3.50%,± 1.7%
"Ferry County, Washington",6.50%,± 1.8%
"Fillmore County, Minnesota",4.30%,± 0.7%
"Fillmore County, Nebraska",3.50%,± 1.4%
"Finney County, Kansas",10.80%,± 1.6%
"Fisher County, Texas",6.10%,± 2.8%
"Flagler County, Florida",4.80%,± 0.7%
"Flathead County, Montana",3.50%,± 0.7%
"Fleming County, Kentucky",10.70%,± 2.2%
"Florence County, South Carolina",9.30%,± 1%
"Florence County, Wisconsin",6.40%,± 1.8%
"Florida Municipio, Puerto Rico",5.60%,± 2.1%
"Floyd County, Georgia",9.70%,± 1%
"Floyd County, Indiana",5.40%,± 0.7%
"Floyd County, Iowa",3.20%,± 1%
"Floyd County, Kentucky",11.90%,± 1.9%
"Floyd County, Texas",15.50%,± 4%
"Floyd County, Virginia",5.60%,± 1.5%
"Fluvanna County, Virginia",5%,± 1.2%
"Foard County, Texas",11.60%,± 7.2%
"Fond du Lac County, Wisconsin",5.50%,± 0.7%
"Ford County, Illinois",6%,± 1.1%
"Ford County, Kansas",9.30%,± 1.7%
"Forest County, Pennsylvania",10.60%,± 1.9%
"Forest County, Wisconsin",7.80%,± 1.2%
"Forrest County, Mississippi",7.70%,± 1.3%
"Forsyth County, Georgia",3.30%,± 0.4%
"Forsyth County, North Carolina",6.50%,± 0.4%
"Fort Bend County, Texas",3.90%,± 0.3%
"Foster County, North Dakota",3.40%,± 1.8%
"Fountain County, Indiana",7.60%,± 1.3%
"Franklin city, Virginia",11.80%,± 3.4%
"Franklin County, Alabama",13.80%,± 2.1%
"Franklin County, Arkansas",9.20%,± 1.6%
"Franklin County, Florida",13.60%,± 2.3%
"Franklin County, Georgia",13.50%,± 2%
"Franklin County, Idaho",7.30%,± 2.5%
"Franklin County, Illinois",7.80%,± 1.1%
"Franklin County, Indiana",7.20%,± 1.5%
"Franklin County, Iowa",4%,± 1.2%
"Franklin County, Kansas",4.90%,± 1.1%
"Franklin County, Kentucky",4.40%,± 0.8%
"Franklin County, Maine",5.20%,± 1.2%
"Franklin County, Massachusetts",4.50%,± 0.6%
"Franklin County, Mississippi",8.10%,± 2.8%
"Franklin County, Missouri",6.80%,± 0.7%
"Franklin County, Nebraska",4.70%,± 1.5%
"Franklin County, New York",8.90%,± 1.1%
"Franklin County, North Carolina",7.50%,± 1%
"Franklin County, Ohio",5.40%,± 0.2%
"Franklin County, Pennsylvania",7%,± 0.8%
"Franklin County, Tennessee",6.30%,± 1%
"Franklin County, Texas",5%,± 1.8%
"Franklin County, Vermont",5.20%,± 1%
"Franklin County, Virginia",6.60%,± 1.3%
"Franklin County, Washington",9.30%,± 1.1%
"Franklin Parish, Louisiana",13.70%,± 2.1%
"Frederick County, Maryland",3.60%,± 0.3%
"Frederick County, Virginia",7.10%,± 1%
"Fredericksburg city, Virginia",3.70%,± 0.9%
"Freeborn County, Minnesota",6.80%,± 1%
"Freestone County, Texas",9.80%,± 1.9%
"Fremont County, Colorado",7.50%,± 1%
"Fremont County, Idaho",6.50%,± 1.7%
"Fremont County, Iowa",3.70%,± 1.1%
"Fremont County, Wyoming",5.80%,± 0.8%
"Fresno County, California",9.60%,± 0.3%
"Frio County, Texas",17.90%,± 4%
"Frontier County, Nebraska",4%,± 1.6%
"Fulton County, Arkansas",8.30%,± 2.5%
"Fulton County, Georgia",4.10%,± 0.3%
"Fulton County, Illinois",8.40%,± 1%
"Fulton County, Indiana",9.20%,± 2.1%
"Fulton County, Kentucky",13%,± 3.5%
"Fulton County, New York",8.90%,± 1.1%
"Fulton County, Ohio",4.90%,± 0.8%
"Fulton County, Pennsylvania",7.30%,± 1%
"Furnas County, Nebraska",6.60%,± 1.9%
"Gadsden County, Florida",13.20%,± 1.6%
"Gage County, Nebraska",5.90%,± 1.5%
"Gaines County, Texas",10.90%,± 3.4%
"Galax city, Virginia",12.50%,± 3.3%
"Gallatin County, Illinois",9.40%,± 2.6%
"Gallatin County, Kentucky",9.90%,± 2.8%
"Gallatin County, Montana",1.80%,± 0.4%
"Gallia County, Ohio",9%,± 1.5%
"Galveston County, Texas",6%,± 0.4%
"Garden County, Nebraska",5.20%,± 1.9%
"Garfield County, Colorado",5.40%,± 1.1%
"Garfield County, Montana",2%,± 1.7%
"Garfield County, Nebraska",3.60%,± 2%
"Garfield County, Oklahoma",8.60%,± 1.3%
"Garfield County, Utah",2.70%,± 1.2%
"Garfield County, Washington",5.50%,± 2.3%
"Garland County, Arkansas",6.90%,± 0.8%
"Garrard County, Kentucky",10.20%,± 2.3%
"Garrett County, Maryland",6.50%,± 1.4%
"Garvin County, Oklahoma",8%,± 1.1%
"Garza County, Texas",14.50%,± 4.8%
"Gasconade County, Missouri",6.90%,± 1.6%
"Gaston County, North Carolina",8.60%,± 0.5%
"Gates County, North Carolina",6.30%,± 1.6%
"Geary County, Kansas",3.60%,± 1%
"Geauga County, Ohio",2.90%,± 0.6%
"Gem County, Idaho",7%,± 1.9%
"Genesee County, Michigan",6.70%,± 0.4%
"Genesee County, New York",4.80%,± 0.7%
"Geneva County, Alabama",10.30%,± 2.1%
"Gentry County, Missouri",6.80%,± 1.7%
"George County, Mississippi",9.80%,± 2.1%
"Georgetown County, South Carolina",6.70%,± 1.1%
"Gibson County, Indiana",7.10%,± 1.1%
"Gibson County, Tennessee",8.10%,± 1.3%
"Gila County, Arizona",10.20%,± 1.1%
"Gilchrist County, Florida",9.60%,± 1.8%
"Giles County, Tennessee",8%,± 1.3%
"Giles County, Virginia",6.30%,± 1.5%
"Gillespie County, Texas",5.30%,± 1.4%
"Gilliam County, Oregon",8.70%,± 4.7%
"Gilmer County, Georgia",7.40%,± 1.5%
"Gilmer County, West Virginia",12.30%,± 3.2%
"Gilpin County, Colorado",5.20%,± 5.7%
"Glacier County, Montana",8.70%,± 1.9%
"Glades County, Florida",15.30%,± 3.5%
"Gladwin County, Michigan",6.50%,± 0.8%
"Glascock County, Georgia",10%,± 5.5%
"Glasscock County, Texas",4.10%,± 3.1%
"Glenn County, California",9%,± 1.6%
"Gloucester County, New Jersey",4.20%,± 0.3%
"Gloucester County, Virginia",7.50%,± 1.3%
"Glynn County, Georgia",8.10%,± 1.2%
"Gogebic County, Michigan",2.90%,± 1%
"Golden Valley County, Montana",5.40%,± 3.2%
"Golden Valley County, North Dakota",3.40%,± 2.2%
"Goliad County, Texas",6.70%,± 2.3%
"Gonzales County, Texas",13.30%,± 2.6%
"Goochland County, Virginia",3.80%,± 1%
"Goodhue County, Minnesota",4%,± 0.6%
"Gooding County, Idaho",13.90%,± 2.7%
"Gordon County, Georgia",13.50%,± 1.8%
"Goshen County, Wyoming",4.20%,± 1.1%
"Gosper County, Nebraska",5.90%,± 2.2%
"Gove County, Kansas",4%,± 1.7%
"Grady County, Georgia",11.70%,± 2.2%
"Grady County, Oklahoma",7%,± 0.7%
"Grafton County, New Hampshire",4.80%,± 0.8%
"Graham County, Arizona",11.10%,± 1.9%
"Graham County, Kansas",3.50%,± 1.6%
"Graham County, North Carolina",11.70%,± 3%
"Grainger County, Tennessee",11.30%,± 2.3%
"Grand County, Colorado",3.60%,± 1.2%
"Grand County, Utah",3.60%,± 2.5%
"Grand Forks County, North Dakota",2.90%,± 0.6%
"Grand Isle County, Vermont",3%,± 0.9%
"Grand Traverse County, Michigan",3.60%,± 0.6%
"Granite County, Montana",8.30%,± 3.4%
"Grant County, Arkansas",5.10%,± 1.3%
"Grant County, Indiana",7.90%,± 0.9%
"Grant County, Kansas",1.60%,± 1.5%
"Grant County, Kentucky",8.20%,± 2%
"Grant County, Minnesota",5.20%,± 1.2%
"Grant County, Nebraska",6.50%,± 5.4%
"Grant County, New Mexico",7.90%,± 1.8%
"Grant County, North Dakota",3.20%,± 1.3%
"Grant County, Oklahoma",4.70%,± 1.7%
"Grant County, Oregon",8.50%,± 2.1%
"Grant County, South Dakota",5%,± 1.9%
"Grant County, Washington",8.60%,± 1.1%
"Grant County, West Virginia",7%,± 1.5%
"Grant County, Wisconsin",3.70%,± 0.5%
"Grant Parish, Louisiana",13.50%,± 2%
"Granville County, North Carolina",8.20%,± 1.3%
"Gratiot County, Michigan",5.70%,± 0.7%
"Graves County, Kentucky",6.60%,± 1.2%
"Gray County, Kansas",5.50%,± 1.7%
"Gray County, Texas",9.80%,± 1.7%
"Grays Harbor County, Washington",6.50%,± 1%
"Grayson County, Kentucky",10.10%,± 1.5%
"Grayson County, Texas",5.70%,± 0.7%
"Grayson County, Virginia",11.20%,± 1.8%
"Greater Bridgeport Planning Region, Connecticut",5.20%,± 0.3%
"Greeley County, Kansas",2.10%,± 1.8%
"Greeley County, Nebraska",3.50%,± 1.7%
"Green County, Kentucky",7.30%,± 1.6%
"Green County, Wisconsin",4.50%,± 0.7%
"Green Lake County, Wisconsin",6%,± 1.1%
"Greenbrier County, West Virginia",8.20%,± 1.3%
"Greene County, Alabama",15.30%,± 4.3%
"Greene County, Arkansas",8.60%,± 1.2%
"Greene County, Georgia",8.30%,± 2.1%
"Greene County, Illinois",7.20%,± 1.6%
"Greene County, Indiana",9%,± 1.3%
"Greene County, Iowa",5%,± 1.5%
"Greene County, Mississippi",12.70%,± 1.8%
"Greene County, Missouri",4.60%,± 0.4%
"Greene County, New York",7.50%,± 1.1%
"Greene County, North Carolina",13.60%,± 2.4%
"Greene County, Ohio",4.20%,± 0.5%
