Geography,Total—Civilian employed population 16 years and over—Estimate,MoE
"Coos County, New Hampshire","14,431",± 341
"Coos County, Oregon","25,960",± 938
"Coosa County, Alabama","3,868",± 266
"Copiah County, Mississippi","10,780",± 547
"Copper River Census Area, Alaska","1,124",± 110
"Corozal Municipio, Puerto Rico","10,271",± 717
"Corson County, South Dakota","1,186",± 72
"Cortland County, New York","23,285",± 543
"Coryell County, Texas","25,141",± 876
"Coshocton County, Ohio","15,505",± 541
"Costilla County, Colorado","1,229",± 128
"Cottle County, Texas",717,± 152
"Cotton County, Oklahoma","2,382",± 148
"Cottonwood County, Minnesota","5,398",± 168
"Covington city, Virginia","2,357",± 239
"Covington County, Alabama","15,090",± 599
"Covington County, Mississippi","7,128",± 448
"Coweta County, Georgia","73,138","± 1,211"
"Cowley County, Kansas","15,273",± 407
"Cowlitz County, Washington","46,916","± 1,064"
"Craig County, Oklahoma","5,393",± 242
"Craig County, Virginia","1,997",± 309
"Craighead County, Arkansas","51,494","± 1,147"
"Crane County, Texas","2,244",± 185
"Craven County, North Carolina","40,158","± 1,128"
"Crawford County, Arkansas","24,637",± 829
"Crawford County, Georgia","5,008",± 444
"Crawford County, Illinois","8,281",± 246
"Crawford County, Indiana","4,325",± 281
"Crawford County, Iowa","7,910",± 378
"Crawford County, Kansas","19,531",± 590
"Crawford County, Michigan","5,281",± 257
"Crawford County, Missouri","9,115",± 459
"Crawford County, Ohio","19,199",± 553
"Crawford County, Pennsylvania","36,129",± 825
"Crawford County, Wisconsin","7,087",± 203
"Creek County, Oklahoma","31,202",± 596
"Crenshaw County, Alabama","5,132",± 278
"Crisp County, Georgia","8,630",± 544
"Crittenden County, Arkansas","20,355",± 663
"Crittenden County, Kentucky","3,485",± 213
"Crockett County, Tennessee","6,449",± 307
"Crockett County, Texas","1,558",± 263
"Crook County, Oregon","11,300",± 545
"Crook County, Wyoming","3,457",± 252
"Crosby County, Texas","2,368",± 123
"Cross County, Arkansas","7,273",± 281
"Crow Wing County, Minnesota","30,900",± 645
"Crowley County, Colorado","1,589",± 215
"Culberson County, Texas",930,± 284
"Culebra Municipio, Puerto Rico",574,± 110
"Cullman County, Alabama","39,440","± 1,194"
"Culpeper County, Virginia","25,794",± 596
"Cumberland County, Illinois","5,524",± 255
"Cumberland County, Kentucky","2,361",± 245
"Cumberland County, Maine","167,364","± 1,638"
"Cumberland County, New Jersey","63,166","± 1,298"
"Cumberland County, North Carolina","125,174","± 1,791"
"Cumberland County, Pennsylvania","131,777","± 1,514"
"Cumberland County, Tennessee","22,676",± 834
"Cumberland County, Virginia","5,069",± 295
"Cuming County, Nebraska","4,684",± 185
"Currituck County, North Carolina","14,123",± 501
"Curry County, New Mexico","18,437",± 576
"Curry County, Oregon","8,833",± 590
"Custer County, Colorado","2,046",± 281
"Custer County, Idaho","1,826",± 288
"Custer County, Montana","6,245",± 222
"Custer County, Nebraska","5,261",± 217
"Custer County, Oklahoma","14,247",± 437
"Custer County, South Dakota","3,839",± 276
"Cuyahoga County, Ohio","605,214","± 3,819"
"Dade County, Georgia","7,073",± 366
"Dade County, Missouri","3,136",± 157
"Daggett County, Utah",249,± 66
"Dakota County, Minnesota","239,442","± 1,719"
"Dakota County, Nebraska","10,539",± 483
"Dale County, Alabama","18,115",± 590
"Dallam County, Texas","3,839",± 275
"Dallas County, Alabama","14,359",± 686
"Dallas County, Arkansas","2,627",± 177
"Dallas County, Iowa","55,396","± 1,009"
"Dallas County, Missouri","6,453",± 431
"Dallas County, Texas","1,319,521","± 4,678"
"Dane County, Wisconsin","317,881","± 2,549"
"Daniels County, Montana",784,± 93
"Danville city, Virginia","16,670",± 747
"Dare County, North Carolina","19,041",± 543
"Darke County, Ohio","24,579",± 587
"Darlington County, South Carolina","26,305",± 910
"Dauphin County, Pennsylvania","143,394","± 1,772"
"Davidson County, North Carolina","77,106","± 1,549"
"Davidson County, Tennessee","396,132","± 2,825"
"Davie County, North Carolina","19,800",± 702
"Daviess County, Indiana","15,248",± 435
"Daviess County, Kentucky","47,470",± 955
"Daviess County, Missouri","3,638",± 142
"Davis County, Iowa","4,107",± 195
"Davis County, Utah","178,388","± 1,605"
"Davison County, South Dakota","10,433",± 409
"Dawes County, Nebraska","4,373",± 320
"Dawson County, Georgia","13,604",± 688
"Dawson County, Montana","4,460",± 231
"Dawson County, Nebraska","12,386",± 324
"Dawson County, Texas","4,270",± 301
"Day County, South Dakota","2,485",± 121
"De Baca County, New Mexico",729,± 156
"De Soto Parish, Louisiana","10,342",± 454
"De Witt County, Illinois","7,604",± 241
"Deaf Smith County, Texas","8,428",± 416
"Dearborn County, Indiana","25,739",± 748
"Decatur County, Georgia","11,043",± 521
"Decatur County, Indiana","13,324",± 349
"Decatur County, Iowa","3,479",± 160
"Decatur County, Kansas","1,308",± 116
"Decatur County, Tennessee","4,419",± 286
"Deer Lodge County, Montana","4,207",± 324
"Defiance County, Ohio","18,813",± 392
"DeKalb County, Alabama","30,827",± 895
"DeKalb County, Georgia","388,455","± 3,352"
"DeKalb County, Illinois","51,628","± 1,088"
"DeKalb County, Indiana","21,356",± 514
"DeKalb County, Missouri","4,245",± 260
"DeKalb County, Tennessee","8,292",± 503
"Del Norte County, California","9,912",± 514
"Delaware County, Indiana","52,929","± 1,005"
"Delaware County, Iowa","9,586",± 343
"Delaware County, New York","19,247",± 589
"Delaware County, Ohio","114,307","± 1,371"
"Delaware County, Oklahoma","16,076",± 543
"Delaware County, Pennsylvania","285,672","± 2,137"
"Delta County, Colorado","12,228",± 607
"Delta County, Michigan","15,097",± 528
"Delta County, Texas","2,310",± 162
"Denali Borough, Alaska","1,344",± 69
"Dent County, Missouri","6,154",± 341
"Denton County, Texas","501,458","± 3,176"
"Denver County, Colorado","416,271","± 2,962"
"Des Moines County, Iowa","18,599",± 454
"Deschutes County, Oregon","98,636","± 1,663"
"Desha County, Arkansas","4,057",± 288
"DeSoto County, Florida","12,390",± 722
"DeSoto County, Mississippi","93,433","± 1,285"
"Deuel County, Nebraska",881,± 69
"Deuel County, South Dakota","2,110",± 106
"Dewey County, Oklahoma","1,860",± 115
"Dewey County, South Dakota","1,953",± 99
"DeWitt County, Texas","7,539",± 336
"Dickens County, Texas",589,± 115
"Dickenson County, Virginia","4,472",± 353
"Dickey County, North Dakota","2,520",± 132
"Dickinson County, Iowa","9,372",± 311
"Dickinson County, Kansas","8,870",± 315
"Dickinson County, Michigan","11,876",± 396
"Dickson County, Tennessee","26,078",± 700
"Dillingham Census Area, Alaska","1,935",± 254
"Dillon County, South Carolina","11,296",± 552
"Dimmit County, Texas","2,352",± 373
"Dinwiddie County, Virginia","13,516",± 494
"District of Columbia, District of Columbia","369,398","± 2,770"
"Divide County, North Dakota",986,± 108
"Dixie County, Florida","5,447",± 383
"Dixon County, Nebraska","2,800",± 105
"Doddridge County, West Virginia","2,990",± 265
"Dodge County, Georgia","7,728",± 373
"Dodge County, Minnesota","11,441",± 246
"Dodge County, Nebraska","18,088",± 473
"Dodge County, Wisconsin","47,053",± 618
"Dolores County, Colorado","1,073",± 174
"Doña Ana County, New Mexico","92,088","± 1,982"
"Doniphan County, Kansas","3,721",± 176
"Donley County, Texas","1,386",± 183
"Dooly County, Georgia","3,958",± 312
"Door County, Wisconsin","14,387",± 346
"Dorado Municipio, Puerto Rico","12,313",± 621
"Dorchester County, Maryland","15,001",± 602
"Dorchester County, South Carolina","77,519","± 1,592"
"Dougherty County, Georgia","33,442","± 1,051"
"Douglas County, Colorado","197,288","± 1,864"
"Douglas County, Georgia","70,280","± 1,394"
"Douglas County, Illinois","9,641",± 281
"Douglas County, Kansas","66,803","± 1,124"
"Douglas County, Minnesota","19,658",± 419
"Douglas County, Missouri","4,344",± 349
"Douglas County, Nebraska","304,777","± 1,990"
"Douglas County, Nevada","21,681",± 600
"Douglas County, Oregon","43,613","± 1,059"
"Douglas County, South Dakota","1,446",± 69
"Douglas County, Washington","20,627",± 620
"Douglas County, Wisconsin","22,041",± 520
"Drew County, Arkansas","7,146",± 431
"Dubois County, Indiana","22,743",± 536
"Dubuque County, Iowa","51,346",± 858
"Duchesne County, Utah","8,006",± 266
"Dukes County, Massachusetts","10,474",± 648
"Dundy County, Nebraska",975,± 124
"Dunklin County, Missouri","11,043",± 409
"Dunn County, North Dakota","1,913",± 114
"Dunn County, Wisconsin","24,233",± 516
"DuPage County, Illinois","489,400","± 2,691"
"Duplin County, North Carolina","21,679",± 705
"Durham County, North Carolina","171,659","± 2,353"
"Dutchess County, New York","148,109","± 1,695"
"Duval County, Florida","484,091","± 4,093"
"Duval County, Texas","3,646",± 303
"Dyer County, Tennessee","15,967",± 607
"Eagle County, Colorado","32,146",± 928
"Early County, Georgia","4,258",± 335
"East Baton Rouge Parish, Louisiana","217,919","± 2,770"
"East Carroll Parish, Louisiana","1,693",± 265
"East Feliciana Parish, Louisiana","6,647",± 536
"Eastland County, Texas","7,706",± 436
"Eaton County, Michigan","53,895",± 777
"Eau Claire County, Wisconsin","57,979",± 915
"Echols County, Georgia","1,901",± 219
"Ector County, Texas","74,794","± 1,533"
"Eddy County, New Mexico","27,391",± 915
"Eddy County, North Dakota","1,105",± 68
"Edgar County, Illinois","7,526",± 302
"Edgecombe County, North Carolina","20,366",± 766
"Edgefield County, South Carolina","11,160",± 380
"Edmonson County, Kentucky","4,727",± 374
"Edmunds County, South Dakota","1,913",± 152
"Edwards County, Illinois","2,694",± 163
"Edwards County, Kansas","1,359",± 83
"Edwards County, Texas",728,± 166
"Effingham County, Georgia","30,888",± 842
"Effingham County, Illinois","17,595",± 465
"El Dorado County, California","87,959","± 1,390"
"El Paso County, Colorado","342,274","± 2,831"
"El Paso County, Texas","368,320","± 3,600"
"Elbert County, Colorado","14,177",± 363
"Elbert County, Georgia","8,514",± 549
"Elk County, Kansas",955,± 81
"Elk County, Pennsylvania","14,970",± 472
"Elkhart County, Indiana","98,862","± 1,590"
"Elko County, Nevada","26,275",± 887
"Elliott County, Kentucky","1,884",± 271
"Ellis County, Kansas","16,719",± 394
"Ellis County, Oklahoma","1,585",± 120
"Ellis County, Texas","99,369","± 1,379"
"Ellsworth County, Kansas","2,638",± 129
"Elmore County, Alabama","39,250",± 989
"Elmore County, Idaho","10,014",± 688
"Emanuel County, Georgia","9,194",± 665
"Emery County, Utah","4,043",± 212
"Emmet County, Iowa","4,871",± 230
"Emmet County, Michigan","17,075",± 339
"Emmons County, North Dakota","1,571",± 80
"Emporia city, Virginia","2,185",± 301
"Erath County, Texas","20,833",± 777
"Erie County, New York","466,028","± 3,495"
"Erie County, Ohio","35,755",± 892
"Erie County, Pennsylvania","124,388","± 1,752"
"Escambia County, Alabama","12,964",± 664
"Escambia County, Florida","139,992","± 2,248"
"Esmeralda County, Nevada",409,± 159
"Essex County, Massachusetts","421,898","± 3,157"
"Essex County, New Jersey","408,082","± 3,142"
"Essex County, New York","17,294",± 455
"Essex County, Vermont","2,628",± 139
"Essex County, Virginia","4,402",± 404
"Estill County, Kentucky","4,815",± 423
"Etowah County, Alabama","44,508","± 1,198"
"Eureka County, Nevada",579,± 160
"Evangeline Parish, Louisiana","11,404",± 571
"Evans County, Georgia","4,406",± 290
"Fairbanks North Star Borough, Alaska","42,078","± 1,254"
"Fairfax city, Virginia","13,137",± 358
"Fairfax County, Virginia","610,265","± 2,857"
"Fairfield County, Ohio","78,317","± 1,161"
"Fairfield County, South Carolina","9,232",± 488
"Fajardo Municipio, Puerto Rico","10,590",± 652
"Fall River County, South Dakota","2,971",± 177
"Fallon County, Montana","1,426",± 148
"Falls Church city, Virginia","7,941",± 328
"Falls County, Texas","6,248",± 411
"Fannin County, Georgia","9,979",± 593
"Fannin County, Texas","15,060",± 598
"Faribault County, Minnesota","6,889",± 166
"Faulk County, South Dakota",947,± 94
"Faulkner County, Arkansas","58,278","± 1,247"
"Fauquier County, Virginia","38,689",± 808
"Fayette County, Alabama","6,296",± 361
"Fayette County, Georgia","54,962","± 1,019"
"Fayette County, Illinois","9,012",± 440
"Fayette County, Indiana","10,377",± 474
"Fayette County, Iowa","9,230",± 312
"Fayette County, Kentucky","169,451","± 1,955"
"Fayette County, Ohio","12,940",± 501
"Fayette County, Pennsylvania","54,363",± 774
"Fayette County, Tennessee","19,462",± 530
"Fayette County, Texas","10,862",± 501
"Fayette County, West Virginia","14,182",± 700
"Fentress County, Tennessee","7,223",± 504
"Fergus County, Montana","5,591",± 245
"Ferry County, Washington","2,521",± 203
"Fillmore County, Minnesota","10,778",± 156
"Fillmore County, Nebraska","3,004",± 117
"Finney County, Kansas","18,692",± 586
"Fisher County, Texas","1,816",± 118
"Flagler County, Florida","48,151","± 1,125"
"Flathead County, Montana","52,022",± 893
"Fleming County, Kentucky","6,049",± 346
"Florence County, South Carolina","60,040","± 1,118"
"Florence County, Wisconsin","1,964",± 120
"Florida Municipio, Puerto Rico","3,544",± 362
"Floyd County, Georgia","43,616","± 1,007"
"Floyd County, Indiana","39,654",± 873
"Floyd County, Iowa","7,426",± 274
"Floyd County, Kentucky","11,249",± 660
"Floyd County, Texas","2,238",± 155
"Floyd County, Virginia","7,652",± 403
"Fluvanna County, Virginia","13,379",± 562
"Foard County, Texas",508,± 114
"Fond du Lac County, Wisconsin","53,417",± 837
"Ford County, Illinois","6,382",± 251
"Ford County, Kansas","17,165",± 533
"Forest County, Pennsylvania","1,630",± 135
"Forest County, Wisconsin","3,779",± 155
"Forrest County, Mississippi","36,010",± 986
"Forsyth County, Georgia","130,217","± 1,450"
"Forsyth County, North Carolina","178,260","± 1,916"
"Fort Bend County, Texas","401,677","± 3,753"
"Foster County, North Dakota","1,808",± 90
"Fountain County, Indiana","7,752",± 265
"Franklin city, Virginia","3,449",± 286
"Franklin County, Alabama","13,469",± 683
"Franklin County, Arkansas","6,743",± 402
"Franklin County, Florida","4,255",± 271
"Franklin County, Georgia","9,505",± 593
"Franklin County, Idaho","6,506",± 396
"Franklin County, Illinois","15,875",± 430
"Franklin County, Indiana","11,566",± 453
"Franklin County, Iowa","4,735",± 210
"Franklin County, Kansas","13,107",± 423
"Franklin County, Kentucky","24,728",± 663
"Franklin County, Maine","14,000",± 507
"Franklin County, Massachusetts","36,043",± 702
"Franklin County, Mississippi","2,580",± 214
"Franklin County, Missouri","50,028",± 856
"Franklin County, Nebraska","1,378",± 75
"Franklin County, New York","19,321",± 695
"Franklin County, North Carolina","32,725",± 827
"Franklin County, Ohio","694,653","± 3,937"
"Franklin County, Pennsylvania","75,850","± 1,251"
"Franklin County, Tennessee","19,502",± 641
"Franklin County, Texas","4,771",± 301
"Franklin County, Vermont","25,632",± 682
"Franklin County, Virginia","23,999",± 751
"Franklin County, Washington","43,495",± 951
"Franklin Parish, Louisiana","6,686",± 381
"Frederick County, Maryland","144,673","± 1,784"
"Frederick County, Virginia","44,888","± 1,055"
"Fredericksburg city, Virginia","14,745",± 538
"Freeborn County, Minnesota","14,695",± 277
"Freestone County, Texas","7,131",± 431
"Fremont County, Colorado","16,855",± 792
"Fremont County, Idaho","5,798",± 261
"Fremont County, Iowa","3,129",± 135
"Fremont County, Wyoming","17,285",± 482
"Fresno County, California","423,399","± 3,600"
"Frio County, Texas","6,930",± 502
"Frontier County, Nebraska","1,181",± 74
"Fulton County, Arkansas","4,249",± 358
"Fulton County, Georgia","561,697","± 4,254"
"Fulton County, Illinois","14,496",± 417
"Fulton County, Indiana","8,887",± 420
"Fulton County, Kentucky","2,196",± 196
"Fulton County, New York","24,326",± 630
"Fulton County, Ohio","20,603",± 464
"Fulton County, Pennsylvania","6,879",± 174
"Furnas County, Nebraska","2,219",± 110
"Gadsden County, Florida","16,452",± 777
"Gage County, Nebraska","10,781",± 335
"Gaines County, Texas","8,826",± 481
"Galax city, Virginia","2,796",± 256
"Gallatin County, Illinois","2,125",± 153
"Gallatin County, Kentucky","3,940",± 265
"Gallatin County, Montana","69,031","± 1,026"
"Gallia County, Ohio","11,806",± 497
"Galveston County, Texas","166,845","± 1,763"
"Garden County, Nebraska",698,± 67
"Garfield County, Colorado","34,042",± 663
"Garfield County, Montana",536,± 88
"Garfield County, Nebraska",956,± 107
"Garfield County, Oklahoma","28,071",± 731
"Garfield County, Utah","2,337",± 145
"Garfield County, Washington",910,± 105
"Garland County, Arkansas","42,296","± 1,202"
"Garrard County, Kentucky","7,209",± 356
"Garrett County, Maryland","13,555",± 536
"Garvin County, Oklahoma","10,810",± 380
"Garza County, Texas","1,662",± 292
"Gasconade County, Missouri","7,175",± 350
"Gaston County, North Carolina","109,133","± 1,580"
"Gates County, North Carolina","4,560",± 308
"Geary County, Kansas","13,229",± 662
"Geauga County, Ohio","48,094",± 817
"Gem County, Idaho","8,608",± 532
"Genesee County, Michigan","173,444","± 2,258"
"Genesee County, New York","28,893",± 544
"Geneva County, Alabama","10,890",± 483
"Gentry County, Missouri","2,801",± 128
"George County, Mississippi","8,394",± 637
"Georgetown County, South Carolina","26,060","± 1,143"
"Gibson County, Indiana","15,859",± 512
"Gibson County, Tennessee","21,560",± 828
"Gila County, Arizona","18,692",± 678
"Gilchrist County, Florida","7,606",± 363
"Giles County, Tennessee","13,161",± 621
"Giles County, Virginia","7,458",± 376
"Gillespie County, Texas","12,396",± 553
"Gilliam County, Oregon",802,± 104
"Gilmer County, Georgia","13,571",± 597
"Gilmer County, West Virginia","2,367",± 202
"Gilpin County, Colorado","3,574",± 320
"Glacier County, Montana","4,926",± 421
"Glades County, Florida","3,608",± 307
"Gladwin County, Michigan","9,258",± 324
"Glascock County, Georgia","1,321",± 134
"Glasscock County, Texas",463,± 89
"Glenn County, California","12,496",± 553
"Gloucester County, New Jersey","155,791","± 1,683"
"Gloucester County, Virginia","19,020",± 672
"Glynn County, Georgia","37,799","± 1,174"
"Gogebic County, Michigan","6,081",± 309
"Golden Valley County, Montana",380,± 63
"Golden Valley County, North Dakota",810,± 77
"Goliad County, Texas","2,882",± 198
"Gonzales County, Texas","8,679",± 328
"Goochland County, Virginia","11,680",± 464
"Goodhue County, Minnesota","23,981",± 472
"Gooding County, Idaho","7,184",± 382
"Gordon County, Georgia","26,411",± 775
"Goshen County, Wyoming","5,770",± 240
"Gosper County, Nebraska",917,± 107
"Gove County, Kansas","1,297",± 113
"Grady County, Georgia","11,042",± 596
"Grady County, Oklahoma","24,964",± 519
"Grafton County, New Hampshire","46,354",± 925
"Graham County, Arizona","14,064",± 551
"Graham County, Kansas","1,171",± 78
"Graham County, North Carolina","3,171",± 319
"Grainger County, Tennessee","9,746",± 625
"Grand County, Colorado","8,786",± 470
"Grand County, Utah","5,690",± 306
"Grand Forks County, North Dakota","39,615",± 817
"Grand Isle County, Vermont","3,722",± 172
"Grand Traverse County, Michigan","48,469",± 860
"Granite County, Montana","1,317",± 121
"Grant County, Arkansas","7,782",± 457
"Grant County, Indiana","29,595",± 768
"Grant County, Kansas","3,615",± 321
"Grant County, Kentucky","11,179",± 537
"Grant County, Minnesota","2,908",± 95
"Grant County, Nebraska",350,± 55
"Grant County, New Mexico","9,795",± 547
"Grant County, North Dakota","1,047",± 62
"Grant County, Oklahoma","1,824",± 103
"Grant County, Oregon","2,943",± 210
"Grant County, South Dakota","3,779",± 177
"Grant County, Washington","43,461","± 1,041"
"Grant County, West Virginia","5,055",± 301
"Grant County, Wisconsin","26,205",± 493
"Grant Parish, Louisiana","7,801",± 583
"Granville County, North Carolina","26,914","± 1,286"
"Gratiot County, Michigan","17,131",± 476
"Graves County, Kentucky","15,371",± 598
"Gray County, Kansas","2,937",± 105
"Gray County, Texas","9,028",± 343
"Grays Harbor County, Washington","29,300",± 781
"Grayson County, Kentucky","10,639",± 531
"Grayson County, Texas","64,616","± 1,106"
"Grayson County, Virginia","5,963",± 321
"Greater Bridgeport Planning Region, Connecticut","159,994","± 2,272"
"Greeley County, Kansas",711,± 82
"Greeley County, Nebraska",992,± 69
"Green County, Kentucky","4,088",± 232
"Green County, Wisconsin","19,731",± 323
"Green Lake County, Wisconsin","8,987",± 298
"Greenbrier County, West Virginia","13,422",± 586
"Greene County, Alabama","2,355",± 292
"Greene County, Arkansas","19,940",± 730
"Greene County, Georgia","7,356",± 344
"Greene County, Illinois","5,547",± 275
"Greene County, Indiana","13,632",± 517
"Greene County, Iowa","4,367",± 144
"Greene County, Mississippi","3,247",± 315
"Greene County, Missouri","145,082","± 1,976"
"Greene County, New York","21,909",± 681
"Greene County, North Carolina","8,089",± 373
"Greene County, Ohio","79,792","± 1,226"
"Greene County, Pennsylvania","14,223",± 533
"Greene County, Tennessee","29,264","± 1,130"
"Greene County, Virginia","10,861",± 409
"Greenlee County, Arizona","4,148",± 271
"Greensville County, Virginia","3,928",± 345
"Greenup County, Kentucky","13,741",± 498
"Greenville County, South Carolina","262,211","± 2,579"
"Greenwood County, Kansas","2,851",± 119
"Greenwood County, South Carolina","29,395",± 889
"Greer County, Oklahoma","1,935",± 201
"Gregg County, Texas","56,862",± 947
"Gregory County, South Dakota","1,922",± 113
"Grenada County, Mississippi","9,044",± 516
"Griggs County, North Dakota","1,136",± 104
"Grimes County, Texas","11,659",± 555
"Grundy County, Illinois","26,820",± 615
"Grundy County, Iowa","6,275",± 217
"Grundy County, Missouri","4,014",± 199
"Grundy County, Tennessee","5,389",± 314
"Guadalupe County, New Mexico","1,634",± 247
"Guadalupe County, Texas","82,433","± 1,374"
"Guánica Municipio, Puerto Rico","2,984",± 304
"Guayama Municipio, Puerto Rico","9,386",± 780
"Guayanilla Municipio, Puerto Rico","4,442",± 403
"Guaynabo Municipio, Puerto Rico","37,187","± 1,179"
"Guernsey County, Ohio","16,725",± 540
"Guilford County, North Carolina","263,584","± 2,958"
"Gulf County, Florida","5,290",± 386
"Gunnison County, Colorado","10,414",± 383
"Gurabo Municipio, Puerto Rico","16,686",± 839
"Guthrie County, Iowa","5,323",± 181
"Gwinnett County, Georgia","483,028","± 3,894"
"Haakon County, South Dakota",811,± 95
"Habersham County, Georgia","21,126",± 729
"Haines Borough, Alaska",806,± 158
"Hale County, Alabama","5,433",± 385
"Hale County, Texas","13,924",± 472
"Halifax County, North Carolina","18,296",± 790
"Halifax County, Virginia","13,861",± 618
"Hall County, Georgia","98,562","± 1,293"
"Hall County, Nebraska","31,229",± 712
"Hall County, Texas","1,166",± 116
"Hamblen County, Tennessee","27,038",± 972
"Hamilton County, Florida","3,681",± 347
"Hamilton County, Illinois","3,376",± 271
"Hamilton County, Indiana","186,373","± 2,192"
"Hamilton County, Iowa","7,256",± 282
"Hamilton County, Kansas","1,175",± 122
"Hamilton County, Nebraska","4,721",± 228
"Hamilton County, New York","2,227",± 215
"Hamilton County, Ohio","416,219","± 3,281"
"Hamilton County, Tennessee","182,855","± 2,173"
"Hamilton County, Texas","3,413",± 211
"Hamlin County, South Dakota","2,988",± 94
"Hampden County, Massachusetts","213,060","± 2,108"
"Hampshire County, Massachusetts","77,806","± 1,385"
"Hampshire County, West Virginia","8,739",± 495
"Hampton city, Virginia","62,438","± 1,459"
"Hampton County, South Carolina","7,271",± 395
"Hancock County, Georgia","2,530",± 347
"Hancock County, Illinois","8,194",± 245
"Hancock County, Indiana","42,098",± 935
"Hancock County, Iowa","5,576",± 172
"Hancock County, Kentucky","3,973",± 216
"Hancock County, Maine","28,006",± 617
"Hancock County, Mississippi","20,734",± 788
"Hancock County, Ohio","37,600",± 869
"Hancock County, Tennessee","2,183",± 226
"Hancock County, West Virginia","12,537",± 515
"Hand County, South Dakota","1,623",± 138
"Hanover County, Virginia","57,612",± 930
"Hansford County, Texas","2,430",± 182
"Hanson County, South Dakota","1,840",± 78
"Haralson County, Georgia","14,044",± 596
"Hardee County, Florida","8,992",± 500
"Hardeman County, Tennessee","9,045",± 584
"Hardeman County, Texas","1,810",± 178
"Hardin County, Illinois","1,230",± 122
"Hardin County, Iowa","8,378",± 281
"Hardin County, Kentucky","47,348","± 1,054"
"Hardin County, Ohio","13,911",± 552
"Hardin County, Tennessee","10,609",± 449
"Hardin County, Texas","24,004",± 726
"Harding County, New Mexico",283,± 95
"Harding County, South Dakota",702,± 92
"Hardy County, West Virginia","6,406",± 330
"Harford County, Maryland","136,000","± 1,684"
"Harlan County, Kentucky","7,463",± 434
"Harlan County, Nebraska","1,487",± 123
"Harmon County, Oklahoma","1,095",± 98
"Harnett County, North Carolina","54,157","± 1,008"
"Harney County, Oregon","3,145",± 227
"Harper County, Kansas","2,166",± 131
"Harper County, Oklahoma","1,417",± 131
"Harris County, Georgia","15,747",± 623
"Harris County, Texas","2,285,175","± 7,759"
"Harrison County, Indiana","18,495",± 636
"Harrison County, Iowa","7,378",± 215
"Harrison County, Kentucky","8,446",± 405
"Harrison County, Mississippi","87,340","± 2,032"
"Harrison County, Missouri","3,374",± 193
"Harrison County, Ohio","5,681",± 343
"Harrison County, Texas","30,925",± 904
"Harrison County, West Virginia","28,754",± 838
"Harrisonburg city, Virginia","24,694",± 856
"Hart County, Georgia","11,046",± 580
"Hart County, Kentucky","7,892",± 421
"Hartley County, Texas","1,769",± 158
"Harvey County, Kansas","16,775",± 541
"Haskell County, Kansas","1,811",± 134
"Haskell County, Oklahoma","4,498",± 190
"Haskell County, Texas","2,270",± 214
"Hatillo Municipio, Puerto Rico","13,347",± 634
"Hawaii County, Hawaii","89,643","± 1,587"
"Hawkins County, Tennessee","21,929",± 855
"Hayes County, Nebraska",428,± 47
"Hays County, Texas","125,414","± 1,744"
"Haywood County, North Carolina","28,010",± 974
"Haywood County, Tennessee","7,268",± 317
"Heard County, Georgia","4,705",± 250
"Hemphill County, Texas","1,561",± 152
"Hempstead County, Arkansas","7,737",± 480
"Henderson County, Illinois","2,942",± 182
"Henderson County, Kentucky","19,627",± 654
"Henderson County, North Carolina","54,554","± 1,037"
"Henderson County, Tennessee","11,599",± 671
"Henderson County, Texas","33,667","± 1,148"
"Hendricks County, Indiana","93,711","± 1,347"
"Hendry County, Florida","18,209",± 729
"Hennepin County, Minnesota","703,017","± 3,429"
"Henrico County, Virginia","176,922","± 1,794"
"Henry County, Alabama","7,321",± 416
"Henry County, Georgia","118,323","± 2,190"
"Henry County, Illinois","23,366",± 549
"Henry County, Indiana","20,604",± 607
"Henry County, Iowa","9,748",± 370
"Henry County, Kentucky","6,939",± 343
"Henry County, Missouri","9,181",± 345
"Henry County, Ohio","13,582",± 382
"Henry County, Tennessee","12,788",± 699
"Henry County, Virginia","20,188",± 715
"Herkimer County, New York","28,198",± 676
"Hernando County, Florida","78,778","± 1,482"
"Hertford County, North Carolina","8,643",± 422
"Hettinger County, North Dakota","1,143",± 86
"Hickman County, Kentucky","1,829",± 127
"Hickman County, Tennessee","10,515",± 526
"Hickory County, Missouri","2,550",± 307
"Hidalgo County, New Mexico","1,594",± 183
"Hidalgo County, Texas","340,953","± 3,719"
"Highland County, Ohio","19,045",± 643
"Highland County, Virginia",809,± 118
"Highlands County, Florida","35,324","± 1,062"
"Hill County, Montana","7,426",± 253
"Hill County, Texas","15,842",± 419
"Hillsborough County, Florida","730,402","± 4,427"
"Hillsborough County, New Hampshire","236,496","± 1,841"
"Hillsdale County, Michigan","20,175",± 454
"Hinds County, Mississippi","99,007","± 1,820"
"Hinsdale County, Colorado",415,± 84
"Hitchcock County, Nebraska","1,186",± 88
"Hocking County, Ohio","12,698",± 472
"Hockley County, Texas","9,689",± 310
"Hodgeman County, Kansas",856,± 97
"Hoke County, North Carolina","19,188",± 676
"Holmes County, Florida","7,521",± 413
"Holmes County, Mississippi","5,369",± 425
"Holmes County, Ohio","20,649",± 494
"Holt County, Missouri","1,901",± 98
"Holt County, Nebraska","5,230",± 196
"Honolulu County, Hawaii","468,113","± 2,983"
"Hood County, Texas","26,540",± 834
"Hood River County, Oregon","12,855",± 425
"Hooker County, Nebraska",336,± 74
"Hoonah-Angoon Census Area, Alaska","1,175",± 99
