Geography,Total—Total households—UNITS IN STRUCTURE—2-or-more-unit structures—Estimate,MoE
"Clay County, Mississippi",12.50%,± 2.9%
"Clay County, Missouri",20.90%,± 0.9%
"Clay County, Nebraska",8.10%,± 2.1%
"Clay County, North Carolina",7.70%,± 4%
"Clay County, South Dakota",33.80%,± 4.8%
"Clay County, Tennessee",6.40%,± 2.2%
"Clay County, Texas",2.70%,± 1.2%
"Clay County, West Virginia",2.60%,± 2.9%
"Clayton County, Georgia",27.40%,± 1.2%
"Clayton County, Iowa",12.70%,± 2.1%
"Clear Creek County, Colorado",13.50%,± 3.6%
"Clearfield County, Pennsylvania",10.80%,± 1.2%
"Clearwater County, Idaho",4.10%,± 1.2%
"Clearwater County, Minnesota",8.80%,± 1.7%
"Cleburne County, Alabama",3.80%,± 1.3%
"Cleburne County, Arkansas",4%,± 1.1%
"Clermont County, Ohio",19.10%,± 1.1%
"Cleveland County, Arkansas",2.20%,± 2%
"Cleveland County, North Carolina",10%,± 1.2%
"Cleveland County, Oklahoma",19.80%,± 1%
"Clinch County, Georgia",7.70%,± 3.3%
"Clinton County, Illinois",9.70%,± 1.6%
"Clinton County, Indiana",12.90%,± 1.8%
"Clinton County, Iowa",16.80%,± 1.7%
"Clinton County, Kentucky",5.80%,± 2.2%
"Clinton County, Michigan",11.60%,± 1%
"Clinton County, Missouri",9%,± 2.3%
"Clinton County, New York",24%,± 1.7%
"Clinton County, Ohio",12.40%,± 1.8%
"Clinton County, Pennsylvania",18.60%,± 1.9%
"Cloud County, Kansas",9.40%,± 2.6%
"Coahoma County, Mississippi",23.40%,± 3.1%
"Coal County, Oklahoma",5%,± 1.6%
"Coamo Municipio, Puerto Rico",7.90%,± 1.8%
"Cobb County, Georgia",23.30%,± 0.7%
"Cochise County, Arizona",11.30%,± 1%
"Cochran County, Texas",2.70%,± 2%
"Cocke County, Tennessee",6.80%,± 1.5%
"Coconino County, Arizona",24.60%,± 1.5%
"Codington County, South Dakota",19.40%,± 2.6%
"Coffee County, Alabama",11%,± 1.6%
"Coffee County, Georgia",7.80%,± 2.2%
"Coffee County, Tennessee",13.30%,± 1.6%
"Coffey County, Kansas",4.50%,± 1.3%
"Coke County, Texas",10.10%,± 3.7%
"Colbert County, Alabama",14.60%,± 1.7%
"Cole County, Missouri",22.80%,± 1.7%
"Coleman County, Texas",8.60%,± 3.1%
"Coles County, Illinois",23.70%,± 1.8%
"Colfax County, Nebraska",6.10%,± 2.7%
"Colfax County, New Mexico",7.90%,± 2.4%
"Colleton County, South Carolina",5.90%,± 1.3%
"Collier County, Florida",37.40%,± 1.2%
"Collin County, Texas",26.10%,± 0.6%
"Collingsworth County, Texas",10.40%,± 4%
"Colonial Heights city, Virginia",17.50%,± 3.5%
"Colorado County, Texas",7.40%,± 2.3%
"Colquitt County, Georgia",11.30%,± 1.8%
"Columbia County, Arkansas",13.50%,± 2.9%
"Columbia County, Florida",10.30%,± 1.2%
"Columbia County, Georgia",7.40%,± 1.1%
"Columbia County, New York",17.70%,± 1.7%
"Columbia County, Oregon",9.40%,± 1.5%
"Columbia County, Pennsylvania",16.10%,± 1.5%
"Columbia County, Washington",5.90%,± 3%
"Columbia County, Wisconsin",17.30%,± 1.5%
"Columbiana County, Ohio",13.30%,± 1.6%
"Columbus County, North Carolina",7.40%,± 1.1%
"Colusa County, California",13%,± 2.3%
"Comal County, Texas",14.60%,± 1.1%
"Comanche County, Kansas",5.30%,± 2.5%
"Comanche County, Oklahoma",18.50%,± 1.2%
"Comanche County, Texas",4.70%,± 2%
"Comerío Municipio, Puerto Rico",6.10%,± 2.4%
"Concho County, Texas",2.80%,± 2.8%
"Concordia Parish, Louisiana",6.30%,± 2.1%
"Conecuh County, Alabama",9.40%,± 3.5%
"Conejos County, Colorado",3.80%,± 1.5%
"Contra Costa County, California",22.20%,± 0.5%
"Converse County, Wyoming",9.50%,± 2.6%
"Conway County, Arkansas",8.80%,± 2.4%
"Cook County, Georgia",7.60%,± 2.9%
"Cook County, Illinois",52.20%,± 0.3%
"Cook County, Minnesota",11.50%,± 2.6%
"Cooke County, Texas",10.80%,± 1.8%
"Cooper County, Missouri",7.50%,± 1.5%
"Coos County, New Hampshire",22.20%,± 1.7%
"Coos County, Oregon",15%,± 1.6%
"Coosa County, Alabama",4.70%,± 1.9%
"Copiah County, Mississippi",5.60%,± 1.8%
"Copper River Census Area, Alaska",10.40%,± 4.2%
"Corozal Municipio, Puerto Rico",3%,± 1.4%
"Corson County, South Dakota",4.70%,± 1.5%
"Cortland County, New York",25.30%,± 1.9%
"Coryell County, Texas",18.40%,± 1.5%
"Coshocton County, Ohio",11.20%,± 1.8%
"Costilla County, Colorado",5%,± 2.2%
"Cottle County, Texas",13.70%,± 6.7%
"Cotton County, Oklahoma",5.80%,± 1.9%
"Cottonwood County, Minnesota",8.60%,± 1.8%
"Covington city, Virginia",7.90%,± 3.5%
"Covington County, Alabama",8.90%,± 1.6%
"Covington County, Mississippi",4.60%,± 1.9%
"Coweta County, Georgia",10.90%,± 1%
"Cowley County, Kansas",13.10%,± 2.2%
"Cowlitz County, Washington",19%,± 1.5%
"Craig County, Oklahoma",7.30%,± 1.7%
"Craig County, Virginia",3.80%,± 4.6%
"Craighead County, Arkansas",24.20%,± 1.6%
"Crane County, Texas",1.70%,± 2%
"Craven County, North Carolina",10.70%,± 1.2%
"Crawford County, Arkansas",12.90%,± 1.5%
"Crawford County, Georgia",6%,± 2.2%
"Crawford County, Illinois",5.40%,± 1.4%
"Crawford County, Indiana",3.40%,± 1.4%
"Crawford County, Iowa",11.20%,± 3.1%
"Crawford County, Kansas",15.20%,± 2.1%
"Crawford County, Michigan",5%,± 1.3%
"Crawford County, Missouri",7.50%,± 1.4%
"Crawford County, Ohio",15.30%,± 1.6%
"Crawford County, Pennsylvania",13.70%,± 1%
"Crawford County, Wisconsin",9.40%,± 1.7%
"Creek County, Oklahoma",7.10%,± 0.7%
"Crenshaw County, Alabama",9.40%,± 2.3%
"Crisp County, Georgia",18.10%,± 4.6%
"Crittenden County, Arkansas",21.40%,± 1.6%
"Crittenden County, Kentucky",3%,± 1.6%
"Crockett County, Tennessee",5.20%,± 1.8%
"Crockett County, Texas",3.10%,± 4.3%
"Crook County, Oregon",8.40%,± 2.5%
"Crook County, Wyoming",5.70%,± 3.1%
"Crosby County, Texas",8.20%,± 2.8%
"Cross County, Arkansas",8.80%,± 2.1%
"Crow Wing County, Minnesota",14.90%,± 1.5%
"Crowley County, Colorado",8.40%,± 3.8%
"Culberson County, Texas",5.20%,± 6%
"Culebra Municipio, Puerto Rico",17.20%,± 7%
"Cullman County, Alabama",8.80%,± 1.3%
"Culpeper County, Virginia",9.40%,± 1.5%
"Cumberland County, Illinois",5.90%,± 1.6%
"Cumberland County, Kentucky",7.90%,± 2.9%
"Cumberland County, Maine",28%,± 0.8%
"Cumberland County, New Jersey",19.70%,± 1.4%
"Cumberland County, North Carolina",24%,± 0.7%
"Cumberland County, Pennsylvania",18.80%,± 0.9%
"Cumberland County, Tennessee",8.60%,± 1.2%
"Cumberland County, Virginia",3.90%,± 2.8%
"Cuming County, Nebraska",8.20%,± 1.9%
"Currituck County, North Carolina",2.50%,± 0.9%
"Curry County, New Mexico",13.20%,± 1.9%
"Curry County, Oregon",10.30%,± 2.7%
"Custer County, Colorado",3.50%,± 1.7%
"Custer County, Idaho",5.70%,± 3.4%
"Custer County, Montana",17.50%,± 2.8%
"Custer County, Nebraska",7.90%,± 2.1%
"Custer County, Oklahoma",16.70%,± 3%
"Custer County, South Dakota",6.40%,± 2.2%
"Cuyahoga County, Ohio",32.50%,± 0.5%
"Dade County, Georgia",7.60%,± 2.8%
"Dade County, Missouri",5.20%,± 1.8%
"Daggett County, Utah",0%,± 13.8%
"Dakota County, Minnesota",21.10%,± 0.7%
"Dakota County, Nebraska",21.20%,± 3.6%
"Dale County, Alabama",11.80%,± 1.8%
"Dallam County, Texas",12%,± 5.1%
"Dallas County, Alabama",19%,± 2.5%
"Dallas County, Arkansas",11.10%,± 3.9%
"Dallas County, Iowa",22.90%,± 1.9%
"Dallas County, Missouri",7.40%,± 2.5%
"Dallas County, Texas",40.10%,± 0.4%
"Dane County, Wisconsin",40.70%,± 0.6%
"Daniels County, Montana",8%,± 4.1%
"Danville city, Virginia",26%,± 2.4%
"Dare County, North Carolina",11.70%,± 1.9%
"Darke County, Ohio",11%,± 1.3%
"Darlington County, South Carolina",7.90%,± 1.2%
"Dauphin County, Pennsylvania",24.20%,± 0.9%
"Davidson County, North Carolina",9.30%,± 0.8%
"Davidson County, Tennessee",36.20%,± 0.7%
"Davie County, North Carolina",6.20%,± 1.5%
"Daviess County, Indiana",9.60%,± 1.4%
"Daviess County, Kentucky",18.60%,± 1.7%
"Daviess County, Missouri",6.50%,± 1.4%
"Davis County, Iowa",6.40%,± 1.7%
"Davis County, Utah",15.40%,± 0.8%
"Davison County, South Dakota",25.80%,± 3.6%
"Dawes County, Nebraska",16.40%,± 5%
"Dawson County, Georgia",10%,± 2.8%
"Dawson County, Montana",13%,± 3.9%
"Dawson County, Nebraska",13.80%,± 2.3%
"Dawson County, Texas",7.30%,± 2.8%
"Day County, South Dakota",10.60%,± 1.9%
"De Baca County, New Mexico",5.50%,± 5.6%
"De Soto Parish, Louisiana",9.60%,± 1.9%
"De Witt County, Illinois",9.70%,± 2.2%
"Deaf Smith County, Texas",13%,± 3.3%
"Dearborn County, Indiana",10.70%,± 1.6%
"Decatur County, Georgia",10.60%,± 2.7%
"Decatur County, Indiana",12.40%,± 2.6%
"Decatur County, Iowa",11.90%,± 3.1%
"Decatur County, Kansas",2.70%,± 2%
"Decatur County, Tennessee",3.10%,± 1.2%
"Deer Lodge County, Montana",16.40%,± 3.8%
"Defiance County, Ohio",12.80%,± 2%
"DeKalb County, Alabama",6.30%,± 1.1%
"DeKalb County, Georgia",32.40%,± 0.8%
"DeKalb County, Illinois",29.40%,± 1.8%
"DeKalb County, Indiana",10.40%,± 1.6%
"DeKalb County, Missouri",16.90%,± 4.1%
"DeKalb County, Tennessee",9.40%,± 3.1%
"Del Norte County, California",13.40%,± 2.3%
"Delaware County, Indiana",19%,± 1.1%
"Delaware County, Iowa",6.70%,± 1.8%
"Delaware County, New York",13.50%,± 1.5%
"Delaware County, Ohio",15.20%,± 1%
"Delaware County, Oklahoma",5.80%,± 0.9%
"Delaware County, Pennsylvania",23.10%,± 0.6%
"Delta County, Colorado",6.40%,± 1.5%
"Delta County, Michigan",13.40%,± 1.6%
"Delta County, Texas",8.10%,± 2.9%
"Denali Borough, Alaska",3.80%,± 2.6%
"Dent County, Missouri",10%,± 3%
"Denton County, Texas",25%,± 0.5%
"Denver County, Colorado",47.50%,± 0.6%
"Des Moines County, Iowa",17%,± 2.1%
"Deschutes County, Oregon",13.90%,± 1.2%
"Desha County, Arkansas",12.90%,± 2.8%
"DeSoto County, Florida",13%,± 2.4%
"DeSoto County, Mississippi",9.90%,± 0.8%
"Deuel County, Nebraska",3.70%,± 2.3%
"Deuel County, South Dakota",8.60%,± 2.5%
"Dewey County, Oklahoma",1.90%,± 1.1%
"Dewey County, South Dakota",7.60%,± 1.9%
"DeWitt County, Texas",6.80%,± 1.9%
"Dickens County, Texas",1.10%,± 1.3%
"Dickenson County, Virginia",2.50%,± 1.1%
"Dickey County, North Dakota",8.20%,± 2.8%
"Dickinson County, Iowa",14.80%,± 2.6%
"Dickinson County, Kansas",10.40%,± 2.5%
"Dickinson County, Michigan",10.80%,± 2.5%
"Dickson County, Tennessee",8.30%,± 1.4%
"Dillingham Census Area, Alaska",19.40%,± 4.9%
"Dillon County, South Carolina",7.70%,± 1.9%
"Dimmit County, Texas",5.90%,± 4.3%
"Dinwiddie County, Virginia",5%,± 1.6%
"District of Columbia, District of Columbia",65.10%,± 0.6%
"Divide County, North Dakota",9.10%,± 4.3%
"Dixie County, Florida",1.20%,± 0.9%
"Dixon County, Nebraska",5.60%,± 1.9%
"Doddridge County, West Virginia",0.80%,± 0.8%
"Dodge County, Georgia",9.40%,± 3%
"Dodge County, Minnesota",7.40%,± 1.7%
"Dodge County, Nebraska",14.50%,± 1.9%
"Dodge County, Wisconsin",21.20%,± 1.3%
"Dolores County, Colorado",3.60%,± 3.2%
"Doña Ana County, New Mexico",17.50%,± 1.2%
"Doniphan County, Kansas",6%,± 2%
"Donley County, Texas",7.10%,± 3.8%
"Dooly County, Georgia",8.20%,± 3.6%
"Door County, Wisconsin",13.10%,± 2.2%
"Dorado Municipio, Puerto Rico",4.30%,± 1.3%
"Dorchester County, Maryland",14.60%,± 2%
"Dorchester County, South Carolina",14.20%,± 1.5%
"Dougherty County, Georgia",29.10%,± 2.2%
"Douglas County, Colorado",18.80%,± 0.6%
"Douglas County, Georgia",15.60%,± 1.5%
"Douglas County, Illinois",8.70%,± 1.9%
"Douglas County, Kansas",33.60%,± 1.8%
"Douglas County, Minnesota",17.70%,± 1.4%
"Douglas County, Missouri",2.40%,± 1.4%
"Douglas County, Nebraska",27%,± 0.5%
"Douglas County, Nevada",10.10%,± 1.5%
"Douglas County, Oregon",10.10%,± 1.1%
"Douglas County, South Dakota",5.30%,± 2.7%
"Douglas County, Washington",13.60%,± 1.7%
"Douglas County, Wisconsin",21.40%,± 2%
"Drew County, Arkansas",15.90%,± 3.2%
"Dubois County, Indiana",13.90%,± 2%
"Dubuque County, Iowa",19.60%,± 1.2%
"Duchesne County, Utah",8.90%,± 1.5%
"Dukes County, Massachusetts",11.80%,± 3.5%
"Dundy County, Nebraska",8.20%,± 4.3%
"Dunklin County, Missouri",11.90%,± 2%
"Dunn County, North Dakota",7.30%,± 1.9%
"Dunn County, Wisconsin",21.50%,± 1.8%
"DuPage County, Illinois",27.90%,± 0.4%
"Duplin County, North Carolina",7.40%,± 1.4%
"Durham County, North Carolina",32.70%,± 1%
"Dutchess County, New York",27.90%,± 0.9%
"Duval County, Florida",29.70%,± 0.7%
"Duval County, Texas",4.50%,± 3.6%
"Dyer County, Tennessee",14.20%,± 2.4%
"Eagle County, Colorado",31.90%,± 2.5%
"Early County, Georgia",4.30%,± 2%
"East Baton Rouge Parish, Louisiana",28.30%,± 0.9%
"East Carroll Parish, Louisiana",12.20%,± 5.1%
"East Feliciana Parish, Louisiana",4.50%,± 1.8%
"Eastland County, Texas",12.10%,± 3.3%
"Eaton County, Michigan",19.70%,± 1.1%
"Eau Claire County, Wisconsin",26.80%,± 1.7%
"Echols County, Georgia",1.50%,± 2.1%
"Ector County, Texas",19.70%,± 1.6%
"Eddy County, New Mexico",7.90%,± 2%
"Eddy County, North Dakota",19.90%,± 5.8%
"Edgar County, Illinois",11.20%,± 3%
"Edgecombe County, North Carolina",12.20%,± 2%
"Edgefield County, South Carolina",8.80%,± 1.7%
"Edmonson County, Kentucky",2.40%,± 1.2%
"Edmunds County, South Dakota",3.60%,± 2%
"Edwards County, Illinois",4.30%,± 1.2%
"Edwards County, Kansas",1.50%,± 1%
"Edwards County, Texas",1.90%,± 3.1%
"Effingham County, Georgia",7.10%,± 0.9%
"Effingham County, Illinois",12.60%,± 1.4%
"El Dorado County, California",12%,± 1%
"El Paso County, Colorado",21.30%,± 0.5%
"El Paso County, Texas",21.30%,± 0.6%
"Elbert County, Colorado",0.80%,± 0.4%
"Elbert County, Georgia",8.60%,± 2.6%
"Elk County, Kansas",5.40%,± 2.1%
"Elk County, Pennsylvania",11.50%,± 1.8%
"Elkhart County, Indiana",16.80%,± 1.2%
"Elko County, Nevada",16%,± 2.1%
"Elliott County, Kentucky",4.70%,± 2.5%
"Ellis County, Kansas",20.40%,± 3%
"Ellis County, Oklahoma",2.10%,± 1.3%
"Ellis County, Texas",11.10%,± 1%
"Ellsworth County, Kansas",6.80%,± 2.2%
"Elmore County, Alabama",7.70%,± 1.1%
"Elmore County, Idaho",14.90%,± 2.2%
"Emanuel County, Georgia",10.70%,± 2.4%
"Emery County, Utah",8.10%,± 2.2%
"Emmet County, Iowa",9.40%,± 2.6%
"Emmet County, Michigan",16.60%,± 2.1%
"Emmons County, North Dakota",8.10%,± 2.6%
"Emporia city, Virginia",22.30%,± 5.5%
"Erath County, Texas",16.30%,± 2.4%
"Erie County, New York",34.40%,± 0.6%
"Erie County, Ohio",16.90%,± 1.6%
"Erie County, Pennsylvania",22.10%,± 0.9%
"Escambia County, Alabama",10.70%,± 2.3%
"Escambia County, Florida",19.90%,± 0.8%
"Esmeralda County, Nevada",22.50%,± 19.8%
"Essex County, Massachusetts",41.90%,± 0.6%
"Essex County, New Jersey",58.80%,± 0.5%
"Essex County, New York",15%,± 2%
"Essex County, Vermont",7.60%,± 1.9%
"Essex County, Virginia",12.20%,± 3.2%
"Estill County, Kentucky",11.10%,± 2.8%
"Etowah County, Alabama",10.70%,± 1.2%
"Eureka County, Nevada",4.40%,± 5.9%
"Evangeline Parish, Louisiana",10.60%,± 2.2%
"Evans County, Georgia",11%,± 4%
"Fairbanks North Star Borough, Alaska",28.20%,± 1.9%
"Fairfax city, Virginia",29.30%,± 2.8%
"Fairfax County, Virginia",29.70%,± 0.5%
"Fairfield County, Ohio",14.10%,± 1.1%
"Fairfield County, South Carolina",6.70%,± 2.8%
"Fajardo Municipio, Puerto Rico",11.40%,± 2.4%
"Fall River County, South Dakota",15.80%,± 4.7%
"Fallon County, Montana",3.60%,± 2%
"Falls Church city, Virginia",48.90%,± 3.8%
"Falls County, Texas",6.70%,± 2.1%
"Fannin County, Georgia",9.80%,± 3.1%
"Fannin County, Texas",8.30%,± 1.5%
"Faribault County, Minnesota",9.10%,± 1.4%
"Faulk County, South Dakota",7.50%,± 4.8%
"Faulkner County, Arkansas",20.80%,± 1.4%
"Fauquier County, Virginia",7.50%,± 1.2%
"Fayette County, Alabama",10.20%,± 2.5%
"Fayette County, Georgia",9.40%,± 1.2%
"Fayette County, Illinois",5.40%,± 1.5%
"Fayette County, Indiana",13.30%,± 2.2%
"Fayette County, Iowa",7.60%,± 1.5%
"Fayette County, Kentucky",31.40%,± 1.1%
"Fayette County, Ohio",16%,± 2.2%
"Fayette County, Pennsylvania",11.20%,± 1%
"Fayette County, Tennessee",3.90%,± 1.1%
"Fayette County, Texas",7.20%,± 1.7%
"Fayette County, West Virginia",6.30%,± 1%
"Fentress County, Tennessee",7.50%,± 2.1%
"Fergus County, Montana",9.70%,± 3.1%
"Ferry County, Washington",4.50%,± 1.6%
"Fillmore County, Minnesota",9.70%,± 1.2%
"Fillmore County, Nebraska",6.80%,± 2.1%
"Finney County, Kansas",21.40%,± 2.7%
"Fisher County, Texas",4.60%,± 2.1%
"Flagler County, Florida",8.60%,± 1.2%
"Flathead County, Montana",13.50%,± 1.2%
"Fleming County, Kentucky",4%,± 1.5%
"Florence County, South Carolina",17%,± 1.2%
"Florence County, Wisconsin",4.20%,± 1.5%
"Florida Municipio, Puerto Rico",5.40%,± 3%
"Floyd County, Georgia",17.20%,± 1.5%
"Floyd County, Indiana",15.30%,± 1.2%
"Floyd County, Iowa",12.70%,± 3%
"Floyd County, Kentucky",9.30%,± 2.2%
"Floyd County, Texas",10.70%,± 4.8%
"Floyd County, Virginia",2.60%,± 1.7%
"Fluvanna County, Virginia",2.80%,± 1.7%
"Foard County, Texas",16.20%,± 6.1%
"Fond du Lac County, Wisconsin",22%,± 1.2%
"Ford County, Illinois",12.60%,± 2.6%
"Ford County, Kansas",14.70%,± 2.5%
"Forest County, Pennsylvania",6.10%,± 2.3%
"Forest County, Wisconsin",7.30%,± 1.2%
"Forrest County, Mississippi",25.30%,± 1.8%
"Forsyth County, Georgia",5.30%,± 0.5%
"Forsyth County, North Carolina",24.60%,± 0.8%
"Fort Bend County, Texas",10.90%,± 0.6%
"Foster County, North Dakota",9.70%,± 3.5%
"Fountain County, Indiana",8.20%,± 1.9%
"Franklin city, Virginia",25.50%,± 5.7%
"Franklin County, Alabama",9.90%,± 2.3%
"Franklin County, Arkansas",8.80%,± 2%
"Franklin County, Florida",8.30%,± 2.6%
"Franklin County, Georgia",6%,± 2%
"Franklin County, Idaho",6.70%,± 2.8%
"Franklin County, Illinois",9%,± 1.5%
"Franklin County, Indiana",6.50%,± 1.5%
"Franklin County, Iowa",7.90%,± 2.2%
"Franklin County, Kansas",10.50%,± 2%
"Franklin County, Kentucky",24.40%,± 1.9%
"Franklin County, Maine",15%,± 2.1%
"Franklin County, Massachusetts",28.60%,± 1.4%
"Franklin County, Mississippi",2.10%,± 1%
"Franklin County, Missouri",11.50%,± 1%
"Franklin County, Nebraska",2.20%,± 1%
"Franklin County, New York",19.50%,± 1.9%
"Franklin County, North Carolina",4.10%,± 1.1%
"Franklin County, Ohio",34.90%,± 0.4%
"Franklin County, Pennsylvania",12.90%,± 1.1%
"Franklin County, Tennessee",8.30%,± 1.7%
"Franklin County, Texas",4%,± 1.8%
"Franklin County, Vermont",16.60%,± 2%
"Franklin County, Virginia",5.40%,± 1.1%
"Franklin County, Washington",14.20%,± 1.8%
"Franklin Parish, Louisiana",3.90%,± 1.5%
"Frederick County, Maryland",16.40%,± 0.8%
"Frederick County, Virginia",8.60%,± 1.4%
"Fredericksburg city, Virginia",46.30%,± 3.3%
"Freeborn County, Minnesota",13%,± 1.5%
"Freestone County, Texas",5.80%,± 1.7%
"Fremont County, Colorado",12.10%,± 1.9%
"Fremont County, Idaho",4%,± 1.4%
"Fremont County, Iowa",6.80%,± 1.6%
"Fremont County, Wyoming",9.50%,± 1.5%
"Fresno County, California",25.20%,± 0.5%
"Frio County, Texas",12.80%,± 5%
"Frontier County, Nebraska",7.60%,± 2.7%
"Fulton County, Arkansas",3.10%,± 1.4%
"Fulton County, Georgia",44%,± 0.6%
"Fulton County, Illinois",7.60%,± 1.4%
"Fulton County, Indiana",8%,± 1.9%
"Fulton County, Kentucky",17%,± 4.8%
"Fulton County, New York",24.70%,± 2.1%
"Fulton County, Ohio",9.10%,± 1.9%
"Fulton County, Pennsylvania",5.80%,± 1.1%
"Furnas County, Nebraska",6.40%,± 1.8%
"Gadsden County, Florida",6.60%,± 1.5%
"Gage County, Nebraska",11.90%,± 2.1%
"Gaines County, Texas",8%,± 2.7%
"Galax city, Virginia",14.60%,± 4.6%
"Gallatin County, Illinois",9.60%,± 3.5%
"Gallatin County, Kentucky",12.50%,± 3.1%
"Gallatin County, Montana",25.10%,± 1.6%
"Gallia County, Ohio",7.60%,± 1.7%
"Galveston County, Texas",20.40%,± 0.8%
"Garden County, Nebraska",2.40%,± 1.5%
"Garfield County, Colorado",17.40%,± 1.9%
"Garfield County, Montana",6.30%,± 4.7%
"Garfield County, Nebraska",4.60%,± 2.8%
"Garfield County, Oklahoma",11.30%,± 1.5%
"Garfield County, Utah",4.80%,± 3.3%
"Garfield County, Washington",3.90%,± 2.9%
"Garland County, Arkansas",16%,± 1.3%
"Garrard County, Kentucky",5.50%,± 1.7%
"Garrett County, Maryland",8.30%,± 1.6%
"Garvin County, Oklahoma",6.40%,± 0.9%
"Garza County, Texas",4.90%,± 3.9%
"Gasconade County, Missouri",8.70%,± 1.8%
"Gaston County, North Carolina",14.60%,± 0.9%
"Gates County, North Carolina",0.60%,± 0.9%
"Geary County, Kansas",26.80%,± 3.1%
"Geauga County, Ohio",5.30%,± 0.8%
"Gem County, Idaho",7.70%,± 2.6%
"Genesee County, Michigan",15.10%,± 0.6%
"Genesee County, New York",23.20%,± 2.1%
"Geneva County, Alabama",4.50%,± 1.6%
"Gentry County, Missouri",9.90%,± 2.1%
"George County, Mississippi",2.20%,± 1.1%
"Georgetown County, South Carolina",11.90%,± 1.6%
"Gibson County, Indiana",11.60%,± 2%
"Gibson County, Tennessee",13.40%,± 2.1%
"Gila County, Arizona",6.70%,± 1.3%
"Gilchrist County, Florida",1.70%,± 0.6%
"Giles County, Tennessee",9.50%,± 2.6%
"Giles County, Virginia",6.70%,± 2.1%
"Gillespie County, Texas",11.70%,± 2.3%
"Gilliam County, Oregon",4.80%,± 2.9%
"Gilmer County, Georgia",6.50%,± 1.7%
"Gilmer County, West Virginia",3.40%,± 1.8%
"Gilpin County, Colorado",6.40%,± 2.7%
"Glacier County, Montana",14.20%,± 3.4%
"Glades County, Florida",4.60%,± 2.7%
"Gladwin County, Michigan",5.10%,± 1.1%
"Glascock County, Georgia",5.70%,± 4.7%
"Glasscock County, Texas",0%,± 11.3%
"Glenn County, California",15.60%,± 3.2%
"Gloucester County, New Jersey",15.40%,± 0.8%
"Gloucester County, Virginia",7%,± 1.8%
"Glynn County, Georgia",19%,± 1.7%
"Gogebic County, Michigan",10.40%,± 1.9%
"Golden Valley County, Montana",0%,± 7.4%
"Golden Valley County, North Dakota",9.20%,± 4%
"Goliad County, Texas",5.40%,± 3.1%
"Gonzales County, Texas",10.70%,± 2.5%
"Goochland County, Virginia",5.70%,± 1.8%
"Goodhue County, Minnesota",18.20%,± 2%
"Gooding County, Idaho",10.40%,± 2.5%
"Gordon County, Georgia",12%,± 1.8%
"Goshen County, Wyoming",10.30%,± 2.5%
"Gosper County, Nebraska",2.30%,± 1.9%
"Gove County, Kansas",4.80%,± 2.7%
"Grady County, Georgia",7.60%,± 2.3%
"Grady County, Oklahoma",7%,± 1.1%
"Grafton County, New Hampshire",24.40%,± 1.3%
"Graham County, Arizona",7%,± 1.8%
"Graham County, Kansas",4.50%,± 2.4%
"Graham County, North Carolina",4.40%,± 1.9%
"Grainger County, Tennessee",5.60%,± 1.6%
"Grand County, Colorado",14.90%,± 2.6%
"Grand County, Utah",19.20%,± 5.5%
"Grand Forks County, North Dakota",41%,± 2.1%
"Grand Isle County, Vermont",5.40%,± 2.3%
"Grand Traverse County, Michigan",16.50%,± 1.4%
"Granite County, Montana",6%,± 3.8%
"Grant County, Arkansas",4.70%,± 2.1%
"Grant County, Indiana",12.20%,± 1.5%
"Grant County, Kansas",5.20%,± 4.1%
"Grant County, Kentucky",14.30%,± 2.5%
"Grant County, Minnesota",9.40%,± 1.6%
"Grant County, Nebraska",0.70%,± 1%
"Grant County, New Mexico",9.50%,± 2.7%
"Grant County, North Dakota",7%,± 2.2%
"Grant County, Oklahoma",1.40%,± 0.8%
"Grant County, Oregon",4.50%,± 1.6%
"Grant County, South Dakota",11.40%,± 3.3%
"Grant County, Washington",14.40%,± 2.1%
"Grant County, West Virginia",6.80%,± 2.4%
"Grant County, Wisconsin",16.30%,± 1.4%
"Grant Parish, Louisiana",3.40%,± 1.6%
"Granville County, North Carolina",6.80%,± 1.2%
"Gratiot County, Michigan",11.40%,± 1.7%
"Graves County, Kentucky",7.40%,± 1.5%
"Gray County, Kansas",5.40%,± 2.8%
"Gray County, Texas",8.30%,± 2.5%
"Grays Harbor County, Washington",14.30%,± 1.2%
"Grayson County, Kentucky",9%,± 2.1%
"Grayson County, Texas",16.30%,± 1.3%
"Grayson County, Virginia",4.70%,± 1.6%
"Greater Bridgeport Planning Region, Connecticut",36.70%,± 1%
"Greeley County, Kansas",4.70%,± 3.8%
"Greeley County, Nebraska",5.10%,± 1.7%
"Green County, Kentucky",4.30%,± 1.4%
"Green County, Wisconsin",14.70%,± 1.8%
"Green Lake County, Wisconsin",12.80%,± 1.6%
"Greenbrier County, West Virginia",12.40%,± 2%
"Greene County, Alabama",7.10%,± 4.1%
"Greene County, Arkansas",14.30%,± 2.1%
"Greene County, Georgia",7.40%,± 2.5%
"Greene County, Illinois",5.30%,± 1.6%
"Greene County, Indiana",7.20%,± 1.7%
"Greene County, Iowa",10.10%,± 2.2%
"Greene County, Mississippi",5.10%,± 3.7%
"Greene County, Missouri",22.70%,± 0.9%
"Greene County, New York",16.70%,± 1.8%
"Greene County, North Carolina",7%,± 1.8%
"Greene County, Ohio",20.10%,± 1.2%
"Greene County, Pennsylvania",8.80%,± 1.7%
"Greene County, Tennessee",7.40%,± 1.2%
