Geography,Percent with a disability—Total civilian noninstitutionalized population—DISABILITY TYPE BY DETAILED AGE—With an ambulatory difficulty—Estimate,MoE
"Clay County, Iowa",8.20%,± 1.3%
"Clay County, Kansas",11.80%,± 2.7%
"Clay County, Kentucky",15.50%,± 1.9%
"Clay County, Minnesota",5.20%,± 0.5%
"Clay County, Mississippi",4.80%,± 1.1%
"Clay County, Missouri",5.90%,± 0.4%
"Clay County, Nebraska",5.70%,± 1.1%
"Clay County, North Carolina",10.20%,± 2.4%
"Clay County, South Dakota",5%,± 1.2%
"Clay County, Tennessee",15%,± 3.4%
"Clay County, Texas",11.30%,± 2%
"Clay County, West Virginia",12.80%,± 2.2%
"Clayton County, Georgia",6.20%,± 0.4%
"Clayton County, Iowa",7.70%,± 1.1%
"Clear Creek County, Colorado",4.30%,± 1.3%
"Clearfield County, Pennsylvania",10.10%,± 0.8%
"Clearwater County, Idaho",12.60%,± 1.8%
"Clearwater County, Minnesota",9%,± 1.2%
"Cleburne County, Alabama",10.30%,± 2%
"Cleburne County, Arkansas",12.90%,± 1.4%
"Clermont County, Ohio",6.90%,± 0.5%
"Cleveland County, Arkansas",13%,± 2.5%
"Cleveland County, North Carolina",9.10%,± 0.7%
"Cleveland County, Oklahoma",7%,± 0.4%
"Clinch County, Georgia",9.90%,± 3.1%
"Clinton County, Illinois",7.60%,± 1%
"Clinton County, Indiana",6%,± 0.9%
"Clinton County, Iowa",6.40%,± 0.8%
"Clinton County, Kentucky",14%,± 2%
"Clinton County, Michigan",6.50%,± 0.6%
"Clinton County, Missouri",6.90%,± 1.2%
"Clinton County, New York",8.70%,± 0.9%
"Clinton County, Ohio",9%,± 0.9%
"Clinton County, Pennsylvania",9%,± 0.9%
"Cloud County, Kansas",8.10%,± 1.9%
"Coahoma County, Mississippi",8.80%,± 1.2%
"Coal County, Oklahoma",13.90%,± 1.6%
"Coamo Municipio, Puerto Rico",7.30%,± 1.2%
"Cobb County, Georgia",4.60%,± 0.3%
"Cochise County, Arizona",9.60%,± 0.7%
"Cochran County, Texas",13%,± 3.6%
"Cocke County, Tennessee",14.30%,± 1.5%
"Coconino County, Arizona",5.40%,± 0.4%
"Codington County, South Dakota",5%,± 1%
"Coffee County, Alabama",10%,± 0.7%
"Coffee County, Georgia",9.50%,± 1.2%
"Coffee County, Tennessee",9.40%,± 1%
"Coffey County, Kansas",8.80%,± 1.5%
"Coke County, Texas",11.40%,± 2.4%
"Colbert County, Alabama",10.90%,± 1.2%
"Cole County, Missouri",5.30%,± 0.6%
"Coleman County, Texas",12.50%,± 2.7%
"Coles County, Illinois",9.20%,± 1%
"Colfax County, Nebraska",3.60%,± 1.5%
"Colfax County, New Mexico",12.50%,± 2.1%
"Colleton County, South Carolina",9.40%,± 1.5%
"Collier County, Florida",6%,± 0.4%
"Collin County, Texas",3.50%,± 0.2%
"Collingsworth County, Texas",5.90%,± 2.4%
"Colonial Heights city, Virginia",7.10%,± 1.3%
"Colorado County, Texas",8.20%,± 1.4%
"Colquitt County, Georgia",9.80%,± 1.2%
"Columbia County, Arkansas",9.80%,± 1.7%
"Columbia County, Florida",11%,± 1.2%
"Columbia County, Georgia",5.80%,± 0.6%
"Columbia County, New York",7.10%,± 0.9%
"Columbia County, Oregon",8.40%,± 1%
"Columbia County, Pennsylvania",7.40%,± 0.6%
"Columbia County, Washington",11.10%,± 2.7%
"Columbia County, Wisconsin",5.20%,± 0.6%
"Columbiana County, Ohio",8.90%,± 0.9%
"Columbus County, North Carolina",10.80%,± 1.1%
"Colusa County, California",7%,± 1.2%
"Comal County, Texas",7.30%,± 0.7%
"Comanche County, Kansas",13.40%,± 4.7%
"Comanche County, Oklahoma",11.10%,± 0.8%
"Comanche County, Texas",10%,± 1.8%
"Comerío Municipio, Puerto Rico",14.40%,± 2%
"Concho County, Texas",13.90%,± 5.1%
"Concordia Parish, Louisiana",9.20%,± 1.9%
"Conecuh County, Alabama",14.70%,± 2.7%
"Conejos County, Colorado",10%,± 1.6%
"Contra Costa County, California",5.50%,± 0.2%
"Converse County, Wyoming",8.20%,± 1.6%
"Conway County, Arkansas",12.30%,± 1.9%
"Cook County, Georgia",8.70%,± 1.5%
"Cook County, Illinois",6%,± 0.1%
"Cook County, Minnesota",7.60%,± 1.8%
"Cooke County, Texas",7.50%,± 0.9%
"Cooper County, Missouri",9.40%,± 1.5%
"Coos County, New Hampshire",10.80%,± 1.1%
"Coos County, Oregon",12.70%,± 1.1%
"Coosa County, Alabama",15.60%,± 2.2%
"Copiah County, Mississippi",9%,± 1.4%
"Copper River Census Area, Alaska",8.90%,± 2.6%
"Corozal Municipio, Puerto Rico",14.10%,± 1.7%
"Corson County, South Dakota",8.10%,± 1.1%
"Cortland County, New York",6.90%,± 0.8%
"Coryell County, Texas",10%,± 1%
"Coshocton County, Ohio",8.70%,± 1%
"Costilla County, Colorado",13.90%,± 3.5%
"Cottle County, Texas",16.40%,± 5.8%
"Cotton County, Oklahoma",13%,± 2.9%
"Cottonwood County, Minnesota",6.50%,± 1.2%
"Covington city, Virginia",6.50%,± 2.1%
"Covington County, Alabama",13.50%,± 1.4%
"Covington County, Mississippi",10.70%,± 2%
"Coweta County, Georgia",5.80%,± 0.6%
"Cowley County, Kansas",9.80%,± 1.2%
"Cowlitz County, Washington",9.60%,± 0.8%
"Craig County, Oklahoma",11.60%,± 1.4%
"Craig County, Virginia",4.90%,± 2.3%
"Craighead County, Arkansas",9.20%,± 0.8%
"Crane County, Texas",2.80%,± 1.5%
"Craven County, North Carolina",8.90%,± 0.7%
"Crawford County, Arkansas",10.80%,± 1.2%
"Crawford County, Georgia",13.20%,± 2.3%
"Crawford County, Illinois",7.70%,± 1.1%
"Crawford County, Indiana",8.70%,± 1.6%
"Crawford County, Iowa",6.10%,± 1.4%
"Crawford County, Kansas",8.10%,± 1%
"Crawford County, Michigan",10.60%,± 1.2%
"Crawford County, Missouri",11.90%,± 1.8%
"Crawford County, Ohio",8.20%,± 0.9%
"Crawford County, Pennsylvania",9.40%,± 0.7%
"Crawford County, Wisconsin",6.70%,± 0.9%
"Creek County, Oklahoma",8.20%,± 0.5%
"Crenshaw County, Alabama",10.20%,± 1.4%
"Crisp County, Georgia",13.70%,± 2.1%
"Crittenden County, Arkansas",10.60%,± 1%
"Crittenden County, Kentucky",14.80%,± 2.5%
"Crockett County, Tennessee",9.30%,± 1.5%
"Crockett County, Texas",6.80%,± 3.7%
"Crook County, Oregon",9.90%,± 1.6%
"Crook County, Wyoming",5.20%,± 2.1%
"Crosby County, Texas",12.50%,± 1.8%
"Cross County, Arkansas",12.40%,± 1.6%
"Crow Wing County, Minnesota",7.50%,± 0.7%
"Crowley County, Colorado",11.10%,± 3.1%
"Culberson County, Texas",18.30%,± 9.8%
"Culebra Municipio, Puerto Rico",5.40%,± 2.7%
"Cullman County, Alabama",10.10%,± 0.8%
"Culpeper County, Virginia",5.80%,± 0.7%
"Cumberland County, Illinois",7.70%,± 1.4%
"Cumberland County, Kentucky",13.20%,± 3.2%
"Cumberland County, Maine",4.70%,± 0.3%
"Cumberland County, New Jersey",8.10%,± 0.6%
"Cumberland County, North Carolina",9.50%,± 0.4%
"Cumberland County, Pennsylvania",6%,± 0.5%
"Cumberland County, Tennessee",11.10%,± 0.8%
"Cumberland County, Virginia",7.50%,± 1.7%
"Cuming County, Nebraska",4.30%,± 1.2%
"Currituck County, North Carolina",5.30%,± 0.9%
"Curry County, New Mexico",9.60%,± 1.1%
"Curry County, Oregon",11.20%,± 1.7%
"Custer County, Colorado",5.30%,± 2.1%
"Custer County, Idaho",22.10%,± 5%
"Custer County, Montana",7.80%,± 1.3%
"Custer County, Nebraska",8.40%,± 1.3%
"Custer County, Oklahoma",5.30%,± 0.9%
"Custer County, South Dakota",8.90%,± 2.4%
"Cuyahoga County, Ohio",8.10%,± 0.2%
"Dade County, Georgia",10.10%,± 2%
"Dade County, Missouri",9.30%,± 1.6%
"Daggett County, Utah",6.90%,± 4.8%
"Dakota County, Minnesota",4.10%,± 0.2%
"Dakota County, Nebraska",4.90%,± 0.9%
"Dale County, Alabama",11.70%,± 0.9%
"Dallam County, Texas",3.50%,± 1.6%
"Dallas County, Alabama",13.70%,± 1.5%
"Dallas County, Arkansas",21.30%,± 4%
"Dallas County, Iowa",3.70%,± 0.5%
"Dallas County, Missouri",8.90%,± 1.8%
"Dallas County, Texas",5%,± 0.2%
"Dane County, Wisconsin",3.60%,± 0.2%
"Daniels County, Montana",8.50%,± 2.4%
"Danville city, Virginia",11.40%,± 1.1%
"Dare County, North Carolina",5.40%,± 0.8%
"Darke County, Ohio",6.30%,± 0.7%
"Darlington County, South Carolina",9.30%,± 1.1%
"Dauphin County, Pennsylvania",6.80%,± 0.4%
"Davidson County, North Carolina",9.20%,± 0.6%
"Davidson County, Tennessee",5.90%,± 0.2%
"Davie County, North Carolina",9.50%,± 1.2%
"Daviess County, Indiana",7.70%,± 0.9%
"Daviess County, Kentucky",8.30%,± 0.7%
"Daviess County, Missouri",8.10%,± 1.4%
"Davis County, Iowa",6.20%,± 1.6%
"Davis County, Utah",3.80%,± 0.3%
"Davison County, South Dakota",5.40%,± 1.2%
"Dawes County, Nebraska",6.70%,± 2%
"Dawson County, Georgia",5.60%,± 1%
"Dawson County, Montana",6.40%,± 2.1%
"Dawson County, Nebraska",5.70%,± 0.8%
"Dawson County, Texas",10.20%,± 2.1%
"Day County, South Dakota",7.40%,± 1.2%
"De Baca County, New Mexico",9.40%,± 4.3%
"De Soto Parish, Louisiana",11%,± 1.6%
"De Witt County, Illinois",8.30%,± 1.6%
"Deaf Smith County, Texas",4.30%,± 1%
"Dearborn County, Indiana",6.60%,± 1.1%
"Decatur County, Georgia",8.70%,± 1.3%
"Decatur County, Indiana",6.10%,± 1%
"Decatur County, Iowa",7.40%,± 1.2%
"Decatur County, Kansas",8.90%,± 2.4%
"Decatur County, Tennessee",8.70%,± 1.7%
"Deer Lodge County, Montana",15.40%,± 3%
"Defiance County, Ohio",6.10%,± 0.9%
"DeKalb County, Alabama",8.90%,± 0.9%
"DeKalb County, Georgia",6.10%,± 0.3%
"DeKalb County, Illinois",5.20%,± 0.5%
"DeKalb County, Indiana",6.30%,± 0.8%
"DeKalb County, Missouri",8.80%,± 1.9%
"DeKalb County, Tennessee",12%,± 1.8%
"Del Norte County, California",11.60%,± 1.6%
"Delaware County, Indiana",9%,± 0.6%
"Delaware County, Iowa",6.50%,± 1.2%
"Delaware County, New York",10.20%,± 1%
"Delaware County, Ohio",3.50%,± 0.3%
"Delaware County, Oklahoma",10.80%,± 0.8%
"Delaware County, Pennsylvania",6.10%,± 0.3%
"Delta County, Colorado",12.40%,± 1.6%
"Delta County, Michigan",9.20%,± 1%
"Delta County, Texas",12.20%,± 3.3%
"Denali Borough, Alaska",6.70%,± 2.2%
"Dent County, Missouri",12.10%,± 2%
"Denton County, Texas",3.90%,± 0.2%
"Denver County, Colorado",4.50%,± 0.2%
"Des Moines County, Iowa",8.60%,± 0.9%
"Deschutes County, Oregon",5.80%,± 0.5%
"Desha County, Arkansas",13.10%,± 1.9%
"DeSoto County, Florida",10.70%,± 1.9%
"DeSoto County, Mississippi",6.30%,± 0.6%
"Deuel County, Nebraska",9%,± 2.6%
"Deuel County, South Dakota",6.10%,± 1.4%
"Dewey County, Oklahoma",8.80%,± 1.8%
"Dewey County, South Dakota",5.80%,± 1%
"DeWitt County, Texas",10.60%,± 1.5%
"Dickens County, Texas",11.40%,± 2.9%
"Dickenson County, Virginia",21.70%,± 2.6%
"Dickey County, North Dakota",6.30%,± 2.1%
"Dickinson County, Iowa",7.80%,± 1.5%
"Dickinson County, Kansas",7.90%,± 1.4%
"Dickinson County, Michigan",7.80%,± 1.1%
"Dickson County, Tennessee",8.80%,± 1%
"Dillingham Census Area, Alaska",4.80%,± 1.4%
"Dillon County, South Carolina",11.20%,± 1.2%
"Dimmit County, Texas",11%,± 3.2%
"Dinwiddie County, Virginia",6.50%,± 1.2%
"District of Columbia, District of Columbia",5.90%,± 0.3%
"Divide County, North Dakota",5.20%,± 3%
"Dixie County, Florida",14.80%,± 2.2%
"Dixon County, Nebraska",6%,± 1.5%
"Doddridge County, West Virginia",11.60%,± 2.7%
"Dodge County, Georgia",11.70%,± 1.8%
"Dodge County, Minnesota",3.80%,± 0.6%
"Dodge County, Nebraska",7.60%,± 1.1%
"Dodge County, Wisconsin",6.10%,± 0.6%
"Dolores County, Colorado",2.40%,± 1.9%
"Doña Ana County, New Mexico",7.10%,± 0.5%
"Doniphan County, Kansas",7.10%,± 1.2%
"Donley County, Texas",6.80%,± 2.3%
"Dooly County, Georgia",12.80%,± 2.9%
"Door County, Wisconsin",5.30%,± 0.7%
"Dorado Municipio, Puerto Rico",8.50%,± 1.3%
"Dorchester County, Maryland",8.70%,± 1%
"Dorchester County, South Carolina",6.50%,± 0.7%
"Dougherty County, Georgia",11%,± 0.9%
"Douglas County, Colorado",2.80%,± 0.2%
"Douglas County, Georgia",6.10%,± 0.6%
"Douglas County, Illinois",6.70%,± 1%
"Douglas County, Kansas",4.30%,± 0.5%
"Douglas County, Minnesota",5.60%,± 0.7%
"Douglas County, Missouri",10.70%,± 1.9%
"Douglas County, Nebraska",5%,± 0.2%
"Douglas County, Nevada",8.60%,± 0.9%
"Douglas County, Oregon",10.70%,± 0.7%
"Douglas County, South Dakota",6.70%,± 1.7%
"Douglas County, Washington",7%,± 1%
"Douglas County, Wisconsin",6.60%,± 0.7%
"Drew County, Arkansas",11.80%,± 1.8%
"Dubois County, Indiana",6.30%,± 1%
"Dubuque County, Iowa",5.40%,± 0.4%
"Duchesne County, Utah",7%,± 0.7%
"Dukes County, Massachusetts",7%,± 2.3%
"Dundy County, Nebraska",8.70%,± 3%
"Dunklin County, Missouri",12.40%,± 1.1%
"Dunn County, North Dakota",6.50%,± 1.9%
"Dunn County, Wisconsin",4.80%,± 0.5%
"DuPage County, Illinois",4.10%,± 0.2%
"Duplin County, North Carolina",10.80%,± 1.1%
"Durham County, North Carolina",5.30%,± 0.3%
"Dutchess County, New York",6.40%,± 0.4%
"Duval County, Florida",7.20%,± 0.2%
"Duval County, Texas",11.80%,± 2.5%
"Dyer County, Tennessee",10.30%,± 1.1%
"Eagle County, Colorado",2.60%,± 0.9%
"Early County, Georgia",8.80%,± 1.8%
"East Baton Rouge Parish, Louisiana",6.50%,± 0.3%
"East Carroll Parish, Louisiana",9.60%,± 2.5%
"East Feliciana Parish, Louisiana",8.70%,± 1.7%
"Eastland County, Texas",11.50%,± 1.9%
"Eaton County, Michigan",7.20%,± 0.5%
"Eau Claire County, Wisconsin",5.90%,± 0.7%
"Echols County, Georgia",7.80%,± 2.8%
"Ector County, Texas",4.80%,± 0.6%
"Eddy County, New Mexico",8.30%,± 0.8%
"Eddy County, North Dakota",8%,± 2.1%
"Edgar County, Illinois",10.60%,± 1.7%
"Edgecombe County, North Carolina",10%,± 1%
"Edgefield County, South Carolina",7.90%,± 1.2%
"Edmonson County, Kentucky",13%,± 2.3%
"Edmunds County, South Dakota",4.40%,± 2%
"Edwards County, Illinois",9.20%,± 1.4%
"Edwards County, Kansas",7.20%,± 1.7%
"Edwards County, Texas",10.60%,± 5.9%
"Effingham County, Georgia",5.80%,± 0.8%
"Effingham County, Illinois",7.50%,± 0.9%
"El Dorado County, California",5.70%,± 0.4%
"El Paso County, Colorado",5.30%,± 0.2%
"El Paso County, Texas",7.30%,± 0.3%
"Elbert County, Colorado",3.60%,± 0.6%
"Elbert County, Georgia",12.50%,± 1.9%
"Elk County, Kansas",16.20%,± 2.3%
"Elk County, Pennsylvania",6.90%,± 1.1%
"Elkhart County, Indiana",6.40%,± 0.4%
"Elko County, Nevada",5.80%,± 1%
"Elliott County, Kentucky",17.70%,± 3.5%
"Ellis County, Kansas",5.60%,± 1%
"Ellis County, Oklahoma",10.30%,± 1.9%
"Ellis County, Texas",6%,± 0.5%
"Ellsworth County, Kansas",8.10%,± 1.6%
"Elmore County, Alabama",8.40%,± 0.8%
"Elmore County, Idaho",8.60%,± 1.6%
"Emanuel County, Georgia",11.80%,± 1.6%
"Emery County, Utah",8.30%,± 1.4%
"Emmet County, Iowa",7.10%,± 1.5%
"Emmet County, Michigan",6.20%,± 0.8%
"Emmons County, North Dakota",6.30%,± 1.5%
"Emporia city, Virginia",10.50%,± 2.6%
"Erath County, Texas",5.30%,± 0.8%
"Erie County, New York",6.90%,± 0.2%
"Erie County, Ohio",8.20%,± 0.7%
"Erie County, Pennsylvania",7.60%,± 0.4%
"Escambia County, Alabama",12.80%,± 1.2%
"Escambia County, Florida",8.80%,± 0.5%
"Esmeralda County, Nevada",17.30%,± 11.4%
"Essex County, Massachusetts",5.70%,± 0.2%
"Essex County, New Jersey",6%,± 0.3%
"Essex County, New York",8.30%,± 1%
"Essex County, Vermont",12.60%,± 2.1%
"Essex County, Virginia",9.70%,± 2.9%
"Estill County, Kentucky",16.80%,± 2.1%
"Etowah County, Alabama",10.70%,± 0.8%
"Eureka County, Nevada",9.10%,± 5.6%
"Evangeline Parish, Louisiana",14.50%,± 1.7%
"Evans County, Georgia",8.30%,± 1.6%
"Fairbanks North Star Borough, Alaska",5.90%,± 1%
"Fairfax city, Virginia",2.60%,± 0.8%
"Fairfax County, Virginia",3.50%,± 0.1%
"Fairfield County, Ohio",7.30%,± 0.5%
"Fairfield County, South Carolina",10.40%,± 1.5%
"Fajardo Municipio, Puerto Rico",13.20%,± 1.5%
"Fall River County, South Dakota",11.20%,± 2.4%
"Fallon County, Montana",7.30%,± 2.8%
"Falls Church city, Virginia",2.60%,± 0.9%
"Falls County, Texas",10.10%,± 2.1%
"Fannin County, Georgia",12.60%,± 2.2%
"Fannin County, Texas",8.30%,± 0.9%
"Faribault County, Minnesota",6.30%,± 0.6%
"Faulk County, South Dakota",7.30%,± 5.3%
"Faulkner County, Arkansas",7.10%,± 0.6%
"Fauquier County, Virginia",4.60%,± 0.6%
"Fayette County, Alabama",15.70%,± 2%
"Fayette County, Georgia",5%,± 0.5%
"Fayette County, Illinois",9.90%,± 1.4%
"Fayette County, Indiana",10.50%,± 1.5%
"Fayette County, Iowa",8.20%,± 1.3%
"Fayette County, Kentucky",6%,± 0.3%
"Fayette County, Ohio",10.30%,± 1.5%
"Fayette County, Pennsylvania",11.10%,± 0.7%
"Fayette County, Tennessee",9.10%,± 0.9%
"Fayette County, Texas",7.40%,± 1.3%
"Fayette County, West Virginia",14.20%,± 1.3%
"Fentress County, Tennessee",11.50%,± 1.8%
"Fergus County, Montana",8.20%,± 2%
"Ferry County, Washington",15.70%,± 3.1%
"Fillmore County, Minnesota",5.50%,± 0.7%
"Fillmore County, Nebraska",7.60%,± 1.7%
"Finney County, Kansas",6.90%,± 1.1%
"Fisher County, Texas",11.30%,± 2.4%
"Flagler County, Florida",8%,± 0.8%
"Flathead County, Montana",5.30%,± 0.7%
"Fleming County, Kentucky",10.90%,± 2.4%
"Florence County, South Carolina",7.20%,± 0.6%
"Florence County, Wisconsin",9.60%,± 2.6%
"Florida Municipio, Puerto Rico",13%,± 2.5%
"Floyd County, Georgia",9%,± 0.8%
"Floyd County, Indiana",7.70%,± 0.6%
"Floyd County, Iowa",6.70%,± 1.3%
"Floyd County, Kentucky",16.30%,± 1.7%
"Floyd County, Texas",12%,± 2.4%
"Floyd County, Virginia",6.90%,± 1.5%
"Fluvanna County, Virginia",6.20%,± 1.2%
"Foard County, Texas",11.70%,± 7%
"Fond du Lac County, Wisconsin",6%,± 0.5%
"Ford County, Illinois",7.40%,± 1.4%
"Ford County, Kansas",6.20%,± 1.2%
"Forest County, Pennsylvania",13.50%,± 2%
"Forest County, Wisconsin",8%,± 1%
"Forrest County, Mississippi",11%,± 1.1%
"Forsyth County, Georgia",3.60%,± 0.3%
"Forsyth County, North Carolina",6.50%,± 0.4%
"Fort Bend County, Texas",3.70%,± 0.2%
"Foster County, North Dakota",3.90%,± 1.7%
"Fountain County, Indiana",10.90%,± 1.6%
"Franklin city, Virginia",10.40%,± 2.3%
"Franklin County, Alabama",9.90%,± 1.3%
"Franklin County, Arkansas",11.70%,± 1.7%
"Franklin County, Florida",10.80%,± 2.3%
"Franklin County, Georgia",9.40%,± 1.5%
"Franklin County, Idaho",6.70%,± 1.8%
"Franklin County, Illinois",11.80%,± 1.1%
"Franklin County, Indiana",7.20%,± 1%
"Franklin County, Iowa",3.80%,± 0.8%
"Franklin County, Kansas",7.50%,± 1%
"Franklin County, Kentucky",9.70%,± 1.1%
"Franklin County, Maine",7.80%,± 0.9%
"Franklin County, Massachusetts",7.60%,± 0.7%
"Franklin County, Mississippi",14%,± 2.3%
"Franklin County, Missouri",7.60%,± 0.7%
"Franklin County, Nebraska",8.70%,± 2%
"Franklin County, New York",8.50%,± 1%
"Franklin County, North Carolina",9.30%,± 1%
"Franklin County, Ohio",5.60%,± 0.2%
"Franklin County, Pennsylvania",7.90%,± 0.7%
"Franklin County, Tennessee",9.80%,± 1%
"Franklin County, Texas",7.50%,± 1.7%
"Franklin County, Vermont",6.70%,± 0.9%
"Franklin County, Virginia",7.90%,± 1.1%
"Franklin County, Washington",5.80%,± 0.7%
"Franklin Parish, Louisiana",10.70%,± 1.5%
"Frederick County, Maryland",4.90%,± 0.4%
"Frederick County, Virginia",6.50%,± 0.7%
"Fredericksburg city, Virginia",5.20%,± 1.2%
"Freeborn County, Minnesota",6.50%,± 0.9%
"Freestone County, Texas",10.80%,± 1.5%
"Fremont County, Colorado",10.90%,± 1.4%
"Fremont County, Idaho",7.10%,± 1.6%
"Fremont County, Iowa",8.10%,± 1.2%
"Fremont County, Wyoming",8.10%,± 0.9%
"Fresno County, California",6.80%,± 0.2%
"Frio County, Texas",6.70%,± 2%
"Frontier County, Nebraska",10.70%,± 2.4%
"Fulton County, Arkansas",16.50%,± 2.7%
"Fulton County, Georgia",5.10%,± 0.2%
"Fulton County, Illinois",7%,± 0.8%
"Fulton County, Indiana",8.40%,± 1.4%
"Fulton County, Kentucky",12.90%,± 2.9%
"Fulton County, New York",9%,± 0.9%
"Fulton County, Ohio",8.10%,± 1.1%
"Fulton County, Pennsylvania",9.10%,± 1%
"Furnas County, Nebraska",11%,± 1.7%
"Gadsden County, Florida",8.40%,± 1.2%
"Gage County, Nebraska",7.60%,± 1%
"Gaines County, Texas",7.10%,± 1.5%
"Galax city, Virginia",8.30%,± 2%
"Gallatin County, Illinois",14%,± 2.5%
"Gallatin County, Kentucky",10.10%,± 2.3%
"Gallatin County, Montana",3.70%,± 0.6%
"Gallia County, Ohio",10.90%,± 1.3%
"Galveston County, Texas",6.70%,± 0.4%
"Garden County, Nebraska",10.60%,± 2.5%
"Garfield County, Colorado",4.20%,± 0.7%
"Garfield County, Montana",5.20%,± 2.9%
"Garfield County, Nebraska",6.70%,± 2.6%
"Garfield County, Oklahoma",8.80%,± 1%
"Garfield County, Utah",5.90%,± 1.6%
"Garfield County, Washington",11.10%,± 3.4%
"Garland County, Arkansas",12.90%,± 1%
"Garrard County, Kentucky",9.60%,± 1.6%
"Garrett County, Maryland",9.60%,± 1.2%
"Garvin County, Oklahoma",8.30%,± 0.8%
"Garza County, Texas",15.20%,± 4.1%
"Gasconade County, Missouri",9.20%,± 1.5%
"Gaston County, North Carolina",8.60%,± 0.5%
"Gates County, North Carolina",13.60%,± 2.8%
"Geary County, Kansas",6.50%,± 1.1%
"Geauga County, Ohio",5%,± 0.6%
"Gem County, Idaho",11.10%,± 1.9%
"Genesee County, Michigan",9.70%,± 0.4%
"Genesee County, New York",7.80%,± 0.9%
"Geneva County, Alabama",13.20%,± 1.6%
"Gentry County, Missouri",8.40%,± 1.4%
"George County, Mississippi",11.10%,± 1.8%
"Georgetown County, South Carolina",9.40%,± 1.2%
"Gibson County, Indiana",8.10%,± 1%
"Gibson County, Tennessee",10.30%,± 1.1%
"Gila County, Arizona",12.50%,± 1.2%
"Gilchrist County, Florida",10.40%,± 1.8%
"Giles County, Tennessee",9.50%,± 1.4%
"Giles County, Virginia",7.60%,± 1.6%
"Gillespie County, Texas",7.40%,± 1.4%
"Gilliam County, Oregon",9%,± 3.3%
"Gilmer County, Georgia",10.50%,± 1.3%
"Gilmer County, West Virginia",10.10%,± 2.4%
"Gilpin County, Colorado",6.50%,± 3%
"Glacier County, Montana",8.70%,± 2.1%
"Glades County, Florida",11.20%,± 2.4%
"Gladwin County, Michigan",11.80%,± 0.9%
"Glascock County, Georgia",7.60%,± 2.2%
"Glasscock County, Texas",2.70%,± 2%
"Glenn County, California",7.10%,± 1.1%
"Gloucester County, New Jersey",6.70%,± 0.4%
"Gloucester County, Virginia",10.10%,± 1.3%
"Glynn County, Georgia",7.60%,± 0.8%
"Gogebic County, Michigan",9.30%,± 1.6%
"Golden Valley County, Montana",9.80%,± 2.7%
"Golden Valley County, North Dakota",13.60%,± 4.2%
"Goliad County, Texas",9.70%,± 2.2%
"Gonzales County, Texas",9.40%,± 1.5%
"Goochland County, Virginia",5.80%,± 1.2%
"Goodhue County, Minnesota",5%,± 0.5%
"Gooding County, Idaho",10.30%,± 1.7%
"Gordon County, Georgia",7.50%,± 1%
"Goshen County, Wyoming",9.60%,± 2%
"Gosper County, Nebraska",6.20%,± 2.2%
"Gove County, Kansas",8%,± 1.6%
"Grady County, Georgia",10.40%,± 1.3%
"Grady County, Oklahoma",10.40%,± 0.7%
"Grafton County, New Hampshire",5.80%,± 0.6%
"Graham County, Arizona",7.60%,± 1%
"Graham County, Kansas",9.50%,± 2.4%
"Graham County, North Carolina",11.10%,± 2.8%
"Grainger County, Tennessee",13.10%,± 1.7%
"Grand County, Colorado",3.40%,± 1.4%
"Grand County, Utah",3.80%,± 1.5%
"Grand Forks County, North Dakota",4%,± 0.5%
"Grand Isle County, Vermont",6.30%,± 1.6%
"Grand Traverse County, Michigan",5.30%,± 0.6%
"Granite County, Montana",11.50%,± 3.3%
"Grant County, Arkansas",11.20%,± 1.9%
"Grant County, Indiana",11.20%,± 1%
"Grant County, Kansas",2.30%,± 1.9%
"Grant County, Kentucky",8%,± 1.5%
"Grant County, Minnesota",8.20%,± 1.3%
"Grant County, Nebraska",5.10%,± 2.9%
"Grant County, New Mexico",11.20%,± 1.6%
"Grant County, North Dakota",7.30%,± 1.6%
"Grant County, Oklahoma",10.30%,± 2.2%
"Grant County, Oregon",12.20%,± 2%
"Grant County, South Dakota",7%,± 2.2%
"Grant County, Washington",6.80%,± 0.7%
"Grant County, West Virginia",7.60%,± 1.6%
"Grant County, Wisconsin",4.80%,± 0.5%
"Grant Parish, Louisiana",9.30%,± 1.8%
"Granville County, North Carolina",8.40%,± 1%
"Gratiot County, Michigan",7.80%,± 0.9%
"Graves County, Kentucky",11.10%,± 1.1%
"Gray County, Kansas",3.60%,± 1.1%
"Gray County, Texas",7.60%,± 1.4%
"Grays Harbor County, Washington",10.50%,± 0.9%
"Grayson County, Kentucky",11.20%,± 1.3%
"Grayson County, Texas",7.50%,± 0.5%
"Grayson County, Virginia",11.30%,± 1.6%
"Greater Bridgeport Planning Region, Connecticut",6.40%,± 0.4%
"Greeley County, Kansas",7%,± 2.3%
"Greeley County, Nebraska",6.60%,± 1.4%
"Green County, Kentucky",14.50%,± 1.6%
"Green County, Wisconsin",5.70%,± 0.7%
"Green Lake County, Wisconsin",7.80%,± 1.1%
"Greenbrier County, West Virginia",10.90%,± 1.3%
"Greene County, Alabama",16.10%,± 4%
"Greene County, Arkansas",11.20%,± 1.2%
"Greene County, Georgia",6.60%,± 1.1%
"Greene County, Illinois",10.60%,± 1.9%
"Greene County, Indiana",10.30%,± 1%
"Greene County, Iowa",9.90%,± 1.8%
"Greene County, Mississippi",15.20%,± 3.1%
"Greene County, Missouri",7.70%,± 0.4%
"Greene County, New York",7.70%,± 0.9%
