Geography,Unemployment rate—Population 16 years and over—Estimate,MoE
"Clay County, North Carolina",4%,± 2.5%
"Clay County, South Dakota",8.20%,± 2.7%
"Clay County, Tennessee",5.50%,± 3.7%
"Clay County, Texas",1.80%,± 1.1%
"Clay County, West Virginia",11.20%,± 5.5%
"Clayton County, Georgia",6.80%,± 0.7%
"Clayton County, Iowa",2.60%,± 0.9%
"Clear Creek County, Colorado",4.70%,± 2.1%
"Clearfield County, Pennsylvania",6%,± 0.8%
"Clearwater County, Idaho",4.40%,± 1.7%
"Clearwater County, Minnesota",7.60%,± 1.5%
"Cleburne County, Alabama",2.60%,± 1.4%
"Cleburne County, Arkansas",6%,± 1.5%
"Clermont County, Ohio",4.10%,± 0.6%
"Cleveland County, Arkansas",0.80%,± 0.8%
"Cleveland County, North Carolina",6.40%,± 1.1%
"Cleveland County, Oklahoma",4.70%,± 0.5%
"Clinch County, Georgia",2.60%,± 2.5%
"Clinton County, Illinois",3%,± 0.8%
"Clinton County, Indiana",3.40%,± 1%
"Clinton County, Iowa",4.40%,± 0.9%
"Clinton County, Kentucky",5.60%,± 2%
"Clinton County, Michigan",3.70%,± 0.8%
"Clinton County, Missouri",6.10%,± 2%
"Clinton County, New York",4.70%,± 0.8%
"Clinton County, Ohio",4.70%,± 1.4%
"Clinton County, Pennsylvania",5.30%,± 0.9%
"Cloud County, Kansas",4.70%,± 2.4%
"Coahoma County, Mississippi",10.80%,± 2.4%
"Coal County, Oklahoma",5.60%,± 2%
"Coamo Municipio, Puerto Rico",7.40%,± 2.4%
"Cobb County, Georgia",4.60%,± 0.3%
"Cochise County, Arizona",6.80%,± 1%
"Cochran County, Texas",7.10%,± 3.1%
"Cocke County, Tennessee",6.20%,± 1.5%
"Coconino County, Arizona",7%,± 0.7%
"Codington County, South Dakota",1.50%,± 0.8%
"Coffee County, Alabama",4.80%,± 1%
"Coffee County, Georgia",4.30%,± 1.7%
"Coffee County, Tennessee",4.60%,± 1.3%
"Coffey County, Kansas",5.30%,± 1.9%
"Coke County, Texas",3%,± 2.7%
"Colbert County, Alabama",3.40%,± 0.7%
"Cole County, Missouri",3.10%,± 0.9%
"Coleman County, Texas",6.30%,± 3.6%
"Coles County, Illinois",6.90%,± 1.3%
"Colfax County, Nebraska",1.70%,± 1.4%
"Colfax County, New Mexico",3.20%,± 1.7%
"Colleton County, South Carolina",8.60%,± 2.5%
"Collier County, Florida",4.30%,± 0.7%
"Collin County, Texas",4.20%,± 0.3%
"Collingsworth County, Texas",2.80%,± 3%
"Colonial Heights city, Virginia",6.10%,± 2.3%
"Colorado County, Texas",5.70%,± 1.8%
"Colquitt County, Georgia",6.10%,± 1.6%
"Columbia County, Arkansas",3.20%,± 1.6%
"Columbia County, Florida",6.90%,± 1.3%
"Columbia County, Georgia",5.10%,± 1%
"Columbia County, New York",5.90%,± 0.9%
"Columbia County, Oregon",4.50%,± 0.9%
"Columbia County, Pennsylvania",4.80%,± 0.9%
"Columbia County, Washington",3.50%,± 2.6%
"Columbia County, Wisconsin",3.20%,± 0.7%
"Columbiana County, Ohio",4.90%,± 0.8%
"Columbus County, North Carolina",5.80%,± 1.6%
"Colusa County, California",7.40%,± 2.1%
"Comal County, Texas",3.70%,± 0.6%
"Comanche County, Kansas",3.80%,± 2.6%
"Comanche County, Oklahoma",6.60%,± 0.9%
"Comanche County, Texas",7.30%,± 2.3%
"Comerío Municipio, Puerto Rico",12.70%,± 4.7%
"Concho County, Texas",2.30%,± 2.2%
"Concordia Parish, Louisiana",12%,± 3.8%
"Conecuh County, Alabama",4.40%,± 2.2%
"Conejos County, Colorado",7.20%,± 2.3%
"Contra Costa County, California",5.80%,± 0.3%
"Converse County, Wyoming",4.30%,± 2.3%
"Conway County, Arkansas",7.10%,± 1.7%
"Cook County, Georgia",5.50%,± 2.3%
"Cook County, Illinois",7.10%,± 0.1%
"Cook County, Minnesota",3.10%,± 1.4%
"Cooke County, Texas",3.90%,± 1%
"Cooper County, Missouri",5%,± 1.7%
"Coos County, New Hampshire",4.20%,± 1%
"Coos County, Oregon",5.80%,± 1.1%
"Coosa County, Alabama",4.40%,± 3%
"Copiah County, Mississippi",5.20%,± 2.5%
"Copper River Census Area, Alaska",6.50%,± 3.2%
"Corozal Municipio, Puerto Rico",15.20%,± 3.2%
"Corson County, South Dakota",24.60%,± 3.1%
"Cortland County, New York",5.40%,± 0.9%
"Coryell County, Texas",7.10%,± 1.2%
"Coshocton County, Ohio",6.10%,± 1.8%
"Costilla County, Colorado",6.60%,± 4.4%
"Cottle County, Texas",4.10%,± 5.1%
"Cotton County, Oklahoma",2.20%,± 1.1%
"Cottonwood County, Minnesota",3.90%,± 1.3%
"Covington city, Virginia",2.60%,± 2.9%
"Covington County, Alabama",5.50%,± 1.5%
"Covington County, Mississippi",5.80%,± 2.6%
"Coweta County, Georgia",2.80%,± 0.6%
"Cowley County, Kansas",5.30%,± 1.4%
"Cowlitz County, Washington",5.50%,± 1.1%
"Craig County, Oklahoma",4.60%,± 1.5%
"Craig County, Virginia",1.90%,± 2.1%
"Craighead County, Arkansas",5.90%,± 1%
"Crane County, Texas",3%,± 2.3%
"Craven County, North Carolina",5.10%,± 0.9%
"Crawford County, Arkansas",5.30%,± 1.2%
"Crawford County, Georgia",8.10%,± 3.4%
"Crawford County, Illinois",3.30%,± 1%
"Crawford County, Indiana",3.60%,± 1.7%
"Crawford County, Iowa",4.10%,± 2.1%
"Crawford County, Kansas",3.90%,± 0.8%
"Crawford County, Michigan",6.10%,± 1.7%
"Crawford County, Missouri",6.90%,± 1.9%
"Crawford County, Ohio",5.50%,± 1.2%
"Crawford County, Pennsylvania",5.60%,± 0.8%
"Crawford County, Wisconsin",2.80%,± 0.6%
"Creek County, Oklahoma",3.70%,± 0.6%
"Crenshaw County, Alabama",6.10%,± 2.6%
"Crisp County, Georgia",8.20%,± 3.4%
"Crittenden County, Arkansas",10.40%,± 1.7%
"Crittenden County, Kentucky",3.40%,± 2.1%
"Crockett County, Tennessee",3.80%,± 1.4%
"Crockett County, Texas",2%,± 2.8%
"Crook County, Oregon",4.10%,± 1.5%
"Crook County, Wyoming",1%,± 1.3%
"Crosby County, Texas",4.90%,± 2%
"Cross County, Arkansas",8.10%,± 2%
"Crow Wing County, Minnesota",5%,± 0.8%
"Crowley County, Colorado",7.20%,± 5.2%
"Culberson County, Texas",10.10%,± 14.6%
"Culebra Municipio, Puerto Rico",3.20%,± 3.4%
"Cullman County, Alabama",4.30%,± 0.9%
"Culpeper County, Virginia",3.90%,± 0.9%
"Cumberland County, Illinois",1.90%,± 1.1%
"Cumberland County, Kentucky",3.80%,± 2.3%
"Cumberland County, Maine",3.20%,± 0.4%
"Cumberland County, New Jersey",7.80%,± 1%
"Cumberland County, North Carolina",7.90%,± 0.6%
"Cumberland County, Pennsylvania",3.70%,± 0.4%
"Cumberland County, Tennessee",5.70%,± 1.1%
"Cumberland County, Virginia",3.20%,± 1.7%
"Cuming County, Nebraska",2.60%,± 1.3%
"Currituck County, North Carolina",3.20%,± 1.3%
"Curry County, New Mexico",7.90%,± 1.7%
"Curry County, Oregon",7.20%,± 2.5%
"Custer County, Colorado",4.90%,± 3.6%
"Custer County, Idaho",1.70%,± 2.4%
"Custer County, Montana",3.30%,± 1.3%
"Custer County, Nebraska",1.60%,± 1.1%
"Custer County, Oklahoma",2.90%,± 1%
"Custer County, South Dakota",3%,± 1.6%
"Cuyahoga County, Ohio",7.20%,± 0.4%
"Dade County, Georgia",5.50%,± 2.1%
"Dade County, Missouri",5.70%,± 2.4%
"Daggett County, Utah",3.50%,± 4.4%
"Dakota County, Minnesota",3.70%,± 0.3%
"Dakota County, Nebraska",3%,± 1.1%
"Dale County, Alabama",7.80%,± 1.4%
"Dallam County, Texas",2.60%,± 2.5%
"Dallas County, Alabama",9.10%,± 2.1%
"Dallas County, Arkansas",6%,± 3.2%
"Dallas County, Iowa",3%,± 0.7%
"Dallas County, Missouri",4.90%,± 2.3%
"Dallas County, Texas",4.90%,± 0.2%
"Dane County, Wisconsin",2.30%,± 0.2%
"Daniels County, Montana",1.50%,± 1.2%
"Danville city, Virginia",5.80%,± 1.3%
"Dare County, North Carolina",5.10%,± 1.3%
"Darke County, Ohio",2.60%,± 0.8%
"Darlington County, South Carolina",6.50%,± 1.2%
"Dauphin County, Pennsylvania",4.30%,± 0.5%
"Davidson County, North Carolina",4.30%,± 0.7%
"Davidson County, Tennessee",4.60%,± 0.4%
"Davie County, North Carolina",4.60%,± 1.4%
"Daviess County, Indiana",1.90%,± 0.8%
"Daviess County, Kentucky",4.10%,± 0.8%
"Daviess County, Missouri",2%,± 1%
"Davis County, Iowa",2%,± 1.3%
"Davis County, Utah",2.50%,± 0.3%
"Davison County, South Dakota",1.40%,± 0.8%
"Dawes County, Nebraska",1.50%,± 1.1%
"Dawson County, Georgia",4.60%,± 1.4%
"Dawson County, Montana",3%,± 1.7%
"Dawson County, Nebraska",2.10%,± 0.9%
"Dawson County, Texas",9.50%,± 3.4%
"Day County, South Dakota",2.60%,± 1.1%
"De Baca County, New Mexico",8.50%,± 8.2%
"De Soto Parish, Louisiana",6.90%,± 2.2%
"De Witt County, Illinois",5.40%,± 1.6%
"Deaf Smith County, Texas",2.10%,± 1.4%
"Dearborn County, Indiana",2.10%,± 0.7%
"Decatur County, Georgia",6.40%,± 2.6%
"Decatur County, Indiana",3.10%,± 0.9%
"Decatur County, Iowa",4.20%,± 1.6%
"Decatur County, Kansas",4.90%,± 3.2%
"Decatur County, Tennessee",7.90%,± 3.6%
"Deer Lodge County, Montana",3.80%,± 2.1%
"Defiance County, Ohio",4.90%,± 0.9%
"DeKalb County, Alabama",3.90%,± 1.1%
"DeKalb County, Georgia",6.40%,± 0.5%
"DeKalb County, Illinois",7%,± 1.4%
"DeKalb County, Indiana",4.30%,± 1.1%
"DeKalb County, Missouri",3.10%,± 1.4%
"DeKalb County, Tennessee",5%,± 1.6%
"Del Norte County, California",6.30%,± 1.5%
"Delaware County, Indiana",6.10%,± 0.9%
"Delaware County, Iowa",2.20%,± 0.9%
"Delaware County, New York",6.10%,± 1.1%
"Delaware County, Ohio",3%,± 0.4%
"Delaware County, Oklahoma",5.20%,± 0.8%
"Delaware County, Pennsylvania",6.80%,± 0.4%
"Delta County, Colorado",4.40%,± 1.5%
"Delta County, Michigan",5.20%,± 1.3%
"Delta County, Texas",6.40%,± 3.9%
"Denali Borough, Alaska",1.90%,± 1.8%
"Dent County, Missouri",4.80%,± 1.9%
"Denton County, Texas",4%,± 0.3%
"Denver County, Colorado",4.70%,± 0.3%
"Des Moines County, Iowa",2.90%,± 0.8%
"Deschutes County, Oregon",5.20%,± 0.7%
"Desha County, Arkansas",5.20%,± 1.8%
"DeSoto County, Florida",9.70%,± 4%
"DeSoto County, Mississippi",4.40%,± 0.6%
"Deuel County, Nebraska",3.80%,± 2.5%
"Deuel County, South Dakota",2%,± 1.1%
"Dewey County, Oklahoma",5.20%,± 2.3%
"Dewey County, South Dakota",14.60%,± 3.3%
"DeWitt County, Texas",5.20%,± 1.9%
"Dickens County, Texas",9.70%,± 6.1%
"Dickenson County, Virginia",3.40%,± 1.8%
"Dickey County, North Dakota",3.10%,± 1.9%
"Dickinson County, Iowa",2.10%,± 1%
"Dickinson County, Kansas",3%,± 1%
"Dickinson County, Michigan",3.80%,± 1.3%
"Dickson County, Tennessee",3.80%,± 1.1%
"Dillingham Census Area, Alaska",11.30%,± 2.9%
"Dillon County, South Carolina",7.20%,± 1.9%
"Dimmit County, Texas",4.70%,± 3.7%
"Dinwiddie County, Virginia",4.70%,± 1.4%
"District of Columbia, District of Columbia",7.10%,± 0.4%
"Divide County, North Dakota",3.20%,± 2.8%
"Dixie County, Florida",5.10%,± 1.8%
"Dixon County, Nebraska",2.90%,± 1.3%
"Doddridge County, West Virginia",4.30%,± 3%
"Dodge County, Georgia",2.90%,± 1.2%
"Dodge County, Minnesota",2.90%,± 0.9%
"Dodge County, Nebraska",4.10%,± 0.9%
"Dodge County, Wisconsin",4.10%,± 0.7%
"Dolores County, Colorado",3.10%,± 2.4%
"Doña Ana County, New Mexico",6.80%,± 0.8%
"Doniphan County, Kansas",1.60%,± 0.9%
"Donley County, Texas",0%,± 3.5%
"Dooly County, Georgia",7.50%,± 3%
"Door County, Wisconsin",3.70%,± 1%
"Dorado Municipio, Puerto Rico",14.20%,± 2.7%
"Dorchester County, Maryland",5.50%,± 1.4%
"Dorchester County, South Carolina",5.50%,± 0.8%
"Dougherty County, Georgia",10%,± 1.5%
"Douglas County, Colorado",3.40%,± 0.4%
"Douglas County, Georgia",6.60%,± 1%
"Douglas County, Illinois",3%,± 0.8%
"Douglas County, Kansas",4.80%,± 0.8%
"Douglas County, Minnesota",3.10%,± 0.7%
"Douglas County, Missouri",6.50%,± 2.3%
"Douglas County, Nebraska",3.80%,± 0.3%
"Douglas County, Nevada",3.10%,± 0.8%
"Douglas County, Oregon",6.10%,± 0.8%
"Douglas County, South Dakota",0.60%,± 0.7%
"Douglas County, Washington",4.30%,± 1.4%
"Douglas County, Wisconsin",3.70%,± 0.7%
"Drew County, Arkansas",3.20%,± 2%
"Dubois County, Indiana",1.90%,± 0.9%
"Dubuque County, Iowa",4.10%,± 0.7%
"Duchesne County, Utah",4.30%,± 1.3%
"Dukes County, Massachusetts",7%,± 2.3%
"Dundy County, Nebraska",0.20%,± 0.7%
"Dunklin County, Missouri",5.70%,± 1.7%
"Dunn County, North Dakota",2.40%,± 1.3%
"Dunn County, Wisconsin",3.70%,± 0.9%
"DuPage County, Illinois",4.70%,± 0.3%
"Duplin County, North Carolina",5.40%,± 1.1%
"Durham County, North Carolina",4.30%,± 0.5%
"Dutchess County, New York",5%,± 0.5%
"Duval County, Florida",4.70%,± 0.3%
"Duval County, Texas",8.40%,± 4.5%
"Dyer County, Tennessee",4.50%,± 1.4%
"Eagle County, Colorado",4.40%,± 1.4%
"Early County, Georgia",6%,± 2.6%
"East Baton Rouge Parish, Louisiana",7.10%,± 0.6%
"East Carroll Parish, Louisiana",15.10%,± 7.8%
"East Feliciana Parish, Louisiana",5.50%,± 2.7%
"Eastland County, Texas",4.90%,± 1.8%
"Eaton County, Michigan",4.80%,± 0.6%
"Eau Claire County, Wisconsin",3.20%,± 0.5%
"Echols County, Georgia",2%,± 2.3%
"Ector County, Texas",5.80%,± 0.9%
"Eddy County, New Mexico",4.20%,± 1.3%
"Eddy County, North Dakota",2.30%,± 1.6%
"Edgar County, Illinois",4.60%,± 1.5%
"Edgecombe County, North Carolina",8.60%,± 2.4%
"Edgefield County, South Carolina",6.20%,± 1.5%
"Edmonson County, Kentucky",6.80%,± 3.1%
"Edmunds County, South Dakota",2.10%,± 1.4%
"Edwards County, Illinois",6.70%,± 2.7%
"Edwards County, Kansas",3.90%,± 2.3%
"Edwards County, Texas",0%,± 6.6%
"Effingham County, Georgia",5.30%,± 1.5%
"Effingham County, Illinois",2.50%,± 0.6%
"El Dorado County, California",4.60%,± 0.5%
"El Paso County, Colorado",5.70%,± 0.3%
"El Paso County, Texas",6.80%,± 0.5%
"Elbert County, Colorado",2.30%,± 0.8%
"Elbert County, Georgia",7.50%,± 2.4%
"Elk County, Kansas",3.80%,± 2.4%
"Elk County, Pennsylvania",6.50%,± 1.8%
"Elkhart County, Indiana",3.80%,± 0.6%
"Elko County, Nevada",4.70%,± 1.3%
"Elliott County, Kentucky",6%,± 4.2%
"Ellis County, Kansas",3.30%,± 1.1%
"Ellis County, Oklahoma",8.80%,± 3.5%
"Ellis County, Texas",3.90%,± 0.6%
"Ellsworth County, Kansas",3.50%,± 1.6%
"Elmore County, Alabama",4.20%,± 0.8%
"Elmore County, Idaho",6.40%,± 2.1%
"Emanuel County, Georgia",8.90%,± 2.3%
"Emery County, Utah",3.60%,± 1.8%
"Emmet County, Iowa",2.10%,± 0.9%
"Emmet County, Michigan",3.80%,± 0.7%
"Emmons County, North Dakota",1.40%,± 0.9%
"Emporia city, Virginia",7%,± 4.2%
"Erath County, Texas",5.60%,± 1.6%
"Erie County, New York",5%,± 0.3%
"Erie County, Ohio",6.10%,± 0.9%
"Erie County, Pennsylvania",5.50%,± 0.6%
"Escambia County, Alabama",9.20%,± 2.8%
"Escambia County, Florida",6.20%,± 0.6%
"Esmeralda County, Nevada",4.70%,± 4.3%
"Essex County, Massachusetts",5.30%,± 0.3%
"Essex County, New Jersey",8.50%,± 0.4%
"Essex County, New York",5.10%,± 1%
"Essex County, Vermont",5.40%,± 2%
"Essex County, Virginia",9.90%,± 4.9%
"Estill County, Kentucky",8.70%,± 2.9%
"Etowah County, Alabama",6%,± 1.1%
"Eureka County, Nevada",0%,± 7.1%
"Evangeline Parish, Louisiana",14%,± 2.6%
"Evans County, Georgia",6.80%,± 3%
"Fairbanks North Star Borough, Alaska",5.50%,± 1.2%
"Fairfax city, Virginia",3.70%,± 1.1%
"Fairfax County, Virginia",4.10%,± 0.2%
"Fairfield County, Ohio",3.70%,± 0.6%
"Fairfield County, South Carolina",6.90%,± 2.2%
"Fajardo Municipio, Puerto Rico",22.60%,± 3.2%
"Fall River County, South Dakota",2.70%,± 1.8%
"Fallon County, Montana",0%,± 1.9%
"Falls Church city, Virginia",6%,± 2.4%
"Falls County, Texas",7.40%,± 3.2%
"Fannin County, Georgia",5.40%,± 1.8%
"Fannin County, Texas",4.70%,± 1.3%
"Faribault County, Minnesota",4.30%,± 1.1%
"Faulk County, South Dakota",3.70%,± 3.5%
"Faulkner County, Arkansas",3.30%,± 0.6%
"Fauquier County, Virginia",2.30%,± 0.5%
"Fayette County, Alabama",9.60%,± 2.9%
"Fayette County, Georgia",3.90%,± 0.8%
"Fayette County, Illinois",3.80%,± 1.2%
"Fayette County, Indiana",4.50%,± 1.5%
"Fayette County, Iowa",3.70%,± 1.1%
"Fayette County, Kentucky",5%,± 0.6%
"Fayette County, Ohio",4.30%,± 1%
"Fayette County, Pennsylvania",7.20%,± 0.7%
"Fayette County, Tennessee",5.30%,± 1.1%
"Fayette County, Texas",3.50%,± 1.3%
"Fayette County, West Virginia",7.50%,± 1.6%
"Fentress County, Tennessee",5.30%,± 2.2%
"Fergus County, Montana",3.10%,± 1.7%
"Ferry County, Washington",7.60%,± 3.1%
"Fillmore County, Minnesota",3.20%,± 0.6%
"Fillmore County, Nebraska",1%,± 0.7%
"Finney County, Kansas",5.40%,± 1.5%
"Fisher County, Texas",2.90%,± 1.6%
"Flagler County, Florida",3.80%,± 0.7%
"Flathead County, Montana",3.20%,± 0.6%
"Fleming County, Kentucky",8.40%,± 2%
"Florence County, South Carolina",4.50%,± 0.8%
"Florence County, Wisconsin",6%,± 2.5%
"Florida Municipio, Puerto Rico",22.70%,± 6.3%
"Floyd County, Georgia",4.10%,± 0.9%
"Floyd County, Indiana",3.90%,± 0.8%
"Floyd County, Iowa",3.30%,± 1.5%
"Floyd County, Kentucky",6.80%,± 2.4%
"Floyd County, Texas",4.10%,± 2.6%
"Floyd County, Virginia",2.60%,± 1.6%
"Fluvanna County, Virginia",3%,± 1.2%
"Foard County, Texas",5.90%,± 7.6%
"Fond du Lac County, Wisconsin",3.30%,± 0.5%
"Ford County, Illinois",4.70%,± 1.7%
"Ford County, Kansas",3.20%,± 1.3%
"Forest County, Pennsylvania",4.30%,± 1.8%
"Forest County, Wisconsin",4%,± 1%
"Forrest County, Mississippi",7.40%,± 1.1%
"Forsyth County, Georgia",3.70%,± 0.4%
"Forsyth County, North Carolina",5.60%,± 0.5%
"Fort Bend County, Texas",5.20%,± 0.4%
"Foster County, North Dakota",0.20%,± 0.3%
"Fountain County, Indiana",5.20%,± 1.6%
"Franklin city, Virginia",5.30%,± 2.9%
"Franklin County, Alabama",3.80%,± 1.8%
"Franklin County, Arkansas",5.10%,± 2.1%
"Franklin County, Florida",8.90%,± 4.2%
"Franklin County, Georgia",6.20%,± 2.1%
"Franklin County, Idaho",1.10%,± 0.8%
"Franklin County, Illinois",6.70%,± 1.4%
"Franklin County, Indiana",2.10%,± 1%
"Franklin County, Iowa",3.80%,± 1.5%
"Franklin County, Kansas",2.60%,± 0.8%
"Franklin County, Kentucky",4.80%,± 1.1%
"Franklin County, Maine",4.40%,± 1.3%
"Franklin County, Massachusetts",5.70%,± 0.7%
"Franklin County, Mississippi",2.60%,± 2%
"Franklin County, Missouri",4.60%,± 0.8%
"Franklin County, Nebraska",2.50%,± 1.6%
"Franklin County, New York",5.10%,± 1%
"Franklin County, North Carolina",5.90%,± 1.1%
"Franklin County, Ohio",4.70%,± 0.3%
"Franklin County, Pennsylvania",3.40%,± 0.6%
"Franklin County, Tennessee",2.60%,± 0.8%
"Franklin County, Texas",6.50%,± 3.1%
"Franklin County, Vermont",3.30%,± 0.9%
"Franklin County, Virginia",2.80%,± 0.8%
"Franklin County, Washington",5.70%,± 1%
"Franklin Parish, Louisiana",9.20%,± 2.6%
"Frederick County, Maryland",3.70%,± 0.4%
"Frederick County, Virginia",4.20%,± 0.9%
"Fredericksburg city, Virginia",5.20%,± 1.7%
"Freeborn County, Minnesota",4.40%,± 1.1%
"Freestone County, Texas",3.50%,± 2.1%
"Fremont County, Colorado",4.80%,± 1.1%
"Fremont County, Idaho",4.50%,± 1.6%
"Fremont County, Iowa",1.70%,± 0.8%
"Fremont County, Wyoming",8.20%,± 1.3%
"Fresno County, California",8.60%,± 0.4%
"Frio County, Texas",2.60%,± 1.5%
"Frontier County, Nebraska",4.40%,± 2.3%
"Fulton County, Arkansas",1.70%,± 1.2%
"Fulton County, Georgia",5.40%,± 0.4%
"Fulton County, Illinois",6.80%,± 1.1%
"Fulton County, Indiana",7.20%,± 2%
"Fulton County, Kentucky",5.60%,± 3.9%
"Fulton County, New York",4.30%,± 1%
"Fulton County, Ohio",3.50%,± 0.8%
"Fulton County, Pennsylvania",3.70%,± 1%
"Furnas County, Nebraska",1%,± 0.9%
"Gadsden County, Florida",4.30%,± 1.3%
"Gage County, Nebraska",2%,± 0.8%
"Gaines County, Texas",3.40%,± 2.3%
"Galax city, Virginia",4.40%,± 3.1%
"Gallatin County, Illinois",7.80%,± 4.2%
"Gallatin County, Kentucky",3.70%,± 1.7%
"Gallatin County, Montana",2.10%,± 0.4%
"Gallia County, Ohio",4.10%,± 1.9%
"Galveston County, Texas",5.90%,± 0.6%
"Garden County, Nebraska",3.50%,± 2.5%
"Garfield County, Colorado",3.20%,± 0.6%
"Garfield County, Montana",0%,± 5%
"Garfield County, Nebraska",1.10%,± 1.8%
"Garfield County, Oklahoma",4.60%,± 0.9%
"Garfield County, Utah",4.40%,± 2.2%
"Garfield County, Washington",6.50%,± 4.6%
"Garland County, Arkansas",5.70%,± 1.2%
"Garrard County, Kentucky",5.30%,± 2%
"Garrett County, Maryland",4.60%,± 1.3%
"Garvin County, Oklahoma",2.80%,± 0.8%
"Garza County, Texas",9.90%,± 7.6%
"Gasconade County, Missouri",2.10%,± 0.9%
"Gaston County, North Carolina",4.90%,± 0.6%
"Gates County, North Carolina",9.30%,± 3.7%
"Geary County, Kansas",4.50%,± 1.3%
"Geauga County, Ohio",3.10%,± 0.6%
"Gem County, Idaho",2.80%,± 2.4%
"Genesee County, Michigan",8.50%,± 0.5%
"Genesee County, New York",4.70%,± 0.8%
"Geneva County, Alabama",3.90%,± 1.2%
"Gentry County, Missouri",2.90%,± 1%
"George County, Mississippi",10.40%,± 3.6%
"Georgetown County, South Carolina",5%,± 1.4%
"Gibson County, Indiana",2.80%,± 1%
"Gibson County, Tennessee",5.40%,± 1.4%
"Gila County, Arizona",6.90%,± 1.6%
"Gilchrist County, Florida",3.10%,± 1.2%
"Giles County, Tennessee",5.10%,± 1.5%
"Giles County, Virginia",2.20%,± 1.1%
"Gillespie County, Texas",3.50%,± 1.5%
"Gilliam County, Oregon",6.30%,± 3.4%
"Gilmer County, Georgia",2.40%,± 1%
"Gilmer County, West Virginia",7.10%,± 4.1%
"Gilpin County, Colorado",2.10%,± 1.6%
"Glacier County, Montana",7.90%,± 2.5%
"Glades County, Florida",5.40%,± 3%
"Gladwin County, Michigan",6.90%,± 1.4%
"Glascock County, Georgia",1.60%,± 1.5%
"Glasscock County, Texas",1.30%,± 2%
"Glenn County, California",7.70%,± 1.6%
"Gloucester County, New Jersey",5.20%,± 0.5%
"Gloucester County, Virginia",3.40%,± 1.2%
"Glynn County, Georgia",4.30%,± 0.9%
"Gogebic County, Michigan",6%,± 1.8%
"Golden Valley County, Montana",1.30%,± 1.1%
"Golden Valley County, North Dakota",5.40%,± 3.2%
"Goliad County, Texas",4.80%,± 2.8%
"Gonzales County, Texas",1%,± 0.6%
"Goochland County, Virginia",2.40%,± 1.1%
"Goodhue County, Minnesota",4%,± 0.8%
"Gooding County, Idaho",3.50%,± 1.7%
"Gordon County, Georgia",3%,± 1.1%
"Goshen County, Wyoming",2.60%,± 1.3%
"Gosper County, Nebraska",1.50%,± 1.2%
"Gove County, Kansas",3.30%,± 2.1%
"Grady County, Georgia",4.40%,± 1.6%
"Grady County, Oklahoma",5%,± 1.1%
"Grafton County, New Hampshire",2.80%,± 0.5%
"Graham County, Arizona",6%,± 1.5%
"Graham County, Kansas",6.10%,± 3.5%
"Graham County, North Carolina",7.70%,± 3.5%
"Grainger County, Tennessee",5.80%,± 2.4%
"Grand County, Colorado",4.60%,± 2%
"Grand County, Utah",1.20%,± 1.5%
"Grand Forks County, North Dakota",3.40%,± 0.7%
"Grand Isle County, Vermont",3.50%,± 1.5%
"Grand Traverse County, Michigan",3.90%,± 0.7%
"Granite County, Montana",5.70%,± 3.1%
"Grant County, Arkansas",3.30%,± 1.2%
"Grant County, Indiana",7.30%,± 1.3%
"Grant County, Kansas",3.60%,± 2.2%
"Grant County, Kentucky",4.50%,± 1.9%
"Grant County, Minnesota",3.70%,± 1.3%
"Grant County, Nebraska",1.40%,± 1.7%
"Grant County, New Mexico",7.70%,± 2.4%
"Grant County, North Dakota",2.90%,± 1.9%
"Grant County, Oklahoma",3.40%,± 1.8%
"Grant County, Oregon",7.50%,± 2.1%
"Grant County, South Dakota",3.30%,± 2.1%
"Grant County, Washington",5.40%,± 1%
"Grant County, West Virginia",5.30%,± 2.1%
"Grant County, Wisconsin",3.10%,± 0.7%
"Grant Parish, Louisiana",4%,± 2%
"Granville County, North Carolina",4.70%,± 1.1%
"Gratiot County, Michigan",4.90%,± 1.1%
"Graves County, Kentucky",3.70%,± 1.3%
"Gray County, Kansas",2.10%,± 1.2%
"Gray County, Texas",5.40%,± 1.5%
"Grays Harbor County, Washington",6.40%,± 1.3%
"Grayson County, Kentucky",4.80%,± 1.8%
"Grayson County, Texas",3.90%,± 0.7%
"Grayson County, Virginia",4.30%,± 1.7%
"Greater Bridgeport Planning Region, Connecticut",7.70%,± 0.8%
"Greeley County, Kansas",0.10%,± 0.3%
"Greeley County, Nebraska",1.80%,± 1.3%
"Green County, Kentucky",9.50%,± 3.6%
"Green County, Wisconsin",3.40%,± 0.9%
"Green Lake County, Wisconsin",3.30%,± 0.8%
"Greenbrier County, West Virginia",4.30%,± 1.4%
"Greene County, Alabama",4.50%,± 3.8%
"Greene County, Arkansas",7.50%,± 1.9%
"Greene County, Georgia",5.40%,± 2.1%
"Greene County, Illinois",3.40%,± 1.6%
"Greene County, Indiana",6.70%,± 1.7%
"Greene County, Iowa",3.60%,± 1.3%
"Greene County, Mississippi",12.60%,± 5.4%
"Greene County, Missouri",3.90%,± 0.5%
"Greene County, New York",2.80%,± 0.9%
"Greene County, North Carolina",5.50%,± 1.7%
"Greene County, Ohio",4.60%,± 0.5%
"Greene County, Pennsylvania",5.20%,± 1.2%
"Greene County, Tennessee",5.40%,± 1.3%
"Greene County, Virginia",3.80%,± 1.4%
"Greenlee County, Arizona",3%,± 1.9%
"Greensville County, Virginia",6.30%,± 4.3%
