Geography,"Production, transportation, and material moving occupations—Civilian employed population 16 years and over—Estimate",MoE
"Clay County, Minnesota",11.80%,± 1.2%
"Clay County, Mississippi",27.40%,± 5%
"Clay County, Missouri",15.90%,± 0.8%
"Clay County, Nebraska",15%,± 2%
"Clay County, North Carolina",11.50%,± 4.2%
"Clay County, South Dakota",10.60%,± 3%
"Clay County, Tennessee",14.30%,± 4.7%
"Clay County, Texas",17.90%,± 3%
"Clay County, West Virginia",15.90%,± 5.5%
"Clayton County, Georgia",22.70%,± 1.3%
"Clayton County, Iowa",21.10%,± 2.1%
"Clear Creek County, Colorado",6.60%,± 2.4%
"Clearfield County, Pennsylvania",19.50%,± 1.4%
"Clearwater County, Idaho",16%,± 2.9%
"Clearwater County, Minnesota",16.30%,± 2.1%
"Cleburne County, Alabama",22.10%,± 3.8%
"Cleburne County, Arkansas",19.80%,± 2.7%
"Clermont County, Ohio",14.60%,± 1%
"Cleveland County, Arkansas",20.70%,± 4.3%
"Cleveland County, North Carolina",22.30%,± 1.8%
"Cleveland County, Oklahoma",11.20%,± 0.7%
"Clinch County, Georgia",21.90%,± 6.8%
"Clinton County, Illinois",16.50%,± 1.8%
"Clinton County, Indiana",29.60%,± 2.5%
"Clinton County, Iowa",22.30%,± 2.3%
"Clinton County, Kentucky",19.40%,± 4.7%
"Clinton County, Michigan",13.70%,± 1.1%
"Clinton County, Missouri",20.50%,± 3.4%
"Clinton County, New York",15.40%,± 1.7%
"Clinton County, Ohio",22.10%,± 2.1%
"Clinton County, Pennsylvania",19.40%,± 1.8%
"Cloud County, Kansas",13.60%,± 3%
"Coahoma County, Mississippi",12.40%,± 2.6%
"Coal County, Oklahoma",18.20%,± 3.2%
"Coamo Municipio, Puerto Rico",15.10%,± 3.2%
"Cobb County, Georgia",9.90%,± 0.6%
"Cochise County, Arizona",9.50%,± 1%
"Cochran County, Texas",19.50%,± 7.4%
"Cocke County, Tennessee",22.80%,± 2.9%
"Coconino County, Arizona",9.90%,± 0.8%
"Codington County, South Dakota",19.30%,± 2.9%
"Coffee County, Alabama",17.30%,± 1.9%
"Coffee County, Georgia",22.50%,± 2.7%
"Coffee County, Tennessee",22.50%,± 2.4%
"Coffey County, Kansas",16.60%,± 2.8%
"Coke County, Texas",13.30%,± 4.2%
"Colbert County, Alabama",20.60%,± 1.8%
"Cole County, Missouri",10.40%,± 1.1%
"Coleman County, Texas",12.50%,± 3.5%
"Coles County, Illinois",17.30%,± 1.8%
"Colfax County, Nebraska",32.90%,± 5.5%
"Colfax County, New Mexico",11%,± 3.2%
"Colleton County, South Carolina",16.90%,± 3%
"Collier County, Florida",8.30%,± 0.6%
"Collin County, Texas",6.80%,± 0.3%
"Collingsworth County, Texas",6.90%,± 3.4%
"Colonial Heights city, Virginia",14.20%,± 3%
"Colorado County, Texas",13.60%,± 3.3%
"Colquitt County, Georgia",20.70%,± 3.2%
"Columbia County, Arkansas",25.20%,± 3.6%
"Columbia County, Florida",13.30%,± 2.1%
"Columbia County, Georgia",10.10%,± 1.3%
"Columbia County, New York",12.40%,± 1.3%
"Columbia County, Oregon",19.40%,± 2.5%
"Columbia County, Pennsylvania",18.10%,± 1.4%
"Columbia County, Washington",13.40%,± 4.4%
"Columbia County, Wisconsin",17.60%,± 1.3%
"Columbiana County, Ohio",23.50%,± 1.9%
"Columbus County, North Carolina",18.10%,± 2.2%
"Colusa County, California",20.80%,± 3.4%
"Comal County, Texas",9.80%,± 1.2%
"Comanche County, Kansas",13%,± 3.9%
"Comanche County, Oklahoma",13%,± 1.2%
"Comanche County, Texas",17.90%,± 3.6%
"Comerío Municipio, Puerto Rico",15.40%,± 5.1%
"Concho County, Texas",5%,± 3.2%
"Concordia Parish, Louisiana",8.20%,± 2.9%
"Conecuh County, Alabama",32.50%,± 6.5%
"Conejos County, Colorado",14.40%,± 3.3%
"Contra Costa County, California",8.90%,± 0.3%
"Converse County, Wyoming",14.30%,± 2.8%
"Conway County, Arkansas",18.80%,± 2.9%
"Cook County, Georgia",21%,± 3.8%
"Cook County, Illinois",13.50%,± 0.2%
"Cook County, Minnesota",9.50%,± 3.3%
"Cooke County, Texas",19.10%,± 1.7%
"Cooper County, Missouri",13.70%,± 1.9%
"Coos County, New Hampshire",13.80%,± 1.6%
"Coos County, Oregon",13.60%,± 1.7%
"Coosa County, Alabama",23.80%,± 4.6%
"Copiah County, Mississippi",23.40%,± 3.2%
"Copper River Census Area, Alaska",5.90%,± 2.9%
"Corozal Municipio, Puerto Rico",15.20%,± 3.8%
"Corson County, South Dakota",9.90%,± 2.5%
"Cortland County, New York",12.50%,± 1.3%
"Coryell County, Texas",14.30%,± 2.1%
"Coshocton County, Ohio",22.80%,± 2.9%
"Costilla County, Colorado",14.60%,± 5.7%
"Cottle County, Texas",7.10%,± 5%
"Cotton County, Oklahoma",16.70%,± 4.2%
"Cottonwood County, Minnesota",18.50%,± 2.2%
"Covington city, Virginia",14.80%,± 4.3%
"Covington County, Alabama",21.50%,± 2%
"Covington County, Mississippi",24.80%,± 5.4%
"Coweta County, Georgia",14.90%,± 1.1%
"Cowley County, Kansas",19.40%,± 2.1%
"Cowlitz County, Washington",19.80%,± 1.6%
"Craig County, Oklahoma",14.30%,± 1.9%
"Craig County, Virginia",20.50%,± 6.6%
"Craighead County, Arkansas",14.90%,± 1.5%
"Crane County, Texas",15.20%,± 6.5%
"Craven County, North Carolina",15.10%,± 1.7%
"Crawford County, Arkansas",20.90%,± 2.1%
"Crawford County, Georgia",17%,± 5.5%
"Crawford County, Illinois",22.70%,± 2.9%
"Crawford County, Indiana",35.80%,± 4.9%
"Crawford County, Iowa",29%,± 6%
"Crawford County, Kansas",18.10%,± 2.1%
"Crawford County, Michigan",14.70%,± 2.1%
"Crawford County, Missouri",23.40%,± 3.2%
"Crawford County, Ohio",26.70%,± 2.3%
"Crawford County, Pennsylvania",22.10%,± 1.1%
"Crawford County, Wisconsin",25.20%,± 2.4%
"Creek County, Oklahoma",17.70%,± 1%
"Crenshaw County, Alabama",27.60%,± 4.1%
"Crisp County, Georgia",22.60%,± 4%
"Crittenden County, Arkansas",21.60%,± 1.8%
"Crittenden County, Kentucky",17.80%,± 3%
"Crockett County, Tennessee",21.40%,± 3.1%
"Crockett County, Texas",11.90%,± 7.4%
"Crook County, Oregon",16.70%,± 2.8%
"Crook County, Wyoming",13.80%,± 4.6%
"Crosby County, Texas",14.40%,± 3.3%
"Cross County, Arkansas",19.80%,± 2.9%
"Crow Wing County, Minnesota",15.50%,± 1.6%
"Crowley County, Colorado",20.50%,± 8.9%
"Culberson County, Texas",16%,± 13.8%
"Culebra Municipio, Puerto Rico",16%,± 8.5%
"Cullman County, Alabama",18.50%,± 1.6%
"Culpeper County, Virginia",13.50%,± 1.9%
"Cumberland County, Illinois",24.70%,± 3%
"Cumberland County, Kentucky",25.80%,± 7.3%
"Cumberland County, Maine",9.50%,± 0.7%
"Cumberland County, New Jersey",19.30%,± 1.5%
"Cumberland County, North Carolina",15.60%,± 0.9%
"Cumberland County, Pennsylvania",13.70%,± 0.8%
"Cumberland County, Tennessee",22.50%,± 2.4%
"Cumberland County, Virginia",10.70%,± 3%
"Cuming County, Nebraska",14.80%,± 2.9%
"Currituck County, North Carolina",11.40%,± 2.2%
"Curry County, New Mexico",16.60%,± 2%
"Curry County, Oregon",9%,± 2.4%
"Custer County, Colorado",10.40%,± 5.9%
"Custer County, Idaho",4.20%,± 2.9%
"Custer County, Montana",11.50%,± 2.2%
"Custer County, Nebraska",12.10%,± 2%
"Custer County, Oklahoma",12.80%,± 2.2%
"Custer County, South Dakota",12.20%,± 4.2%
"Cuyahoga County, Ohio",13.40%,± 0.4%
"Dade County, Georgia",15.90%,± 3.4%
"Dade County, Missouri",24%,± 4.2%
"Daggett County, Utah",8.80%,± 3.9%
"Dakota County, Minnesota",12.10%,± 0.5%
"Dakota County, Nebraska",30.20%,± 4.1%
"Dale County, Alabama",18.60%,± 2%
"Dallam County, Texas",33.10%,± 7.2%
"Dallas County, Alabama",25.90%,± 2.4%
"Dallas County, Arkansas",31.50%,± 5.8%
"Dallas County, Iowa",9.80%,± 1.1%
"Dallas County, Missouri",23.10%,± 4.3%
"Dallas County, Texas",14%,± 0.3%
"Dane County, Wisconsin",9.40%,± 0.4%
"Daniels County, Montana",10.60%,± 4.7%
"Danville city, Virginia",22.90%,± 2.7%
"Dare County, North Carolina",8%,± 1.5%
"Darke County, Ohio",27.30%,± 1.7%
"Darlington County, South Carolina",22.90%,± 2.3%
"Dauphin County, Pennsylvania",14.60%,± 0.9%
"Davidson County, North Carolina",19.30%,± 1.5%
"Davidson County, Tennessee",11.50%,± 0.6%
"Davie County, North Carolina",17.10%,± 2%
"Daviess County, Indiana",22.80%,± 2.6%
"Daviess County, Kentucky",20.40%,± 1.5%
"Daviess County, Missouri",18.90%,± 2.4%
"Davis County, Iowa",19.30%,± 3.3%
"Davis County, Utah",12.30%,± 0.8%
"Davison County, South Dakota",16.60%,± 4%
"Dawes County, Nebraska",8.20%,± 3.1%
"Dawson County, Georgia",11.80%,± 2.4%
"Dawson County, Montana",13.70%,± 3.8%
"Dawson County, Nebraska",29.80%,± 2.6%
"Dawson County, Texas",12%,± 3.3%
"Day County, South Dakota",13.20%,± 2.7%
"De Baca County, New Mexico",13.60%,± 14.2%
"De Soto Parish, Louisiana",17.40%,± 3.2%
"De Witt County, Illinois",16.50%,± 2.9%
"Deaf Smith County, Texas",24.10%,± 4.2%
"Dearborn County, Indiana",18.20%,± 1.9%
"Decatur County, Georgia",20.90%,± 3.2%
"Decatur County, Indiana",24.10%,± 3.4%
"Decatur County, Iowa",13.70%,± 2.9%
"Decatur County, Kansas",12.80%,± 4.8%
"Decatur County, Tennessee",24.10%,± 4%
"Deer Lodge County, Montana",11.10%,± 3.7%
"Defiance County, Ohio",26.20%,± 2.3%
"DeKalb County, Alabama",25.70%,± 2.3%
"DeKalb County, Georgia",12.60%,± 0.5%
"DeKalb County, Illinois",15.60%,± 1.5%
"DeKalb County, Indiana",34.10%,± 2.5%
"DeKalb County, Missouri",19%,± 3.7%
"DeKalb County, Tennessee",25.50%,± 4.3%
"Del Norte County, California",8.40%,± 1.9%
"Delaware County, Indiana",17.20%,± 1.4%
"Delaware County, Iowa",22.40%,± 3.1%
"Delaware County, New York",13.70%,± 1.5%
"Delaware County, Ohio",7.80%,± 0.8%
"Delaware County, Oklahoma",16.30%,± 1.7%
"Delaware County, Pennsylvania",10.40%,± 0.6%
"Delta County, Colorado",13.90%,± 2.2%
"Delta County, Michigan",19.20%,± 2.1%
"Delta County, Texas",11.70%,± 3.6%
"Denali Borough, Alaska",10.70%,± 7.9%
"Dent County, Missouri",19.90%,± 3.3%
"Denton County, Texas",9.20%,± 0.4%
"Denver County, Colorado",7.80%,± 0.4%
"Des Moines County, Iowa",22.10%,± 2%
"Deschutes County, Oregon",9.20%,± 0.7%
"Desha County, Arkansas",18.20%,± 3%
"DeSoto County, Florida",11.30%,± 2.3%
"DeSoto County, Mississippi",19%,± 1.3%
"Deuel County, Nebraska",14.50%,± 4%
"Deuel County, South Dakota",21%,± 4.8%
"Dewey County, Oklahoma",18.50%,± 3.2%
"Dewey County, South Dakota",7.80%,± 1.9%
"DeWitt County, Texas",17.70%,± 3%
"Dickens County, Texas",12.10%,± 6.4%
"Dickenson County, Virginia",10.10%,± 2.9%
"Dickey County, North Dakota",16%,± 3.4%
"Dickinson County, Iowa",17.10%,± 2.2%
"Dickinson County, Kansas",16.60%,± 2.2%
"Dickinson County, Michigan",18.10%,± 2.3%
"Dickson County, Tennessee",18.10%,± 2.1%
"Dillingham Census Area, Alaska",11.50%,± 4.2%
"Dillon County, South Carolina",26.40%,± 3.5%
"Dimmit County, Texas",11.20%,± 6.3%
"Dinwiddie County, Virginia",20.20%,± 2.7%
"District of Columbia, District of Columbia",3.30%,± 0.3%
"Divide County, North Dakota",7.10%,± 4.4%
"Dixie County, Florida",18.80%,± 4.7%
"Dixon County, Nebraska",17.70%,± 2.8%
"Doddridge County, West Virginia",16.30%,± 4.6%
"Dodge County, Georgia",23.50%,± 5.9%
"Dodge County, Minnesota",15.50%,± 1.7%
"Dodge County, Nebraska",18.60%,± 1.9%
"Dodge County, Wisconsin",26.10%,± 1.4%
"Dolores County, Colorado",7.50%,± 5.4%
"Doña Ana County, New Mexico",9.80%,± 1%
"Doniphan County, Kansas",20.20%,± 3.3%
"Donley County, Texas",5.70%,± 2.3%
"Dooly County, Georgia",26%,± 6.2%
"Door County, Wisconsin",14.60%,± 1.7%
"Dorado Municipio, Puerto Rico",9.50%,± 2.9%
"Dorchester County, Maryland",13.80%,± 2%
"Dorchester County, South Carolina",14.90%,± 1.2%
"Dougherty County, Georgia",16.90%,± 1.8%
"Douglas County, Colorado",5.70%,± 0.5%
"Douglas County, Georgia",17.30%,± 1.6%
"Douglas County, Illinois",23.30%,± 2.3%
"Douglas County, Kansas",10.50%,± 1%
"Douglas County, Minnesota",18.20%,± 1.7%
"Douglas County, Missouri",26.10%,± 4.9%
"Douglas County, Nebraska",11.80%,± 0.6%
"Douglas County, Nevada",12%,± 1.7%
"Douglas County, Oregon",16.40%,± 1.4%
"Douglas County, South Dakota",9.70%,± 2.9%
"Douglas County, Washington",13.90%,± 1.8%
"Douglas County, Wisconsin",16.70%,± 1.6%
"Drew County, Arkansas",15.40%,± 2.7%
"Dubois County, Indiana",27.60%,± 2.6%
"Dubuque County, Iowa",18.80%,± 1.2%
"Duchesne County, Utah",20%,± 2.4%
"Dukes County, Massachusetts",7.80%,± 3.1%
"Dundy County, Nebraska",6.50%,± 3%
"Dunklin County, Missouri",21.80%,± 2.1%
"Dunn County, North Dakota",21.20%,± 4.5%
"Dunn County, Wisconsin",22.90%,± 1.6%
"DuPage County, Illinois",11.50%,± 0.5%
"Duplin County, North Carolina",25%,± 2.9%
"Durham County, North Carolina",7.70%,± 0.6%
"Dutchess County, New York",8.20%,± 0.5%
"Duval County, Florida",12.40%,± 0.5%
"Duval County, Texas",11.10%,± 4.9%
"Dyer County, Tennessee",22%,± 2.7%
"Eagle County, Colorado",6.60%,± 1.5%
"Early County, Georgia",22.50%,± 4.4%
"East Baton Rouge Parish, Louisiana",11.80%,± 0.8%
"East Carroll Parish, Louisiana",13.10%,± 5.6%
"East Feliciana Parish, Louisiana",15.10%,± 3.6%
"Eastland County, Texas",13.20%,± 3.2%
"Eaton County, Michigan",17.80%,± 1.1%
"Eau Claire County, Wisconsin",18.40%,± 1.4%
"Echols County, Georgia",20.50%,± 8.8%
"Ector County, Texas",21.40%,± 1.6%
"Eddy County, New Mexico",14.90%,± 2.2%
"Eddy County, North Dakota",12.40%,± 3.1%
"Edgar County, Illinois",21.70%,± 3.1%
"Edgecombe County, North Carolina",23.60%,± 2.9%
"Edgefield County, South Carolina",20%,± 3.6%
"Edmonson County, Kentucky",19.50%,± 4.4%
"Edmunds County, South Dakota",11.60%,± 3.6%
"Edwards County, Illinois",29.60%,± 4.1%
"Edwards County, Kansas",17.50%,± 3.8%
"Edwards County, Texas",5.50%,± 5.7%
"Effingham County, Georgia",16.70%,± 2%
"Effingham County, Illinois",18.50%,± 1.8%
"El Dorado County, California",7.60%,± 0.7%
"El Paso County, Colorado",9.60%,± 0.4%
"El Paso County, Texas",13.50%,± 0.6%
"Elbert County, Colorado",8.20%,± 1.7%
"Elbert County, Georgia",27.50%,± 4.3%
"Elk County, Kansas",11.40%,± 2.8%
"Elk County, Pennsylvania",31.80%,± 2.2%
"Elkhart County, Indiana",28.80%,± 1.5%
"Elko County, Nevada",12.20%,± 1.8%
"Elliott County, Kentucky",24.60%,± 9.5%
"Ellis County, Kansas",10.40%,± 1.9%
"Ellis County, Oklahoma",14.80%,± 3.7%
"Ellis County, Texas",15.10%,± 1.1%
"Ellsworth County, Kansas",13.80%,± 3%
"Elmore County, Alabama",14.40%,± 1.7%
"Elmore County, Idaho",18.20%,± 3.4%
"Emanuel County, Georgia",23%,± 3.6%
"Emery County, Utah",15%,± 2.5%
"Emmet County, Iowa",27%,± 4.6%
"Emmet County, Michigan",11.70%,± 1.8%
"Emmons County, North Dakota",15.30%,± 3.1%
"Emporia city, Virginia",33.20%,± 10%
"Erath County, Texas",13.70%,± 1.8%
"Erie County, New York",11.40%,± 0.4%
"Erie County, Ohio",19.60%,± 1.9%
"Erie County, Pennsylvania",15.90%,± 0.8%
"Escambia County, Alabama",21%,± 2.5%
"Escambia County, Florida",11.60%,± 0.8%
"Esmeralda County, Nevada",11.70%,± 9.1%
"Essex County, Massachusetts",11.30%,± 0.4%
"Essex County, New Jersey",13.10%,± 0.6%
"Essex County, New York",10.40%,± 1.8%
"Essex County, Vermont",17%,± 2.8%
"Essex County, Virginia",15%,± 3.8%
"Estill County, Kentucky",32.90%,± 6.3%
"Etowah County, Alabama",22.30%,± 2%
"Eureka County, Nevada",35.20%,± 12.6%
"Evangeline Parish, Louisiana",17.50%,± 3%
"Evans County, Georgia",21.10%,± 4.6%
"Fairbanks North Star Borough, Alaska",10.90%,± 1.5%
"Fairfax city, Virginia",6.90%,± 1.9%
"Fairfax County, Virginia",5.30%,± 0.2%
"Fairfield County, Ohio",15%,± 1%
"Fairfield County, South Carolina",24.60%,± 3.7%
"Fajardo Municipio, Puerto Rico",14%,± 2.9%
"Fall River County, South Dakota",11.10%,± 4.4%
"Fallon County, Montana",10.20%,± 6.4%
"Falls Church city, Virginia",2.50%,± 1.3%
"Falls County, Texas",17.70%,± 3.5%
"Fannin County, Georgia",14.20%,± 3.6%
"Fannin County, Texas",14.60%,± 1.9%
"Faribault County, Minnesota",18.70%,± 1.7%
"Faulk County, South Dakota",10.60%,± 3.6%
"Faulkner County, Arkansas",12.80%,± 1.2%
"Fauquier County, Virginia",8.60%,± 1%
"Fayette County, Alabama",33.30%,± 4.5%
"Fayette County, Georgia",12.30%,± 1.3%
"Fayette County, Illinois",18.30%,± 2.3%
"Fayette County, Indiana",28.70%,± 3.2%
"Fayette County, Iowa",21.30%,± 2.4%
"Fayette County, Kentucky",11.20%,± 0.6%
"Fayette County, Ohio",25.90%,± 2.9%
"Fayette County, Pennsylvania",17.60%,± 1%
"Fayette County, Tennessee",18.20%,± 1.6%
"Fayette County, Texas",20.60%,± 4%
"Fayette County, West Virginia",12.50%,± 2.2%
"Fentress County, Tennessee",15.70%,± 4%
"Fergus County, Montana",11.90%,± 3%
"Ferry County, Washington",6.50%,± 2.9%
"Fillmore County, Minnesota",15.90%,± 1.1%
"Fillmore County, Nebraska",14.60%,± 2.7%
"Finney County, Kansas",26.90%,± 2.9%
"Fisher County, Texas",13.40%,± 3.4%
"Flagler County, Florida",11.80%,± 1.5%
"Flathead County, Montana",11.10%,± 1.4%
"Fleming County, Kentucky",24%,± 4%
"Florence County, South Carolina",15.90%,± 1.2%
"Florence County, Wisconsin",21.40%,± 3.8%
"Florida Municipio, Puerto Rico",18.10%,± 7.1%
"Floyd County, Georgia",21.60%,± 1.9%
"Floyd County, Indiana",15.50%,± 1.1%
"Floyd County, Iowa",19.40%,± 2.7%
"Floyd County, Kentucky",14.50%,± 3%
"Floyd County, Texas",14.50%,± 3.7%
"Floyd County, Virginia",20.70%,± 3.1%
"Fluvanna County, Virginia",9.40%,± 2%
"Foard County, Texas",9.40%,± 6.8%
"Fond du Lac County, Wisconsin",23.60%,± 1.1%
"Ford County, Illinois",18.30%,± 2.4%
"Ford County, Kansas",28.10%,± 3.3%
"Forest County, Pennsylvania",17.10%,± 3.3%
"Forest County, Wisconsin",16.70%,± 2.2%
"Forrest County, Mississippi",15.10%,± 1.7%
"Forsyth County, Georgia",6.90%,± 0.6%
"Forsyth County, North Carolina",13.50%,± 0.8%
"Fort Bend County, Texas",9.20%,± 0.5%
"Foster County, North Dakota",10.80%,± 3.4%
"Fountain County, Indiana",26%,± 2.5%
"Franklin city, Virginia",18.20%,± 4.7%
"Franklin County, Alabama",29.90%,± 4.4%
"Franklin County, Arkansas",24.70%,± 3.9%
"Franklin County, Florida",8.60%,± 3.8%
"Franklin County, Georgia",23.90%,± 3.1%
"Franklin County, Idaho",24.20%,± 4.2%
"Franklin County, Illinois",18.50%,± 1.9%
"Franklin County, Indiana",20.40%,± 2.9%
"Franklin County, Iowa",22.10%,± 3.9%
"Franklin County, Kansas",20.70%,± 2.6%
"Franklin County, Kentucky",15.70%,± 2%
"Franklin County, Maine",14.30%,± 2.5%
"Franklin County, Massachusetts",12.60%,± 1.1%
"Franklin County, Mississippi",19.50%,± 5.7%
"Franklin County, Missouri",19.10%,± 1.3%
"Franklin County, Nebraska",13.10%,± 3%
"Franklin County, New York",11.50%,± 1.5%
"Franklin County, North Carolina",14.20%,± 1.5%
"Franklin County, Ohio",13.40%,± 0.4%
"Franklin County, Pennsylvania",21.30%,± 1.2%
"Franklin County, Tennessee",19.80%,± 2.7%
"Franklin County, Texas",15%,± 4.5%
"Franklin County, Vermont",16.90%,± 1.5%
"Franklin County, Virginia",16.30%,± 2.1%
"Franklin County, Washington",14.90%,± 1.7%
"Franklin Parish, Louisiana",12.40%,± 3.4%
"Frederick County, Maryland",8.30%,± 0.5%
"Frederick County, Virginia",13.60%,± 1.4%
"Fredericksburg city, Virginia",9.60%,± 2.4%
"Freeborn County, Minnesota",23.40%,± 1.9%
"Freestone County, Texas",18.90%,± 3.4%
"Fremont County, Colorado",11.80%,± 2.5%
"Fremont County, Idaho",19.20%,± 3.5%
"Fremont County, Iowa",17%,± 2.4%
"Fremont County, Wyoming",11.70%,± 1.5%
"Fresno County, California",14.10%,± 0.5%
"Frio County, Texas",16.90%,± 4.9%
"Frontier County, Nebraska",14.10%,± 5.3%
"Fulton County, Arkansas",17.30%,± 5.1%
"Fulton County, Georgia",9%,± 0.5%
"Fulton County, Illinois",18.90%,± 2%
"Fulton County, Indiana",27.50%,± 4.1%
"Fulton County, Kentucky",26.90%,± 6.3%
"Fulton County, New York",19.10%,± 1.6%
"Fulton County, Ohio",21.60%,± 2.2%
"Fulton County, Pennsylvania",25.10%,± 1.9%
"Furnas County, Nebraska",16.80%,± 3.2%
"Gadsden County, Florida",13.10%,± 2.3%
"Gage County, Nebraska",20.40%,± 2.3%
"Gaines County, Texas",18.30%,± 3.3%
"Galax city, Virginia",16.20%,± 4.6%
"Gallatin County, Illinois",20.90%,± 4.3%
"Gallatin County, Kentucky",33%,± 3.5%
"Gallatin County, Montana",9.80%,± 1%
"Gallia County, Ohio",19.70%,± 3.1%
"Galveston County, Texas",12.60%,± 0.8%
"Garden County, Nebraska",12.80%,± 4.2%
"Garfield County, Colorado",10.30%,± 1.5%
"Garfield County, Montana",12.30%,± 6.7%
"Garfield County, Nebraska",6.60%,± 3.5%
"Garfield County, Oklahoma",17.80%,± 2%
"Garfield County, Utah",10.70%,± 5.2%
"Garfield County, Washington",13.80%,± 5.4%
"Garland County, Arkansas",11.30%,± 1.4%
"Garrard County, Kentucky",19.20%,± 3%
"Garrett County, Maryland",14.20%,± 2%
"Garvin County, Oklahoma",22.50%,± 2.3%
"Garza County, Texas",20%,± 6.6%
"Gasconade County, Missouri",24.70%,± 3.1%
"Gaston County, North Carolina",18.50%,± 1%
"Gates County, North Carolina",15.40%,± 3.1%
"Geary County, Kansas",15.10%,± 2.5%
"Geauga County, Ohio",12.10%,± 1.4%
"Gem County, Idaho",15.50%,± 3.4%
"Genesee County, Michigan",19%,± 0.7%
"Genesee County, New York",15.40%,± 1.3%
"Geneva County, Alabama",16.70%,± 3.3%
"Gentry County, Missouri",19.30%,± 3.1%
"George County, Mississippi",14.20%,± 3.3%
"Georgetown County, South Carolina",13.20%,± 2.1%
"Gibson County, Indiana",29.40%,± 2.8%
"Gibson County, Tennessee",22.30%,± 2.1%
"Gila County, Arizona",11.50%,± 2.2%
"Gilchrist County, Florida",9.60%,± 2.2%
"Giles County, Tennessee",22.60%,± 2.7%
"Giles County, Virginia",22.40%,± 4.6%
"Gillespie County, Texas",9.80%,± 2.5%
"Gilliam County, Oregon",14.60%,± 5.9%
"Gilmer County, Georgia",14.90%,± 2.4%
"Gilmer County, West Virginia",14.70%,± 4.5%
"Gilpin County, Colorado",6.20%,± 3.3%
"Glacier County, Montana",8.50%,± 2.4%
"Glades County, Florida",11%,± 3.9%
"Gladwin County, Michigan",20.50%,± 1.8%
"Glascock County, Georgia",20.60%,± 7.7%
"Glasscock County, Texas",11.20%,± 8.4%
"Glenn County, California",18.50%,± 2.4%
"Gloucester County, New Jersey",10.90%,± 0.6%
"Gloucester County, Virginia",12.90%,± 2%
"Glynn County, Georgia",13.10%,± 1.7%
"Gogebic County, Michigan",15.10%,± 2.6%
"Golden Valley County, Montana",12.90%,± 5.2%
"Golden Valley County, North Dakota",18.50%,± 6.1%
"Goliad County, Texas",16.50%,± 4.9%
"Gonzales County, Texas",25.80%,± 3.7%
"Goochland County, Virginia",5.90%,± 1.8%
"Goodhue County, Minnesota",16.90%,± 1.4%
"Gooding County, Idaho",15.70%,± 3.2%
"Gordon County, Georgia",23%,± 2.5%
"Goshen County, Wyoming",13.30%,± 2.5%
"Gosper County, Nebraska",17.30%,± 6%
"Gove County, Kansas",13%,± 3.1%
"Grady County, Georgia",17.30%,± 2.8%
"Grady County, Oklahoma",16%,± 1.4%
"Grafton County, New Hampshire",10.80%,± 1.1%
"Graham County, Arizona",12.50%,± 2.3%
"Graham County, Kansas",14.30%,± 4.2%
"Graham County, North Carolina",12%,± 4.5%
"Grainger County, Tennessee",26.10%,± 3.1%
"Grand County, Colorado",8.30%,± 2.2%
"Grand County, Utah",7.10%,± 3.2%
"Grand Forks County, North Dakota",13%,± 1.3%
"Grand Isle County, Vermont",9.10%,± 2%
"Grand Traverse County, Michigan",12.60%,± 1.1%
"Granite County, Montana",12.70%,± 4%
"Grant County, Arkansas",17.40%,± 3.8%
"Grant County, Indiana",21%,± 1.5%
"Grant County, Kansas",13.90%,± 6%
"Grant County, Kentucky",28.70%,± 3.7%
"Grant County, Minnesota",15.40%,± 2.3%
"Grant County, Nebraska",7.40%,± 4.1%
"Grant County, New Mexico",12.90%,± 3.8%
"Grant County, North Dakota",6.60%,± 2%
"Grant County, Oklahoma",17.50%,± 4%
"Grant County, Oregon",8.60%,± 2.9%
"Grant County, South Dakota",16.20%,± 4.5%
"Grant County, Washington",15.90%,± 1.5%
"Grant County, West Virginia",20.90%,± 4.8%
"Grant County, Wisconsin",19.50%,± 1.1%
"Grant Parish, Louisiana",17%,± 3.7%
"Granville County, North Carolina",16%,± 2%
"Gratiot County, Michigan",18%,± 1.8%
"Graves County, Kentucky",20.20%,± 2.5%
"Gray County, Kansas",14.70%,± 3.2%
"Gray County, Texas",14.80%,± 2.4%
"Grays Harbor County, Washington",14.70%,± 1.5%
"Grayson County, Kentucky",23.20%,± 3.6%
"Grayson County, Texas",16.20%,± 1.5%
"Grayson County, Virginia",22.50%,± 3.7%
"Greater Bridgeport Planning Region, Connecticut",10.80%,± 0.7%
"Greeley County, Kansas",10.40%,± 5.5%
"Greeley County, Nebraska",12.50%,± 3.4%
"Green County, Kentucky",22%,± 4.2%
"Green County, Wisconsin",19.50%,± 1.4%
"Green Lake County, Wisconsin",23.20%,± 2.3%
"Greenbrier County, West Virginia",12.70%,± 2%
"Greene County, Alabama",26.30%,± 7.9%
"Greene County, Arkansas",22.40%,± 2.5%
"Greene County, Georgia",17.90%,± 3.2%
"Greene County, Illinois",19.50%,± 2.8%
"Greene County, Indiana",20.80%,± 2.3%
"Greene County, Iowa",23.10%,± 3%
"Greene County, Mississippi",18%,± 6.6%
"Greene County, Missouri",13.70%,± 0.8%
"Greene County, New York",12.60%,± 1.7%
"Greene County, North Carolina",22.40%,± 3.6%
"Greene County, Ohio",10.60%,± 1%
"Greene County, Pennsylvania",12.80%,± 1.5%
