Geography,Total—AGE OF OWN CHILDREN—Households with own children of the householder under 18 years—Under 6 years only—Estimate,MoE
"Clay County, Kentucky",17.10%,± 6.4%
"Clay County, Minnesota",21.70%,± 3.7%
"Clay County, Mississippi",13.90%,± 6.8%
"Clay County, Missouri",21.40%,± 1.8%
"Clay County, Nebraska",22.70%,± 5.2%
"Clay County, North Carolina",31.50%,± 21.8%
"Clay County, South Dakota",33.40%,± 7.9%
"Clay County, Tennessee",13.10%,± 8.3%
"Clay County, Texas",14.70%,± 5.1%
"Clay County, West Virginia",12.90%,± 8.2%
"Clayton County, Georgia",21.80%,± 2.6%
"Clayton County, Iowa",28.60%,± 4.8%
"Clear Creek County, Colorado",25.70%,± 10.9%
"Clearfield County, Pennsylvania",22.30%,± 3.3%
"Clearwater County, Idaho",24.20%,± 7.9%
"Clearwater County, Minnesota",20%,± 4.6%
"Cleburne County, Alabama",22.60%,± 7.9%
"Cleburne County, Arkansas",19.40%,± 5.9%
"Clermont County, Ohio",23.40%,± 2.2%
"Cleveland County, Arkansas",12.50%,± 7.2%
"Cleveland County, North Carolina",19.50%,± 3.8%
"Cleveland County, Oklahoma",23.30%,± 1.9%
"Clinch County, Georgia",13.20%,± 12%
"Clinton County, Illinois",23.90%,± 4.7%
"Clinton County, Indiana",21.10%,± 4.1%
"Clinton County, Iowa",22%,± 3.9%
"Clinton County, Kentucky",16.90%,± 8.8%
"Clinton County, Michigan",20.80%,± 2.2%
"Clinton County, Missouri",17.50%,± 5.2%
"Clinton County, New York",23.40%,± 3.9%
"Clinton County, Ohio",23.70%,± 4.5%
"Clinton County, Pennsylvania",24.70%,± 4%
"Cloud County, Kansas",14.30%,± 5.4%
"Coahoma County, Mississippi",15.50%,± 6.5%
"Coal County, Oklahoma",19.30%,± 5%
"Coamo Municipio, Puerto Rico",9.20%,± 3.8%
"Cobb County, Georgia",23.70%,± 1.4%
"Cochise County, Arizona",18.30%,± 3.3%
"Cochran County, Texas",24.80%,± 11.4%
"Cocke County, Tennessee",23%,± 7.4%
"Coconino County, Arizona",18.60%,± 3%
"Codington County, South Dakota",25.30%,± 6.3%
"Coffee County, Alabama",21.60%,± 3.2%
"Coffee County, Georgia",25.70%,± 5.2%
"Coffee County, Tennessee",23.90%,± 4.3%
"Coffey County, Kansas",18.80%,± 5.5%
"Coke County, Texas",6.90%,± 6.6%
"Colbert County, Alabama",18.40%,± 4%
"Cole County, Missouri",24.80%,± 4.1%
"Coleman County, Texas",15%,± 9.6%
"Coles County, Illinois",25.90%,± 4.9%
"Colfax County, Nebraska",14.30%,± 8.9%
"Colfax County, New Mexico",15.80%,± 7.5%
"Colleton County, South Carolina",18.90%,± 6.4%
"Collier County, Florida",16.20%,± 2%
"Collin County, Texas",19.70%,± 1%
"Collingsworth County, Texas",13.30%,± 8.3%
"Colonial Heights city, Virginia",25.40%,± 9.3%
"Colorado County, Texas",20.10%,± 8%
"Colquitt County, Georgia",17.70%,± 4.1%
"Columbia County, Arkansas",27.20%,± 8.8%
"Columbia County, Florida",16.70%,± 3.8%
"Columbia County, Georgia",17.80%,± 2.8%
"Columbia County, New York",23.20%,± 4.2%
"Columbia County, Oregon",18.60%,± 4.5%
"Columbia County, Pennsylvania",23.10%,± 4.2%
"Columbia County, Washington",24.30%,± 12.5%
"Columbia County, Wisconsin",20.90%,± 2.7%
"Columbiana County, Ohio",21.20%,± 3%
"Columbus County, North Carolina",14.40%,± 3.4%
"Colusa County, California",18.50%,± 5%
"Comal County, Texas",20.10%,± 3.1%
"Comanche County, Kansas",12.80%,± 6.6%
"Comanche County, Oklahoma",23%,± 2.6%
"Comanche County, Texas",10.80%,± 4.6%
"Comerío Municipio, Puerto Rico",12.40%,± 7.4%
"Concho County, Texas",10.40%,± 9.9%
"Concordia Parish, Louisiana",14.30%,± 7.4%
"Conecuh County, Alabama",14.20%,± 9%
"Conejos County, Colorado",14.40%,± 5.8%
"Contra Costa County, California",19.30%,± 0.9%
"Converse County, Wyoming",29.30%,± 7.5%
"Conway County, Arkansas",19.90%,± 5.6%
"Cook County, Georgia",24.90%,± 6.5%
"Cook County, Illinois",21.90%,± 0.5%
"Cook County, Minnesota",26.80%,± 9.2%
"Cooke County, Texas",21.20%,± 4.6%
"Cooper County, Missouri",35.20%,± 5.4%
"Coos County, New Hampshire",29%,± 6.1%
"Coos County, Oregon",23.50%,± 4.7%
"Coosa County, Alabama",11.40%,± 9.9%
"Copiah County, Mississippi",18.20%,± 6%
"Copper River Census Area, Alaska",23%,± 12.4%
"Corozal Municipio, Puerto Rico",12%,± 6.1%
"Corson County, South Dakota",9.30%,± 4.5%
"Cortland County, New York",23.20%,± 3.6%
"Coryell County, Texas",28.90%,± 3.6%
"Coshocton County, Ohio",24.90%,± 4.8%
"Costilla County, Colorado",16.20%,± 10.9%
"Cottle County, Texas",22%,± 14.2%
"Cotton County, Oklahoma",24.80%,± 10.8%
"Cottonwood County, Minnesota",17.70%,± 4.4%
"Covington city, Virginia",14.90%,± 10.4%
"Covington County, Alabama",19.30%,± 4.6%
"Covington County, Mississippi",14.30%,± 8%
"Coweta County, Georgia",17.70%,± 2.4%
"Cowley County, Kansas",18.90%,± 4%
"Cowlitz County, Washington",19.60%,± 2.6%
"Craig County, Oklahoma",14.40%,± 5%
"Craig County, Virginia",13.70%,± 12%
"Craighead County, Arkansas",17.30%,± 3.2%
"Crane County, Texas",9%,± 10.7%
"Craven County, North Carolina",26.90%,± 3.6%
"Crawford County, Arkansas",21%,± 3.9%
"Crawford County, Georgia",6.10%,± 5.3%
"Crawford County, Illinois",22.20%,± 5%
"Crawford County, Indiana",25.10%,± 9.3%
"Crawford County, Iowa",15.80%,± 9%
"Crawford County, Kansas",28.20%,± 5.5%
"Crawford County, Michigan",18.50%,± 5.6%
"Crawford County, Missouri",18.40%,± 5.3%
"Crawford County, Ohio",25.50%,± 4.2%
"Crawford County, Pennsylvania",21.90%,± 2.4%
"Crawford County, Wisconsin",20.80%,± 4.5%
"Creek County, Oklahoma",23.40%,± 2.8%
"Crenshaw County, Alabama",14%,± 5.4%
"Crisp County, Georgia",15.50%,± 8.4%
"Crittenden County, Arkansas",26.60%,± 4.6%
"Crittenden County, Kentucky",25.30%,± 8.5%
"Crockett County, Tennessee",13.10%,± 4.9%
"Crockett County, Texas",19%,± 18.2%
"Crook County, Oregon",25.20%,± 8.5%
"Crook County, Wyoming",18.10%,± 11.4%
"Crosby County, Texas",13.60%,± 6%
"Cross County, Arkansas",30.50%,± 7.9%
"Crow Wing County, Minnesota",22.40%,± 3.3%
"Crowley County, Colorado",16.30%,± 11.6%
"Culberson County, Texas",6.40%,± 11.9%
"Culebra Municipio, Puerto Rico",0%,± 43.1%
"Cullman County, Alabama",20.50%,± 3.8%
"Culpeper County, Virginia",16.20%,± 4%
"Cumberland County, Illinois",17.40%,± 5.7%
"Cumberland County, Kentucky",45.50%,± 14.6%
"Cumberland County, Maine",24.80%,± 2.4%
"Cumberland County, New Jersey",19.10%,± 3%
"Cumberland County, North Carolina",25.20%,± 1.5%
"Cumberland County, Pennsylvania",21.10%,± 1.8%
"Cumberland County, Tennessee",19.40%,± 4.7%
"Cumberland County, Virginia",17.80%,± 8.7%
"Cuming County, Nebraska",16.60%,± 5.2%
"Currituck County, North Carolina",14.40%,± 5.9%
"Curry County, New Mexico",24.90%,± 5.6%
"Curry County, Oregon",38.20%,± 11.1%
"Custer County, Colorado",7.30%,± 6.9%
"Custer County, Idaho",9.90%,± 7.8%
"Custer County, Montana",18%,± 5.4%
"Custer County, Nebraska",30.90%,± 6.2%
"Custer County, Oklahoma",23.80%,± 5.6%
"Custer County, South Dakota",24.30%,± 11.9%
"Cuyahoga County, Ohio",22%,± 1%
"Dade County, Georgia",23.40%,± 8.9%
"Dade County, Missouri",12%,± 4.3%
"Daggett County, Utah",5.20%,± 13.1%
"Dakota County, Minnesota",21.80%,± 1.1%
"Dakota County, Nebraska",16.40%,± 6.9%
"Dale County, Alabama",18.80%,± 3.5%
"Dallam County, Texas",1.80%,± 2.2%
"Dallas County, Alabama",18.10%,± 6.1%
"Dallas County, Arkansas",9.30%,± 8.1%
"Dallas County, Iowa",22.10%,± 2.7%
"Dallas County, Missouri",26.60%,± 8.5%
"Dallas County, Texas",20.80%,± 0.9%
"Dane County, Wisconsin",25.10%,± 1.6%
"Daniels County, Montana",29.80%,± 14.2%
"Danville city, Virginia",19.30%,± 5.2%
"Dare County, North Carolina",23.90%,± 7.1%
"Darke County, Ohio",21.60%,± 3.7%
"Darlington County, South Carolina",17.90%,± 4.8%
"Dauphin County, Pennsylvania",23%,± 2%
"Davidson County, North Carolina",23%,± 3.1%
"Davidson County, Tennessee",28.80%,± 1.6%
"Davie County, North Carolina",18.30%,± 4.8%
"Daviess County, Indiana",25.30%,± 3.8%
"Daviess County, Kentucky",23%,± 3.1%
"Daviess County, Missouri",17%,± 4.1%
"Davis County, Iowa",24%,± 6.9%
"Davis County, Utah",19.20%,± 1.4%
"Davison County, South Dakota",16.80%,± 4.9%
"Dawes County, Nebraska",34.30%,± 15.9%
"Dawson County, Georgia",15%,± 4.3%
"Dawson County, Montana",36.90%,± 10.4%
"Dawson County, Nebraska",18.90%,± 5.5%
"Dawson County, Texas",21.70%,± 8.4%
"Day County, South Dakota",17.20%,± 5.6%
"De Baca County, New Mexico",0%,± 17.3%
"De Soto Parish, Louisiana",20.30%,± 5.8%
"De Witt County, Illinois",18.40%,± 5.2%
"Deaf Smith County, Texas",22.20%,± 8.5%
"Dearborn County, Indiana",20.10%,± 4.6%
"Decatur County, Georgia",22.50%,± 6.2%
"Decatur County, Indiana",21.80%,± 5.2%
"Decatur County, Iowa",20.30%,± 5.7%
"Decatur County, Kansas",17.90%,± 12.4%
"Decatur County, Tennessee",16%,± 6.2%
"Deer Lodge County, Montana",31.40%,± 10.7%
"Defiance County, Ohio",19.30%,± 4.5%
"DeKalb County, Alabama",18.60%,± 3%
"DeKalb County, Georgia",24.60%,± 1.4%
"DeKalb County, Illinois",22.20%,± 3.2%
"DeKalb County, Indiana",18.10%,± 3.6%
"DeKalb County, Missouri",19.40%,± 8.1%
"DeKalb County, Tennessee",22.90%,± 6.5%
"Del Norte County, California",11.20%,± 5.3%
"Delaware County, Indiana",25.10%,± 4%
"Delaware County, Iowa",22.70%,± 5.1%
"Delaware County, New York",22.20%,± 5.2%
"Delaware County, Ohio",17.40%,± 1.6%
"Delaware County, Oklahoma",19.10%,± 3.2%
"Delaware County, Pennsylvania",21.20%,± 1.3%
"Delta County, Colorado",11.70%,± 4.1%
"Delta County, Michigan",20.60%,± 4%
"Delta County, Texas",24.90%,± 13.7%
"Denali Borough, Alaska",19.60%,± 18.1%
"Dent County, Missouri",24.20%,± 8.2%
"Denton County, Texas",20.80%,± 1.3%
"Denver County, Colorado",28.50%,± 1.5%
"Des Moines County, Iowa",19.40%,± 4.2%
"Deschutes County, Oregon",23.90%,± 2.6%
"Desha County, Arkansas",20.60%,± 8.1%
"DeSoto County, Florida",16.60%,± 5.8%
"DeSoto County, Mississippi",18.60%,± 2.7%
"Deuel County, Nebraska",33.30%,± 13.6%
"Deuel County, South Dakota",35.30%,± 9.7%
"Dewey County, Oklahoma",22.30%,± 7%
"Dewey County, South Dakota",20.30%,± 6.5%
"DeWitt County, Texas",24.40%,± 8.3%
"Dickens County, Texas",28.80%,± 16.3%
"Dickenson County, Virginia",17.60%,± 6.2%
"Dickey County, North Dakota",19.70%,± 7.6%
"Dickinson County, Iowa",22.40%,± 6.3%
"Dickinson County, Kansas",18.70%,± 5.2%
"Dickinson County, Michigan",23.30%,± 6.2%
"Dickson County, Tennessee",23.60%,± 4.7%
"Dillingham Census Area, Alaska",25.60%,± 8.2%
"Dillon County, South Carolina",24.90%,± 7.7%
"Dimmit County, Texas",13.50%,± 15%
"Dinwiddie County, Virginia",25.20%,± 7.9%
"District of Columbia, District of Columbia",30.20%,± 1.8%
"Divide County, North Dakota",35.80%,± 13.8%
"Dixie County, Florida",20%,± 7.8%
"Dixon County, Nebraska",25.50%,± 6.5%
"Doddridge County, West Virginia",11.80%,± 8.5%
"Dodge County, Georgia",24.40%,± 8.1%
"Dodge County, Minnesota",24.10%,± 3.7%
"Dodge County, Nebraska",16.50%,± 3.4%
"Dodge County, Wisconsin",23.20%,± 2.7%
"Dolores County, Colorado",3.70%,± 6.9%
"Doña Ana County, New Mexico",19.10%,± 3.1%
"Doniphan County, Kansas",16.30%,± 6.6%
"Donley County, Texas",29.40%,± 15.9%
"Dooly County, Georgia",17.80%,± 13.7%
"Door County, Wisconsin",23.70%,± 3.9%
"Dorado Municipio, Puerto Rico",12.70%,± 6.3%
"Dorchester County, Maryland",14.30%,± 4.4%
"Dorchester County, South Carolina",20.70%,± 3.1%
"Dougherty County, Georgia",20.20%,± 3.5%
"Douglas County, Colorado",20.30%,± 1.5%
"Douglas County, Georgia",17.50%,± 3.3%
"Douglas County, Illinois",23.80%,± 5.2%
"Douglas County, Kansas",28.80%,± 3.6%
"Douglas County, Minnesota",27.10%,± 3.8%
"Douglas County, Missouri",29.80%,± 9.5%
"Douglas County, Nebraska",23.40%,± 1.2%
"Douglas County, Nevada",21.90%,± 4%
"Douglas County, Oregon",21%,± 3%
"Douglas County, South Dakota",29.30%,± 8.4%
"Douglas County, Washington",15.50%,± 3.9%
"Douglas County, Wisconsin",20.90%,± 3.8%
"Drew County, Arkansas",20.60%,± 6.8%
"Dubois County, Indiana",21.70%,± 5.3%
"Dubuque County, Iowa",21.90%,± 3%
"Duchesne County, Utah",19.20%,± 3.3%
"Dukes County, Massachusetts",14.60%,± 7.6%
"Dundy County, Nebraska",42.80%,± 14.6%
"Dunklin County, Missouri",20.70%,± 4.7%
"Dunn County, North Dakota",12.50%,± 6.4%
"Dunn County, Wisconsin",22.70%,± 3.4%
"DuPage County, Illinois",22.40%,± 0.8%
"Duplin County, North Carolina",29.80%,± 5.7%
"Durham County, North Carolina",24.60%,± 2.2%
"Dutchess County, New York",22.90%,± 1.8%
"Duval County, Florida",25.50%,± 1.3%
"Duval County, Texas",15.50%,± 13.3%
"Dyer County, Tennessee",17.10%,± 4.9%
"Eagle County, Colorado",21.20%,± 5.3%
"Early County, Georgia",16.60%,± 8.3%
"East Baton Rouge Parish, Louisiana",23.40%,± 2.2%
"East Carroll Parish, Louisiana",17.80%,± 16.3%
"East Feliciana Parish, Louisiana",14.90%,± 7.4%
"Eastland County, Texas",22.50%,± 6.3%
"Eaton County, Michigan",26.80%,± 2.9%
"Eau Claire County, Wisconsin",21.80%,± 2.8%
"Echols County, Georgia",19.50%,± 14.2%
"Ector County, Texas",23.10%,± 2.7%
"Eddy County, New Mexico",19.50%,± 4.2%
"Eddy County, North Dakota",24.20%,± 8%
"Edgar County, Illinois",16.80%,± 4.5%
"Edgecombe County, North Carolina",21.10%,± 5.4%
"Edgefield County, South Carolina",16.80%,± 6%
"Edmonson County, Kentucky",12.60%,± 7.6%
"Edmunds County, South Dakota",28.10%,± 10.6%
"Edwards County, Illinois",25.10%,± 6.3%
"Edwards County, Kansas",20.10%,± 8.1%
"Edwards County, Texas",0%,± 39.4%
"Effingham County, Georgia",16.90%,± 3.3%
"Effingham County, Illinois",23.10%,± 4.3%
"El Dorado County, California",18%,± 2.3%
"El Paso County, Colorado",22%,± 1.4%
"El Paso County, Texas",17.70%,± 1.1%
"Elbert County, Colorado",13.40%,± 5.2%
"Elbert County, Georgia",17.80%,± 6.6%
"Elk County, Kansas",14.20%,± 7.9%
"Elk County, Pennsylvania",26.30%,± 4.5%
"Elkhart County, Indiana",21.70%,± 2.7%
"Elko County, Nevada",23.20%,± 3.8%
"Elliott County, Kentucky",34.40%,± 15.7%
"Ellis County, Kansas",17.60%,± 4.8%
"Ellis County, Oklahoma",24.50%,± 8.2%
"Ellis County, Texas",17.50%,± 1.9%
"Ellsworth County, Kansas",26.70%,± 8.8%
"Elmore County, Alabama",19.70%,± 3.1%
"Elmore County, Idaho",33.10%,± 5.9%
"Emanuel County, Georgia",22.90%,± 5.7%
"Emery County, Utah",13.80%,± 5.7%
"Emmet County, Iowa",20.40%,± 7.6%
"Emmet County, Michigan",23.90%,± 4.2%
"Emmons County, North Dakota",29%,± 9.5%
"Emporia city, Virginia",17.20%,± 11.7%
"Erath County, Texas",22.40%,± 4.3%
"Erie County, New York",22.90%,± 1.2%
"Erie County, Ohio",23.40%,± 4.5%
"Erie County, Pennsylvania",19.10%,± 1.8%
"Escambia County, Alabama",21.70%,± 7.1%
"Escambia County, Florida",25.60%,± 2.5%
"Esmeralda County, Nevada",0%,± 47%
"Essex County, Massachusetts",21.80%,± 1.2%
"Essex County, New Jersey",21.40%,± 1.3%
"Essex County, New York",23.40%,± 5.3%
"Essex County, Vermont",19.10%,± 7.3%
"Essex County, Virginia",24%,± 9.6%
"Estill County, Kentucky",20.30%,± 8.2%
"Etowah County, Alabama",23.60%,± 3.5%
"Eureka County, Nevada",25.30%,± 24.3%
"Evangeline Parish, Louisiana",21.10%,± 5.4%
"Evans County, Georgia",8.60%,± 5.2%
"Fairbanks North Star Borough, Alaska",30.70%,± 3.6%
"Fairfax city, Virginia",25.50%,± 6.5%
"Fairfax County, Virginia",22.20%,± 1%
"Fairfield County, Ohio",20.20%,± 2.3%
"Fairfield County, South Carolina",21.90%,± 8.5%
"Fajardo Municipio, Puerto Rico",15.60%,± 5.5%
"Fall River County, South Dakota",29.50%,± 18.5%
"Fallon County, Montana",19.50%,± 10.5%
"Falls Church city, Virginia",17.10%,± 4.9%
"Falls County, Texas",14.80%,± 5.8%
"Fannin County, Georgia",10.30%,± 5.2%
"Fannin County, Texas",22.30%,± 5%
"Faribault County, Minnesota",21.80%,± 4.4%
"Faulk County, South Dakota",16.40%,± 8.8%
"Faulkner County, Arkansas",19.40%,± 2.5%
"Fauquier County, Virginia",16.70%,± 2.6%
"Fayette County, Alabama",27%,± 7.7%
"Fayette County, Georgia",13.70%,± 2.5%
"Fayette County, Illinois",15.80%,± 4.6%
"Fayette County, Indiana",18%,± 5.3%
"Fayette County, Iowa",17.60%,± 4.3%
"Fayette County, Kentucky",26%,± 1.8%
"Fayette County, Ohio",17.10%,± 5.2%
"Fayette County, Pennsylvania",23.40%,± 2.8%
"Fayette County, Tennessee",17.20%,± 4.9%
"Fayette County, Texas",20.60%,± 7.5%
"Fayette County, West Virginia",29.30%,± 6.6%
"Fentress County, Tennessee",23.80%,± 8.1%
"Fergus County, Montana",36%,± 11.6%
"Ferry County, Washington",26.50%,± 13.6%
"Fillmore County, Minnesota",18.30%,± 2.3%
"Fillmore County, Nebraska",24.20%,± 8.1%
"Finney County, Kansas",22.50%,± 5.9%
"Fisher County, Texas",17.60%,± 9.1%
"Flagler County, Florida",15.40%,± 3.3%
"Flathead County, Montana",22.30%,± 3.2%
"Fleming County, Kentucky",27.40%,± 7.8%
"Florence County, South Carolina",21.90%,± 3.1%
"Florence County, Wisconsin",18.80%,± 6.3%
"Florida Municipio, Puerto Rico",19.20%,± 10.1%
"Floyd County, Georgia",20.70%,± 4%
"Floyd County, Indiana",19.80%,± 2.9%
"Floyd County, Iowa",22.90%,± 5.3%
"Floyd County, Kentucky",17%,± 4.7%
"Floyd County, Texas",19.80%,± 9.7%
"Floyd County, Virginia",19.60%,± 5.7%
"Fluvanna County, Virginia",26.60%,± 6.3%
"Foard County, Texas",52.20%,± 25.1%
"Fond du Lac County, Wisconsin",18.60%,± 2.3%
"Ford County, Illinois",15.10%,± 4.7%
"Ford County, Kansas",19.20%,± 5.2%
"Forest County, Pennsylvania",16.90%,± 8.1%
"Forest County, Wisconsin",17.70%,± 4.7%
"Forrest County, Mississippi",22.40%,± 4.6%
"Forsyth County, Georgia",16.80%,± 1.6%
"Forsyth County, North Carolina",20.30%,± 1.6%
"Fort Bend County, Texas",18.70%,± 1.4%
"Foster County, North Dakota",26.70%,± 9.7%
"Fountain County, Indiana",26.50%,± 5.7%
"Franklin city, Virginia",18.40%,± 13.1%
"Franklin County, Alabama",14.80%,± 4.6%
"Franklin County, Arkansas",10.80%,± 5%
"Franklin County, Florida",14.50%,± 10.3%
"Franklin County, Georgia",23.30%,± 6.1%
"Franklin County, Idaho",17.80%,± 5.8%
"Franklin County, Illinois",19%,± 3.5%
"Franklin County, Indiana",16.30%,± 4.9%
"Franklin County, Iowa",19.10%,± 8%
"Franklin County, Kansas",19.70%,± 5.4%
"Franklin County, Kentucky",22.40%,± 5.2%
"Franklin County, Maine",21.30%,± 6%
"Franklin County, Massachusetts",21.50%,± 3%
"Franklin County, Mississippi",17.40%,± 10.4%
"Franklin County, Missouri",23.50%,± 2.6%
"Franklin County, Nebraska",15%,± 6.9%
"Franklin County, New York",22.70%,± 4.5%
"Franklin County, North Carolina",23.30%,± 4.1%
"Franklin County, Ohio",25.50%,± 0.9%
"Franklin County, Pennsylvania",19.40%,± 2.4%
"Franklin County, Tennessee",24.90%,± 4.8%
"Franklin County, Texas",20.30%,± 11.8%
"Franklin County, Vermont",22.10%,± 3.4%
"Franklin County, Virginia",13.80%,± 3.9%
"Franklin County, Washington",20.20%,± 3.1%
"Franklin Parish, Louisiana",25.20%,± 5.8%
"Frederick County, Maryland",22.20%,± 1.7%
"Frederick County, Virginia",16.10%,± 2.8%
"Fredericksburg city, Virginia",12.50%,± 6%
"Freeborn County, Minnesota",19.60%,± 3.9%
"Freestone County, Texas",15.70%,± 5.2%
"Fremont County, Colorado",21.30%,± 5.2%
"Fremont County, Idaho",16.90%,± 4.9%
"Fremont County, Iowa",14.10%,± 6.3%
"Fremont County, Wyoming",20.20%,± 4.3%
"Fresno County, California",18.20%,± 1.1%
"Frio County, Texas",12.10%,± 9.2%
"Frontier County, Nebraska",15.10%,± 7%
"Fulton County, Arkansas",12.60%,± 5.9%
"Fulton County, Georgia",22.60%,± 1.4%
"Fulton County, Illinois",14.80%,± 3.4%
"Fulton County, Indiana",23.20%,± 6.4%
"Fulton County, Kentucky",25.40%,± 12%
"Fulton County, New York",21.40%,± 3.6%
"Fulton County, Ohio",20.60%,± 4%
"Fulton County, Pennsylvania",21.30%,± 4.6%
"Furnas County, Nebraska",32.20%,± 8.7%
"Gadsden County, Florida",11.80%,± 4.3%
"Gage County, Nebraska",18.40%,± 4%
"Gaines County, Texas",24.90%,± 7.3%
"Galax city, Virginia",14.90%,± 10.6%
"Gallatin County, Illinois",17.50%,± 6.3%
"Gallatin County, Kentucky",27.80%,± 11.6%
"Gallatin County, Montana",24.40%,± 3.3%
"Gallia County, Ohio",24.90%,± 5.7%
"Galveston County, Texas",19.40%,± 1.9%
"Garden County, Nebraska",14.10%,± 12.3%
"Garfield County, Colorado",20.70%,± 4.1%
"Garfield County, Montana",32.70%,± 14.9%
"Garfield County, Nebraska",23.50%,± 15.4%
"Garfield County, Oklahoma",17.30%,± 3.8%
"Garfield County, Utah",22.80%,± 10.8%
"Garfield County, Washington",27.60%,± 17.3%
"Garland County, Arkansas",24%,± 4.1%
"Garrard County, Kentucky",30.40%,± 8.6%
"Garrett County, Maryland",26.60%,± 5.3%
"Garvin County, Oklahoma",16.10%,± 3.7%
"Garza County, Texas",20.60%,± 25.9%
"Gasconade County, Missouri",22.90%,± 5.4%
"Gaston County, North Carolina",21.40%,± 2.4%
"Gates County, North Carolina",17.50%,± 13.1%
"Geary County, Kansas",39.60%,± 5.9%
"Geauga County, Ohio",19.70%,± 2.8%
"Gem County, Idaho",19.10%,± 8.5%
"Genesee County, Michigan",21.40%,± 1.5%
"Genesee County, New York",18.50%,± 3.5%
"Geneva County, Alabama",20%,± 5.4%
"Gentry County, Missouri",27.40%,± 6.7%
"George County, Mississippi",14.90%,± 5.9%
"Georgetown County, South Carolina",19.30%,± 4.7%
"Gibson County, Indiana",25.90%,± 4.9%
"Gibson County, Tennessee",17.30%,± 4.1%
"Gila County, Arizona",14%,± 3.7%
"Gilchrist County, Florida",21.70%,± 8.2%
"Giles County, Tennessee",21.10%,± 6.9%
"Giles County, Virginia",16.80%,± 5.2%
"Gillespie County, Texas",12.70%,± 4.7%
"Gilliam County, Oregon",13%,± 12.8%
"Gilmer County, Georgia",24.30%,± 7.1%
"Gilmer County, West Virginia",18.90%,± 8%
"Gilpin County, Colorado",15.80%,± 12.4%
"Glacier County, Montana",22.70%,± 6.9%
"Glades County, Florida",48.30%,± 13.8%
"Gladwin County, Michigan",21.80%,± 3.4%
"Glascock County, Georgia",21.60%,± 15%
"Glasscock County, Texas",20.80%,± 23.2%
"Glenn County, California",12.90%,± 4.3%
"Gloucester County, New Jersey",18.70%,± 2.1%
"Gloucester County, Virginia",15.80%,± 5.3%
"Glynn County, Georgia",21.60%,± 4.8%
"Gogebic County, Michigan",24.20%,± 6.5%
"Golden Valley County, Montana",6.10%,± 8.8%
"Golden Valley County, North Dakota",18.20%,± 8.4%
"Goliad County, Texas",20%,± 9.2%
"Gonzales County, Texas",17.80%,± 5.8%
"Goochland County, Virginia",24.60%,± 6.8%
"Goodhue County, Minnesota",19.40%,± 3.2%
"Gooding County, Idaho",15.20%,± 6.3%
"Gordon County, Georgia",23.20%,± 5.2%
"Goshen County, Wyoming",29.10%,± 9%
"Gosper County, Nebraska",15.80%,± 13.7%
"Gove County, Kansas",22.10%,± 6.5%
"Grady County, Georgia",13.80%,± 6%
"Grady County, Oklahoma",16.60%,± 2.3%
"Grafton County, New Hampshire",18%,± 3%
"Graham County, Arizona",16.70%,± 4.8%
"Graham County, Kansas",20.50%,± 11%
"Graham County, North Carolina",16.40%,± 9%
"Grainger County, Tennessee",18.60%,± 5.9%
"Grand County, Colorado",24.30%,± 9.4%
"Grand County, Utah",16.50%,± 9.4%
"Grand Forks County, North Dakota",33.80%,± 3.7%
"Grand Isle County, Vermont",28.80%,± 8.8%
"Grand Traverse County, Michigan",21.80%,± 3.2%
"Granite County, Montana",11.60%,± 9.8%
"Grant County, Arkansas",19.80%,± 8%
"Grant County, Indiana",21.60%,± 3.9%
"Grant County, Kansas",16.10%,± 9.9%
"Grant County, Kentucky",21.50%,± 5.6%
"Grant County, Minnesota",23%,± 4.2%
"Grant County, Nebraska",33.80%,± 13.2%
"Grant County, New Mexico",14.90%,± 7.5%
"Grant County, North Dakota",21%,± 7.6%
"Grant County, Oklahoma",18.20%,± 8.6%
"Grant County, Oregon",20.10%,± 7.8%
"Grant County, South Dakota",19.50%,± 9.3%
"Grant County, Washington",16.70%,± 3.3%
"Grant County, West Virginia",21.30%,± 9.1%
"Grant County, Wisconsin",25%,± 3%
"Grant Parish, Louisiana",13.50%,± 5.7%
"Granville County, North Carolina",22.30%,± 4.4%
"Gratiot County, Michigan",21.80%,± 3.4%
"Graves County, Kentucky",29.90%,± 5.2%
"Gray County, Kansas",19.60%,± 5.6%
"Gray County, Texas",19.50%,± 6.1%
"Grays Harbor County, Washington",20.30%,± 4.8%
"Grayson County, Kentucky",20%,± 5.9%
"Grayson County, Texas",21.20%,± 3.3%
"Grayson County, Virginia",16.30%,± 6.4%
"Greater Bridgeport Planning Region, Connecticut",19.60%,± 1.6%
"Greeley County, Kansas",5.90%,± 5.4%
"Greeley County, Nebraska",26.90%,± 10.6%
"Green County, Kentucky",20.90%,± 8.5%
"Green County, Wisconsin",21.70%,± 3%
"Green Lake County, Wisconsin",20.20%,± 4.3%
"Greenbrier County, West Virginia",22.60%,± 5.8%
"Greene County, Alabama",44.80%,± 20.1%
"Greene County, Arkansas",25.20%,± 5.1%
"Greene County, Georgia",8.30%,± 4.5%
"Greene County, Illinois",14.10%,± 5.3%
"Greene County, Indiana",21.10%,± 4.7%
"Greene County, Iowa",17.80%,± 7%
"Greene County, Mississippi",24.70%,± 12.2%
"Greene County, Missouri",24.30%,± 2%
"Greene County, New York",21.90%,± 4.9%
"Greene County, North Carolina",22.20%,± 9.6%
