Geography,Percent with a disability—Total civilian noninstitutionalized population—Estimate,MoE
"Clay County, Mississippi",8.10%,± 1.7%
"Clay County, Missouri",11.90%,± 0.6%
"Clay County, Nebraska",13.30%,± 1.5%
"Clay County, North Carolina",16.30%,± 2.8%
"Clay County, South Dakota",12.70%,± 2.1%
"Clay County, Tennessee",23.60%,± 3.8%
"Clay County, Texas",20.50%,± 2.4%
"Clay County, West Virginia",23.20%,± 3.1%
"Clayton County, Georgia",11.40%,± 0.7%
"Clayton County, Iowa",15.30%,± 1.9%
"Clear Creek County, Colorado",12.10%,± 2.8%
"Clearfield County, Pennsylvania",19.30%,± 1.1%
"Clearwater County, Idaho",22.60%,± 2.2%
"Clearwater County, Minnesota",17.70%,± 1.2%
"Cleburne County, Alabama",21.40%,± 2.2%
"Cleburne County, Arkansas",22%,± 2.1%
"Clermont County, Ohio",14.50%,± 0.7%
"Cleveland County, Arkansas",22.40%,± 3.6%
"Cleveland County, North Carolina",16.20%,± 1.1%
"Cleveland County, Oklahoma",14.60%,± 0.5%
"Clinch County, Georgia",16.50%,± 3.8%
"Clinton County, Illinois",14.50%,± 1.4%
"Clinton County, Indiana",11.30%,± 1.1%
"Clinton County, Iowa",14%,± 1.2%
"Clinton County, Kentucky",24.50%,± 3%
"Clinton County, Michigan",12.90%,± 0.7%
"Clinton County, Missouri",14.40%,± 1.7%
"Clinton County, New York",17.30%,± 1.2%
"Clinton County, Ohio",16.20%,± 1.2%
"Clinton County, Pennsylvania",16%,± 1.1%
"Cloud County, Kansas",13.20%,± 2%
"Coahoma County, Mississippi",14.70%,± 1.5%
"Coal County, Oklahoma",24.70%,± 2.1%
"Coamo Municipio, Puerto Rico",31.50%,± 2.4%
"Cobb County, Georgia",9.10%,± 0.4%
"Cochise County, Arizona",17.90%,± 1%
"Cochran County, Texas",18.20%,± 2.8%
"Cocke County, Tennessee",23.40%,± 1.9%
"Coconino County, Arizona",12.70%,± 0.7%
"Codington County, South Dakota",11.30%,± 1.6%
"Coffee County, Alabama",18.30%,± 1%
"Coffee County, Georgia",16.90%,± 1.7%
"Coffee County, Tennessee",18.70%,± 1.4%
"Coffey County, Kansas",17.30%,± 1.9%
"Coke County, Texas",19.20%,± 2.7%
"Colbert County, Alabama",17.30%,± 1.1%
"Cole County, Missouri",12.10%,± 1.2%
"Coleman County, Texas",21%,± 3.4%
"Coles County, Illinois",17.20%,± 1.4%
"Colfax County, Nebraska",8.10%,± 2%
"Colfax County, New Mexico",25.40%,± 2.5%
"Colleton County, South Carolina",16.80%,± 2%
"Collier County, Florida",11.40%,± 0.5%
"Collin County, Texas",7.50%,± 0.2%
"Collingsworth County, Texas",15.70%,± 4%
"Colonial Heights city, Virginia",16.10%,± 2.2%
"Colorado County, Texas",14.20%,± 2%
"Colquitt County, Georgia",16.60%,± 1.8%
"Columbia County, Arkansas",18.80%,± 2.4%
"Columbia County, Florida",20.20%,± 1.6%
"Columbia County, Georgia",13%,± 0.9%
"Columbia County, New York",14.40%,± 1.1%
"Columbia County, Oregon",16.60%,± 1.2%
"Columbia County, Pennsylvania",14.30%,± 0.9%
"Columbia County, Washington",22.90%,± 3%
"Columbia County, Wisconsin",11.50%,± 0.8%
"Columbiana County, Ohio",17.30%,± 1.2%
"Columbus County, North Carolina",17.50%,± 1.4%
"Colusa County, California",13.10%,± 1.6%
"Comal County, Texas",14.40%,± 1%
"Comanche County, Kansas",18.40%,± 4.5%
"Comanche County, Oklahoma",20.90%,± 0.9%
"Comanche County, Texas",19.10%,± 2%
"Comerío Municipio, Puerto Rico",27%,± 3.4%
"Concho County, Texas",21.60%,± 5.1%
"Concordia Parish, Louisiana",21%,± 2.7%
"Conecuh County, Alabama",20.90%,± 3.2%
"Conejos County, Colorado",18.50%,± 1.6%
"Contra Costa County, California",11.20%,± 0.3%
"Converse County, Wyoming",15.60%,± 2.3%
"Conway County, Arkansas",24.40%,± 2.9%
"Cook County, Georgia",16.20%,± 2.2%
"Cook County, Illinois",10.80%,± 0.1%
"Cook County, Minnesota",13.20%,± 2%
"Cooke County, Texas",13.70%,± 1.2%
"Cooper County, Missouri",16.10%,± 1.8%
"Coos County, New Hampshire",21.30%,± 1.7%
"Coos County, Oregon",22.90%,± 1.4%
"Coosa County, Alabama",25.60%,± 3.5%
"Copiah County, Mississippi",15.20%,± 1.7%
"Copper River Census Area, Alaska",19%,± 3.7%
"Corozal Municipio, Puerto Rico",24.30%,± 2%
"Corson County, South Dakota",12.10%,± 1.2%
"Cortland County, New York",13.30%,± 1%
"Coryell County, Texas",19.40%,± 1.3%
"Coshocton County, Ohio",16.80%,± 1.3%
"Costilla County, Colorado",26.40%,± 4.3%
"Cottle County, Texas",27.80%,± 6.6%
"Cotton County, Oklahoma",24.30%,± 3.1%
"Cottonwood County, Minnesota",13.60%,± 1.2%
"Covington city, Virginia",13.10%,± 3%
"Covington County, Alabama",20.80%,± 1.4%
"Covington County, Mississippi",18.20%,± 2.5%
"Coweta County, Georgia",12.30%,± 0.8%
"Cowley County, Kansas",18.80%,± 1.7%
"Cowlitz County, Washington",18.90%,± 1.1%
"Craig County, Oklahoma",21.90%,± 1.6%
"Craig County, Virginia",11.70%,± 4.9%
"Craighead County, Arkansas",18.40%,± 1.1%
"Crane County, Texas",5.70%,± 2.2%
"Craven County, North Carolina",15.40%,± 1%
"Crawford County, Arkansas",19.10%,± 1.5%
"Crawford County, Georgia",22.80%,± 3.2%
"Crawford County, Illinois",16%,± 1.4%
"Crawford County, Indiana",18.30%,± 2.2%
"Crawford County, Iowa",15.30%,± 2.7%
"Crawford County, Kansas",16%,± 1.3%
"Crawford County, Michigan",22%,± 2%
"Crawford County, Missouri",21.70%,± 2.1%
"Crawford County, Ohio",16.40%,± 1.4%
"Crawford County, Pennsylvania",17.70%,± 0.9%
"Crawford County, Wisconsin",12.10%,± 1%
"Creek County, Oklahoma",15.10%,± 0.8%
"Crenshaw County, Alabama",16.90%,± 1.9%
"Crisp County, Georgia",21.30%,± 2.5%
"Crittenden County, Arkansas",17.50%,± 1.2%
"Crittenden County, Kentucky",31.40%,± 3.2%
"Crockett County, Tennessee",16.40%,± 2%
"Crockett County, Texas",12.60%,± 6%
"Crook County, Oregon",18.30%,± 2%
"Crook County, Wyoming",11.60%,± 2.9%
"Crosby County, Texas",21.40%,± 2.3%
"Cross County, Arkansas",19.10%,± 1.9%
"Crow Wing County, Minnesota",15.10%,± 0.9%
"Crowley County, Colorado",21.30%,± 4.5%
"Culberson County, Texas",23.90%,± 11.2%
"Culebra Municipio, Puerto Rico",8.20%,± 3%
"Cullman County, Alabama",18.20%,± 1.1%
"Culpeper County, Virginia",12.50%,± 1.2%
"Cumberland County, Illinois",14.50%,± 2%
"Cumberland County, Kentucky",18.80%,± 3.4%
"Cumberland County, Maine",11.30%,± 0.4%
"Cumberland County, New Jersey",14.80%,± 0.8%
"Cumberland County, North Carolina",16.70%,± 0.5%
"Cumberland County, Pennsylvania",12.80%,± 0.6%
"Cumberland County, Tennessee",21.10%,± 1.3%
"Cumberland County, Virginia",15%,± 2.9%
"Cuming County, Nebraska",9.90%,± 1.7%
"Currituck County, North Carolina",11.70%,± 1.4%
"Curry County, New Mexico",17.70%,± 1.3%
"Curry County, Oregon",21.60%,± 2.2%
"Custer County, Colorado",14.20%,± 3.5%
"Custer County, Idaho",26.90%,± 5%
"Custer County, Montana",20.30%,± 2%
"Custer County, Nebraska",14.90%,± 1.7%
"Custer County, Oklahoma",12.50%,± 1.3%
"Custer County, South Dakota",19.40%,± 3.2%
"Cuyahoga County, Ohio",15.10%,± 0.3%
"Dade County, Georgia",16.20%,± 2.5%
"Dade County, Missouri",16.10%,± 2%
"Daggett County, Utah",13%,± 5%
"Dakota County, Minnesota",9.90%,± 0.4%
"Dakota County, Nebraska",11.60%,± 1.9%
"Dale County, Alabama",20.80%,± 1.3%
"Dallam County, Texas",10.50%,± 2.7%
"Dallas County, Alabama",19.80%,± 1.8%
"Dallas County, Arkansas",28.20%,± 4%
"Dallas County, Iowa",7.50%,± 0.7%
"Dallas County, Missouri",19.90%,± 2.7%
"Dallas County, Texas",10.20%,± 0.2%
"Dane County, Wisconsin",8.60%,± 0.3%
"Daniels County, Montana",20.30%,± 4.8%
"Danville city, Virginia",19.20%,± 1.5%
"Dare County, North Carolina",10.60%,± 1.1%
"Darke County, Ohio",13.50%,± 1.1%
"Darlington County, South Carolina",16.80%,± 1.4%
"Dauphin County, Pennsylvania",12.90%,± 0.5%
"Davidson County, North Carolina",15.30%,± 0.8%
"Davidson County, Tennessee",11.40%,± 0.3%
"Davie County, North Carolina",18.10%,± 1.5%
"Daviess County, Indiana",14%,± 1.4%
"Daviess County, Kentucky",16.50%,± 0.9%
"Daviess County, Missouri",14.40%,± 1.7%
"Davis County, Iowa",10.60%,± 2%
"Davis County, Utah",9.20%,± 0.4%
"Davison County, South Dakota",14.60%,± 1.8%
"Dawes County, Nebraska",13.40%,± 2.6%
"Dawson County, Georgia",13%,± 1.5%
"Dawson County, Montana",16.60%,± 2.7%
"Dawson County, Nebraska",12.90%,± 1%
"Dawson County, Texas",16.40%,± 2.7%
"Day County, South Dakota",13.50%,± 1.6%
"De Baca County, New Mexico",13.80%,± 5.9%
"De Soto Parish, Louisiana",19.90%,± 1.8%
"De Witt County, Illinois",13.10%,± 1.8%
"Deaf Smith County, Texas",8.20%,± 1.3%
"Dearborn County, Indiana",13.90%,± 1.5%
"Decatur County, Georgia",16.10%,± 1.9%
"Decatur County, Indiana",12.30%,± 1.4%
"Decatur County, Iowa",14.90%,± 1.8%
"Decatur County, Kansas",18%,± 3.6%
"Decatur County, Tennessee",16%,± 2.3%
"Deer Lodge County, Montana",25.50%,± 3.4%
"Defiance County, Ohio",13.90%,± 1.4%
"DeKalb County, Alabama",15.40%,± 1.1%
"DeKalb County, Georgia",11.50%,± 0.5%
"DeKalb County, Illinois",11%,± 0.9%
"DeKalb County, Indiana",13.10%,± 1.5%
"DeKalb County, Missouri",14.90%,± 2.7%
"DeKalb County, Tennessee",21.40%,± 2.1%
"Del Norte County, California",19.30%,± 1.9%
"Delaware County, Indiana",18.20%,± 1%
"Delaware County, Iowa",12.30%,± 1.8%
"Delaware County, New York",18.50%,± 1.2%
"Delaware County, Ohio",8.20%,± 0.5%
"Delaware County, Oklahoma",21.90%,± 1.2%
"Delaware County, Pennsylvania",11.80%,± 0.3%
"Delta County, Colorado",19.40%,± 1.6%
"Delta County, Michigan",17.70%,± 1.5%
"Delta County, Texas",17.20%,± 3.7%
"Denali Borough, Alaska",11.50%,± 2.6%
"Dent County, Missouri",21.60%,± 2.2%
"Denton County, Texas",8.80%,± 0.3%
"Denver County, Colorado",9.90%,± 0.3%
"Des Moines County, Iowa",16.70%,± 1.4%
"Deschutes County, Oregon",12%,± 0.7%
"Desha County, Arkansas",20.40%,± 2.3%
"DeSoto County, Florida",19%,± 2.1%
"DeSoto County, Mississippi",11.90%,± 0.8%
"Deuel County, Nebraska",19.20%,± 2.9%
"Deuel County, South Dakota",13.70%,± 2.2%
"Dewey County, Oklahoma",18.80%,± 2.8%
"Dewey County, South Dakota",9.10%,± 1.3%
"DeWitt County, Texas",16.60%,± 2%
"Dickens County, Texas",20.20%,± 4.6%
"Dickenson County, Virginia",36.40%,± 3.6%
"Dickey County, North Dakota",11.90%,± 2.3%
"Dickinson County, Iowa",14.90%,± 1.8%
"Dickinson County, Kansas",16.30%,± 1.9%
"Dickinson County, Michigan",16.70%,± 1.5%
"Dickson County, Tennessee",17.20%,± 1.3%
"Dillingham Census Area, Alaska",11.30%,± 3.4%
"Dillon County, South Carolina",16.80%,± 1.6%
"Dimmit County, Texas",18.30%,± 4.4%
"Dinwiddie County, Virginia",14.60%,± 1.8%
"District of Columbia, District of Columbia",11%,± 0.4%
"Divide County, North Dakota",11%,± 3.6%
"Dixie County, Florida",25.70%,± 2.6%
"Dixon County, Nebraska",12%,± 1.8%
"Doddridge County, West Virginia",18.50%,± 3.8%
"Dodge County, Georgia",21.70%,± 2.5%
"Dodge County, Minnesota",9.60%,± 1%
"Dodge County, Nebraska",14.90%,± 1.4%
"Dodge County, Wisconsin",11.90%,± 0.8%
"Dolores County, Colorado",8%,± 3.8%
"Doña Ana County, New Mexico",14.70%,± 0.8%
"Doniphan County, Kansas",12.20%,± 1.7%
"Donley County, Texas",9.30%,± 2.8%
"Dooly County, Georgia",18.90%,± 2.9%
"Door County, Wisconsin",12.30%,± 1.1%
"Dorado Municipio, Puerto Rico",15.70%,± 1.9%
"Dorchester County, Maryland",17%,± 1.4%
"Dorchester County, South Carolina",13.50%,± 0.8%
"Dougherty County, Georgia",17.70%,± 1%
"Douglas County, Colorado",7.50%,± 0.4%
"Douglas County, Georgia",11.80%,± 0.8%
"Douglas County, Illinois",13.30%,± 1.4%
"Douglas County, Kansas",11.50%,± 0.9%
"Douglas County, Minnesota",11.90%,± 1%
"Douglas County, Missouri",21.20%,± 2.5%
"Douglas County, Nebraska",10.50%,± 0.3%
"Douglas County, Nevada",16.20%,± 1%
"Douglas County, Oregon",20.80%,± 1.1%
"Douglas County, South Dakota",11.40%,± 1.9%
"Douglas County, Washington",18.50%,± 1.7%
"Douglas County, Wisconsin",15%,± 1.1%
"Drew County, Arkansas",19%,± 2.1%
"Dubois County, Indiana",10.90%,± 1.1%
"Dubuque County, Iowa",11%,± 0.6%
"Duchesne County, Utah",13.80%,± 0.9%
"Dukes County, Massachusetts",10%,± 2.3%
"Dundy County, Nebraska",15.10%,± 4.2%
"Dunklin County, Missouri",21.90%,± 1.6%
"Dunn County, North Dakota",14.90%,± 3%
"Dunn County, Wisconsin",12.50%,± 0.9%
"DuPage County, Illinois",8.20%,± 0.2%
"Duplin County, North Carolina",17.20%,± 1.3%
"Durham County, North Carolina",9.70%,± 0.5%
"Dutchess County, New York",12.90%,± 0.5%
"Duval County, Florida",13%,± 0.3%
"Duval County, Texas",20.80%,± 3.8%
"Dyer County, Tennessee",18.40%,± 1.4%
"Eagle County, Colorado",6.20%,± 1.2%
"Early County, Georgia",14.30%,± 2%
"East Baton Rouge Parish, Louisiana",14.20%,± 0.6%
"East Carroll Parish, Louisiana",17.60%,± 3.8%
"East Feliciana Parish, Louisiana",15.80%,± 2.5%
"Eastland County, Texas",19.20%,± 1.9%
"Eaton County, Michigan",15.80%,± 0.8%
"Eau Claire County, Wisconsin",12.90%,± 1%
"Echols County, Georgia",10%,± 2.9%
"Ector County, Texas",10.20%,± 0.7%
"Eddy County, New Mexico",15.50%,± 1.5%
"Eddy County, North Dakota",20%,± 3.6%
"Edgar County, Illinois",17.80%,± 1.9%
"Edgecombe County, North Carolina",16%,± 1.1%
"Edgefield County, South Carolina",15.60%,± 2.2%
"Edmonson County, Kentucky",26.30%,± 3.4%
"Edmunds County, South Dakota",12.60%,± 2.8%
"Edwards County, Illinois",18.40%,± 2.4%
"Edwards County, Kansas",15.80%,± 2.5%
"Edwards County, Texas",14.30%,± 7.1%
"Effingham County, Georgia",11%,± 1.1%
"Effingham County, Illinois",14.30%,± 1.3%
"El Dorado County, California",12.30%,± 0.6%
"El Paso County, Colorado",12.50%,± 0.3%
"El Paso County, Texas",13.90%,± 0.3%
"Elbert County, Colorado",8.10%,± 1%
"Elbert County, Georgia",19.40%,± 2.4%
"Elk County, Kansas",24.10%,± 2.5%
"Elk County, Pennsylvania",16.40%,± 1.8%
"Elkhart County, Indiana",12.60%,± 0.6%
"Elko County, Nevada",12.70%,± 1.4%
"Elliott County, Kentucky",27.40%,± 4.4%
"Ellis County, Kansas",12.70%,± 1.6%
"Ellis County, Oklahoma",20.80%,± 2.9%
"Ellis County, Texas",12%,± 0.6%
"Ellsworth County, Kansas",17%,± 2.3%
"Elmore County, Alabama",15.20%,± 1%
"Elmore County, Idaho",16.50%,± 1.9%
"Emanuel County, Georgia",21.30%,± 2.2%
"Emery County, Utah",15.40%,± 1.8%
"Emmet County, Iowa",18.80%,± 3.1%
"Emmet County, Michigan",12.80%,± 1.1%
"Emmons County, North Dakota",12.50%,± 2%
"Emporia city, Virginia",23.10%,± 5.9%
"Erath County, Texas",12.90%,± 1.2%
"Erie County, New York",13.70%,± 0.3%
"Erie County, Ohio",15.20%,± 1.1%
"Erie County, Pennsylvania",15.50%,± 0.7%
"Escambia County, Alabama",20.30%,± 1.6%
"Escambia County, Florida",16.80%,± 0.6%
"Esmeralda County, Nevada",23.10%,± 11.7%
"Essex County, Massachusetts",12%,± 0.4%
"Essex County, New Jersey",11.70%,± 0.4%
"Essex County, New York",16.70%,± 1.4%
"Essex County, Vermont",22.90%,± 2.4%
"Essex County, Virginia",16.80%,± 3.2%
"Estill County, Kentucky",28.90%,± 3.2%
"Etowah County, Alabama",17.40%,± 1%
"Eureka County, Nevada",18.90%,± 6.1%
"Evangeline Parish, Louisiana",24.80%,± 2.2%
"Evans County, Georgia",16.30%,± 2.6%
"Fairbanks North Star Borough, Alaska",12.60%,± 1.1%
"Fairfax city, Virginia",7.20%,± 1.3%
"Fairfax County, Virginia",7.60%,± 0.2%
"Fairfield County, Ohio",14.20%,± 0.8%
"Fairfield County, South Carolina",18%,± 2%
"Fajardo Municipio, Puerto Rico",21.20%,± 1.8%
"Fall River County, South Dakota",20.10%,± 3.4%
"Fallon County, Montana",13.30%,± 3.7%
"Falls Church city, Virginia",7.90%,± 1.6%
"Falls County, Texas",18.70%,± 2.4%
"Fannin County, Georgia",20.80%,± 2.4%
"Fannin County, Texas",15.20%,± 1.3%
"Faribault County, Minnesota",13.30%,± 0.9%
"Faulk County, South Dakota",13.70%,± 5.3%
"Faulkner County, Arkansas",14.10%,± 0.8%
"Fauquier County, Virginia",9.60%,± 0.8%
"Fayette County, Alabama",23.50%,± 2.2%
"Fayette County, Georgia",11.70%,± 0.8%
"Fayette County, Illinois",18.20%,± 1.8%
"Fayette County, Indiana",22.20%,± 2.3%
"Fayette County, Iowa",16.30%,± 1.8%
"Fayette County, Kentucky",12.50%,± 0.6%
"Fayette County, Ohio",19.60%,± 1.8%
"Fayette County, Pennsylvania",20.30%,± 0.8%
"Fayette County, Tennessee",17.20%,± 1.3%
"Fayette County, Texas",15.60%,± 1.9%
"Fayette County, West Virginia",24.30%,± 1.6%
"Fentress County, Tennessee",24%,± 2.7%
"Fergus County, Montana",15%,± 2.5%
"Ferry County, Washington",26.10%,± 3.3%
"Fillmore County, Minnesota",11.10%,± 0.9%
"Fillmore County, Nebraska",15%,± 2%
"Finney County, Kansas",13%,± 1.2%
"Fisher County, Texas",18.10%,± 2.4%
"Flagler County, Florida",15.40%,± 1%
"Flathead County, Montana",11.50%,± 0.8%
"Fleming County, Kentucky",20.70%,± 2.8%
"Florence County, South Carolina",12.70%,± 0.7%
"Florence County, Wisconsin",17.70%,± 2.9%
"Florida Municipio, Puerto Rico",20.70%,± 3.2%
"Floyd County, Georgia",16.30%,± 1%
"Floyd County, Indiana",13.80%,± 0.9%
"Floyd County, Iowa",15.20%,± 1.3%
"Floyd County, Kentucky",25.90%,± 2.1%
"Floyd County, Texas",15.60%,± 2.4%
"Floyd County, Virginia",12.70%,± 1.9%
"Fluvanna County, Virginia",11.60%,± 1.6%
"Foard County, Texas",19.80%,± 7.3%
"Fond du Lac County, Wisconsin",13%,± 0.9%
"Ford County, Illinois",15.40%,± 1.7%
"Ford County, Kansas",11.10%,± 1.5%
"Forest County, Pennsylvania",24.10%,± 3.3%
"Forest County, Wisconsin",16.60%,± 1.4%
"Forrest County, Mississippi",20.20%,± 1.3%
"Forsyth County, Georgia",8.10%,± 0.5%
"Forsyth County, North Carolina",12.30%,± 0.4%
"Fort Bend County, Texas",7.30%,± 0.3%
"Foster County, North Dakota",11.10%,± 2.6%
"Fountain County, Indiana",17.80%,± 1.6%
"Franklin city, Virginia",18.60%,± 3.8%
"Franklin County, Alabama",17%,± 1.7%
"Franklin County, Arkansas",24.20%,± 2.6%
"Franklin County, Florida",23.30%,± 3.5%
"Franklin County, Georgia",17.80%,± 1.7%
"Franklin County, Idaho",13.60%,± 2.2%
"Franklin County, Illinois",20%,± 1.4%
"Franklin County, Indiana",13.60%,± 1.7%
"Franklin County, Iowa",9.30%,± 1.6%
"Franklin County, Kansas",16.50%,± 1.5%
"Franklin County, Kentucky",17.60%,± 1.5%
"Franklin County, Maine",17.70%,± 1.3%
"Franklin County, Massachusetts",16.80%,± 0.8%
"Franklin County, Mississippi",24.20%,± 3.4%
"Franklin County, Missouri",14.30%,± 1%
"Franklin County, Nebraska",17.90%,± 2.5%
"Franklin County, New York",17.40%,± 1.2%
"Franklin County, North Carolina",16.80%,± 1.2%
"Franklin County, Ohio",11.50%,± 0.3%
"Franklin County, Pennsylvania",15.90%,± 0.8%
"Franklin County, Tennessee",20%,± 1.4%
"Franklin County, Texas",16.40%,± 2.6%
"Franklin County, Vermont",14.20%,± 1.4%
"Franklin County, Virginia",15.20%,± 1.6%
"Franklin County, Washington",11.80%,± 0.9%
"Franklin Parish, Louisiana",15.70%,± 2.1%
"Frederick County, Maryland",9.90%,± 0.5%
"Frederick County, Virginia",11.60%,± 1%
"Fredericksburg city, Virginia",11.70%,± 1.7%
"Freeborn County, Minnesota",13.50%,± 1.1%
"Freestone County, Texas",19.80%,± 2%
"Fremont County, Colorado",18.90%,± 1.4%
"Fremont County, Idaho",18%,± 2.2%
"Fremont County, Iowa",14.40%,± 1.6%
"Fremont County, Wyoming",14.70%,± 1.1%
"Fresno County, California",12.90%,± 0.3%
"Frio County, Texas",15.10%,± 2.8%
"Frontier County, Nebraska",19.70%,± 3.5%
"Fulton County, Arkansas",23.70%,± 2.9%
"Fulton County, Georgia",10.30%,± 0.3%
"Fulton County, Illinois",14.10%,± 1.2%
"Fulton County, Indiana",16%,± 2%
"Fulton County, Kentucky",21.80%,± 3.9%
"Fulton County, New York",17.10%,± 1.4%
"Fulton County, Ohio",14.60%,± 1.3%
"Fulton County, Pennsylvania",18%,± 1.2%
"Furnas County, Nebraska",18.90%,± 2.1%
"Gadsden County, Florida",19.90%,± 1.9%
"Gage County, Nebraska",15.80%,± 1.4%
"Gaines County, Texas",12.10%,± 2%
"Galax city, Virginia",14.80%,± 3%
"Gallatin County, Illinois",22.80%,± 2.9%
"Gallatin County, Kentucky",16.70%,± 3.2%
"Gallatin County, Montana",9.20%,± 0.7%
"Gallia County, Ohio",19.10%,± 2%
"Galveston County, Texas",12.90%,± 0.6%
"Garden County, Nebraska",20.10%,± 3.4%
"Garfield County, Colorado",9.10%,± 1%
"Garfield County, Montana",10.40%,± 4.3%
"Garfield County, Nebraska",13.70%,± 3.5%
"Garfield County, Oklahoma",17.80%,± 1.4%
"Garfield County, Utah",14.80%,± 2.6%
"Garfield County, Washington",24.10%,± 5%
"Garland County, Arkansas",22.10%,± 1.2%
"Garrard County, Kentucky",16.90%,± 2.2%
"Garrett County, Maryland",18.20%,± 1.7%
"Garvin County, Oklahoma",16.40%,± 1.2%
"Garza County, Texas",18.10%,± 4.4%
"Gasconade County, Missouri",17.50%,± 1.8%
"Gaston County, North Carolina",14.70%,± 0.5%
"Gates County, North Carolina",19.10%,± 2.7%
"Geary County, Kansas",13.40%,± 1.5%
"Geauga County, Ohio",9.90%,± 0.7%
"Gem County, Idaho",18.60%,± 2.2%
"Genesee County, Michigan",17.70%,± 0.6%
"Genesee County, New York",15.40%,± 1.1%
"Geneva County, Alabama",23.90%,± 2.1%
"Gentry County, Missouri",15.60%,± 1.8%
"George County, Mississippi",20.40%,± 2.5%
"Georgetown County, South Carolina",16.60%,± 1.3%
"Gibson County, Indiana",15.70%,± 1.3%
"Gibson County, Tennessee",21.10%,± 1.6%
"Gila County, Arizona",21.20%,± 1.6%
"Gilchrist County, Florida",20.20%,± 3%
"Giles County, Tennessee",15.50%,± 1.8%
"Giles County, Virginia",13%,± 1.8%
"Gillespie County, Texas",14.70%,± 1.9%
"Gilliam County, Oregon",16.60%,± 4.5%
"Gilmer County, Georgia",18.60%,± 2%
"Gilmer County, West Virginia",15.50%,± 2.9%
"Gilpin County, Colorado",12%,± 3.8%
"Glacier County, Montana",15%,± 2.6%
"Glades County, Florida",19.20%,± 2.2%
"Gladwin County, Michigan",20.10%,± 1%
"Glascock County, Georgia",16.10%,± 4.2%
"Glasscock County, Texas",9.40%,± 5.1%
"Glenn County, California",12.70%,± 1.4%
"Gloucester County, New Jersey",12.70%,± 0.5%
"Gloucester County, Virginia",17.20%,± 1.8%
"Glynn County, Georgia",12.90%,± 1.1%
"Gogebic County, Michigan",16.80%,± 1.7%
"Golden Valley County, Montana",19%,± 4%
"Golden Valley County, North Dakota",20%,± 4%
"Goliad County, Texas",16%,± 2.5%
"Gonzales County, Texas",16.40%,± 1.6%
"Goochland County, Virginia",12.60%,± 1.9%
"Goodhue County, Minnesota",10.10%,± 0.7%
"Gooding County, Idaho",16.40%,± 2.1%
"Gordon County, Georgia",13.80%,± 1.3%
"Goshen County, Wyoming",17.40%,± 2.5%
"Gosper County, Nebraska",12.10%,± 3.4%
"Gove County, Kansas",15%,± 2.7%
"Grady County, Georgia",18.40%,± 2%
"Grady County, Oklahoma",17.90%,± 1%
"Grafton County, New Hampshire",13.70%,± 0.9%
"Graham County, Arizona",12.90%,± 1.2%
"Graham County, Kansas",15.30%,± 2.8%
"Graham County, North Carolina",19.60%,± 3.5%
"Grainger County, Tennessee",23.30%,± 2.5%
"Grand County, Colorado",6.70%,± 1.8%
"Grand County, Utah",12.20%,± 3%
"Grand Forks County, North Dakota",9.40%,± 0.8%
"Grand Isle County, Vermont",12.20%,± 1.8%
"Grand Traverse County, Michigan",12.40%,± 0.8%
"Granite County, Montana",17.50%,± 3.7%
"Grant County, Arkansas",19.60%,± 2%
"Grant County, Indiana",19.70%,± 1.3%
"Grant County, Kansas",6.50%,± 3.5%
"Grant County, Kentucky",17.40%,± 2.1%
"Grant County, Minnesota",15.30%,± 1.2%
"Grant County, Nebraska",10.80%,± 4.2%
"Grant County, New Mexico",22.40%,± 2%
"Grant County, North Dakota",13.20%,± 2%
"Grant County, Oklahoma",17.90%,± 2.9%
"Grant County, Oregon",22.90%,± 2.4%
"Grant County, South Dakota",15%,± 1.8%
"Grant County, Washington",13.60%,± 1%
"Grant County, West Virginia",14.70%,± 2.2%
"Grant County, Wisconsin",10.70%,± 0.7%
"Grant Parish, Louisiana",19.60%,± 2.6%
"Granville County, North Carolina",16.40%,± 1.3%
"Gratiot County, Michigan",15.70%,± 1.3%
"Graves County, Kentucky",19.10%,± 1.3%
"Gray County, Kansas",7.90%,± 1.5%
"Gray County, Texas",13.30%,± 1.6%
"Grays Harbor County, Washington",21.10%,± 1%
"Grayson County, Kentucky",19.90%,± 1.8%
"Grayson County, Texas",13.80%,± 0.8%
"Grayson County, Virginia",20.20%,± 2.1%
"Greater Bridgeport Planning Region, Connecticut",12.60%,± 0.6%
"Greeley County, Kansas",11.50%,± 3.3%
"Greeley County, Nebraska",16%,± 2.5%
"Green County, Kentucky",25.40%,± 2.5%
"Green County, Wisconsin",12.40%,± 0.9%
"Green Lake County, Wisconsin",15%,± 1.6%
"Greenbrier County, West Virginia",19.50%,± 1.6%
"Greene County, Alabama",28.20%,± 4.2%
"Greene County, Arkansas",20%,± 1.8%
"Greene County, Georgia",13.50%,± 1.4%
"Greene County, Illinois",17.50%,± 2.2%
"Greene County, Indiana",20.20%,± 1.6%
"Greene County, Iowa",17.30%,± 2.3%
"Greene County, Mississippi",24.50%,± 3.9%
"Greene County, Missouri",14.90%,± 0.6%
"Greene County, New York",13.80%,± 1.2%
"Greene County, North Carolina",20.50%,± 2.3%
"Greene County, Ohio",13.60%,± 0.7%
"Greene County, Pennsylvania",19.10%,± 1.3%
"Greene County, Tennessee",22.20%,± 1.6%
"Greene County, Virginia",12.30%,± 1.8%
