Geography,Total—Total households—SELECTED HOUSEHOLDS BY TYPE—Households with one or more people under 18 years—Estimate,MoE
"Clay County, Mississippi",29%,± 3.2%
"Clay County, Missouri",33.70%,± 1%
"Clay County, Nebraska",29.90%,± 2.4%
"Clay County, North Carolina",15.80%,± 3.8%
"Clay County, South Dakota",26.40%,± 3.3%
"Clay County, Tennessee",27.40%,± 4.3%
"Clay County, Texas",28.30%,± 2.7%
"Clay County, West Virginia",31.90%,± 5.1%
"Clayton County, Georgia",34.40%,± 1.3%
"Clayton County, Iowa",24.80%,± 2%
"Clear Creek County, Colorado",20.10%,± 3.6%
"Clearfield County, Pennsylvania",25.60%,± 1.3%
"Clearwater County, Idaho",17.60%,± 2.3%
"Clearwater County, Minnesota",27.70%,± 2%
"Cleburne County, Alabama",26.10%,± 3%
"Cleburne County, Arkansas",25.60%,± 2.3%
"Clermont County, Ohio",31.20%,± 1.1%
"Cleveland County, Arkansas",29.70%,± 4.5%
"Cleveland County, North Carolina",29.10%,± 1.7%
"Cleveland County, Oklahoma",32.40%,± 1%
"Clinch County, Georgia",30.70%,± 5.7%
"Clinton County, Illinois",27.80%,± 1.7%
"Clinton County, Indiana",29.40%,± 2.3%
"Clinton County, Iowa",26.10%,± 1.7%
"Clinton County, Kentucky",25.10%,± 4.6%
"Clinton County, Michigan",30.60%,± 1.1%
"Clinton County, Missouri",31%,± 3.2%
"Clinton County, New York",25.80%,± 1.2%
"Clinton County, Ohio",29.10%,± 1.7%
"Clinton County, Pennsylvania",27.60%,± 1.8%
"Cloud County, Kansas",26.10%,± 3.2%
"Coahoma County, Mississippi",33.60%,± 3.5%
"Coal County, Oklahoma",28.80%,± 2.8%
"Coamo Municipio, Puerto Rico",26.30%,± 2.6%
"Cobb County, Georgia",32.50%,± 0.7%
"Cochise County, Arizona",26.50%,± 1.2%
"Cochran County, Texas",39.30%,± 4.9%
"Cocke County, Tennessee",28.80%,± 2.6%
"Coconino County, Arizona",26.20%,± 1.3%
"Codington County, South Dakota",26.40%,± 2%
"Coffee County, Alabama",31.70%,± 1.9%
"Coffee County, Georgia",39.10%,± 2.9%
"Coffee County, Tennessee",30.20%,± 2.2%
"Coffey County, Kansas",29.20%,± 2.6%
"Coke County, Texas",17.80%,± 4%
"Colbert County, Alabama",26.50%,± 1.9%
"Cole County, Missouri",28.60%,± 1.7%
"Coleman County, Texas",24.70%,± 3.7%
"Coles County, Illinois",24.10%,± 1.9%
"Colfax County, Nebraska",39.90%,± 6.2%
"Colfax County, New Mexico",21.10%,± 3.5%
"Colleton County, South Carolina",25.70%,± 2.7%
"Collier County, Florida",20.80%,± 0.7%
"Collin County, Texas",40.30%,± 0.6%
"Collingsworth County, Texas",43.30%,± 6.6%
"Colonial Heights city, Virginia",32.70%,± 2.8%
"Colorado County, Texas",24.10%,± 3%
"Colquitt County, Georgia",35%,± 2.5%
"Columbia County, Arkansas",27.70%,± 3.5%
"Columbia County, Florida",28.60%,± 1.8%
"Columbia County, Georgia",37.80%,± 1.9%
"Columbia County, New York",23.90%,± 1.5%
"Columbia County, Oregon",29.20%,± 1.7%
"Columbia County, Pennsylvania",25.10%,± 1.4%
"Columbia County, Washington",23.10%,± 4.7%
"Columbia County, Wisconsin",28.50%,± 1.5%
"Columbiana County, Ohio",26.60%,± 1.3%
"Columbus County, North Carolina",27.80%,± 2.1%
"Colusa County, California",39.10%,± 3.2%
"Comal County, Texas",30.10%,± 1.1%
"Comanche County, Kansas",20.90%,± 4.1%
"Comanche County, Oklahoma",34.80%,± 1.4%
"Comanche County, Texas",29.20%,± 2.8%
"Comerío Municipio, Puerto Rico",23.80%,± 3.8%
"Concho County, Texas",18.90%,± 6.7%
"Concordia Parish, Louisiana",30.30%,± 2.9%
"Conecuh County, Alabama",17.40%,± 3.8%
"Conejos County, Colorado",28.20%,± 3.7%
"Contra Costa County, California",35.50%,± 0.5%
"Converse County, Wyoming",31.20%,± 3.6%
"Conway County, Arkansas",29.90%,± 2.9%
"Cook County, Georgia",33.50%,± 3.3%
"Cook County, Illinois",27.80%,± 0.2%
"Cook County, Minnesota",16.10%,± 2.6%
"Cooke County, Texas",35.10%,± 2.5%
"Cooper County, Missouri",30.60%,± 2%
"Coos County, New Hampshire",21.20%,± 1.8%
"Coos County, Oregon",22.50%,± 1.4%
"Coosa County, Alabama",21.70%,± 3.8%
"Copiah County, Mississippi",27.30%,± 2.6%
"Copper River Census Area, Alaska",30%,± 6.6%
"Corozal Municipio, Puerto Rico",27%,± 2.8%
"Corson County, South Dakota",42.50%,± 3.9%
"Cortland County, New York",28.50%,± 1.8%
"Coryell County, Texas",37.20%,± 2%
"Coshocton County, Ohio",30.90%,± 2.1%
"Costilla County, Colorado",22.70%,± 3.9%
"Cottle County, Texas",25.60%,± 8.3%
"Cotton County, Oklahoma",24.60%,± 3.8%
"Cottonwood County, Minnesota",29.90%,± 2.6%
"Covington city, Virginia",28.90%,± 6.5%
"Covington County, Alabama",29.60%,± 2.1%
"Covington County, Mississippi",31.80%,± 4%
"Coweta County, Georgia",33.60%,± 1.4%
"Cowley County, Kansas",30.60%,± 1.7%
"Cowlitz County, Washington",29.50%,± 1.4%
"Craig County, Oklahoma",29.70%,± 2.6%
"Craig County, Virginia",31.90%,± 7.6%
"Craighead County, Arkansas",34.30%,± 1.5%
"Crane County, Texas",29.90%,± 8.4%
"Craven County, North Carolina",27.70%,± 1.4%
"Crawford County, Arkansas",33.10%,± 2.2%
"Crawford County, Georgia",24.10%,± 4.2%
"Crawford County, Illinois",29.90%,± 2.1%
"Crawford County, Indiana",18.90%,± 2.9%
"Crawford County, Iowa",34.70%,± 4%
"Crawford County, Kansas",30.10%,± 2%
"Crawford County, Michigan",21.60%,± 2.4%
"Crawford County, Missouri",24.60%,± 2.6%
"Crawford County, Ohio",29.70%,± 1.9%
"Crawford County, Pennsylvania",26.20%,± 1%
"Crawford County, Wisconsin",22%,± 1.4%
"Creek County, Oklahoma",33.20%,± 1.3%
"Crenshaw County, Alabama",27.70%,± 3.9%
"Crisp County, Georgia",31.10%,± 4.1%
"Crittenden County, Arkansas",34.80%,± 2.5%
"Crittenden County, Kentucky",28.20%,± 3%
"Crockett County, Tennessee",35.10%,± 2.8%
"Crockett County, Texas",23.70%,± 11.3%
"Crook County, Oregon",28%,± 2.8%
"Crook County, Wyoming",24.90%,± 4.5%
"Crosby County, Texas",40.20%,± 4.5%
"Cross County, Arkansas",38.60%,± 2.9%
"Crow Wing County, Minnesota",23.90%,± 1.2%
"Crowley County, Colorado",31.60%,± 6.3%
"Culberson County, Texas",11%,± 10.5%
"Culebra Municipio, Puerto Rico",20.10%,± 7.8%
"Cullman County, Alabama",32.40%,± 1.6%
"Culpeper County, Virginia",34.10%,± 2.2%
"Cumberland County, Illinois",27.70%,± 2.7%
"Cumberland County, Kentucky",24.80%,± 5.6%
"Cumberland County, Maine",25%,± 0.8%
"Cumberland County, New Jersey",32.60%,± 1.4%
"Cumberland County, North Carolina",31.90%,± 0.8%
"Cumberland County, Pennsylvania",27.80%,± 0.7%
"Cumberland County, Tennessee",21.90%,± 1.6%
"Cumberland County, Virginia",28.50%,± 5%
"Cuming County, Nebraska",26.90%,± 2.6%
"Currituck County, North Carolina",32.10%,± 2.8%
"Curry County, New Mexico",33.80%,± 2.3%
"Curry County, Oregon",17.80%,± 2.2%
"Custer County, Colorado",13.10%,± 4.8%
"Custer County, Idaho",13.70%,± 4.1%
"Custer County, Montana",27.50%,± 2.9%
"Custer County, Nebraska",27.80%,± 2.1%
"Custer County, Oklahoma",35.30%,± 3.2%
"Custer County, South Dakota",21.80%,± 3.9%
"Cuyahoga County, Ohio",24.40%,± 0.4%
"Dade County, Georgia",24.30%,± 3.3%
"Dade County, Missouri",25.80%,± 2.7%
"Daggett County, Utah",24.70%,± 8.8%
"Dakota County, Minnesota",33.40%,± 0.7%
"Dakota County, Nebraska",37.30%,± 4.3%
"Dale County, Alabama",28.10%,± 1.8%
"Dallam County, Texas",30.10%,± 5.8%
"Dallas County, Alabama",24%,± 2.1%
"Dallas County, Arkansas",21.60%,± 5.4%
"Dallas County, Iowa",36.10%,± 1.3%
"Dallas County, Missouri",28.50%,± 3.5%
"Dallas County, Texas",33.40%,± 0.4%
"Dane County, Wisconsin",25.70%,± 0.5%
"Daniels County, Montana",17.90%,± 4.7%
"Danville city, Virginia",21.90%,± 1.8%
"Dare County, North Carolina",24%,± 2%
"Darke County, Ohio",28.80%,± 1.4%
"Darlington County, South Carolina",28.20%,± 1.9%
"Dauphin County, Pennsylvania",27.90%,± 0.8%
"Davidson County, North Carolina",31%,± 1.3%
"Davidson County, Tennessee",25.30%,± 0.7%
"Davie County, North Carolina",27.30%,± 2.4%
"Daviess County, Indiana",36.70%,± 2.3%
"Daviess County, Kentucky",32.10%,± 1.2%
"Daviess County, Missouri",33%,± 2.6%
"Davis County, Iowa",35.80%,± 2.8%
"Davis County, Utah",44.30%,± 0.8%
"Davison County, South Dakota",23.50%,± 2.9%
"Dawes County, Nebraska",26.50%,± 4.4%
"Dawson County, Georgia",28.30%,± 2.9%
"Dawson County, Montana",27.80%,± 4.7%
"Dawson County, Nebraska",35%,± 3%
"Dawson County, Texas",32%,± 4.3%
"Day County, South Dakota",22.60%,± 2.4%
"De Baca County, New Mexico",29.60%,± 21.6%
"De Soto Parish, Louisiana",33.30%,± 2.8%
"De Witt County, Illinois",23.20%,± 2.6%
"Deaf Smith County, Texas",41.30%,± 3.9%
"Dearborn County, Indiana",32.20%,± 2.1%
"Decatur County, Georgia",31.80%,± 3.4%
"Decatur County, Indiana",29.40%,± 2.9%
"Decatur County, Iowa",28.20%,± 2.6%
"Decatur County, Kansas",17.70%,± 3.8%
"Decatur County, Tennessee",26.20%,± 3.3%
"Deer Lodge County, Montana",22.80%,± 3.2%
"Defiance County, Ohio",29.20%,± 2.3%
"DeKalb County, Alabama",32.20%,± 2.1%
"DeKalb County, Georgia",28.40%,± 0.6%
"DeKalb County, Illinois",29.10%,± 1.2%
"DeKalb County, Indiana",33.40%,± 2%
"DeKalb County, Missouri",23%,± 3.4%
"DeKalb County, Tennessee",30.70%,± 3.3%
"Del Norte County, California",28.60%,± 2.8%
"Delaware County, Indiana",26.50%,± 1.2%
"Delaware County, Iowa",28.60%,± 2.5%
"Delaware County, New York",23.40%,± 1.4%
"Delaware County, Ohio",40.60%,± 1%
"Delaware County, Oklahoma",25.30%,± 1.3%
"Delaware County, Pennsylvania",31.20%,± 0.7%
"Delta County, Colorado",22.90%,± 2.3%
"Delta County, Michigan",23.40%,± 1.8%
"Delta County, Texas",32.60%,± 5.9%
"Denali Borough, Alaska",21.30%,± 8.1%
"Dent County, Missouri",29.60%,± 2.9%
"Denton County, Texas",37.30%,± 0.7%
"Denver County, Colorado",23.10%,± 0.6%
"Des Moines County, Iowa",27%,± 2.1%
"Deschutes County, Oregon",27%,± 1.1%
"Desha County, Arkansas",30.30%,± 3.3%
"DeSoto County, Florida",29.70%,± 2.6%
"DeSoto County, Mississippi",38.80%,± 1.5%
"Deuel County, Nebraska",22.80%,± 4.5%
"Deuel County, South Dakota",33%,± 4.4%
"Dewey County, Oklahoma",28.80%,± 3.7%
"Dewey County, South Dakota",47%,± 4.1%
"DeWitt County, Texas",28.70%,± 3%
"Dickens County, Texas",22.90%,± 6.3%
"Dickenson County, Virginia",29.90%,± 3.8%
"Dickey County, North Dakota",30.60%,± 2.9%
"Dickinson County, Iowa",20.80%,± 1.8%
"Dickinson County, Kansas",27.90%,± 2.6%
"Dickinson County, Michigan",22.90%,± 2.1%
"Dickson County, Tennessee",31.30%,± 2.2%
"Dillingham Census Area, Alaska",53.30%,± 6.4%
"Dillon County, South Carolina",32.20%,± 2.9%
"Dimmit County, Texas",40.20%,± 6.1%
"Dinwiddie County, Virginia",32.30%,± 3.3%
"District of Columbia, District of Columbia",19.60%,± 0.6%
"Divide County, North Dakota",32%,± 7%
"Dixie County, Florida",25.90%,± 3.5%
"Dixon County, Nebraska",27.40%,± 2.7%
"Doddridge County, West Virginia",18.60%,± 4.3%
"Dodge County, Georgia",30.40%,± 3.5%
"Dodge County, Minnesota",36.80%,± 1.8%
"Dodge County, Nebraska",29.20%,± 1.6%
"Dodge County, Wisconsin",28.70%,± 1.2%
"Dolores County, Colorado",17.60%,± 6.9%
"Doña Ana County, New Mexico",30.90%,± 1.2%
"Doniphan County, Kansas",26.70%,± 2.6%
"Donley County, Texas",18%,± 4%
"Dooly County, Georgia",25.50%,± 5.6%
"Door County, Wisconsin",20.30%,± 1.6%
"Dorado Municipio, Puerto Rico",24.30%,± 3.3%
"Dorchester County, Maryland",26.40%,± 1.9%
"Dorchester County, South Carolina",34.50%,± 1.6%
"Dougherty County, Georgia",29.10%,± 1.7%
"Douglas County, Colorado",38.20%,± 0.7%
"Douglas County, Georgia",37.50%,± 1.8%
"Douglas County, Illinois",31.90%,± 2.3%
"Douglas County, Kansas",23.10%,± 1.2%
"Douglas County, Minnesota",26.70%,± 1.4%
"Douglas County, Missouri",28.90%,± 3.6%
"Douglas County, Nebraska",31.40%,± 0.6%
"Douglas County, Nevada",19.50%,± 1.4%
"Douglas County, Oregon",24.40%,± 1.2%
"Douglas County, South Dakota",27.10%,± 3.5%
"Douglas County, Washington",38.80%,± 2.2%
"Douglas County, Wisconsin",25%,± 1.7%
"Drew County, Arkansas",30%,± 3.9%
"Dubois County, Indiana",27.80%,± 2.5%
"Dubuque County, Iowa",28.10%,± 1.2%
"Duchesne County, Utah",41.20%,± 2%
"Dukes County, Massachusetts",25.10%,± 3.9%
"Dundy County, Nebraska",22%,± 4.5%
"Dunklin County, Missouri",32.60%,± 2.3%
"Dunn County, North Dakota",25.30%,± 4%
"Dunn County, Wisconsin",25.40%,± 1.2%
"DuPage County, Illinois",32.10%,± 0.4%
"Duplin County, North Carolina",31.20%,± 2.2%
"Durham County, North Carolina",25.70%,± 0.9%
"Dutchess County, New York",27.30%,± 0.8%
"Duval County, Florida",28.50%,± 0.6%
"Duval County, Texas",29.10%,± 5.3%
"Dyer County, Tennessee",31.60%,± 2.7%
"Eagle County, Colorado",30.90%,± 2.6%
"Early County, Georgia",30.30%,± 3.6%
"East Baton Rouge Parish, Louisiana",27.70%,± 0.9%
"East Carroll Parish, Louisiana",37.30%,± 8.4%
"East Feliciana Parish, Louisiana",24.70%,± 3.2%
"Eastland County, Texas",26.90%,± 2.7%
"Eaton County, Michigan",26.90%,± 1%
"Eau Claire County, Wisconsin",25.50%,± 1.3%
"Echols County, Georgia",43.40%,± 9.6%
"Ector County, Texas",41.30%,± 2.1%
"Eddy County, New Mexico",34.70%,± 2.3%
"Eddy County, North Dakota",21.50%,± 3.5%
"Edgar County, Illinois",25%,± 2.7%
"Edgecombe County, North Carolina",31.50%,± 2.1%
"Edgefield County, South Carolina",28.40%,± 2.7%
"Edmonson County, Kentucky",29.70%,± 4.4%
"Edmunds County, South Dakota",23.50%,± 4.3%
"Edwards County, Illinois",29%,± 2.7%
"Edwards County, Kansas",27.90%,± 3.6%
"Edwards County, Texas",21.30%,± 10.8%
"Effingham County, Georgia",33.60%,± 2.2%
"Effingham County, Illinois",31.30%,± 1.8%
"El Dorado County, California",27.20%,± 1.1%
"El Paso County, Colorado",32.40%,± 0.6%
"El Paso County, Texas",39.40%,± 0.8%
"Elbert County, Colorado",30.70%,± 2.9%
"Elbert County, Georgia",27.30%,± 2.8%
"Elk County, Kansas",23.90%,± 4.2%
"Elk County, Pennsylvania",19.70%,± 1.8%
"Elkhart County, Indiana",32.80%,± 1.2%
"Elko County, Nevada",39.10%,± 2.5%
"Elliott County, Kentucky",30.40%,± 6%
"Ellis County, Kansas",28.60%,± 2.3%
"Ellis County, Oklahoma",29.70%,± 4.7%
"Ellis County, Texas",40.20%,± 1.4%
"Ellsworth County, Kansas",23.30%,± 3.5%
"Elmore County, Alabama",33.50%,± 1.9%
"Elmore County, Idaho",34.20%,± 3%
"Emanuel County, Georgia",32.50%,± 3.6%
"Emery County, Utah",35.10%,± 2.6%
"Emmet County, Iowa",21.70%,± 3%
"Emmet County, Michigan",24.70%,± 1.7%
"Emmons County, North Dakota",21.30%,± 3.1%
"Emporia city, Virginia",33.50%,± 6.6%
"Erath County, Texas",29.40%,± 2.6%
"Erie County, New York",25.20%,± 0.5%
"Erie County, Ohio",25%,± 1.6%
"Erie County, Pennsylvania",27.30%,± 0.8%
"Escambia County, Alabama",25.60%,± 2.6%
"Escambia County, Florida",26.30%,± 1%
"Esmeralda County, Nevada",12.20%,± 7.5%
"Essex County, Massachusetts",31.20%,± 0.5%
"Essex County, New Jersey",34%,± 0.6%
"Essex County, New York",25.70%,± 1.6%
"Essex County, Vermont",21.10%,± 2.4%
"Essex County, Virginia",25.70%,± 4%
"Estill County, Kentucky",33.40%,± 3.9%
"Etowah County, Alabama",27.80%,± 1.7%
"Eureka County, Nevada",25.60%,± 12.5%
"Evangeline Parish, Louisiana",32.40%,± 2.5%
"Evans County, Georgia",33.20%,± 4.9%
"Fairbanks North Star Borough, Alaska",30.90%,± 2%
"Fairfax city, Virginia",30.30%,± 2.8%
"Fairfax County, Virginia",34.60%,± 0.5%
"Fairfield County, Ohio",35.20%,± 1.1%
"Fairfield County, South Carolina",24.40%,± 2.8%
"Fajardo Municipio, Puerto Rico",24.40%,± 2.6%
"Fall River County, South Dakota",12.20%,± 3.4%
"Fallon County, Montana",25.10%,± 4.9%
"Falls Church city, Virginia",35.10%,± 3.6%
"Falls County, Texas",27.50%,± 3.2%
"Fannin County, Georgia",22.40%,± 2.5%
"Fannin County, Texas",32.80%,± 2.5%
"Faribault County, Minnesota",23%,± 1.9%
"Faulk County, South Dakota",25.50%,± 5.3%
"Faulkner County, Arkansas",32.30%,± 1.3%
"Fauquier County, Virginia",34.30%,± 1.5%
"Fayette County, Alabama",29.20%,± 3.4%
"Fayette County, Georgia",35.60%,± 1.3%
"Fayette County, Illinois",29.60%,± 2.5%
"Fayette County, Indiana",27.70%,± 2.3%
"Fayette County, Iowa",25%,± 1.7%
"Fayette County, Kentucky",26.60%,± 0.7%
"Fayette County, Ohio",28.80%,± 2.5%
"Fayette County, Pennsylvania",25.30%,± 1.1%
"Fayette County, Tennessee",27.10%,± 1.7%
"Fayette County, Texas",23.70%,± 2.4%
"Fayette County, West Virginia",25.60%,± 2.3%
"Fentress County, Tennessee",28.20%,± 3.5%
"Fergus County, Montana",24.40%,± 3.3%
"Ferry County, Washington",18.10%,± 3.2%
"Fillmore County, Minnesota",28.30%,± 1.2%
"Fillmore County, Nebraska",26.60%,± 2.6%
"Finney County, Kansas",35.60%,± 2.8%
"Fisher County, Texas",31%,± 4%
"Flagler County, Florida",22.10%,± 1.1%
"Flathead County, Montana",26.10%,± 1.4%
"Fleming County, Kentucky",31.90%,± 3.2%
"Florence County, South Carolina",29.90%,± 1.6%
"Florence County, Wisconsin",17.50%,± 2.2%
"Florida Municipio, Puerto Rico",32.70%,± 5.2%
"Floyd County, Georgia",34%,± 1.8%
"Floyd County, Indiana",29.90%,± 1.4%
"Floyd County, Iowa",23.10%,± 2.2%
"Floyd County, Kentucky",30.50%,± 2.7%
"Floyd County, Texas",38.20%,± 5.3%
"Floyd County, Virginia",24.90%,± 2.8%
"Fluvanna County, Virginia",32.60%,± 2.9%
"Foard County, Texas",20.60%,± 7.2%
"Fond du Lac County, Wisconsin",24.70%,± 1.1%
"Ford County, Illinois",30.40%,± 2.5%
"Ford County, Kansas",40.90%,± 3.2%
"Forest County, Pennsylvania",12.70%,± 2.7%
"Forest County, Wisconsin",22.30%,± 1.9%
"Forrest County, Mississippi",31.70%,± 1.9%
"Forsyth County, Georgia",45.80%,± 0.8%
"Forsyth County, North Carolina",28.60%,± 0.8%
"Fort Bend County, Texas",45.50%,± 0.8%
"Foster County, North Dakota",26.40%,± 3.4%
"Fountain County, Indiana",29.40%,± 2.2%
"Franklin city, Virginia",32.90%,± 5.2%
"Franklin County, Alabama",30.30%,± 3%
"Franklin County, Arkansas",29.40%,± 3.5%
"Franklin County, Florida",19.70%,± 3.1%
"Franklin County, Georgia",27.90%,± 3%
"Franklin County, Idaho",39.40%,± 3.3%
"Franklin County, Illinois",27.60%,± 1.7%
"Franklin County, Indiana",25.40%,± 2.2%
"Franklin County, Iowa",25.40%,± 2.7%
"Franklin County, Kansas",32.40%,± 3.1%
"Franklin County, Kentucky",28.70%,± 1.9%
"Franklin County, Maine",22.60%,± 1.7%
"Franklin County, Massachusetts",23.30%,± 1%
"Franklin County, Mississippi",35.90%,± 4.7%
"Franklin County, Missouri",30.50%,± 1.3%
"Franklin County, Nebraska",21.80%,± 2.9%
"Franklin County, New York",26%,± 1.7%
"Franklin County, North Carolina",32.20%,± 1.7%
"Franklin County, Ohio",29.70%,± 0.5%
"Franklin County, Pennsylvania",29.60%,± 1.1%
"Franklin County, Tennessee",27.50%,± 1.7%
"Franklin County, Texas",23.80%,± 5.3%
"Franklin County, Vermont",28%,± 1.9%
"Franklin County, Virginia",26.50%,± 2%
"Franklin County, Washington",47.70%,± 1.8%
"Franklin Parish, Louisiana",34.20%,± 3.1%
"Frederick County, Maryland",35.70%,± 0.8%
"Frederick County, Virginia",31.10%,± 1.7%
"Fredericksburg city, Virginia",23.70%,± 2.6%
"Freeborn County, Minnesota",27%,± 1.4%
"Freestone County, Texas",31%,± 3.1%
"Fremont County, Colorado",23%,± 2%
"Fremont County, Idaho",36.50%,± 3.2%
"Fremont County, Iowa",26.50%,± 3.3%
"Fremont County, Wyoming",29.10%,± 1.7%
"Fresno County, California",40.10%,± 0.6%
"Frio County, Texas",38.70%,± 6.5%
"Frontier County, Nebraska",24.30%,± 3.5%
"Fulton County, Arkansas",27.50%,± 3.4%
"Fulton County, Georgia",26%,± 0.6%
"Fulton County, Illinois",26.80%,± 2%
"Fulton County, Indiana",30.30%,± 2.2%
"Fulton County, Kentucky",28.10%,± 5.6%
"Fulton County, New York",26.40%,± 1.6%
"Fulton County, Ohio",29.90%,± 1.7%
"Fulton County, Pennsylvania",27.80%,± 1.7%
"Furnas County, Nebraska",28%,± 2.7%
"Gadsden County, Florida",26.20%,± 2.4%
"Gage County, Nebraska",27.50%,± 2.2%
"Gaines County, Texas",44.80%,± 5.4%
"Galax city, Virginia",28.30%,± 5.9%
"Gallatin County, Illinois",30.60%,± 4.2%
"Gallatin County, Kentucky",32.50%,± 4.1%
"Gallatin County, Montana",24.40%,± 1.2%
"Gallia County, Ohio",28.10%,± 2.3%
"Galveston County, Texas",32.20%,± 1%
"Garden County, Nebraska",27%,± 5.6%
"Garfield County, Colorado",34.90%,± 1.8%
"Garfield County, Montana",26%,± 6.7%
"Garfield County, Nebraska",21.20%,± 4.2%
"Garfield County, Oklahoma",29.90%,± 2.2%
"Garfield County, Utah",26.30%,± 3.9%
"Garfield County, Washington",26.30%,± 5.8%
"Garland County, Arkansas",28.70%,± 1.6%
"Garrard County, Kentucky",32.70%,± 2.9%
"Garrett County, Maryland",27.40%,± 1.8%
"Garvin County, Oklahoma",31.30%,± 2%
"Garza County, Texas",23.40%,± 8.1%
"Gasconade County, Missouri",29.50%,± 2.2%
"Gaston County, North Carolina",30.80%,± 1%
"Gates County, North Carolina",20.90%,± 4%
"Geary County, Kansas",46.10%,± 3.4%
"Geauga County, Ohio",29.40%,± 1.2%
"Gem County, Idaho",30.10%,± 2.8%
"Genesee County, Michigan",28.30%,± 0.6%
"Genesee County, New York",25%,± 1.4%
"Geneva County, Alabama",27.60%,± 2.5%
"Gentry County, Missouri",28.80%,± 3.1%
"George County, Mississippi",35%,± 3.2%
"Georgetown County, South Carolina",21.60%,± 1.8%
"Gibson County, Indiana",29.10%,± 1.9%
"Gibson County, Tennessee",30.60%,± 2%
"Gila County, Arizona",21.70%,± 1.8%
"Gilchrist County, Florida",31.40%,± 2.8%
"Giles County, Tennessee",24.80%,± 2.7%
"Giles County, Virginia",22.80%,± 2.3%
"Gillespie County, Texas",24.50%,± 2.9%
"Gilliam County, Oregon",18.70%,± 4.2%
"Gilmer County, Georgia",24%,± 2.5%
"Gilmer County, West Virginia",21.60%,± 4.7%
"Gilpin County, Colorado",24%,± 6.9%
"Glacier County, Montana",40.20%,± 4.4%
"Glades County, Florida",27.80%,± 4.8%
"Gladwin County, Michigan",21.80%,± 1.6%
"Glascock County, Georgia",26.70%,± 7.2%
"Glasscock County, Texas",34.20%,± 13.4%
"Glenn County, California",34.30%,± 2.8%
"Gloucester County, New Jersey",32.40%,± 0.8%
"Gloucester County, Virginia",25.50%,± 2.5%
"Glynn County, Georgia",26.30%,± 2.1%
"Gogebic County, Michigan",17.50%,± 2.1%
"Golden Valley County, Montana",13.80%,± 5.7%
"Golden Valley County, North Dakota",23.80%,± 5.6%
"Goliad County, Texas",25.30%,± 3.9%
"Gonzales County, Texas",31.50%,± 3%
"Goochland County, Virginia",23.80%,± 2.5%
"Goodhue County, Minnesota",26.70%,± 1.4%
"Gooding County, Idaho",31.60%,± 4%
"Gordon County, Georgia",35.20%,± 2.4%
"Goshen County, Wyoming",26.50%,± 3.2%
"Gosper County, Nebraska",19.60%,± 4%
"Gove County, Kansas",26.90%,± 4.1%
"Grady County, Georgia",33.10%,± 3.1%
"Grady County, Oklahoma",33.40%,± 1.5%
"Grafton County, New Hampshire",22.40%,± 1.4%
"Graham County, Arizona",38.70%,± 2.7%
"Graham County, Kansas",33.40%,± 5.6%
"Graham County, North Carolina",26.90%,± 4.7%
"Grainger County, Tennessee",25%,± 2.6%
"Grand County, Colorado",15.50%,± 2.6%
"Grand County, Utah",28.50%,± 4.3%
"Grand Forks County, North Dakota",25.80%,± 1.4%
"Grand Isle County, Vermont",22.60%,± 2.8%
"Grand Traverse County, Michigan",25.40%,± 1.4%
"Granite County, Montana",16.20%,± 4.3%
"Grant County, Arkansas",29.40%,± 2.4%
"Grant County, Indiana",29.80%,± 1.7%
"Grant County, Kansas",41.30%,± 8.1%
"Grant County, Kentucky",35.50%,± 3.2%
"Grant County, Minnesota",28.10%,± 2%
"Grant County, Nebraska",24.90%,± 6.5%
"Grant County, New Mexico",16.20%,± 2.6%
"Grant County, North Dakota",22.90%,± 3.4%
"Grant County, Oklahoma",24.60%,± 2.8%
"Grant County, Oregon",17.70%,± 2.5%
"Grant County, South Dakota",24.90%,± 3.6%
"Grant County, Washington",37.60%,± 1.7%
"Grant County, West Virginia",23.90%,± 3.2%
"Grant County, Wisconsin",27%,± 1.2%
"Grant Parish, Louisiana",33%,± 3.8%
"Granville County, North Carolina",29.10%,± 2.1%
"Gratiot County, Michigan",28.60%,± 1.5%
"Graves County, Kentucky",28.70%,± 2.4%
"Gray County, Kansas",35.70%,± 3.3%
"Gray County, Texas",34.10%,± 2.9%
"Grays Harbor County, Washington",24.60%,± 1.3%
"Grayson County, Kentucky",26.80%,± 2%
"Grayson County, Texas",32.20%,± 1.2%
"Grayson County, Virginia",22%,± 2.2%
"Greater Bridgeport Planning Region, Connecticut",31.40%,± 0.9%
"Greeley County, Kansas",36.90%,± 5.3%
"Greeley County, Nebraska",25.50%,± 3.5%
"Green County, Kentucky",32.80%,± 3.5%
"Green County, Wisconsin",28.20%,± 1.3%
"Green Lake County, Wisconsin",25.40%,± 1.7%
"Greenbrier County, West Virginia",21.90%,± 2.4%
"Greene County, Alabama",21%,± 4.7%
"Greene County, Arkansas",33.30%,± 2.3%
"Greene County, Georgia",22.70%,± 2.8%
"Greene County, Illinois",26.10%,± 2.3%
"Greene County, Indiana",29.20%,± 2.4%
"Greene County, Iowa",20.90%,± 2.7%
"Greene County, Mississippi",29.70%,± 4.1%
"Greene County, Missouri",24.70%,± 0.8%
"Greene County, New York",21.80%,± 1.6%
"Greene County, North Carolina",30.30%,± 3.6%
"Greene County, Ohio",28.40%,± 1.1%
