Geography,Percent below poverty level—Population for whom poverty status is determined—Estimate,MoE
"Clay County, Minnesota",14.70%,± 2%
"Clay County, Mississippi",23%,± 4%
"Clay County, Missouri",8.30%,± 0.8%
"Clay County, Nebraska",8.70%,± 1.9%
"Clay County, North Carolina",13.50%,± 3.6%
"Clay County, South Dakota",21.20%,± 3.7%
"Clay County, Tennessee",22.30%,± 5.2%
"Clay County, Texas",9.10%,± 2.1%
"Clay County, West Virginia",24.60%,± 6.1%
"Clayton County, Georgia",16.90%,± 1.3%
"Clayton County, Iowa",13%,± 2.6%
"Clear Creek County, Colorado",6.60%,± 2.1%
"Clearfield County, Pennsylvania",13.70%,± 1.2%
"Clearwater County, Idaho",11.30%,± 2.2%
"Clearwater County, Minnesota",11.30%,± 1.5%
"Cleburne County, Alabama",12.90%,± 2.8%
"Cleburne County, Arkansas",14.10%,± 2.5%
"Clermont County, Ohio",8.40%,± 0.8%
"Cleveland County, Arkansas",13.60%,± 4%
"Cleveland County, North Carolina",18.40%,± 1.5%
"Cleveland County, Oklahoma",12.80%,± 0.9%
"Clinch County, Georgia",32.50%,± 8.1%
"Clinton County, Illinois",7.20%,± 1.3%
"Clinton County, Indiana",9%,± 1.6%
"Clinton County, Iowa",12.40%,± 1.5%
"Clinton County, Kentucky",20.30%,± 4%
"Clinton County, Michigan",9.60%,± 1.2%
"Clinton County, Missouri",11.30%,± 2.9%
"Clinton County, New York",13%,± 1.4%
"Clinton County, Ohio",14.50%,± 1.9%
"Clinton County, Pennsylvania",13.10%,± 1.6%
"Cloud County, Kansas",12%,± 2.7%
"Coahoma County, Mississippi",37%,± 3.8%
"Coal County, Oklahoma",22.90%,± 3.6%
"Coamo Municipio, Puerto Rico",49.90%,± 4%
"Cobb County, Georgia",8.30%,± 0.5%
"Cochise County, Arizona",14.70%,± 1.2%
"Cochran County, Texas",25.80%,± 6%
"Cocke County, Tennessee",20.10%,± 2.7%
"Coconino County, Arizona",16.90%,± 1.2%
"Codington County, South Dakota",11%,± 1.7%
"Coffee County, Alabama",16.30%,± 1.5%
"Coffee County, Georgia",20%,± 3%
"Coffee County, Tennessee",16.90%,± 2.1%
"Coffey County, Kansas",11.20%,± 2.1%
"Coke County, Texas",16.50%,± 4.8%
"Colbert County, Alabama",15.90%,± 2.2%
"Cole County, Missouri",9.40%,± 1.1%
"Coleman County, Texas",17.10%,± 5.2%
"Coles County, Illinois",19.40%,± 2%
"Colfax County, Nebraska",10.20%,± 4.2%
"Colfax County, New Mexico",18.10%,± 3.7%
"Colleton County, South Carolina",16.60%,± 2.4%
"Collier County, Florida",10.40%,± 0.9%
"Collin County, Texas",6.30%,± 0.4%
"Collingsworth County, Texas",22.30%,± 8.1%
"Colonial Heights city, Virginia",10.20%,± 2.4%
"Colorado County, Texas",7.50%,± 1.8%
"Colquitt County, Georgia",24.40%,± 2.8%
"Columbia County, Arkansas",22.50%,± 3.3%
"Columbia County, Florida",15.70%,± 2%
"Columbia County, Georgia",7.20%,± 1.4%
"Columbia County, New York",10.30%,± 1.2%
"Columbia County, Oregon",9.10%,± 1.4%
"Columbia County, Pennsylvania",15.30%,± 1.6%
"Columbia County, Washington",9.30%,± 3%
"Columbia County, Wisconsin",7.50%,± 1.1%
"Columbiana County, Ohio",13.20%,± 1.4%
"Columbus County, North Carolina",21.10%,± 2.7%
"Colusa County, California",10.90%,± 2.4%
"Comal County, Texas",6.10%,± 0.9%
"Comanche County, Kansas",8.70%,± 4.2%
"Comanche County, Oklahoma",16.60%,± 1.3%
"Comanche County, Texas",13.50%,± 3.1%
"Comerío Municipio, Puerto Rico",53.30%,± 4.6%
"Concho County, Texas",15.90%,± 6.6%
"Concordia Parish, Louisiana",33.90%,± 3.7%
"Conecuh County, Alabama",18.40%,± 4.7%
"Conejos County, Colorado",15.70%,± 3.1%
"Contra Costa County, California",8.30%,± 0.4%
"Converse County, Wyoming",11%,± 3.4%
"Conway County, Arkansas",20.90%,± 3.7%
"Cook County, Georgia",21.80%,± 3.6%
"Cook County, Illinois",13.40%,± 0.2%
"Cook County, Minnesota",8.60%,± 2.3%
"Cooke County, Texas",13.30%,± 1.9%
"Cooper County, Missouri",13%,± 2.2%
"Coos County, New Hampshire",11.60%,± 1.7%
"Coos County, Oregon",16.10%,± 1.7%
"Coosa County, Alabama",11.10%,± 3.3%
"Copiah County, Mississippi",23.40%,± 3.1%
"Copper River Census Area, Alaska",11.20%,± 4.5%
"Corozal Municipio, Puerto Rico",46.10%,± 5.1%
"Corson County, South Dakota",43.40%,± 4.3%
"Cortland County, New York",12.90%,± 1.5%
"Coryell County, Texas",10.60%,± 1.6%
"Coshocton County, Ohio",18.90%,± 2.9%
"Costilla County, Colorado",22.50%,± 4.8%
"Cottle County, Texas",24.10%,± 10.2%
"Cotton County, Oklahoma",21.80%,± 4.3%
"Cottonwood County, Minnesota",12.90%,± 2.2%
"Covington city, Virginia",16.90%,± 5.2%
"Covington County, Alabama",18.80%,± 2.1%
"Covington County, Mississippi",23.60%,± 4.5%
"Coweta County, Georgia",8.30%,± 1.1%
"Cowley County, Kansas",14%,± 2%
"Cowlitz County, Washington",12.10%,± 1.1%
"Craig County, Oklahoma",19.30%,± 2.4%
"Craig County, Virginia",10.90%,± 5.7%
"Craighead County, Arkansas",19.10%,± 1.6%
"Crane County, Texas",3.80%,± 2.7%
"Craven County, North Carolina",14%,± 1.7%
"Crawford County, Arkansas",17.80%,± 2.5%
"Crawford County, Georgia",16.60%,± 4%
"Crawford County, Illinois",9.60%,± 1.4%
"Crawford County, Indiana",21.90%,± 4.8%
"Crawford County, Iowa",17%,± 4%
"Crawford County, Kansas",20.90%,± 2.1%
"Crawford County, Michigan",13.80%,± 1.7%
"Crawford County, Missouri",14.70%,± 2.6%
"Crawford County, Ohio",14.10%,± 1.8%
"Crawford County, Pennsylvania",12.70%,± 0.9%
"Crawford County, Wisconsin",12.40%,± 2%
"Creek County, Oklahoma",13.60%,± 1.1%
"Crenshaw County, Alabama",14.90%,± 2.3%
"Crisp County, Georgia",23.60%,± 4.5%
"Crittenden County, Arkansas",19.70%,± 1.9%
"Crittenden County, Kentucky",17.90%,± 4.2%
"Crockett County, Tennessee",15.60%,± 3%
"Crockett County, Texas",9.30%,± 5.7%
"Crook County, Oregon",7.90%,± 2%
"Crook County, Wyoming",6.30%,± 2.5%
"Crosby County, Texas",23.60%,± 4.1%
"Cross County, Arkansas",20.20%,± 3.3%
"Crow Wing County, Minnesota",10.40%,± 1%
"Crowley County, Colorado",24.20%,± 5.1%
"Culberson County, Texas",22.20%,± 12.6%
"Culebra Municipio, Puerto Rico",23.50%,± 8.3%
"Cullman County, Alabama",13%,± 1.4%
"Culpeper County, Virginia",7.30%,± 1.6%
"Cumberland County, Illinois",9.70%,± 2.5%
"Cumberland County, Kentucky",28.30%,± 6.9%
"Cumberland County, Maine",7.20%,± 0.5%
"Cumberland County, New Jersey",15.50%,± 1.4%
"Cumberland County, North Carolina",17.60%,± 0.8%
"Cumberland County, Pennsylvania",7.70%,± 0.7%
"Cumberland County, Tennessee",12.60%,± 1.4%
"Cumberland County, Virginia",7.90%,± 2.8%
"Cuming County, Nebraska",7.70%,± 2.3%
"Currituck County, North Carolina",8.50%,± 2.3%
"Curry County, New Mexico",19.30%,± 2.2%
"Curry County, Oregon",12.40%,± 2.4%
"Custer County, Colorado",7.70%,± 2.9%
"Custer County, Idaho",11.60%,± 4.6%
"Custer County, Montana",11.10%,± 2.5%
"Custer County, Nebraska",11.30%,± 3.4%
"Custer County, Oklahoma",16%,± 2.5%
"Custer County, South Dakota",8.30%,± 2.4%
"Cuyahoga County, Ohio",16.50%,± 0.4%
"Dade County, Georgia",6.50%,± 2.2%
"Dade County, Missouri",17%,± 2.9%
"Daggett County, Utah",7.80%,± 3.9%
"Dakota County, Minnesota",5.60%,± 0.4%
"Dakota County, Nebraska",11.20%,± 2.6%
"Dale County, Alabama",17.50%,± 1.8%
"Dallam County, Texas",8.60%,± 4.4%
"Dallas County, Alabama",27.10%,± 2.8%
"Dallas County, Arkansas",11.90%,± 4.2%
"Dallas County, Iowa",5.70%,± 1%
"Dallas County, Missouri",20.60%,± 4.3%
"Dallas County, Texas",14%,± 0.3%
"Dane County, Wisconsin",10.90%,± 0.5%
"Daniels County, Montana",12.20%,± 5.4%
"Danville city, Virginia",25.30%,± 2.8%
"Dare County, North Carolina",6.50%,± 1.5%
"Darke County, Ohio",11%,± 1.5%
"Darlington County, South Carolina",20.20%,± 2.3%
"Dauphin County, Pennsylvania",12.20%,± 0.9%
"Davidson County, North Carolina",13.90%,± 1.3%
"Davidson County, Tennessee",14.30%,± 0.6%
"Davie County, North Carolina",11.60%,± 1.8%
"Daviess County, Indiana",9.60%,± 1.8%
"Daviess County, Kentucky",14%,± 1.3%
"Daviess County, Missouri",13.80%,± 2.1%
"Davis County, Iowa",9.40%,± 4.1%
"Davis County, Utah",6%,± 0.7%
"Davison County, South Dakota",15.20%,± 3.3%
"Dawes County, Nebraska",13%,± 2.9%
"Dawson County, Georgia",9.60%,± 3.2%
"Dawson County, Montana",7.50%,± 2.3%
"Dawson County, Nebraska",14.20%,± 2.9%
"Dawson County, Texas",24.80%,± 5.8%
"Day County, South Dakota",14.70%,± 2.8%
"De Baca County, New Mexico",16.30%,± 7.5%
"De Soto Parish, Louisiana",20.20%,± 3.6%
"De Witt County, Illinois",10.20%,± 2.3%
"Deaf Smith County, Texas",15.80%,± 4.7%
"Dearborn County, Indiana",8.50%,± 1.4%
"Decatur County, Georgia",24.30%,± 3.1%
"Decatur County, Indiana",9.60%,± 2.3%
"Decatur County, Iowa",14.50%,± 3.1%
"Decatur County, Kansas",12.20%,± 3.7%
"Decatur County, Tennessee",19.20%,± 4.1%
"Deer Lodge County, Montana",22.90%,± 4.6%
"Defiance County, Ohio",10.50%,± 2%
"DeKalb County, Alabama",20.20%,± 2.1%
"DeKalb County, Georgia",13.40%,± 0.7%
"DeKalb County, Illinois",15.40%,± 1.6%
"DeKalb County, Indiana",10%,± 1.7%
"DeKalb County, Missouri",10.30%,± 2.2%
"DeKalb County, Tennessee",20.20%,± 4.7%
"Del Norte County, California",14.30%,± 2.6%
"Delaware County, Indiana",20.60%,± 1.3%
"Delaware County, Iowa",6.60%,± 1.5%
"Delaware County, New York",14.80%,± 1.7%
"Delaware County, Ohio",4.50%,± 0.5%
"Delaware County, Oklahoma",19%,± 1.8%
"Delaware County, Pennsylvania",9.70%,± 0.5%
"Delta County, Colorado",15%,± 2.4%
"Delta County, Michigan",13.20%,± 1.6%
"Delta County, Texas",14.10%,± 3.5%
"Denali Borough, Alaska",7.30%,± 6.1%
"Dent County, Missouri",16.80%,± 3.1%
"Denton County, Texas",7.40%,± 0.4%
"Denver County, Colorado",11.70%,± 0.6%
"Des Moines County, Iowa",14.60%,± 1.9%
"Deschutes County, Oregon",9.10%,± 1%
"Desha County, Arkansas",27.20%,± 4.3%
"DeSoto County, Florida",26.40%,± 3.3%
"DeSoto County, Mississippi",9.80%,± 1%
"Deuel County, Nebraska",7.10%,± 2.2%
"Deuel County, South Dakota",5.80%,± 1.8%
"Dewey County, Oklahoma",14.20%,± 3.1%
"Dewey County, South Dakota",30.90%,± 4.8%
"DeWitt County, Texas",16.50%,± 3.1%
"Dickens County, Texas",12.30%,± 4.3%
"Dickenson County, Virginia",22.50%,± 3.6%
"Dickey County, North Dakota",9.20%,± 3.2%
"Dickinson County, Iowa",6.20%,± 1.3%
"Dickinson County, Kansas",8.80%,± 1.8%
"Dickinson County, Michigan",9.70%,± 2.1%
"Dickson County, Tennessee",10.90%,± 1.8%
"Dillingham Census Area, Alaska",15.90%,± 3.2%
"Dillon County, South Carolina",31.60%,± 3.8%
"Dimmit County, Texas",43.60%,± 9.2%
"Dinwiddie County, Virginia",11%,± 2.2%
"District of Columbia, District of Columbia",15.10%,± 0.6%
"Divide County, North Dakota",6.60%,± 3.5%
"Dixie County, Florida",16.10%,± 3.6%
"Dixon County, Nebraska",9.40%,± 2.8%
"Doddridge County, West Virginia",14.40%,± 6.1%
"Dodge County, Georgia",22.30%,± 4%
"Dodge County, Minnesota",4.90%,± 0.9%
"Dodge County, Nebraska",9.10%,± 1.4%
"Dodge County, Wisconsin",7.60%,± 0.8%
"Dolores County, Colorado",16.70%,± 7.8%
"Doña Ana County, New Mexico",22.80%,± 1.4%
"Doniphan County, Kansas",11.40%,± 3%
"Donley County, Texas",11.30%,± 4.1%
"Dooly County, Georgia",21%,± 4.5%
"Door County, Wisconsin",8.70%,± 1.5%
"Dorado Municipio, Puerto Rico",30.60%,± 3.9%
"Dorchester County, Maryland",15.40%,± 2.1%
"Dorchester County, South Carolina",12.30%,± 1.5%
"Dougherty County, Georgia",26.40%,± 2.1%
"Douglas County, Colorado",3%,± 0.3%
"Douglas County, Georgia",11.60%,± 1.7%
"Douglas County, Illinois",9.50%,± 2.2%
"Douglas County, Kansas",16.30%,± 1.2%
"Douglas County, Minnesota",8.50%,± 1.3%
"Douglas County, Missouri",19.60%,± 3.9%
"Douglas County, Nebraska",11%,± 0.5%
"Douglas County, Nevada",7.50%,± 1.2%
"Douglas County, Oregon",14.90%,± 1.3%
"Douglas County, South Dakota",14.50%,± 5.6%
"Douglas County, Washington",7.90%,± 1.7%
"Douglas County, Wisconsin",11.20%,± 1.2%
"Drew County, Arkansas",21.40%,± 4.1%
"Dubois County, Indiana",9.70%,± 2.1%
"Dubuque County, Iowa",10%,± 1.1%
"Duchesne County, Utah",13.50%,± 2.5%
"Dukes County, Massachusetts",6.70%,± 2.4%
"Dundy County, Nebraska",12.50%,± 5.9%
"Dunklin County, Missouri",22%,± 2.3%
"Dunn County, North Dakota",6.80%,± 2%
"Dunn County, Wisconsin",11%,± 1.3%
"DuPage County, Illinois",6.30%,± 0.3%
"Duplin County, North Carolina",18.50%,± 2%
"Durham County, North Carolina",12.30%,± 0.8%
"Dutchess County, New York",8.60%,± 0.5%
"Duval County, Florida",14.30%,± 0.6%
"Duval County, Texas",21.60%,± 6.5%
"Dyer County, Tennessee",16.30%,± 2.7%
"Eagle County, Colorado",8%,± 1.8%
"Early County, Georgia",22.20%,± 4.8%
"East Baton Rouge Parish, Louisiana",17.90%,± 0.8%
"East Carroll Parish, Louisiana",40.30%,± 6.3%
"East Feliciana Parish, Louisiana",14.70%,± 2.8%
"Eastland County, Texas",16.20%,± 2.7%
"Eaton County, Michigan",7.60%,± 0.8%
"Eau Claire County, Wisconsin",12.10%,± 1%
"Echols County, Georgia",15%,± 6.3%
"Ector County, Texas",15.80%,± 2.1%
"Eddy County, New Mexico",11.80%,± 2.1%
"Eddy County, North Dakota",12.30%,± 3.7%
"Edgar County, Illinois",11.80%,± 2.1%
"Edgecombe County, North Carolina",22%,± 2.8%
"Edgefield County, South Carolina",17%,± 2.8%
"Edmonson County, Kentucky",17%,± 3.4%
"Edmunds County, South Dakota",7.30%,± 2.9%
"Edwards County, Illinois",14.20%,± 3.3%
"Edwards County, Kansas",13.60%,± 3.3%
"Edwards County, Texas",23.40%,± 15%
"Effingham County, Georgia",6.60%,± 1%
"Effingham County, Illinois",10.80%,± 1.7%
"El Dorado County, California",8.60%,± 0.9%
"El Paso County, Colorado",9.20%,± 0.5%
"El Paso County, Texas",19.50%,± 0.8%
"Elbert County, Colorado",4.30%,± 1%
"Elbert County, Georgia",19%,± 3.4%
"Elk County, Kansas",14.80%,± 4.1%
"Elk County, Pennsylvania",9%,± 1.2%
"Elkhart County, Indiana",12%,± 1.1%
"Elko County, Nevada",10.40%,± 1.8%
"Elliott County, Kentucky",24.70%,± 5.8%
"Ellis County, Kansas",15.30%,± 2%
"Ellis County, Oklahoma",14.70%,± 4.1%
"Ellis County, Texas",8.20%,± 1%
"Ellsworth County, Kansas",8.70%,± 2%
"Elmore County, Alabama",9.60%,± 1.2%
"Elmore County, Idaho",12%,± 2.3%
"Emanuel County, Georgia",21.40%,± 3.8%
"Emery County, Utah",11.80%,± 2.9%
"Emmet County, Iowa",12.70%,± 2.7%
"Emmet County, Michigan",8.40%,± 1.2%
"Emmons County, North Dakota",6.70%,± 1.6%
"Emporia city, Virginia",17.30%,± 5.5%
"Erath County, Texas",16.50%,± 2.3%
"Erie County, New York",13.80%,± 0.5%
"Erie County, Ohio",11.50%,± 1.3%
"Erie County, Pennsylvania",15.40%,± 1.1%
"Escambia County, Alabama",21.80%,± 2.5%
"Escambia County, Florida",14.90%,± 0.9%
"Esmeralda County, Nevada",16.10%,± 10.3%
"Essex County, Massachusetts",9.70%,± 0.5%
"Essex County, New Jersey",15%,± 0.6%
"Essex County, New York",10.40%,± 1.3%
"Essex County, Vermont",13.20%,± 2.8%
"Essex County, Virginia",17.10%,± 4.6%
"Estill County, Kentucky",24%,± 4.1%
"Etowah County, Alabama",15.90%,± 1.2%
"Eureka County, Nevada",17.60%,± 17.5%
"Evangeline Parish, Louisiana",27.80%,± 3.8%
"Evans County, Georgia",21.20%,± 4.3%
"Fairbanks North Star Borough, Alaska",6.90%,± 0.8%
"Fairfax city, Virginia",10%,± 2.5%
"Fairfax County, Virginia",6%,± 0.3%
"Fairfield County, Ohio",8.70%,± 1%
"Fairfield County, South Carolina",18.70%,± 3.3%
"Fajardo Municipio, Puerto Rico",42.60%,± 2.9%
"Fall River County, South Dakota",19.30%,± 4.4%
"Fallon County, Montana",12.70%,± 4.8%
"Falls Church city, Virginia",2.30%,± 1.2%
"Falls County, Texas",15.80%,± 3.3%
"Fannin County, Georgia",11.80%,± 2.6%
"Fannin County, Texas",12.80%,± 2%
"Faribault County, Minnesota",11.40%,± 1.6%
"Faulk County, South Dakota",23.80%,± 6.9%
"Faulkner County, Arkansas",15.50%,± 1.5%
"Fauquier County, Virginia",5.80%,± 1.1%
"Fayette County, Alabama",22.20%,± 3.9%
"Fayette County, Georgia",5.30%,± 0.8%
"Fayette County, Illinois",14.70%,± 2.6%
"Fayette County, Indiana",16.40%,± 2.5%
"Fayette County, Iowa",11.80%,± 1.8%
"Fayette County, Kentucky",14.90%,± 0.8%
"Fayette County, Ohio",15.80%,± 1.9%
"Fayette County, Pennsylvania",16.20%,± 1.1%
"Fayette County, Tennessee",9.70%,± 1.9%
"Fayette County, Texas",10.20%,± 2.1%
"Fayette County, West Virginia",21.50%,± 2.7%
"Fentress County, Tennessee",20.20%,± 4.6%
"Fergus County, Montana",14.80%,± 3.3%
"Ferry County, Washington",15.50%,± 2.8%
"Fillmore County, Minnesota",8.70%,± 1.2%
"Fillmore County, Nebraska",7%,± 2%
"Finney County, Kansas",12.80%,± 2.9%
"Fisher County, Texas",12.20%,± 3.5%
"Flagler County, Florida",9.80%,± 1.1%
"Flathead County, Montana",9.30%,± 1.1%
"Fleming County, Kentucky",21%,± 3.6%
"Florence County, South Carolina",17.80%,± 1.6%
"Florence County, Wisconsin",9.80%,± 2.4%
"Florida Municipio, Puerto Rico",47.40%,± 6%
"Floyd County, Georgia",17.50%,± 1.6%
"Floyd County, Indiana",9.40%,± 1.3%
"Floyd County, Iowa",10.90%,± 2.3%
"Floyd County, Kentucky",29.30%,± 3.4%
"Floyd County, Texas",19%,± 5.8%
"Floyd County, Virginia",9.40%,± 2.7%
"Fluvanna County, Virginia",6.10%,± 1.8%
"Foard County, Texas",22.10%,± 7.6%
"Fond du Lac County, Wisconsin",8.60%,± 1%
"Ford County, Illinois",12.10%,± 2.2%
"Ford County, Kansas",11.90%,± 2.5%
"Forest County, Pennsylvania",19.20%,± 5%
"Forest County, Wisconsin",13.90%,± 1.9%
"Forrest County, Mississippi",22.80%,± 2.3%
"Forsyth County, Georgia",4.60%,± 0.6%
"Forsyth County, North Carolina",15.20%,± 1%
"Fort Bend County, Texas",6.90%,± 0.6%
"Foster County, North Dakota",8.30%,± 2.8%
"Fountain County, Indiana",12.10%,± 2.5%
"Franklin city, Virginia",18.70%,± 5.3%
"Franklin County, Alabama",16.60%,± 3.1%
"Franklin County, Arkansas",20.20%,± 3.9%
"Franklin County, Florida",21.70%,± 4.6%
"Franklin County, Georgia",18.40%,± 3.5%
"Franklin County, Idaho",9.60%,± 2.8%
"Franklin County, Illinois",17.80%,± 2.3%
"Franklin County, Indiana",7.40%,± 1.4%
"Franklin County, Iowa",13.70%,± 3.3%
"Franklin County, Kansas",8.30%,± 1.4%
"Franklin County, Kentucky",13.30%,± 2%
"Franklin County, Maine",12.10%,± 1.8%
"Franklin County, Massachusetts",12%,± 1.2%
"Franklin County, Mississippi",23.80%,± 4.9%
"Franklin County, Missouri",8.10%,± 0.9%
"Franklin County, Nebraska",14.90%,± 3.7%
"Franklin County, New York",17.90%,± 2.4%
"Franklin County, North Carolina",9.70%,± 1.5%
"Franklin County, Ohio",14.50%,± 0.5%
"Franklin County, Pennsylvania",9%,± 1.1%
"Franklin County, Tennessee",14.50%,± 2%
"Franklin County, Texas",8.60%,± 3.1%
"Franklin County, Vermont",10.40%,± 1.4%
"Franklin County, Virginia",13.30%,± 1.9%
"Franklin County, Washington",13.40%,± 1.8%
"Franklin Parish, Louisiana",26%,± 3.4%
"Frederick County, Maryland",6.20%,± 0.6%
"Frederick County, Virginia",6.80%,± 1%
"Fredericksburg city, Virginia",18%,± 3.1%
"Freeborn County, Minnesota",9.50%,± 1.5%
"Freestone County, Texas",12.70%,± 3.3%
"Fremont County, Colorado",15%,± 2%
"Fremont County, Idaho",11.40%,± 2.9%
"Fremont County, Iowa",7.50%,± 1.7%
"Fremont County, Wyoming",13.90%,± 1.5%
"Fresno County, California",19.50%,± 0.7%
"Frio County, Texas",20.70%,± 6%
"Frontier County, Nebraska",12.40%,± 3.3%
"Fulton County, Arkansas",15.30%,± 3.1%
"Fulton County, Georgia",12.50%,± 0.5%
"Fulton County, Illinois",13.40%,± 1.7%
"Fulton County, Indiana",14.80%,± 3%
"Fulton County, Kentucky",27.40%,± 5.5%
"Fulton County, New York",13.90%,± 1.7%
"Fulton County, Ohio",8.50%,± 1.7%
"Fulton County, Pennsylvania",10.70%,± 1.5%
"Furnas County, Nebraska",11.20%,± 2.4%
"Gadsden County, Florida",25.50%,± 3.1%
"Gage County, Nebraska",13.40%,± 2.1%
"Gaines County, Texas",12.70%,± 3.7%
"Galax city, Virginia",22.40%,± 7%
"Gallatin County, Illinois",19.20%,± 3.7%
"Gallatin County, Kentucky",16.80%,± 4.4%
"Gallatin County, Montana",10.60%,± 1.2%
"Gallia County, Ohio",17.20%,± 3.1%
"Galveston County, Texas",11%,± 0.6%
"Garden County, Nebraska",9.60%,± 3.4%
"Garfield County, Colorado",8.10%,± 1.4%
"Garfield County, Montana",9.40%,± 4%
"Garfield County, Nebraska",12.20%,± 5.6%
"Garfield County, Oklahoma",14%,± 2.3%
"Garfield County, Utah",15.90%,± 5%
"Garfield County, Washington",11.10%,± 6.5%
"Garland County, Arkansas",16.90%,± 1.5%
"Garrard County, Kentucky",15.70%,± 3.6%
"Garrett County, Maryland",11.10%,± 1.8%
"Garvin County, Oklahoma",14.70%,± 1.6%
"Garza County, Texas",15.40%,± 5.4%
"Gasconade County, Missouri",11.90%,± 2.4%
"Gaston County, North Carolina",12.40%,± 0.8%
"Gates County, North Carolina",14.30%,± 4.3%
"Geary County, Kansas",18.60%,± 2.6%
"Geauga County, Ohio",5.80%,± 0.9%
"Gem County, Idaho",11.80%,± 2.7%
"Genesee County, Michigan",16.20%,± 0.8%
"Genesee County, New York",10.40%,± 1.3%
"Geneva County, Alabama",20.80%,± 3.1%
"Gentry County, Missouri",15.20%,± 2.9%
"George County, Mississippi",20.90%,± 3.7%
"Georgetown County, South Carolina",16%,± 2.4%
"Gibson County, Indiana",10%,± 2.1%
"Gibson County, Tennessee",13.90%,± 1.8%
"Gila County, Arizona",19%,± 2.2%
"Gilchrist County, Florida",12.40%,± 2.9%
"Giles County, Tennessee",13.50%,± 1.9%
"Giles County, Virginia",9.70%,± 2.1%
"Gillespie County, Texas",9.10%,± 2%
"Gilliam County, Oregon",12.90%,± 4.5%
"Gilmer County, Georgia",14.80%,± 3.1%
"Gilmer County, West Virginia",11.10%,± 4%
"Gilpin County, Colorado",9.30%,± 5.2%
"Glacier County, Montana",29.40%,± 4.6%
"Glades County, Florida",21.90%,± 4.4%
"Gladwin County, Michigan",14.20%,± 1.7%
"Glascock County, Georgia",15.50%,± 7.3%
"Glasscock County, Texas",5.20%,± 3.6%
"Glenn County, California",15.30%,± 2.9%
"Gloucester County, New Jersey",7.50%,± 0.6%
"Gloucester County, Virginia",7.50%,± 1.8%
"Glynn County, Georgia",16.40%,± 1.8%
"Gogebic County, Michigan",14.10%,± 2.1%
"Golden Valley County, Montana",16.10%,± 6.8%
"Golden Valley County, North Dakota",12.60%,± 4%
"Goliad County, Texas",10%,± 3%
"Gonzales County, Texas",13.10%,± 2.5%
"Goochland County, Virginia",4.20%,± 1.3%
"Goodhue County, Minnesota",9.10%,± 1.4%
"Gooding County, Idaho",13.30%,± 3.6%
"Gordon County, Georgia",14%,± 2.2%
"Goshen County, Wyoming",9.30%,± 1.9%
"Gosper County, Nebraska",6.50%,± 2.5%
"Gove County, Kansas",6.40%,± 1.7%
"Grady County, Georgia",19.80%,± 3.5%
"Grady County, Oklahoma",11%,± 1%
"Grafton County, New Hampshire",9.90%,± 1%
"Graham County, Arizona",17.70%,± 2.5%
"Graham County, Kansas",9.90%,± 3.1%
"Graham County, North Carolina",11.30%,± 3.8%
"Grainger County, Tennessee",17.60%,± 3.1%
"Grand County, Colorado",8.60%,± 2.2%
"Grand County, Utah",15.70%,± 4.2%
"Grand Forks County, North Dakota",14.20%,± 1.3%
"Grand Isle County, Vermont",7.40%,± 2.3%
"Grand Traverse County, Michigan",10.40%,± 1.3%
"Granite County, Montana",13.10%,± 4.6%
"Grant County, Arkansas",13.50%,± 2.9%
"Grant County, Indiana",19.10%,± 1.5%
"Grant County, Kansas",5.30%,± 2.9%
"Grant County, Kentucky",12.80%,± 2.5%
"Grant County, Minnesota",10.10%,± 2.6%
"Grant County, Nebraska",10.80%,± 5.5%
"Grant County, New Mexico",20.50%,± 3.1%
"Grant County, North Dakota",15.40%,± 4.6%
"Grant County, Oklahoma",13.30%,± 2.7%
"Grant County, Oregon",16.50%,± 3.1%
"Grant County, South Dakota",9.80%,± 2.7%
"Grant County, Washington",14.30%,± 1.7%
"Grant County, West Virginia",11.70%,± 3%
"Grant County, Wisconsin",13.80%,± 1.3%
"Grant Parish, Louisiana",15%,± 3.6%
"Granville County, North Carolina",14.40%,± 1.9%
"Gratiot County, Michigan",14.10%,± 1.9%
"Graves County, Kentucky",19.80%,± 2.7%
"Gray County, Kansas",4.10%,± 2.1%
"Gray County, Texas",17%,± 2.9%
"Grays Harbor County, Washington",14.90%,± 1.8%
"Grayson County, Kentucky",21.10%,± 3%
"Grayson County, Texas",11.40%,± 1.2%
"Grayson County, Virginia",18.70%,± 3.4%
"Greater Bridgeport Planning Region, Connecticut",13.30%,± 0.8%
"Greeley County, Kansas",8.10%,± 4.4%
"Greeley County, Nebraska",12.50%,± 3.2%
"Green County, Kentucky",21.30%,± 3.9%
"Green County, Wisconsin",6.60%,± 0.9%
"Green Lake County, Wisconsin",12.80%,± 2.1%
"Greenbrier County, West Virginia",20%,± 2.8%
"Greene County, Alabama",32.90%,± 7.1%
"Greene County, Arkansas",17.60%,± 2.2%
"Greene County, Georgia",12.90%,± 3.2%
"Greene County, Illinois",13.70%,± 2.2%
"Greene County, Indiana",14%,± 1.8%
"Greene County, Iowa",11.50%,± 2.5%
"Greene County, Mississippi",18.40%,± 4.2%
"Greene County, Missouri",14.60%,± 0.8%
"Greene County, New York",10.40%,± 1.3%
"Greene County, North Carolina",22.60%,± 3.2%
"Greene County, Ohio",10.60%,± 1%
"Greene County, Pennsylvania",12.90%,± 2.1%
"Greene County, Tennessee",15.60%,± 1.9%
